user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lkmj****,17jov,문재앙 이 미친 자식이 진짜 어이없네,True,1,2025-04-24T15:05:21+0900,857694147203563664,1060,227,29
esse****,etrwk,문재앙때 딱 5년만에 6억짜리 서울아파트 15억만들어놨다. 그때 서울 재건축 재개발 죄다막아서 지금 서울 공급역대최저다. 이러니 계속 집값 치솟지. 게다가 성별 세대 갈라치기까지 해놔서 저출산가속화 북한쇼만하다가 뒤통수 또 맞고 이룬것도 하나없고 아주 나라를 망쳐논 인간 단두대 세워도 모자른인간.,True,1,2025-04-24T15:06:19+0900,857694210034237566,748,68,27
njor****,2cnLf8,왜 1400만원이 넘는 대통령 연금은 스스로 비과세로 바꿨나요?,True,1,2025-04-24T15:05:46+0900,857694174667866438,466,18,8
tusk****,csdS,보복이고 나발이고 죄없음 재판으로 증명하면 되지 뭔 🐕 소리가 많냐...?!,True,1,2025-04-24T15:07:33+0900,857694288719380662,311,32,9
hyun****,1xNvv,내가 민주당이기는 해도 당신이 싸놓은 똥이 윤석열부터 해서 너무 큽니다 예초에 정치에는 관심이 없다고 말하던 사람이 무슨 욕심에 대통까지 가서 이 사단을 만든겁니까?,True,1,2025-04-24T15:05:16+0900,857694142203953263,277,44,13
eltl****,,,False,1,2025-04-24T15:18:47+0900,857695013025349920,0,0,1
jam4****,4oqzT,지가하면 적폐청산~ 남이하먄 보복수사~ 전형적인 내로남불ㅋㅋ,True,1,2025-04-24T15:20:15+0900,857695106793209962,50,3,0
wjsr****,t1ia,ㅋㅋㅋㅋㅋㅋㅋ우파는 재판하면 여러말 안하고 판사앞에서 무죄를 논하는데 좌파는 죄지어도 검찰을 욕하고 언론앞에서 우파를 비난한다 본인 죄에대해서는 당연히 아무말안함 ㅋㅋㅋㅋㅋ이상하지 않냐?,True,1,2025-04-24T15:22:44+0900,857695266982068505,40,2,0
dust****,,,False,1,2025-04-24T15:07:15+0900,857694269408804962,0,0,0
jins****,3dZzU,범죄자를 기소하면 검찰개혁이냐? 무죄를 입증하겠다고 해야지 어떻게 검찰을 위협하나? 이게 나라냐?,True,1,2025-04-24T15:07:37+0900,857694293115011281,34,1,0
moon****,22sN1,박근혜대통령은 돈 1원도 안받고 탄핵되고 5년간 감옥갔다.,True,1,2025-04-24T15:37:38+0900,857696227259580703,31,0,1
