user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
choi****,5Gv4Q,"야 이거 막가파도 이런식으로 막가지 안았는데 김정은이 하는 독재 패턴하고 똑같이 하네, 죄명이당이 하는 짓거리가 입법독재가 아니면 뭐겠어요.
또한 국회내란으로 국정을 마비시키는것이 바로 진짜 내란이야 알겠냐?
국민들이여 뭐가 정상인지를 잘 판단
해야 우리 후손들이 천국같은 미래시대가 열립니다. 명심하시기 바랍니다.",True,1,2025-05-01T23:37:49+0900,858376561722654935,20,1,0
3379****,,,False,1,2025-05-01T23:51:21+0900,858377434020446319,0,0,0
knba****,2eeD7,윤통 판결때는 사법정의라더니 지들이 불리해지면 사법테러라네. 진짜 어이없는 인간들,True,1,2025-05-01T23:13:39+0900,858375004411134215,19,2,0
buk3****,,,False,1,2025-05-01T23:42:02+0900,858376833261895695,0,0,0
bing****,68Y6k,유리하면 존경하고 불리하면 규탄 하냐?,True,1,2025-05-01T23:17:09+0900,858375229980803127,16,1,0
pkkk****,2yWm6,●더불어범죄자 옹호당 초등생도 잘읽어보면 유죄줄 다알겠다,True,1,2025-05-02T00:07:06+0900,858378448572252192,15,1,0
wonb****,1SZ3V,이런 좀비같은 인간들을 대상으로 윤석열 대통령이 계엄을 선포한 심정을 이해하겠다.,True,1,2025-05-01T23:37:01+0900,858376509763616777,14,1,0
geba****,23qo,"짜고치는 고스톱? 이게 입법부 다수 정당이란 것들 입에서 나올 소린가? 국민들이 똑같은 죄를 저질렀으면 벌써 실형이다.
기득권이 되고 나서 하는 짓들 좀 봐라. 이래도 뽑겠다고?",True,1,2025-05-01T23:35:13+0900,858376394789355592,14,1,0
phot****,a3Q22,저거 논리적으로 말이 되니? 민주당 소설 그만 쓰고 제대로 된 후보 내면된다. 꼭 대장동 비리 사기꾼을 대통령 후보로 내야 하니? 이재명이 대체 뭐라고,True,1,2025-05-02T00:05:50+0900,858378367034982623,13,0,0
jere****,93ypN,언제까지 이런 국회를 계속 봐야되나..끔찍하다,True,1,2025-05-01T23:48:12+0900,858377230563147845,13,1,0
11rn****,6bpb5,"이런데도 이재명 지지하는 좌파는 진짜 제정신이 아닌거다.
설마 정상인이면 출마 자격이 없는사람을 지지하겠냐고",True,1,2025-05-01T23:36:45+0900,858376493405831451,13,2,0
nego****,2hn1J,헌법재판소에서 윤석렬 탄핵은 정말 잘했다. 판결문은 국민들도 이해하기 쉽다. 대법원의 이재명에 대한 판결은 더 이해가 쉽다. 그나마 남아 있는 법치주의를 민주당은 훼손하려든다. 지들 맘에 안든다고 이게 민주주의냐. 너희들은 절대 나라의 주인이 아니야. 착각하지 말자. 법위에 왕은 필요없다.,True,1,2025-05-02T00:17:46+0900,858379136018677992,12,1,0
nk52****,6JfAo,국회해산이답이다,True,1,2025-05-01T23:38:00+0900,858376573550592002,12,1,0
bodo****,eLZB,대법원의 판결을 고스톱에 비유 하다니 역시 천박한 것들이 모여 있는 티를 내는구나~ 어찌 한나라의 대표정당 이라는데가 저리 천박할수가 있나?,True,1,2025-05-01T23:44:04+0900,858376964208066590,11,0,0
paek****,uRu6,1심 유죄 대법도 유죄. 솔직히 2심이 무죄 주려고 억지로 끌어다 맞춘거지. 할줄 아는건 대가리수 디밀어서 탄핵하는 것 뿐. 윤석열도 이재명도 가야될 때 된 거고 이제 다른 사람좀 내보내라.,True,1,2025-05-01T23:02:18+0900,858374273746600024,11,0,0
luyf****,,,False,1,2025-05-01T23:44:42+0900,858377005647790301,0,0,0
