user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ow55****,,,False,1,2025-05-04T05:05:43+0900,858583229005824037,0,0,3
dlth****,4F9fX,민주당은 지금에서라도 정신차려라.. 진짜 민주라는 이름만 달고 왜 독재를함..? 왜 그 한사람만 지키려고 나머지를 쑥대밭만드냐고,True,1,2025-05-04T02:40:09+0900,858573850609188880,16,3,1
tjsd****,3u655,민주당이 하는짓이 내란임..  이재명 지키려고 30번 넘게 탄핵해서 국정마비 시키고 지금은 재판관들까지 탄핵시키려는게 말이 되냐?,True,1,2025-05-04T02:03:02+0900,858571459688136716,14,1,0
abcd****,2nTOd,"이재명이   대법관탄핵시키려는거 봣죠?
지말 안듣고 기분 나쁜짓 하면  보복하려고 하니   이나라 그 누구든..그사람이 시키는대로 해야합니다.
그런 대한민국을 원합니까?",True,1,2025-05-04T00:42:39+0900,858566281131982961,18,6,2
wooh****,1UQ1c,"반국가세력  독재 전과자 찢명임이틀림없다
  이번선거에서 기필코  사전투표금지하고 찢명이 
  찍지말자",True,1,2025-05-04T02:57:56+0900,858574996845363280,15,3,0
esol****,1b2Y2,다른건 다되도 찟죄명은 안된다  나라 찟어진다,True,1,2025-05-03T23:23:32+0900,858561184666747035,13,1,0
doo5****,4xlsf,김문수는 노동운동. 민주화운동으로 인한 전과이고...이재명 형사적인 잡범 전과이고.....질이 틀리지,True,1,2025-05-04T04:12:24+0900,858579794625822741,10,0,0
wnav****,9wz2I,반역세력은 지들이면서 누글 반역세력이라고 하냐.줄탄핵으로 정부기간 마비시킨거 반드시 책임 물어야 한다.,True,1,2025-05-04T02:23:31+0900,858572779820154931,10,0,0
safe****,781mo,"재명이는 더이상 인간이 아님!!
저런 것이 일국의 대통령이 된다면 제2의 광주사태가 반드시 일어 남니다~~~
어찌된 나라가 전과5범 범죄자를 한나라의 대통령으로 지지하겠다는 정신 나간??  8차원적인 미친 국민들이 있는지...
●유권자?@짐승보다 못한 어리석은 국민 여러분●
※£살인을 해도 무죄 주장하고요~~~
※£성폭행@추행등을 저지르고도 안했다고 박박 우기면서 재판지연 하고요~~~
※£음주 많이해서 도망가고요@사망사고시 냈을 경우엔?  몰랐다고 부정하면서 3심까지 가서 개판@범죄천국을 만들어 갑시다!",True,1,2025-05-03T23:24:12+0900,858561226911776824,13,4,1
rtbt****,2IORQ,범죄명은 아니지 왜모를까 어떻게 저렇게까지 야비하고 뻔뻔함의 극치 그냥 빨리 법의심판을 받아 공직선거법 결판나면 434억 토해내고 5년동안 공직선거못나가고 국회의원 빼찌 떨어지는 최악의 순간이 다가오니까 탄핵놀이로 국가를 도탄에 빠트려놓고 최상목 탄핵 경제수장을 나는 절대로 대통령 얺돼 나라꼴을 어디로 끌고가려고 이재명은 전과4범 대장동몸통 입쳐다물고 살아라,True,1,2025-05-04T04:36:45+0900,858581362674761781,10,2,0
quad****,4jzxh,문재앙땐 대통령 욕하면 좀스럽게 고소나 하는 정도로 끝났지만 이재명이 대통령되면 조용히 드럼통에 담궈 자살시킬듯 ㅋㅋㅋㅋ 지금 민주당봐라 그냥 이재명을 위한 사당임,True,1,2025-05-04T01:42:57+0900,858570165711798371,10,3,2
kyb0****,dXhHT,이죄명이 대통령되면 대한민국이이죄명 손아귀에 놀아날듯 생각하면 끔찍스럽다 대통령2번 해먹을려고 헌법 개정할듯,True,1,2025-05-03T23:17:37+0900,858560802901196946,9,2,1
crea****,4atet,법까지 바꿔서 대통령이 되려는 자를 보니 지금껏 감옥에 간 사람들이 다시 소송해도 될 듯 ㅋㅋ,True,1,2025-05-04T00:02:02+0900,858563664725147660,7,0,0
sukj****,2YIYS,국가 반역세력은 이재명 아닙니까?,True,1,2025-05-04T01:48:13+0900,858570505567862812,11,5,1
sung****,2VLH4,아무리 개판인 국가라도 법치국가에서 전과5범 현행범을 대통령 시킬수없다.,True,1,2025-05-04T04:27:40+0900,858580777552576561,10,4,2
kwan****,1LxAC,헌정질서 최초파괴자는 재명이 마지막피날래는 석렬이 고로  두인간다 싹청소해야한다   그래야이나라 정치 법치가 바로서는 반듯한 나라가된다,True,1,2025-05-04T05:12:26+0900,858583662310981653,9,3,0
udy5****,,,False,1,2025-05-04T04:21:29+0900,858580379848671250,0,0,0
jun8****,7o0ig,한명은 목숨걸고 국회담넘어 계엄막고...한놈은 열심히 계엄군 응원 하고...,True,1,2025-05-03T23:20:06+0900,858560962452520984,7,1,0
chom****,2zAGX,김문수 그대로 대통령후보 올라와서 이재명한테 말빨로 발리는거 벌써부터 팝콘각,True,1,2025-05-03T22:39:44+0900,858558362403471604,7,1,0
