user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cmyb****,YJx1,이기사를 쓴 홍국기 기자 내용이 삐딱하네 공평한 시각으로 쓰라. 대법원 판결도 무시하는 민주당 논치보나?,True,1,2025-05-17T17:00:58+0900,859835335369032089,14,4,0
agro****,d3hcn,"재판까지 끝나고 대통령직까지 물러났는데, 모든 재판 미루다가 한 개 재판 결과 안 좋게 나오니까 배법원장 물러나라고 하는 사람이 계속 사과를 하란다. 입법독주와 30번의 줄탄핵에 대해서는 일번반구의 사과를 한 적도 없으면서.",True,1,2025-05-17T16:38:06+0900,859833861910036510,11,2,0
kent****,3n6Fl,자유를 앗아가려 한 놈이 자유를 언급하고 다니는 아이러니,True,1,2025-05-17T13:57:38+0900,859823524494180530,10,1,0
trin****,1iMCN,저 놈이 말하는 자유수호는 본인과 김건희의 자유를 수호하는거지. ㅋㅋ 국민들을 총칼로 없애버리더라도 오로지 자기 마누라 자유수호가 중요한놈...,True,1,2025-05-17T13:47:08+0900,859822847785173027,9,0,0
dmsi****,204VV,난 검사가 이렇게 무식한줄 윤때문에 알았다,True,1,2025-05-17T15:17:07+0900,859828645554815009,9,1,0
lovi****,mR99,3년동안 줄곳 말로만 공정과 상식만을 외치다 자기만이 자유민주주의를 구한다고계엄하더니 ᆢ  끝까지 몰상식하네~~~,True,1,2025-05-17T15:13:36+0900,859828418491973823,9,1,0
hong****,1E3vT,나 살다살다 정치권에서 이런 도라이는 처음보네ㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-05-17T14:59:42+0900,859827523360391349,9,1,0
ssyi****,8NDw6,역적의 무리 탄핵당 범죄자가 내란 소리는 엄청해. 대법원 유죄 판결 받았으면 반성 좀 해.감방 가기 싫다고 재판을 연기하는 주제에.,True,1,2025-05-17T21:18:19+0900,859851915721179225,8,0,0
minw****,2g67A,더불어탄핵당 줄탄핵이랑 입법 폭거도 같이 다뤄주시죠 기자 정신 발휘하셔서,True,1,2025-05-17T18:13:24+0900,859840001599340656,8,0,0
ddum****,cIpxb,뭘 사과를해? 코카인마약에 간첩도 팩트고 중국정부가 용산에 땅을 사질않나 취득세도 0원!! 나라 넘어가기 직전이였다!!!!! 계엄은 계몽령이다. 윤어게인!!,True,1,2025-05-17T19:14:04+0900,859843910187352084,9,2,0
jkm5****,,,False,1,2025-05-17T17:14:38+0900,859836215736664240,0,0,0
jazz****,2qBdm,지가 무슨말을 하는진 알고 지껄이는 건가? 극우 유튜브에 뇌가 절여진건지..ㅠ 의회 민주주의를 부정하면서 무슨 법치..,True,1,2025-05-17T16:24:43+0900,859833000685207808,8,1,0
bigb****,RgAg,조국 이재명 죽이려고 검사가 200명 씩 붙어서 수사하고 내란수괴범 하나 풀어줄려고 말도안되는 형사소송법 시간계산으로 뻔뻔하게 구속 석방하고 뻔뻔하게 재판 비공개로 깜까미 재판하고 이재명 보내려고 6일만에 초스피드로 대법상고심 진행하고 ㅋㅋㅋㅋ 이게 법조계 카르텔의 민낯이었다 윤두창 덕분에 들어나서 천만 다행  유전무죄 무전유죄 ㅋㅋ 무기 아님 사형의 죄를 저질러도 판새 몇마리가 그냥 봐주면 말도안되는 핑계로 구속석방시켜주는게 이나라다 ㅋㅋ지귀연아 니 후배들은 너를 이제 매년 공부할거다 역사적 정치판새 룸싸롱 판새로 ㅋㅋ,True,1,2025-05-17T15:30:49+0900,859829527918936295,10,4,0
kask****,2Uiax,윤통이 법에 있는 계엄을 했는데 무엇이 그리 잘못되었는가..국민을 놀라게 한 것은 사과를 하였다...계엄요건에 해당하는지 아닌지는 지도자의 몫이다..그러려고 지도자를 뽑은 것이고..지도자는국민을 이끄는 사람이다..법에 따라 국회의 요청에 따라 해제하였고..분명히 선거에 문제가 있고...중국인이 간첩질을 하고 있고..국회가 권력을 남용하였다..국가지도자로서 할 바를 하였다.. 국가의 지도자라면 무죄이고 국가의 하수인이라면 유죄이다..그러나 대통령은 지도자라고 뽑은 것이다..,True,1,2025-05-17T16:32:36+0900,859833508246323416,9,3,6
haha****,6XwTx,"김문수로 깔게 없으니까 오로지 윤카만 붙잡고 늘어지는구나!
 윤 어게인! 온니 윤!",True,1,2025-05-17T16:51:37+0900,859834733603848369,8,2,2
tmf0****,2n9aE,솔직히 탈당 하던지 말던지 무슨상관이냐?  탈당하면 지은죄가 없어지냐,True,1,2025-05-17T16:07:07+0900,859831866495074350,7,1,1
yunv****,29KPQ,"언제까지 저 빌어 처먹을넘을 지켜봐야하나!!
왜 내란주범이 버젖이 길거리를 활보하고 왜 사법부는 저자식을 풀어 주었나!
그것이 너희들 엘리트주의에서 온 생각이냐!
너희들이 우리 국민위에 군림한다고 생각하는지는 몰라도 그건 아니다!
우리가없으면 너희도 없다.
잘난 척 하지마라.
벌거벗고 목용탕 들어가면 너나나나 똑같은 인간일 뿐이다.
하루빨리 내란수괴 저 개아들을 사형을시키든 무기징역을 시키든 처리해라.
그것이 국민들의 바램이다.",True,1,2025-05-17T15:59:56+0900,859831403393581376,7,1,0
jjin****,db93d,"끝까지  떠라이 짓하네 ㅋ
그냥  사형때리라  보기싫다  세상박으로  못나오게 해라",True,1,2025-05-17T15:43:08+0900,859830320692723778,7,1,0
2028****,2Se7Q,자신의 잘못을 사과할줄 모르는 자는 지도자의 자격이 없다. 끝까지 사과는 못하겠다는 저런 자가 어찌 이 나라 대통령이었단 말인가.,True,1,2025-05-17T15:06:43+0900,859827975506362592,7,1,1
saen****,7FZo7,돼지한마리 나간다고 그당이바뀌나. 웃기는 모지리들. 웃기기는 하더라만 정치를 웃길려고하냐. 인자 고마해라. 마이 해쳐묻다아이가. 안글나.,True,1,2025-05-17T14:47:37+0900,859826744864014528,7,1,0
chea****,1EkI6,언론이큰일이다 제대로된언론찻기힘들다아니없다.,True,1,2025-05-17T14:23:30+0900,859825191159595139,7,1,0
happ****,,,False,1,2025-05-17T13:52:01+0900,859823162827735045,0,0,0
trin****,1iMCN,정신나간 인간이야.. 아니 자기가 자유민주주의 체제전복을 노리고 군대를  동원해서 계엄으로 내란일으킨 놈이  뜬금없이 자유를 수호해? 아니 윤석열이 말하는 자유가 대체 뭔지 궁금하네.. ㅋㅋ 저런 개소릴 언제까지 들어야 하는지. 빨리 재구속 안하냐? 내란수괴를 활보하게 다니는 나라가 정상이야?,True,1,2025-05-17T13:42:33+0900,859822552472617105,7,1,0
ssyi****,8NDw6,"아무런들 부동산 사기 개발로 떼돈 벌어 사팡팔방 뿌리며 돈질하고, 대법원 유죄 판결 받은  범죄자 대선주자만  하겠니?",True,1,2025-05-17T20:17:44+0900,859848012434768071,6,0,0
w645****,2bZWqm,"홍국기 기자,,,,진보 좌파 성향이라는데,,,,ㅉ",True,1,2025-05-17T18:05:41+0900,859839504591093923,6,0,0
