user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
maje****,2Nz2i,직권남용은 무슨 입헌문란 예산 문란 탄핵 문란 하는데도 대통령이 꼭두각시처럼 가만히 있을까?? 간첩법 개정은 왜 반대하는데??,True,1,2025-05-01T13:30:28+0900,858337433933054132,60,18,5
navv****,4BnFv,검찰 적폐몰이 오지게하더니 결국 좌빨검찰로 다 세대교체됬나보네,True,1,2025-05-01T13:15:57+0900,858336498653593966,55,16,6
qjar****,59cS7,내란수괴범ㅡ즉시 구속수사해야,True,1,2025-05-01T13:13:43+0900,858336354906407144,48,25,1
sang****,4Cf2L,구속부터 하자,True,1,2025-05-01T13:15:29+0900,858336468706263210,24,15,0
dhrf****,,,False,1,2025-05-01T13:12:08+0900,858336252347285548,0,0,0
jdh2****,cZfko,얼른 구속시켜라,True,1,2025-05-01T13:17:34+0900,858336602554892500,8,4,0
big1****,c3oZS,진짜 직권남용에 내란 주범은 더불어중공당임,True,1,2025-05-01T14:31:55+0900,858341392819159370,4,0,0
pjm8****,38eJY,헌재에서 내란죄를 슬그머니빼더니  국회가 직권남용이다 진짜 반국가세력들이 판을치네..,True,1,2025-05-01T13:30:40+0900,858337446398525676,4,1,0
band****,aLKcS,구속수사해라,True,1,2025-05-01T13:20:42+0900,858336803797598421,4,1,0
sjhl****,acqtW,검찰마저 좌파의 빨간색으로 물들여지는걸까. 정작 잡혀가서 벌을 받아야하는게 더불어민주당인데. 이대로 가다간 우리나라 진짜 공산당 된다. 애초부터 죄를 짓고있는건 더불어 민주당인데. 생사람 죽일듯이 잡지 말고 얼른 민주당 구속해라.,True,1,2025-05-01T15:35:39+0900,858345498489127305,3,0,0
nove****,cdojB,적당히해라 이것들아,True,1,2025-05-01T14:11:40+0900,858340088273174740,3,0,0
ndys****,707dk,윤어게인이다 이것들아,True,1,2025-05-01T13:17:00+0900,858336565863120898,3,0,1
phd5****,NSib,죄지은게 있으면 벌받아야되는건 세상이치다,True,1,2025-05-01T14:26:22+0900,858341034390716561,2,0,0
whim****,HPWe,이재명과 문재앙 일가는 언제까지 봐주노?,True,1,2025-05-01T14:25:13+0900,858340961074282576,2,0,1
bill****,1h41h,사기탄핵 부정선거 사기대선 오직 YOON AGAIN,True,1,2025-05-01T14:11:39+0900,858340087165878478,2,0,0
acts****,bq4KJ,리쬐명 구속수사해라,True,1,2025-05-01T13:20:44+0900,858336806700056787,7,6,1
thah****,2y0ku,석열이는 이제부터 사는게 지옥일테지.  그렇다고 미리죽지는마라.,True,1,2025-05-01T13:11:57+0900,858336241106551138,3,2,0
pors****,vAwt,내란혐의로 안될것 같으니까 있는거 없는거 다 갖다 붙이는구나..ㅋㅋ 바람 불기도 전에 눕는 검찰..ㅋㅋ,True,1,2025-05-01T14:19:44+0900,858340607226020098,2,1,0
quee****,3UVML,검찰 화나네 아주 더러운것들,True,1,2025-05-01T14:05:10+0900,858339668641448010,2,1,0
udoo****,6vxRU,대선토론때 마누라에 대해 거짓말한거 선거법위반 허위사실공표도 추가해라. 그래놓고 쟤는3년이나 대통해먹고 나라를 거덜 냈다. 쟤는 월급이며 전부 다 토해내고 깜빵보내야한다.,True,1,2025-05-01T15:59:19+0900,858347023236071586,1,0,0
xotl****,2bzFcE,"요즘검찰은 리죄명이 혼을받아 
검찰이아니라 보위부다",True,1,2025-05-01T14:55:21+0900,858342902181396635,1,0,0
lms4****,2EdDT,검찰 태세 전환 빠르네. ㅡㅡㅡ,True,1,2025-05-01T14:53:01+0900,858342751823986699,1,0,0
oksu****,7P5bF,이유가몬데🤬🤬🥶🤬🤬😓😓😓내란은 ㄱㆍㄷ유권한인데 ㅡㅡㅡ개딱검아,True,1,2025-05-01T14:33:01+0900,858341463602233352,1,0,0
hoja****,,,False,1,2025-05-01T14:11:22+0900,858340068157292676,0,0,0
ipon****,,,False,1,2025-05-01T14:03:15+0900,858339545865781331,0,0,0
kesa****,2uDgt,아주 나라가  개판이네,True,1,2025-05-01T13:34:27+0900,858337689970147513,1,1,1
okok****,4beqG,윤석열 선거법 위반 이다 하루빨리 기소해라!!,True,1,2025-05-01T16:00:17+0900,858347085412434080,0,0,0
tere****,,,False,1,2025-05-01T15:02:56+0900,858343390700372382,0,0,0
juny****,2bYaL,아주썩었다 회복이안된다 법은사라졌다 법치주의실종 법나부랭이들 전부 탄핵시켜라,True,1,2025-05-01T14:47:20+0900,858342385376034920,0,0,0
jwle****,2d1lTF,내란죄야 횡령이고 배임이고 위헌이고..... 직권남용따위가 아니고,True,1,2025-05-01T14:43:42+0900,858342151736525095,0,0,1
c7sm****,5rdLo,검찰 이제 똑바로 해라. 어쩧게 윤씨를 그렇게까지 판사까지 포함해서 특혜를 주나. 죄 지은만큼 벌 받는 게 당연..이제 정치검찰하는 필요없다.,True,1,2025-05-01T14:41:58+0900,858342040285479298,0,0,0
d6d7****,2xkwv,간첩법 반대하는 이유가 뭔지 알려줘?? ㅋㅋ박정희 그리고 군부시절..본인의 정책에 반대하는 사람들 간첩으로 증거 만들어서 여럿 죽였지...그거 통과되면 야당이고 여당이고..맘에 안드는 섹히들 간첩 프레임 씌워서 죽이는거 일도 아님 ㅋㅋ 이재명이 대통령 되어서 솔직히 맘 먹고 다 간첩으로 만들어서 당 해체 시킬수도 있는건데..악용 사례가 있기 때문에 국힘 쪽에서도 반대가 많은거임..국힘에서도 의견 갈리니까 어쩔수 없는거 아님? ㅋ헌법을 수호하고 자유민주주의를 지켜야 할 대통령이 본인 살자고 휴전국가에서 계엄을 ㅉㅉㅉ전쟁하자는거지.,True,1,2025-05-01T14:32:20+0900,858341419041947786,0,0,0
leeg****,2PpmM,"건히 하고석렬이는 송장으로나 세상구경할거다
개누리 덕흠 영세 성동나베 문수 🐕  쓰레기들 개누리 쓸만한게 하나도 없어 분리수거도 불가능하다",True,1,2025-05-01T14:29:44+0900,858341251840213272,0,0,0
baby****,20nhp,이제 검찰도 좌빨이에요? 어휴... 사이비에 쇄뇌되는 정신상태라 세상이 다 거짓같은가봐요ㅋㅋㅋ 전광후이는 예수!!!  윤거니는 아버지!!!,True,1,2025-05-01T14:26:23+0900,858341036135547036,0,0,0
