user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
omup****,,,False,1,2024-11-03T20:16:15+0900,841757514436444223,0,0,1
tip1****,1oTwP,남양주 인구수가 15명인가보네.,True,1,2024-11-03T20:31:31+0900,841758498353053845,40,14,3
jeto****,3Jqqq,깨어있는 남양주의 시민 여러분을 응원합니다!,True,1,2024-11-03T20:19:23+0900,841757715981140067,37,25,0
kyoj****,,,False,1,2024-11-03T20:14:14+0900,841757384262025289,0,0,2
hans****,4tY6h,남양주 골수 좌파민주당지지자 이삼십넘이네,True,1,2024-11-03T21:10:49+0900,841761030219497758,10,6,1
jms9****,43hy7,진짜 유튜브보면 대한민국이 친중매국노 소굴이라고 햇을때 그냥 그러려니 햇는데 진짜 친중매국노소굴이네 그냥.,True,1,2024-11-03T21:52:46+0900,841763732039139575,5,1,0
his0****,1dNfE,우리집 개가 해도 윤가보단 잘 하겠다.,True,1,2024-11-04T06:16:41+0900,841796196874846259,4,0,0
self****,,,False,1,2024-11-04T06:04:43+0900,841795425944993848,0,0,1
tusu****,2NSGH,촛불행동 공동대표가 뭐냐? 촛불공장 공장장이냐?,True,1,2024-11-04T05:45:05+0900,841794161026793479,4,0,0
gycc****,2emst,정치를 대통령 혼자 하나 모두가 힘을 모아 나아가도 못자랄판에 탄핵 대한민국  국민들이여 나만 보지말고 옆에  이웃도 살피고 자제좀하자,True,1,2024-11-03T21:25:24+0900,841761969173168239,4,0,1
dosu****,,,False,1,2024-11-04T07:03:27+0900,841799210331275338,0,0,1
tmxl****,2mdyp,할일 드럽게 없는 인간들 모여있네. 해로운 짓거리 하지말고 늬들끼리 북한강 보이는 카페라도 가서 빵이나 사먹어라.,True,1,2024-11-04T08:02:25+0900,841803009313734740,3,0,0
sagu****,6xOwM,촛불 행동집회는 중앙에서 주관하지 말고 지역구별로 합시다!남양주시 홧팅!,True,1,2024-11-04T07:40:16+0900,841801582226964529,3,0,0
son7****,,,False,1,2024-11-03T20:38:28+0900,841758945532969094,0,0,1
idhk****,2MRFi,데모꾼들을 시민으로 둔갑시켜주는 오마이의 광기,True,1,2024-11-03T22:08:28+0900,841764744040808579,9,7,0
barc****,5a6KK,"경기도에 전라도사람들거주가 50% 넘는다더라 전라

도가 이재명과 가짜민주당 이라보면 된다",True,1,2024-11-04T00:42:07+0900,841774642329813013,3,1,0
godt****,2WRKN,제 정신이면 이재명을 탄핵해라,True,1,2024-11-04T00:28:03+0900,841773735974273040,3,1,0
jae9****,,,False,1,2024-11-03T21:01:43+0900,841760443956461788,0,0,0
skb3****,4PED3,미쳐가는  윤거니를  타도하자. 타도하자. 타도하자,True,1,2024-11-04T07:55:22+0900,841802554802176089,2,0,0
eung****,2IEOR,국민들은 고달프고 힘든데 ...또 탄핵. 타령이나 하고...그래서 정치가 제대로. 발전되었냐고? 문때 부터 더 후퇴되었다....여야 인물이. 너무 없다,True,1,2024-11-04T00:44:56+0900,841774824698151091,2,0,0
63cz****,cNSoL,"미쳐서  날뛰는구나ᆢ
기자 님ᆢ 시민좀  그만 팔어",True,1,2024-11-03T20:39:41+0900,841759024469770438,2,0,0
jjob****,1w3uN,니들이  탄핵하려는 이유가  윤통보다는  재밍이 감옥가는거 막을려는 의도가 더  커 보인다... 탄핵 해봐라...어찌 되는지  나도  궁금하다..,True,1,2024-11-03T22:24:32+0900,841765779295699095,8,7,0
hyma****,2BXDD,배운게 도둑질이라고 이것들은 탠핵 아니면 정권을 못잡지. 난 민주당 것들만 보면 걷어차버리고 싶다.,True,1,2024-11-04T03:18:11+0900,841784697385123848,6,5,0
neto****,464ep,"똑같은 잣대로 이재명 제명 발의안을 국회의원들에게 요구한다면 장치 편향적인 시민단체라는 소리는 듣지 않을텐데,",True,1,2024-11-03T22:54:00+0900,841767677134372866,6,5,0
carr****,1E3Gu,ㅋㅋㅋ 남양주  시민들이 퍽도 니네선동질 당하겠네 저것들 민주당 딴따라들아니냐? ㅋㅋㅋㅋ,True,1,2024-11-03T21:04:08+0900,841760599196041259,6,5,0
kyun****,2xPV2,남양주  시민으로 부끄럽다. 이런. 쓰레기. 국개의원들과  이런 시민단체  에이. 쓰레기 들,True,1,2024-11-03T23:55:05+0900,841771612448489495,5,4,0
soma****,,,False,1,2024-11-04T01:17:25+0900,841776917337079886,0,0,0
sunm****,27IvA,민주당이 바보가 아닌 담에야 하겠니? 탄핵 소추 해봤자 헌법재판소에서 인용을 안해줄거고 그거 인용 안되는 순간 다시는 탄핵에 탄 짜도 못 꺼낼텐데...탄핵 인용 될거 같았으면 민주당이 벌써 탄핵소추 했지..,True,1,2024-11-03T23:33:15+0900,841770206316462146,1,0,0
pcyc****,6fKOQ,너네  고향이  궁금다.   건희는  궁금한것이없고  너네  신분이  더궁금해,True,1,2024-11-03T21:49:06+0900,841763496017264673,1,0,1
mryd****,,,False,1,2024-11-03T21:04:55+0900,841760649678684459,0,0,0
kyk4****,,,False,1,2024-11-04T04:05:02+0900,841787715706945538,0,0,0
donb****,etMeR,미국도 트럼프 지지자들 폭동이 일어날까봐 주방위군을 투입준비 했답니다 야당이 두번이나 내란을 선동하고 있는데 우리도 적절한 조치를 취하심이 좋을듯 합니다,True,1,2024-11-04T00:35:04+0900,841774188573229078,2,2,0
hiau****,skY6,내란선동죄로 사살해야,True,1,2024-11-04T07:40:25+0900,841801591269883993,1,1,0
lc******,,,False,1,2024-11-07T19:44:14+0900,842126536818557013,0,0,0
kdic****,2QBg4,"가짜테블릿pc와 청와대굿판설,정유라혼외자설,최순실 300조스위스비자금설등 온갖가짜뉴스로 박근혜 자빠뜨리는데 성공한 남로당후예 더듬어민주당과 종북좌파들 ㅎ 한번속지 두번속냐?",True,1,2024-11-05T22:55:59+0900,841953347832381784,0,0,0
juns****,1Lwl8,역시 거지동네답다 ㅎㅎ,True,1,2024-11-04T12:49:35+0900,841821509046501639,0,0,0
jkb1****,,,False,1,2024-11-04T09:49:09+0900,841809885438935105,0,0,0
knkn****,8l9mW,"문재앙이 할때 했어야지~ 나라 팔아먹으려고 원자력 죽이고 공무원 월북 공작하고, USB억 기밀 유출하고~ 선거개입할 때는 머하다가^^ 영부인 걸어서 탄핵한다고? 에이 썩은 넘들~ 어쩌니 저쩌니해도 문재앙 찢죄명보다는 10,000배 낫다^^",True,1,2024-11-04T09:13:48+0900,841807607730536698,0,0,0
msja****,,,False,1,2024-11-04T08:22:01+0900,841804271497248774,0,0,0
yjch****,,,False,1,2024-11-04T08:12:01+0900,841803627721916422,0,0,0
jung****,,,False,1,2024-11-04T08:01:17+0900,841802936282513458,0,0,0
alla****,TgeK,몇명 모여서 남양주 시민???,True,1,2024-11-04T07:30:12+0900,841800933133254693,0,0,0
