user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
wowq****,2fLdA,면상만 봐도 짜증나고 저절로 쌍욕이 나올 정도면 탄핵사유 충분함,True,1,2024-11-05T07:43:36+0900,841894567883047023,95,3,1
okkw****,,,False,1,2024-11-05T07:59:03+0900,841895563090722835,0,0,0
nhjj****,2hd8K,대통령도  국민이 뽑는 것 처럼 저렇게 나라 살림 박살내고 자기 마음대로 자기만을 위해서 운영하면 박탈 할수 있게 하는 법을  개정 해야지 무슨 법이 이러냐 대통령이 뭐 되?하님한,True,1,2024-11-05T08:03:07+0900,841895825352163359,35,0,2
hche****,2pr7G,요건은 이미 차고 넘친다. 헌재가 양심적으로 판단하느냐는 다른 문제.,True,1,2024-11-05T07:48:15+0900,841894867306020901,24,2,2
pkch****,fEGd,법을  안지키는것도  탄핵  사유,True,1,2024-11-05T07:31:16+0900,841893773616087098,11,0,0
matr****,dqVaP,탄핵 조건은 이미 차고 넘쳐,True,1,2024-11-05T08:50:49+0900,841898897830838522,4,0,0
jaeh****,2uvFL,"윤돼지 욕하지 마세요. 이미 충분히 검증된 쓰레기였는데. 정신 나간 개, 돼지들이 다 뽑아줬어요. 그 벌로 우린 지금 이 후진국에 살고 있고요.",True,1,2024-11-05T07:57:21+0900,841895453401284686,4,1,0
bha1****,,,False,1,2024-11-05T09:40:39+0900,841902108620882160,0,0,0
guns****,1NYYs,하루빨리 빵에 쳐넣어라...,True,1,2024-11-05T09:08:29+0900,841900036265607333,3,0,0
no23****,19NOA,박근혜탄핵 보다 10배도 넘는다...,True,1,2024-11-05T08:41:02+0900,841898268349693970,3,0,0
xbox****,1Ruqy,탄핵 좀 쉽게 하자 !!,True,1,2024-11-05T09:01:15+0900,841899570865635406,2,0,0
hiru****,1XazC,대똥년당선자는 당선확정시 부터 대통령에 준하는 경호와 예산을 쓰며 그 위엄과 권력은 사라지는 권력인 현직 대통령보다 훨씬 크다. 현직이 아니라서 죄가 없다는 말에 토리가 웃고있다,True,1,2024-11-05T08:26:18+0900,841897319178698850,2,0,0
ginc****,cs0Zs,머니머니 따질것 없이 공천개입이죠. 공관위가 왜 보고하고 지시받습니까. 이 💩 은 치워버려야 국민위생과 건강을 되찾습니다.,True,1,2024-11-05T14:09:14+0900,841919411735494748,2,1,0
sinh****,5HbJ4,최악의 정권,True,1,2024-11-05T10:44:21+0900,841906212512465047,1,0,0
say4****,4bad1,"눈에는 눈 이에는 이, 윤짜장 검사시절 하던데로 똑같이 해야지! 박근혜를 윤짜장이 하야시켰으니 순실이 옆방으로 가라",True,1,2024-11-05T08:36:55+0900,841898002799919349,1,0,0
zola****,2xa9n,건희의 국정개입,True,1,2024-11-05T07:31:57+0900,841893817589170364,1,0,0
idrg****,2fOQX,"대통령놀이 그만하고,건희 치마폭에서 나와!!! 
 진짜 대통령 새로 만들자~~",True,1,2024-11-05T08:59:48+0900,841899477047443721,2,2,1
byeo****,7BY3l,대국민 기자회견 한다지..? 또 얼마나 웃긴 언행이 나올지 벌써부터 기대되네 깔깔,True,1,2024-11-05T14:57:33+0900,841922524882141418,1,1,0
char****,1C1y9,국회가 발의만 하면 탄핵 된다.,True,1,2024-11-05T08:58:55+0900,841899420004909340,1,1,1
sjw9****,8h0WR,댓글98%가 뇌가반쪽들인 종북좌파🐦끼들이 눈깔부릅뜨고 댓글 올리네 차라리 북한으로 꺼지거라,True,1,2024-11-05T18:13:58+0900,841935178610770303,0,0,0
sjw9****,8h0WR,前박근혜대통령은 탄핵감은 아니였다고 본다 오로지 종복좌파🐦끼들이똘똘말아 억지로 탄핵했다고 본다,True,1,2024-11-05T18:11:24+0900,841935013959172236,0,0,0
hno2****,3aHxv,빨리 좀 해라,True,1,2024-11-05T12:49:13+0900,841914257506304077,0,0,0
tlse****,waSy,좌파들의 생각임,True,1,2024-11-05T12:12:49+0900,841911911816626517,0,0,0
sehy****,,,False,1,2024-11-05T11:53:41+0900,841910679144235282,0,0,0
cbkh****,eFr8J,안맞는 옷을 입고 있으니 뭐하나 제대로 하는게 없죠,True,1,2024-11-05T09:44:00+0900,841902324929527811,0,0,0
