user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kish****,18Jkp,역시 젊은사람들이 생각이 깨어있구나. 빨리치워야 한국이 산다 윤똥 쥴리 대머리깐조기,True,1,2024-11-15T15:33:27+0900,842852550859292924,42,2,0
km18****,1czJk,대학생들이 있어서 다행이다!!! 탄핵해서 미친정권 절단내자!!!,True,1,2024-11-15T15:43:54+0900,842853223390773705,16,1,0
jkhe****,iMcE,슬프지만...탄핵절차를 밟는다고 해도 개판들 꼴을 보니믿을수가 없다,True,1,2024-11-15T15:42:43+0900,842853147826192722,3,0,0
gusl****,2WzXl,거기도 사악한 찟의 맹신자 개딸모임?,True,1,2024-11-15T22:33:55+0900,842879638546940212,1,0,0
feee****,,,False,1,2024-11-15T22:02:28+0900,842877612882657433,0,0,0
kyhh****,,,False,1,2024-11-15T16:42:37+0900,842857007156297996,0,0,0
ssl3****,zJhY,"박그네 보다 더한데도 왜 탄핵을 안시키냐 
빠른 탄핵으로",True,1,2024-11-15T16:35:26+0900,842856544423903403,1,2,0
sell****,Ehnu,"무도한 역도들과의 싸움이다...

주저할 것도 .. 양심 따질것도 없다.. 

양아치한테는 양아치처럼

깡패한테는 깡패처럼 싸워야 한다.. 

야비하고 잔혹하고 부도독한 더티워를 해라!!!!!",True,1,2024-11-15T16:17:41+0900,842855400486207791,0,1,0
mulr****,2arXM,이렇게 깨있는 젊은이들이 많았으면 좋겠네요~~~,True,1,2024-11-15T16:11:52+0900,842855025834197348,0,1,0
whoa****,1Ujh2,공부해라 벌써부터 정치질하고 나쁜 행동하는 더불어민주당들 따라하면 한자리 준다냐!,True,1,2024-11-15T15:44:44+0900,842853277782507941,1,6,0
jpho****,1Jqpp,김일성ㆍ김정일한테 은혜로운 합방을 부여받은 속칭 김일성 장학금 수혜자들의 DNA가 뚜렷하게 나타나는 현실이 거시기 하다~,True,1,2024-11-15T15:35:24+0900,842852675866329266,0,6,0
kyho****,1BR0s,얘들아 ~ 범죄명 별 다섯개에 대해선 어떻게 생각해?,True,1,2024-11-15T15:59:49+0900,842854249015542127,1,9,0
a222****,2Pue6,얘들아 공부해라 죽도록 공부해도 취직안되는데 그렇케 해가지고,True,1,2024-11-15T14:36:23+0900,842848874484727984,3,20,1
chri****,2fTTF,소속 대학도 밝혀라. 수준 좀 보자.,True,1,2024-11-15T15:45:04+0900,842853298821136423,2,19,0
