user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hoye****,3jkLb,간첩 한 마리 잡히지 않았나?,True,1,2024-11-19T15:04:08+0900,843221746818482241,21,2,1
sjn6****,,,False,1,2024-11-19T15:09:09+0900,843222070534864960,0,0,2
gorn****,107V0,"지금 이재명 유죄 확정되니까 북한에서 지령날리는거임 ㅡㅡ 한국사회 어지럽게 만들라고, 민노총은 뿌리까지 없애버려야할 간첩 단체다",True,1,2024-11-19T15:41:25+0900,843224149181595816,11,2,1
jing****,,,False,1,2024-11-19T15:15:07+0900,843222454917660708,0,0,0
2000****,aHVW,때려잡자. 출몰한 멧돼지,True,1,2024-11-19T15:09:30+0900,843222093184106698,4,0,0
sdk2****,3wGGq,민주노총은 노동자를 위해서 대변하는 역할을 해야 하는데 정권퇴진에 나선다 국민이 공감하나 인간 쓰레기  민주당하고 작당을 부리면서 진행하나,True,1,2024-11-19T16:18:08+0900,843226515003932722,3,0,0
080b****,2F1Yf,한국의 종북 주사파 자빨 노조는 모조리 척살해야 한다,True,1,2024-11-19T16:40:02+0900,843227925665808404,2,0,0
2053****,Dyq2,노동조합의 정치참여를 막아야한다.                     .                     . 노동조합은 본래의 목적인 노동운동에 점념하고 그것도 정도를 지나지지 않게 법의 테두리안에서 정당하게  해야한다.                     . 노동법도 개정해서 노동조합의 경영권에 대한 도전을 막아야한다.,True,1,2024-11-19T16:31:46+0900,843227392905314594,2,0,0
sdk2****,3wGGq,종전 민주노총은 노동자를 급박하고 사업주를 위협해서 돈을 벌어대는 인간 쓰레기들 아이가 그리고 전부 깡패로 구성이 되어 있다고 하는데 맞제 저런 인간 쓰레기는 M16 소총으로 전부 직이야 된다 우리 대한민국에는 필요없는 인간들이다,True,1,2024-11-19T16:19:44+0900,843226617529499917,2,0,0
hssu****,2nVuR,적극 지지합니다 저도 동참합니다,True,1,2024-11-19T15:06:01+0900,843221868839174155,10,9,0
ecow****,,,False,1,2024-11-19T15:38:28+0900,843223959280287932,0,0,0
chol****,elTQs,간첩좀잡아가라!!,True,1,2024-11-20T15:57:47+0900,843317974654779682,1,0,0
bozo****,TQhL,민노청 지지 처음,True,1,2024-11-19T16:57:55+0900,843229077706899793,1,0,0
psc7****,3jZZk,"국민이 선출한 대통령 자기마음데로
해임하나 교수들 능력안되고 수준낮은교육계종사자가 먼저 사표써세요",True,1,2024-11-19T16:29:39+0900,843227256808538347,1,0,0
aind****,6lFbP,윤통 만큼만해라..소대가리때는 가만있다가,True,1,2024-11-19T16:21:09+0900,843226708411678783,1,0,0
bmch****,2jJ8n,민노총 해체광장은 민주당사로 합시다 ᆢ,True,1,2024-11-19T15:55:56+0900,843225084377170336,1,0,0
rndw****,1dGeD,노조는 없어져야한다,True,1,2024-11-19T15:39:57+0900,843224054256107871,1,0,0
byun****,5I4MW,구속하세요.,True,1,2024-11-19T15:39:10+0900,843224003656024132,1,0,0
olle****,3WwQh,"교수, 노동자, 학생, 일반 시민, 온 국민이 힘을 합쳐 윤두창을 끌어내려야 합니다!!",True,1,2024-11-19T15:28:40+0900,843223327601328394,1,0,0
teag****,2bhZh,화이팅 입니다.,True,1,2024-11-19T15:22:20+0900,843222919948533901,1,0,0
gusw****,3e9oE,빨1갱이,True,1,2024-11-19T15:10:02+0900,843222127443181584,1,0,0
4068****,,,False,1,2024-11-19T15:23:16+0900,843222979692200031,0,0,0
kaig****,,,False,1,2024-11-19T14:59:55+0900,843221475161801073,0,0,0
lcdk****,2Ums1,횃불들때가 돼 가는군....,True,1,2024-11-19T16:11:16+0900,843226071749886054,1,1,0
blro****,,,False,1,2024-11-19T15:08:26+0900,843222024145862849,0,0,2
gjg0****,,,False,1,2024-11-21T01:00:44+0900,843352954026066028,0,0,0
imma****,15v77,양경수 이인간부터 틸핵해야~~민노총은  나라망치는 집단으로 전락하고 있다,True,1,2024-11-20T21:19:15+0900,843338684869640265,0,0,0
terr****,23BRS,진짜 더러운 놈들. 대한민국에서 박멸해야되는 존재들임. 민노총 전교조,True,1,2024-11-20T06:57:45+0900,843283183842623576,0,0,0
gpji****,2q9KR,원숭이 엉덩이는 빨개,True,1,2024-11-19T16:54:11+0900,843228836651860037,0,0,0
mark****,2bWBBq,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 애쓰세요.. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어우.. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 길거리에 나서는 순간 망상과 폭력만이 난무하는 니들을 보며.. 과연 국민들은 무슨 생각을 할거같은데?  ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 경제 사회 전 분야를 박살내려는 범죄자 전과자 수호 집단으로 보일뿐이고, 니들 같은 것들이 없어져야 경쟁 사회가 산다, 대한민국이 산다는 생각이 더 굳어지겠지? 경제, 증사, 환율 봐라.. 트럼프 불확실성도 짜증나는데.. 고작 범죄자 전과자들때문에? ㅋㅋㅋㅋㅋㅋㅋ 어우.. ㅋㅋㅋㅋㅋㅋㅋㅋ",True,1,2024-11-19T16:33:36+0900,843227510463267049,0,0,0
sdk2****,3wGGq,민주노총은 깡패노총 아이가 임마들 시위하면 전부 죽여라  민주노총 이제 할일이 없는갑지 너거들이 왜 정치판에 끼여들어 저놈의 인간 할일 어지간히 없는갑다 인간 쓰레기,True,1,2024-11-19T16:16:49+0900,843226429456908627,0,0,0
tjse****,,,False,1,2024-11-19T16:14:01+0900,843226249370271751,0,0,0
vero****,4XzyK,누구 맘대로?,True,1,2024-11-19T16:06:23+0900,843225757328081056,0,0,0
qray****,3zpKI,빨갱이들은 척살해야 한다,True,1,2024-11-19T15:53:18+0900,843224914608521350,0,0,0
blue****,39bYT,"다 좋은데 기사를 첨보는 양경수 사진으로 도배한 이유가 뭔가
정치하려고 하나? 오마이뉴스도 이제 한물 간 것 같습니다",True,1,2024-11-19T15:41:05+0900,843224127304106019,0,0,0
qkek****,56b2t,적극적으로 동참ㆍ지지합니다  파이팅입니다.,True,1,2024-11-19T15:38:02+0900,843223931245559821,0,0,0
kim1****,bWRTd,"그리해서  얻어지는것이  무엇이있는지  정권퇴진을  하면  하루아침에되나여    괜한  헛고생하지말고  날씨도

추운대 집에 있어요",True,1,2024-11-19T15:32:14+0900,843223557113643108,0,0,0
olle****,,,False,1,2024-11-19T15:27:35+0900,843223257858441459,0,0,0
rhu9****,,,False,1,2024-11-19T15:25:45+0900,843223139713286414,0,0,0
kpur****,fl5a,"OOO같은 노조들 니들이 지랄해도
기차는 간다 ㅋ",True,1,2024-11-19T15:19:01+0900,843222706190024716,0,0,0
mill****,3KGnZ,민주노총 간부인데... 진짜 노동은 하고 사냐?? 노동자가 노동을 안하면서 무슨 노동자를 대표를 한다고 꼴깞을 떠냐? 그냥 데모꾼이 직업이니까 수시로 데모하고 도로 막히게 하고 염병 떠는거잖어!?,True,1,2024-11-19T15:14:39+0900,843222424886444292,0,0,0
koo2****,1qQjx,이석기 후배 기가 찬다,True,1,2024-11-19T15:10:58+0900,843222187623055751,0,0,0
luna****,1bXyx,그러게 해병대는 뭐하나? 궁금하네?,True,1,2024-11-19T15:10:25+0900,843222152139243704,0,0,0
luna****,,,False,1,2024-11-19T15:09:22+0900,843222084057301146,0,0,0
sunw****,,,False,1,2024-11-19T15:07:11+0900,843221943799775314,0,0,0
rwon****,3wV3j,윤석열도 싫지만 간첩단 소굴 민노총은 좀 아닥을...,True,1,2024-11-19T15:05:57+0900,843221864007336316,0,0,0
zoo3****,,,False,1,2024-11-19T15:03:20+0900,843221696100958370,0,0,0
now0****,22EI3,윤석열해고할때까지 화이팅,True,1,2024-11-19T17:12:27+0900,843230014378868913,0,1,0
pmh8****,3uAua,극우 단체로 댓글 알바 왔나 지령 내렸나봐 도배질을 하고 있네 급하긴 급한가보네,True,1,2024-11-19T16:56:42+0900,843228999122420002,0,1,0
leor****,qlwQ,오마이 정치질 사방 천지가 죄다 정치질.,True,1,2024-11-19T16:13:05+0900,843226188888408094,0,1,0
ston****,1IJbL,사회 혼란의 주범,True,1,2024-11-19T15:33:25+0900,843223634087510192,0,1,0
teag****,2bhZh,오마이에 2찍들이 설치는거보니 알바투입?,True,1,2024-11-19T15:26:50+0900,843223209271624000,0,1,1
