user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kim2****,2cxk9o,경북에서 사는 이대남인데 윤두창 퇴진 지지합니다.,True,1,2024-11-26T16:53:41+0900,843878203511537964,7,0,0
wook****,,,False,1,2024-11-26T20:55:16+0900,843893768254914657,0,0,0
limc****,135vv,검찰의 지검장 이상 직위로 퇴임시 1년간 변호사 등록을 막는 법을 만들어야 한다.,True,1,2024-11-26T17:28:40+0900,843880457194963219,3,0,0
omj5****,3tb2L,좝빨들이 대구에서도 준동했다고? 이게 무슨 김일성 방구 뀌는 소리야?,True,1,2024-11-26T19:24:28+0900,843887917486047398,1,0,0
ycm3****,1Axxf,맞습니다. 윤완용과 김버린을 끌어 내려서 그들에 부역한 것들과 함께 무기징역형을 내리는 것으로부터 한국이 나아갈 수 있을 것입니다.,True,1,2024-11-27T15:15:58+0900,843964679893025222,0,0,0
kmsc****,3OgDK,경북 김천 시민이다. 내려와라.,True,1,2024-11-26T17:40:07+0900,843881194889150516,0,0,0
tjdd****,PW5p,진보심장속 지식인들도 문재인 멈춰라했는데 그냥 폭주하드라 ㅋㅋㅋㅋㅋ 오마이는 그건 모르지? ㅋㅋㅋ 맨날 보고싶은것만 보니까 ㅋㅋㅋㅋ 이런것도 언론이라고 ㅋㅋㅋㅋㅋ,True,1,2024-11-26T17:15:17+0900,843879595550703748,1,3,0
dydd****,,,False,1,2024-11-26T17:43:13+0900,843881394940674128,0,0,0
hakc****,4wPjt,"시국 선언 백 날 하면 뭐하고
 백 명이 하면 뭐하나?
 오늘도 진보 스피커들과 민주당 극성
 지지자들은 과일 장사나 하고 있고
 촛불에 대해 대다수 시민들이 무관심인데",True,1,2024-11-26T16:48:01+0900,843877838892302342,0,4,1
seg2****,1Fn0E,"보수 같은 소리하고 있네 진즹 보수면 
그 시간에 전과4범 구속시키라고 시국선언 하는게 맞는것  아닌가?",True,1,2024-11-26T19:16:54+0900,843887430376358191,1,6,1
