user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sysg****,BKfZ,응원합니다,True,1,2025-05-23T12:17:51+0900,860373723629224316,11,5,0
shir****,,,False,1,2025-05-23T12:43:52+0900,860375399639548258,0,0,0
coiv****,2Jcwe,범죄짓고 추행당 찾아가면 되는구나..아.. 이러니 법도 몰.고 사회악으로 가지..,True,1,2025-05-23T13:01:11+0900,860376515626401877,6,3,0
ilba****,3hrl9,기물을 파괴했으면 배상하고 책읨을 져야 마땅합니다. 그리고 변태를 강요해서는 안됩니다. 많은 사람이 생각이 다릅니다. 자연의 순리를 거스리는 자는 망합니다. 역천자 망 순천자 흥.,True,1,2025-05-23T14:11:49+0900,860381065607381354,3,1,0
kkhk****,vlLZ,솔님을 응원합니다 힘내세요,True,1,2025-05-23T12:45:05+0900,860375478224027685,2,1,0
zvnm****,5tFWT,배때지 벅벅 긁다 쳐 자고 다음날 뉴스보고 알았을 것 같은데 ㅋㅋㅋㅋ,True,1,2025-05-23T13:31:25+0900,860378463494734031,1,1,0
coal****,bUOPt,동덕여대 폭력사건의 범인들이구나 ㅎㅎ,True,1,2025-05-24T16:27:52+0900,860482601738043601,0,0,0
garg****,5DPVO,"다른 것은 나름 이해가 가고 일리 있는 말도 있지만, ""계엄의 칼끝이 자신을 향하리라는 감각이 강렬했다. 그것은 실체가 뚜렷한 공포였다."" 이건 좀..... 병 아니냐? ㅋㅋㅋㅋㅋ 계엄 때 나도 이게 뭔 일인가 싶어서 좀 황당하고 어이 없긴 했는데, 무서울 건 또 뭐야 ㅋㅋㅋㅋ",True,1,2025-05-24T11:14:09+0900,860462391048011836,0,0,0
syj0****,,,False,1,2025-05-24T07:40:46+0900,860448643914662016,0,0,0
raci****,1Vdi0,동덕여대 총학 락카칠 시위가 민주주의냐 ㅋㅋㅋㅋㅋ,True,1,2025-05-23T15:39:47+0900,860386732699287884,0,0,0
coal****,bUOPt,언냐 락카도 들고 가시지 ㅠㅠ한국여자의 힘을 동덕 락카로 보여주자노!!!~,True,1,2025-05-23T15:31:30+0900,860386200039457001,0,0,0
aper****,dou4M,"동덕여대는 사학비리 조사해야하는 거 아닌가? 횡령으로 사퇴한 사람이 다시 돌아왔고, 돌아온 후에도 운영부실로 학내 안전사고가 유발되어 학생이 죽는 등 학생들과의 신뢰도가 바닥난 상태에서, 불난집에 기름붓듯이 학생들과의 충분한 대화나 설득의 과정 없이 공학전환까지 밀어붙여 시위가 일어나고 결국 남녀갈등으로 번졌다고 보는데... 공학전환으로 인한 시위에만 중점을 둘게 아니라 갈등의 골이 깊어지게 된 상황을 되짚어가야할듯",True,1,2025-05-23T13:16:41+0900,860377514206298469,0,0,0
modi****,4tGUE,사회암덩어리들 사형 시급,True,1,2025-05-23T12:46:21+0900,860375559861960869,0,0,0
hepa****,2b7ck,게릴라 집단이네,True,1,2025-05-23T12:15:15+0900,860373556259717235,0,2,2
mkko****,1rs5p,여자들은 남자들 보다 거짓인지 아닌지를 더 정확히 파악한다 . . .대한민국의 깨어있는 여자들이 아니었음 이나라 어찌될지 몰랐다.,True,1,2025-05-23T16:05:21+0900,860388380171567230,0,4,0
