user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
celp****,2bw1Nn,아무리 경상도 인간이라지만 대한민국 국민이라면 전광훈이한테 머리 조아리든 김문수를 뽑는건 미친거지,True,1,2025-05-30T14:53:20+0900,861033140074840203,15,0,0
mjra****,1A9kJ,기사만 보고있으면 이번대선에 정해진 시기에 정상적으로 치뤄지는 대선같지만 내란으로 파면된 대통령으로 인한 대선임을 잊어서는 안된다 울산시민들중 내란세력옹호자가 60프로를 넘긴다면 울산도 그자체로 내란동조자가 되는것이다 그것이 아니라면 울산 시민들은 표로  보여주길 바란다,True,1,2025-05-30T14:50:01+0900,861032926047895559,11,0,2
came****,sdhA,"울산이 저리도 상황 파악을 못하는 도시였냐 진영을 떠나서 내란수괴과 한몸인
당을 어찌 아이들에게 부끄러움을 물려주지말자 노인들아",True,1,2025-05-30T14:41:49+0900,861032397934690737,11,1,1
hsk0****,,,False,1,2025-05-30T13:59:39+0900,861029680680010037,0,0,2
mig3****,4jIEL,부울경부터 뒤집힌다 이제부터 국짐은 망해갈거다 다음선거도 마찬가지로 갈수록 국짐은 지지를 잃을거다,True,1,2025-05-30T14:16:25+0900,861030761568927911,9,0,0
ngw2****,1tFQh,아씨 바뻐죽겠는데 모르는번호 받았더니 김문수 녹음 틀어놓고 지뽑아달라하네 내가 미쳤냐?내란구라당을 찍게 내전화번호는 어찌안겨!,True,1,2025-05-30T14:58:24+0900,861033466525909189,8,0,1
hihi****,4eUlh,울산 국민들 이번엔 내란종식이 답입니다,True,1,2025-05-30T15:20:37+0900,861034897270112537,6,0,0
ring****,2dOed,"울산시민분들 , 계엄사태를 기억하세요 !!! 윤돼지가 잘못했을때 국짐은 바로 시정해야 되는거 아닙니까? 덩달아 잘못없다고 머리곳곳하게 들고 집단행동을 한 이들을 기억하고 눈감고 걍 국짐찍는 행위는 말아주시면 감사하겠습니다 …",True,1,2025-05-30T15:06:13+0900,861033969976606821,6,0,0
ohj6****,,,False,1,2025-05-30T14:24:15+0900,861031266194030721,0,0,0
mscf****,vjrG,"울산 시민입니다
지금은 이재명! 사전투표 완료!!
울산시민여러분 지금은 이재명입니다 투표합시다!!!",True,1,2025-05-30T15:41:02+0900,861036212821950496,7,2,0
psjl****,eoK8f,경상도도 이번엔..대세 이재명 시원하게 밀어주고..예산.공약.제대로 받아내자,True,1,2025-05-30T14:28:46+0900,861031557480055180,6,1,0
fzk3****,3g0h0,뭘 물어 거긴 국짐이지 지들끼리 불내고 좌파탓 경상도인끼리 모여 계엄한것도 좌파탓 나라가 망해도 국짐이라는데 뭘 알아봐,True,1,2025-05-30T15:31:49+0900,861035618791063884,4,0,0
y221****,bOlfB,전광훈 목사님  앞에서 굽실거리던 때가  몇달전인데  어쩌다 내란  공범들  대통령 후보가 되었나요.  언제까지 또 내란을 꿈꾸며 김문수를  빨아될려나,True,1,2025-05-30T15:23:45+0900,861035098781253961,4,0,0
sams****,1RoGa,나라 팔아묵이도 우린 새누리라예..이런 미친 소리 하지마시고 제발 정신차려서 내란세력 청소좀 하십시다! 특히 부울경은 독재와 싸웠던 민주화의 본고장이 아닌가!,True,1,2025-05-30T15:03:42+0900,861033808009363792,4,0,0
himo****,1T2Vk,"이 꼬라지인데도 국짐을 선택하다니.
얼마나 더 짐을 지고 싶은 거냐",True,1,2025-05-30T14:57:26+0900,861033404030779605,4,0,0
anti****,53ly4,울산에 친일파  많다. 저기도 야마리 없는 500만 대구경북 촌것들  동네처럼 토착왜구 국민의힘  욕하면 미쳐서 덤벼든다. 친일파가 제일 듣기 싫어하는  말이 친일파다. 저기서 친일파나고 하면 뿜는다.,True,1,2025-05-30T14:53:32+0900,861033152775192834,4,0,0
y221****,bOlfB,내란힘당아. 내란에 중독된  사이코패스 집단들.  전두환 후예들. 나라의 미래가 암울하다. 그래도 이재명 후보님이 계셔서 다행이지. 이재명 후보님 꼭 당선하여 좋은 나라의 미래를 열어 주세요,True,1,2025-05-30T14:52:54+0900,861033111855563191,4,0,0
chjj****,uFLs,내란당을 60%씩이나 욕심이과하오. 10% 내외면 이해한다.,True,1,2025-05-30T15:31:50+0900,861035620351344993,3,0,0
hihi****,4eUlh,보리밥을 먹어도 계엄 내란은 절대 안되는것 울산 국민들도 잘압니다,True,1,2025-05-30T15:22:44+0900,861035034004423004,3,0,0
jme6****,4w3bz,울산에 거주하고 있지만 여기 인간들 마음씨는 탁하고 억센인간들이 즐비하다 특히 노인들 눈빛을 보면 아무생각없어 보이고 욕심만 가득해보이는 윤석열 떨거지들이 대부분 인심도 최악이고 수준떨어지는 노동자들이 즐비한 공업도시 살곳이못되는 천박한도시 울산~~~,True,1,2025-05-30T15:17:39+0900,861034706697715986,3,0,0
arom****,1qlGC,내란세력을 또 뽑으면 인간들이 아니다 정신들 차려,True,1,2025-05-30T14:28:07+0900,861031515486683195,3,0,1
lkh7****,2qoSC,울산시민을 호구로 보는 것이냐,True,1,2025-05-31T13:10:36+0900,861119292689612981,2,0,0
qamk****,1UmR3,"제대로 된 상식의 새세상을 만듭시다..
  신라의 후예들이여!!!!제발 좀..",True,1,2025-05-30T15:40:57+0900,861036206933148085,2,0,0
bbb8****,4TfUi,그래도 그곳에 정상적인 사고를 가진 분들이 많이 계시네요 응원합니다.,True,1,2025-05-30T15:04:27+0900,861033855690211550,2,0,0
grin****,1kHMr,부울경은 정말 자각해야 한다. 이번엔 민주와 비민주의 대결이고 내란범을 선거에 나온거다. 내란을 동조해서 김문수를 찍을거냐? 부울경,True,1,2025-05-30T15:01:56+0900,861033693303538131,2,0,0
zz69****,5wI5u,뻔뻔한 국짐,True,1,2025-05-30T14:50:17+0900,861032943278096511,2,0,0
clea****,,,False,1,2025-05-30T15:54:36+0900,861037087149785318,0,0,0
ji27****,2cR98,그동네는 나라를팔아먹어도표주는동네아닌가?,True,1,2025-05-30T15:03:40+0900,861033805878657349,1,0,0
lee7****,2q0T1,"경상도 투표 좀비들~ ""2""짜만 알고 살아도 되니 편안~~하십니꺼?",True,1,2025-05-30T14:39:23+0900,861032241185161391,1,0,0
ssri****,2DcaZ,기대를 말자 그쪽동네는 안바뀐다,True,1,2025-05-30T14:06:15+0900,861030106066321546,1,0,0
naci****,8u6c1,하이고 아재 아잼들이여 고만들 하이소 계엄당을 찍겠다고요?~~참말로 숨 넘어가겠네~~,True,1,2025-05-30T15:41:50+0900,861036264093122930,4,4,0
ilke****,,,False,1,2025-05-30T15:24:56+0900,861035176006779277,0,0,0
jin9****,2wrN9,국짐 50미만이다,True,1,2025-06-02T07:44:46+0900,861283843305373865,0,0,0
cjst****,28Xvv,전라도 사람들은 근데 본인들 지역 소멸하는건 알라나 몰겠네 ㅋㅋ 재정자립도부터 전북 전남 경북 1 2 3위인데 중앙정부가 나눠주는 지방교부세와 국고보조금으로 겨우  운영한다는거임 ㅋ 근데 이 돈이 다 어디서 나오겠냐 타 지역에서 세금 걷은걸로 나오는건데 본인들 동네 ㅈ망하는건 몰겠고 2찍 동네는 변화가 없다니 뭐니 이러는거보면 진짜 뇌가 없는 거 같음 ㅋㅋ,True,1,2025-05-30T15:51:15+0900,861036871310901329,0,0,0
anjd****,17Z7L,울산...계엄좋아하는 틀닭들 소굴이가?,True,1,2025-05-30T15:45:14+0900,861036483505553523,0,0,0
lkw1****,3xhpT,"빨리,,,꼴값떠는 놈, 유인촌 이 놈을 안보고 싶다,,,빨리 내려와라. !",True,1,2025-05-30T15:10:10+0900,861034223648112724,0,0,0
mlmk****,1Pa6V,깨어나라~~!!!경상도여~~!!!!,True,1,2025-05-30T15:05:34+0900,861033927547027687,0,0,0
hwan****,1U8ME,계엄이 좋다는 노예들이 득실득실한 동네,True,1,2025-05-30T15:03:40+0900,861033805543113054,0,0,0
jmch****,1Qvwl,부울경 이쪽 인간들은 우리가 남이가? 하나로 윤쩍벌이 같은 근본도 없는 개 OOO을 대통령 만든 사람들이다.,True,1,2025-05-30T14:56:13+0900,861033325194641514,0,0,0
seng****,4tX7z,북구주민으로서 내란당 불신임이다,True,1,2025-05-30T14:25:34+0900,861031351170629908,0,0,0
ping****,386F8,텃밭인 줄 알고 지역구도 잘 안챙기니 국힘에게 정떨어질 수 밖에,True,1,2025-05-30T14:07:03+0900,861030158092468247,0,0,0
jeon****,39U62,그래도~우리가 남이가~,True,1,2025-05-30T14:06:09+0900,861030099707756618,0,0,0
whgm****,hxLW,울산것들은 뇌가없는거지,True,1,2025-05-30T15:22:09+0900,861034995886587977,0,2,0
nala****,,,False,1,2025-05-30T14:23:48+0900,861031237404328348,0,0,2
