user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hipa****,2XHKz,"이과 끝판왕 천재인 안철수는 최연소 의과대 학장, 카이스트와 서울대 교수, 국내 1위 보안 기업 안랩 창업자, 김대중 이후 유일하게 국내 최대 원내 교섭 단체 만들고 국회에서 김영란법 신해철법 신안염전노예법 세모녀법  이과 끝판왕 천재에 부인도 스팩이 엄청난 김미경 교수, 노벨 의학상 기대되는 코로나 연구 안설희 박사는 뉴욕타임즈에 대서특필된,네이처 제1저자가 된 학자 안철수의 딸,가족리스크가 아니라 가족 프리미엄,  대구 코로나 사태에  국민에 대한 진심을 보여준 바 있다..이죄명이  최대 대항마는 안철수 뿐이다...!!!+++",True,1,2025-04-22T19:08:56+0900,857524297638347060,164,18,10
doul****,,,False,1,2025-04-22T19:14:50+0900,857524677222859036,0,0,1
hct5****,5PqK6,나경원이 나대는꼴 안보니 속이 시원하다,True,1,2025-04-22T19:23:35+0900,857525241306415316,47,0,0
ejki****,3n4U8,이재명이 가장 두려워할 시대정신 안철수로!,True,1,2025-04-22T19:19:25+0900,857524972334088356,36,1,2
lkjh****,b5M3L,한동훈하고 안철수 결승가면 좋겠다,True,1,2025-04-22T19:14:07+0900,857524631907598375,25,0,0
dran****,6IcYm,안철수가 승리한다! 착한사람 잘되는거 좀 보자!!!,True,1,2025-04-22T19:22:01+0900,857525140492124171,13,0,0
jung****,9CWEL,"국힘당은 안철수 아니면 지금 이재명을 이길 후보는 아무도 없다. 왜 안철수냐고? 김문수, 홍준표, 한동훈 세사람 국힘당 나와서 무소속으로 출마하면 지지율이 얼마나 나올것 같나? 국힘당은 무소속 버리고 다른 국힘당 후보를 찍을꺼다. 바람같은 표심이란 뜻이다. 하지만 안철수는 국힘당이 찍어주지 않아도 이미 15% 이상은 나올것이다. 왜 15%냐고? 지지난 대선 지난 대선 안철수는 거대 양당 국힘당과 민주당에 대항해서 그 엄청난 표심을 받았으니까... 양당에서 벗어나 그런 지지율을 가진 사람들 국힘당이 보유하고 있다. 그 복을 차는거지.",True,1,2025-04-22T20:01:30+0900,857527683532193966,12,3,2
inda****,NFvz,파벌세력도 권모술수도 뒷통수 치는 것도 모르고 모든 것을 상식적인 思考에서 정치를 지향하는 안철수 같은 인물이 대한민국을 이끌어 가는 대통령이 한번 했으면 한다.,True,1,2025-04-22T19:52:54+0900,857527130471268657,8,0,0
qckd****,1OwF7,안철 수후보님 축하드립니다!!!,True,1,2025-04-22T19:19:42+0900,857524991158124816,8,0,0
khun****,5M2Oh,나경원이 탈락했다는 건 그나마 제정신을 가진 보수가 아직 남아있다는거다... 국민이 국짐당보다 내란수괴와 먼저 손절을 하는구나.. 윤썩렬에 빌붙어서 간신짓했던 나베의 정치인생은 이것으로 끝났으면 좋겠다..,True,1,2025-04-22T19:39:16+0900,857526251445813349,6,0,0
jang****,bYdjw,"국민의 승리입니다. 안철수는 외롭게 싸우는 바른 정치인을 국민과 당원들의 지지로 4강에 안착, 안철수 안철수 안철수 파이팅",True,1,2025-04-22T19:34:47+0900,857525962357604617,6,0,0
sype****,30sqr,언변은 좀 떨어지지만 말만 번지르르한 사람보다 안철수가 낫다.  이과 대통령ㅇ 필요한 시대이다.,True,1,2025-04-22T20:21:02+0900,857528942477705227,6,1,0
kqqk****,8UoLv,준결승에선 당원표가 50% 들어가는데 과연 찬탄 진영이 전략적 선택을 할지?  찬탄 표가 한동훈과 안철수도 갈려서 반탄 진영인 김문수 홍준표 가 결승에 갈 듯. 그나마 윤석열 앞에서 재롱떨던 국썅 나베년이 떨어져서 국민의힘이 최소한의 체면은 찾은 듯.,True,1,2025-04-22T19:24:56+0900,857525328413720900,6,1,1
brf7****,twwK,안철수는 토론회에서 자기 소개를 영어로 잠깐 하는 걸 보여 줘서 트럼프랑 동문이고 외교에도 강점임을 보여 주면 완전 플러스 될 듯.   평상시 발음 어눌해 보이는 걸 영어  잘 하는 모습 보여 주면 다 눈녹듯 사라 질 듯,True,1,2025-04-22T20:00:34+0900,857527624006631597,5,0,2
punt****,2c4FN8,"이번에 반탄 세력과 친윤후보는 
선거 구도로 보나 시대 정신으로 보나. 
출마하면 안 됩니다!!!
그러면 검사 출신 한동훈 과학자 안철수 중에. 누가 우리나라 미래를 열겠습니까!!?
법꾸라지들 맨날 쌈박질만 하고 국민들 정말 지긋지긋해야 합니다",True,1,2025-04-22T19:54:55+0900,857527260108816702,5,0,0
