user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ysy7****,9nx2D,이게 무슨 개뼉다귀 같은 소리냐? 죄가 없다면 당당히 법 앞에 나아가 심판을 받으면 되는거고 국민도 내나라의 지도자를 뽑는건데 올바로 내 한표가 갈 권리를 줘야지.무죄로 나면 그리로 가는거고 유죄로 나면 더 훌륭한  분에게 한 표가 가는거지.더불어민주당 억지 좀 쓰지마라,True,1,2025-05-06T12:04:18+0900,858795738367262815,9,0,0
hows****,1JU8e,"민주당 말 안들면 모두 탄핵 사유이고,
이재명 한테 오른말 바른말 하면,
모두 구속사유이다 라고 하네요.",True,1,2025-05-06T11:50:53+0900,858794874122535162,8,0,0
oce1****,,,False,1,2025-05-06T12:01:49+0900,858795578698498294,0,0,0
daco****,4tU3v,법이고 뭐고 없군요. 그냥 자기네 맘에 안 들면 다 탄핵.,True,1,2025-05-06T15:17:57+0900,858808215062708531,5,0,0
nang****,,,False,1,2025-05-06T12:04:30+0900,858795751470268552,0,0,0
ysc8****,2FwL4,재판을 맡은 고법 판사들을  탄핵 해라 죄명은 내란 동조,True,1,2025-05-06T11:29:28+0900,858793494867607686,4,1,2
sgnj****,2jLyA,대통령 선거도 언기하라.  이재명 재판 끝날때까지.,True,1,2025-05-06T14:08:44+0900,858803755829690558,3,0,0
khm2****,12jEg,저것들은 탄핵 안되는지...개헌할때 금뱃지 탄핵도 만들어라.,True,1,2025-05-06T11:54:25+0900,858795102292672628,3,0,0
idyu****,2cRdR,법원이 판결내리면 공권력을 동원해서 체포할수 있는 권한을 줘야된다. 국회의원이랑 대통령 총리가 법원 판결에 불복하면 군경 동원해서 체포 하거나 무력저항하면 사살 할수있게해라. 대통령실에 미사일을 발사해서라도 체포해야됨,True,1,2025-05-06T12:23:47+0900,858796993990885583,2,0,0
tjdr****,8QSMo,당장 구속시키세요 저런 사람이 대선 후보라니 어린아이들이 뭐라 생각할까???,True,1,2025-05-06T12:12:39+0900,858796277100445901,2,1,0
ques****,2KyKa,베내수앨라가 코앞이네. 어쩌다 저런 주적이 대한민국 국회를 장악해버린 걸까.,True,1,2025-05-06T11:44:28+0900,858794461184917644,2,1,0
kang****,2cR9z,공갈과 협박이 남무하는 공포정치,True,1,2025-05-06T11:41:13+0900,858794252140806203,2,1,0
juli****,13yQG,그냥 빨리 재판받고 선거운동하는 게 낫지ㅡㅡ 뭐가 그리 캥기냐? 대통령되면 유죄도 무죄되는 거 아님?ㅋㅋㅋ 무슨 재판을 미뤄서 다 끝나고 하래ㅋㅋㅋㅋ 대법원장 탄핵  개웃김,True,1,2025-05-06T14:46:14+0900,858806171648131142,1,0,0
leeo****,2cFvl2,진작에 감옥에갈사람인데 무슨연기 지금까지 국회이런모습 처음보네 완전 국회독재네,True,1,2025-05-06T11:50:26+0900,858794845718708344,1,0,0
leey****,3NgDs,범죄자가 사법부의 시계에 맞추는 것이 상식이다.,True,1,2025-05-06T11:43:00+0900,858794366544642050,1,1,0
qwer****,,,False,1,2025-05-06T12:40:18+0900,858798057582493760,0,0,0
dhgh****,RV2x,삼권분립을 부정하는게 더불어내란당임 ㅋ니들이 뭔데 법을 무시하는거냐?찢은 법위에 존재하는 수령님 이냐?ㅋㅋㅋ,True,1,2025-05-06T12:36:42+0900,858797826644115639,0,0,0
kkcy****,dC9Iq,개보다 못한 놈들 지편들면 법이고 판사고 아니면 개판치는 쓰레기들,True,1,2025-05-06T12:13:48+0900,858796350584651995,0,0,0
ohch****,b8YF7,없어져야할 민주당은 빨리 공중분해서 싺다 구속시켜라.나라망친 쓰레기당,True,1,2025-05-06T12:13:26+0900,858796327348207732,0,0,0
yudu****,1EfsF,찟은 이  범죄자  다  깝발랐졌네  꿈도 꾸지마라  형편없는 자여,True,1,2025-05-06T12:13:22+0900,858796323304898660,0,0,0
jako****,,,False,1,2025-05-06T12:01:23+0900,858795550395334770,0,0,0
hjy5****,,,False,1,2025-05-06T11:48:44+0900,858794735760834796,0,0,0
nike****,TXFD,쓰레기통에 처박은 법관의 양심과 소신. 결국 너희들이 쓰레기.,True,1,2025-05-06T11:39:29+0900,858794140370993271,0,0,0
bbso****,3pZz7,이재명 경기지사 날릴 대법 판결 때는 연기했냐?,True,1,2025-05-06T11:39:19+0900,858794129096704081,0,0,0
momo****,1Wdh7,"이런 미친 탄핵 탄핵 하다하다 공판기일까지 연기라니
막가자는 거네 드러운 놈들",True,1,2025-05-06T11:27:35+0900,858793373148905620,0,0,0
qhdq****,4m5U0,민주당 양아치 집단,True,1,2025-05-06T11:25:29+0900,858793237639331983,0,0,0
byh5****,,,False,1,2025-05-06T11:42:41+0900,858794345992552613,0,0,0
imho****,6Uguh,공수처는 당장 조희대 지귀연 구속 수사하라,True,1,2025-05-06T11:35:32+0900,858793885776740498,3,7,2
ksta****,,,False,1,2025-05-06T11:48:39+0900,858794730794778836,0,0,0
tove****,14mn3,"지금 서초동에 돌고있는 얘기가 사실이냐??
대선판에 끼어들지마라. 
어디서 국민들 참정권을 박탈하려해??? 정치인은 국민들이 투표로 심판한다. 왜 사법부가 절차도 제대로 안지키고 손까지 벌벌 떨면서 판결을 내리냐고. 이게 사법부쿠데타가 아니면 뭐냐??
대법원 판사가 판결문도 제대로 읽지 않는걸 당연하다고 말하는게 정상이냐??? 법원행정처장은 국회에 나와서 다 읽는다고 말했어 누구말이 진실이냐??",True,1,2025-05-06T12:04:45+0900,858795768146821313,0,13,0
