user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jkki****,8vTjy,"국힘은 정말 사라져야 할 정당이다..
쓰레기 정당의 극치! 내란동조당의 국민우롱
이번 대선에 심판하고, 위헌정당심판으로 없어져라.",True,1,2025-06-01T17:23:55+0900,861228383483199759,13,3,0
baga****,2HgdC,내린당 니넨 정당해산이야,True,1,2025-06-01T17:04:03+0900,861227103113183252,10,1,1
jaeh****,26A0,탄핵반대에 내란이 아니다고 극우랑 그렇게 국가 시스템 부정해놓고 이제는 석욜이는 모르는 사람 취급하면 끝나나? 쌍권총과 나베 추갱호씨 수사하면 뭐가 나올지 기대되네,True,1,2025-06-01T17:14:45+0900,861227792858087662,8,0,0
tmzk****,eFjd5,"사악한 내란 쓰레기당
꼭 정당해산 심판청구해서 해체해야한다
쓰레기도 저런쓰레기가 없다",True,1,2025-06-01T17:12:56+0900,861227675417575678,8,0,1
hj59****,1WPIK,진짜 국민의힘 국민을 우롱하는 처사다 국민을 뭘로 이ㅡ는지 한심함은 끝이 없네,True,1,2025-06-01T17:13:35+0900,861227717528387758,7,0,0
yjw1****,d5xr,내란정당 해체,True,1,2025-06-01T17:06:21+0900,861227251910312034,6,2,0
sghs****,1irmB,"국민을 위해 일한다고 해놓고
  국민이 뽑은 대통령을
  첫날부터
   탄핵하겠다고 떠든 종족",True,1,2025-06-01T17:07:49+0900,861227346114380006,4,0,0
bulg****,2s69P,탄핵이 장난이냐??  이미 버스 지나갔다. 이제 위헌정당으로 해산돼 역사속으로 사라질 일만 남았다.,True,1,2025-06-01T17:53:02+0900,861230258974621707,3,0,0
inin****,1nWHe,지금와서???  많이 늦었단다~~~~~,True,1,2025-06-01T17:21:02+0900,861228198313066516,3,0,0
3182****,1mk9m,탈당한 尹가를 출당된거라고 해놓고 이제 와서? 12월 14일 김용태는 찬성였는지 반대였는지 부터 밝혀라,True,1,2025-06-01T17:10:19+0900,861227507494420574,3,0,0
scho****,4escW,전두환 보안사령관이 만든 당의 족속들인데 어련하시겠어...,True,1,2025-06-01T18:26:41+0900,861232427211686089,4,2,0
lsw8****,6w75A,국민을 두고 말 장난하네~~이 내란우두머리 당아~~,True,1,2025-06-01T18:06:17+0900,861231113203351620,4,2,2
ehj2****,cXzjN,내란옹호 나경원 권성동 감옥에넣어야....,True,1,2025-06-01T17:47:46+0900,861229920494289140,4,2,0
skyg****,5QMJn,"이재명이 대통령 당선되어서 ~~~ 개검 믿을 수 없다. ~~~ 반드시 특검으로 샅샅히 밝혀내고 사형으로 다스려야 한다. ~~~ 굿짐당 내란당 관계자들도 모조리, ~~ 이재명 기준으로 특검해서 압색하고 기소해서 처벌하라",True,1,2025-06-01T19:25:46+0900,861236233559343387,2,0,0
rjm1****,2wZCa,"그럼 다 사퇴하고 한동훈계로 교체하세요.
장난도 아니고 우롱 수준",True,1,2025-06-01T18:10:47+0900,861231402727768339,2,0,0
hank****,7LFHv,김용태 김계섭 젊은이 다움아 없다 기성정친인도 뺨맞고 돌아갈 지경이다,True,1,2025-06-01T17:59:11+0900,861230655151800379,2,0,0
jhk3****,vLaM,국내로 총구를 겨눈 국힘 당수 윤 아바타들 우주로 버려야....,True,1,2025-06-01T17:23:33+0900,861228359894433955,2,0,0
zero****,,,False,1,2025-06-01T18:07:39+0900,861231200696533207,0,0,0
dogg****,28bXb,너희 더부러의 후안무치한 독재와 공포와 음흉한술책 ㆍ더러운짓거리와 인간으로서는 할수없는 작태를 우리는 지금까지 쭈욱 지겨보고왔다 ㆍ더부러 공산당의 만행을 우리는 보고있다 ㆍ,True,1,2025-06-01T17:53:48+0900,861230308383523126,2,1,0
pchs****,Ujtl,이재명이 국힘 해산시키면 그건 인정이다 내란옹호정당은 역사에서 사라져야 그게 정의다,True,1,2025-06-02T05:33:41+0900,861275398242041909,1,0,0
alad****,,,False,1,2025-06-01T18:19:43+0900,861231978454712586,0,0,2
yaon****,2Xsdz,풉~ 이제와서? 국민 우롱하네~,True,1,2025-06-01T18:16:18+0900,861231758085980266,1,0,0
m112****,2D3rH,"그래 일주일 동안만 무효화하고 ..,.,,당선증 들고 우리 윤가 품에 안기우리",True,1,2025-06-01T18:10:25+0900,861231378820235404,1,0,1
jh01****,16uAp,댓글창이 너무 청명하다   리박스쿨 잡혀갔냐?,True,1,2025-06-01T18:08:02+0900,861231225493258257,1,0,0
kari****,UvxM,민주당 내란세력은 절대 대한민국의 주도세력이 되어서는 안된다.,True,1,2025-06-01T17:35:44+0900,861229145202360519,1,0,0
kang****,1bnJW,이걸 전문 용어로 디비쪼은다 라고 한다,True,1,2025-06-01T17:12:03+0900,861227619348119570,1,0,0
saws****,,,False,1,2025-06-01T17:10:19+0900,861227507762856025,0,0,1
seop****,9kJFS,국짐당 웃기고들 있네.,True,1,2025-06-01T17:47:49+0900,861229923782623489,4,4,0
skys****,2yc80,지들 맘대로 뗐다 붙였다. 뭘 믿고 내란당을 찍어주냐?,True,1,2025-06-01T17:36:38+0900,861229203335413972,3,3,0
jang****,12NOo,내란에 옹호하고 동조한 것들 싸그리 잡아 쳐넣어야되는 법안을 만들어야된다.그것들은 같은 국민이 아니고 적이라고 봐야지,True,1,2025-06-01T17:20:51+0900,861228186250248481,3,3,1
jind****,SeCz,10얼 롬들.국짐 내란당 좁샤쿠들 대선 끝나면 어차피 해체될것들,True,1,2025-06-01T18:03:02+0900,861230903102275598,1,1,0
info****,,,False,1,2025-06-02T08:22:46+0900,861286292023935235,0,0,0
bose****,,,False,1,2025-06-01T20:33:40+0900,861240607949979891,0,0,0
myki****,2R5V5,선거무효! 탄핵무효!,True,1,2025-06-01T20:15:16+0900,861239422975213682,0,0,0
herm****,2sMVm,"국민의힘 집단 퇴장, 끝내 '윤석열 탄핵안' 무효처리, 이게 국힘 당론이잖아 https://n.news.naver.com/mnews/article/607/0000002339?sid=100",True,1,2025-06-01T19:20:34+0900,861235898283458762,0,0,0
tory****,,,False,1,2025-06-01T18:17:51+0900,861231858195628280,0,0,0
popo****,1j5gH,댓글부대아직도 활동하는구나,True,1,2025-06-01T18:07:20+0900,861231180765200489,0,0,0
sung****,4QJ60,참   귀가찬다 ㆍ    윤의   비상계엄은   이죄명의  대통령  잔치상  ㆍ  40년전  독제시대로   시계  되돌려  ㆍ  한번도  격어보지   오싼 나라로 ㆍ,True,1,2025-06-01T17:53:19+0900,861230277630885998,0,0,0
meal****,1DRnk,화무십일홍이라 미친짓을 해서 쌔까만 애한테도 개쪽을 당하는구나 모지리야,True,1,2025-06-01T17:46:54+0900,861229864022180125,0,0,0
spee****,25M9W,민주당이 지들 보수라고 하는거랑 별반 다르지 않은데? ㅋ 숫자에 빨간색 살짝 놓으면 보수되냐? ㅋㅋㅋㅋ,True,1,2025-06-01T17:46:39+0900,861229848150933706,0,0,0
