user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
iegi****,10eOq,"언제까지
 저  낮짝들을 봐야 하는지ㅠㅠ
   이넘에   대한민국!!!",True,1,2025-06-03T12:39:38+0900,861395611759411438,42,13,2
lata****,5nE3O,몇 달만 기다렸으면 유죄받고 사라질 사람을 대통령 만들어준 X맨..,True,1,2025-06-03T14:07:55+0900,861401298514215282,19,2,1
yyyh****,aAJWg,언제까지 처 웃나 보자,True,1,2025-06-03T16:39:42+0900,861411077500436722,12,1,0
dhdn****,6raS2,감옥가야할 인간들이 투표라니 !!이런 어이없는것들 뻔뻔하기짝이없다 당신들이 나라 망쳐놔서 지금 조기대선치르고있자나!!!!!!!!!!,True,1,2025-06-03T12:35:47+0900,861395363473391899,8,0,1
yang****,42QkR,손잡고 깜빵갈떼가 다가온다,True,1,2025-06-03T17:53:46+0900,861415849494315303,7,0,0
kp38****,1Kyqq,"결국은 윤석열이 도와주는구나
대통령 되도록",True,1,2025-06-03T15:51:45+0900,861407988261323017,6,0,0
rmb9****,2rjOZ,두년놈이 돌아다니는게말이되냐.반드시 심판될것이다.,True,1,2025-06-03T17:05:56+0900,861412767687508364,9,4,0
ranh****,3uq2k,범죄자도 투표 할 수 있구나,True,1,2025-06-03T19:58:30+0900,861423884807701074,5,1,0
ysm9****,,,False,1,2025-06-03T18:52:57+0900,861419662066319768,0,0,0
guin****,chHla,선거에  드는돈이 얼마인데 국민세금 작살네는 인간들  5년 임기도 못채우고  이꼴을 만들들고 뻔뻔 하네요ㅠㅠ 웃음이 나오니 건희야 ㅠㅠ,True,1,2025-06-03T22:10:43+0900,861432403422347839,4,1,0
king****,1bNCL,뻔돌이 뻔순이,True,1,2025-06-03T17:25:42+0900,861414040927207741,4,1,0
mada****,2O9uX,같이 빵에나 가라 꼴보기싫다,True,1,2025-06-03T20:31:11+0900,861425990700630173,3,0,0
kyup****,2MkDL,"여기가 어디라고 여길 와 ? 
안쪽팔려????",True,1,2025-06-03T16:47:37+0900,861411587578134736,3,0,0
thfk****,3n2xl,"너무아름다운부부다
단칸깜빵에서무기로 오순도순살길빈다",True,1,2025-06-03T12:03:34+0900,861393287628456127,5,3,0
zamd****,AC5J,범죄자주제에,True,1,2025-06-03T12:01:01+0900,861393123832496144,4,2,0
guin****,chHla,진짜 한심한 부부네 탄액당하구 무엇을 잘했다구 투표여   집구서에 가만있든 감방을 가든  이재명도 실지만 이부부도 정말실다  ㅠㅠ,True,1,2025-06-03T22:06:08+0900,861432107640029287,2,0,0
hero****,12u6b,윤건희 투표하는거보고 투표율 더 올라간다고함 열받은 중도층들이 대거 투표하러가는중 ㅋㅋ,True,1,2025-06-03T19:08:19+0900,861420652559597695,2,0,0
um48****,25O7F,죄수번호 언제 받누,True,1,2025-06-03T17:22:39+0900,861413844432453873,2,0,0
miro****,2VuGs,생각이라는게 없어보이는 사람,True,1,2025-06-03T17:03:02+0900,861412580655104012,2,0,0
jira****,1L3y,얼굴이 벌써 좀 무너진듯.,True,1,2025-06-03T16:37:06+0900,861410909812162603,2,0,0
tops****,21EkR,즉결심판으로 사형 시켜도 모자를놈이 거리를 활부하다니..분통이 터진다,True,1,2025-06-03T16:41:33+0900,861411196450898103,4,3,0
toym****,1SGhm,내란수괴가 투표 히는게 맞아??!,True,1,2025-06-03T11:56:24+0900,861392826439565452,4,3,0
kgw7****,2BhAc,이제 그만좀 안봤으면 좋겠다,True,1,2025-06-03T16:15:55+0900,861409545438626112,2,1,0
simj****,39Alm,도어스태핑할 때 기자들한테 개 두들겨맞고 극우들한테 입틀막 당해서 말도 못하는 우리 윤통이었던 것. 김정은 처럼 말을 잘 못하니 편지나 대통령실 통해서만 전달 ㅋㅋㅋㅋ 위대한 수령동지께서 이렇게 말씀하셨다,True,1,2025-06-03T12:05:23+0900,861393404666314881,2,1,0
oliv****,wzUD,그 손을 놓으시오,True,1,2025-06-03T23:24:42+0900,861437169862967680,1,0,0
hyun****,2M63w,두껍다,True,1,2025-06-03T22:28:51+0900,861433571787670065,1,0,0
sd22****,1EIj2,"참 거시기  하다. 조그만 기다리면 전과자는 제풀에 삭아들 사람을 ,,,,,",True,1,2025-06-03T18:53:34+0900,861419701257896167,1,0,0
dkso****,31QnS,돌맹이로 꽉!,True,1,2025-06-03T16:56:44+0900,861412175099461879,1,0,0
smk8****,1Z8EI,죄명이 대통령되면.일등공신.비서살장자리는어때.,True,1,2025-06-03T17:27:29+0900,861414155599478974,1,1,0
knig****,2Ihkp,"애가 없으니
남의
애 손잡았나 ㅋ",True,1,2025-06-03T17:26:42+0900,861414105435603208,1,1,0
haeh****,27Zjk,빵에서 투표하는 모습 고프다,True,1,2025-06-03T16:18:46+0900,861409728461275392,1,1,0
sukh****,2fW4B,투표권도 뺏어야해..,True,1,2025-06-04T02:19:21+0900,861448420647239761,0,0,0
lode****,,,False,1,2025-06-03T22:22:02+0900,861433131939397663,0,0,0
btf1****,67Lvg,당신네때문임,True,1,2025-06-03T21:46:00+0900,861430810694123526,0,0,0
thak****,3AtLJ,장재원 야들도 델꼬 가라 니 동무들 ㅋㅋ,True,1,2025-06-03T20:38:51+0900,861426485007745699,0,0,0
asdf****,N8nO,저 개념없는 녀어는  아직도 주댕이 벌리고 웃고 잇네,True,1,2025-06-03T20:23:08+0900,861425471764562074,0,0,0
gkwl****,2GtPU,마지막 나들이라고 생각해,True,1,2025-06-03T20:18:06+0900,861425148148842608,0,0,0
rygn****,2dPAo,나란히 나란히 노래가 생각나네,True,1,2025-06-03T20:06:05+0900,861424373662220503,0,0,0
adam****,,,False,1,2025-06-03T18:17:04+0900,861417350048514084,0,0,0
yiy6****,,,False,1,2025-06-03T18:15:07+0900,861417224571715649,0,0,0
enst****,1l1BW,윤통 부부는 당근 이재명 찍었겠죠? 언더커버 이재명 후보 총괄상임선대위원장이실 듯,True,1,2025-06-03T16:14:02+0900,861409424256794638,0,0,0
masa****,5mxbK,내란 범죄자가 쳐 돌아댕기는거 보소... 얼른 무기 사형 받아라 부부가 쌍으로 깜방 들어가는거 보고싶다~,True,1,2025-06-03T15:27:53+0900,861406450646253835,0,0,0
mini****,,,False,1,2025-06-03T15:01:29+0900,861404749738541208,0,0,0
jim3****,6KCbS,ㅌ,True,1,2025-06-03T14:42:59+0900,861403558086443382,0,0,0
peps****,1NPWu,"기자님, 이런 기사를 꼭 쓰셔야 되나요?",True,1,2025-06-03T12:19:58+0900,861394343905198433,0,0,0
ysj6****,2kmjx,인생 마지막 투표 재소자에게는 투표권없다,True,1,2025-06-03T16:38:30+0900,861410999754817686,0,1,0
raco****,4co1r,보수 만세,True,1,2025-06-03T13:00:56+0900,861396983783358791,3,6,0
star****,2Cgbv,결국 윤석열이 옳았다.,True,1,2025-06-03T12:04:40+0900,861393359099396328,7,11,0
kche****,2xC8H,윤대통령님 응원합니다 여기 모지리들이 못배워서 그래요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-06-03T18:43:01+0900,861419022384627725,3,8,0
lode****,AiPf,윤대통령님의 거룩한 비상계엄 결단은 감동이었습니다. 내란몰이하는 민주당같은 쓰레기가 정말 내란을 책동하는 것이지요. 거짓속임수로 국민을 우롱할 수는 있어도 계엄의 충정어린 진실은 대국민담화문에 그대로 남아 국민의 양심에 호소하고 있습니다.,True,1,2025-06-03T22:26:05+0900,861433392539893810,4,11,1
