user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
j2d1****,,,False,1,2024-11-19T07:48:02+0900,843193651893895175,0,0,1
4603****,,,False,1,2024-11-19T05:08:02+0900,843183344173711365,0,0,0
myjo****,DJz6,"명비어천가? 그쪽은 공당이요 아니면 무슨 두목추종하는 패거리집단이요? 최xx,의원? 당원들과 함께 죽인다고?? 야~~여기 정말 이정도밖에 안되는구나. 물론, 건너집도 잘하는건 아니지만ㅠㅠ 단일대오! 그래 벼랑끝까지 몰아봐라. 탄핵을 무슨 장난처럼 운운하고 과연 정권을 잡겠다는 정당인지ㅠㅠㅜ 여기 누구 없소 ?  참말로 뭐가 옳고 뭐가 그른지 일개 국민도 아는데 걱정이다,  걱정 한마디로 표현하면 파렴치 아닌가???",True,1,2024-11-19T07:23:46+0900,843192087888265330,10,3,0
bush****,,,False,1,2024-11-19T08:16:18+0900,843195472825811033,0,0,0
wonf****,6cFdV,망주당 정당 해산이 시급하다! 이적단체 아닌가?,True,1,2024-11-19T09:40:15+0900,843200880961388639,8,2,0
chee****,2owcQ,아 한심그자쳬다 범죄자추종자들,True,1,2024-11-19T07:07:35+0900,843191045704384583,7,1,0
inkb****,TwaU,똥풍선 날리는걸 방치한 김정은이도 탄핵해봐라. 그러면 내가 이죄명이 찍어줄께. 북한엔 입도 벙긋 못하는 놈들이라니.,True,1,2024-11-19T09:29:21+0900,843200178801344628,6,0,0
neun****,5KAV4,민주당의 가장 큰 실책이자 과오는 엄청난 의미를 지니고 있는 탄핵이란 단어를 시도 때도없이 남발하여 그 의미가 퇴색되게 만들어 놓은 것과 자격미달자를 정은이 못지 않은 신격화로 탈민주당이 가속되고 있다는 것.,True,1,2024-11-19T08:51:57+0900,843197769861562641,6,0,0
miru****,6xu2l,"북한에 민감한 더불어조선노동당
대한민국의 국민으로서 자격도 없다 
대한민국의 국가전복을 위해 존재하는  매국노집단
국회해산해라",True,1,2024-11-19T08:29:47+0900,843196341248065746,6,0,0
fuhr****,RnnS,북한의 협박은 하루 이틀이 이니고 심지어 무장간첩 침투시켜 1992년 김영삼을 암살하려고도 했다. 북한이 똥풍선 보낼 땐 아닥하고 있다가 왜 우리측이 보내는 것만 가지고 게거품?,True,1,2024-11-19T05:57:53+0900,843186555399962666,6,0,0
luck****,,,False,1,2024-11-19T14:17:27+0900,843218739670286499,0,0,0
lone****,59Abw,"지들말대로 죄명이 이슈를 덥자고 안보공백을 초래하려고 하는 구나.
김민새는 진짜 간첩인지 반드시 조사해야 한다.
김민새 김민철새 죄명이 아버지 아니면 최고위원도 못할 ㅁ쩌리",True,1,2024-11-19T11:34:09+0900,843208219114340434,6,1,0
jh70****,1pH0L,아하~북한의 지령이 있었구나~정말 반국가단체였어?,True,1,2024-11-19T21:16:19+0900,843245724899475553,5,0,0
zing****,5KWje,"다수당의 지워를 이용해 국가안보를 위협하는 행동들을
하네요. 국방장관을 탄핵으로 잡아두면 군비상시에  대처는 어떻게하려는지~국가와 국민의 안위보다 더 중요게 있나요?",True,1,2024-11-19T08:43:05+0900,843197198647689240,5,0,0
ykh6****,,,False,1,2024-11-19T05:21:08+0900,843184187799240716,0,0,0
jyki****,2ZK2M,이렇게 정부에 대해서 오만 소리내뱉는데 왜 북한이 오만 짓거리할때는 별반 소리없을까?안에서만 오만 소리와 행태 보인 대한민국 역사와 무관하지 않은 것 같구나..밖에는 별반 소리못하고 말이다.배울걸 제대로 배워야지 안좋은 것만 배웠나보구나..ㅉㅉ,True,1,2024-11-19T01:23:28+0900,843168875603296295,5,0,0
figh****,b6q8X,더불어죄명당의 자질없는 국회의원들이나 탄핵하고 위헌정당으로 해산가자. 멀쩡한 장관이나 고위직사람들이 아닌 더불어죄명당이야말로 없어져야하는 위헌정당이다.,True,1,2024-11-19T08:00:07+0900,843194430021173288,5,1,0
gydu****,,,False,1,2024-11-19T19:23:29+0900,843238455482777738,0,0,0
jtak****,,,False,1,2024-11-19T14:34:29+0900,843219837051207899,0,0,0
cha1****,,,False,1,2024-11-19T07:19:22+0900,843191804604973103,0,0,0
is76****,2KnXb,계엄령선포해서 전런것들 사형시키는게 답이다.,True,1,2024-11-19T02:06:03+0900,843171619097542662,4,1,0
jskl****,aqdE,점점 미쳐가는 집단. 어디까지 가는지 두고보자. 뒷일은 나도 책임 안진다. 공부 못한 무지한 운동권 집단들 아니랄까봐~~,True,1,2024-11-19T23:24:32+0900,843253984960446616,3,0,0
119b****,21Kv4,이재명과 그의 공산잔당 사라지게 해야,True,1,2024-11-19T10:41:30+0900,843204827231027395,3,0,0
pari****,27FPK,국방장관을 탄핵시도한다는 발상이 제정신이 이닌것들~~~,True,1,2024-11-19T10:25:37+0900,843203804106064144,3,0,0
jhsj****,,,False,1,2024-11-19T06:27:15+0900,843188446645190686,0,0,0
kism****,6gDi,국민을 속인 민주당의 본질을 보고 있네...,True,1,2024-11-19T03:07:03+0900,843175549126836231,3,0,0
bisy****,,,False,1,2024-11-19T02:45:20+0900,843174150074794017,0,0,0
ley8****,12T46,북한 오물풍선 몽땅 민주당사에 떨어지길,True,1,2024-11-19T21:29:43+0900,843246588288565495,3,1,0
vbsq****,1NasN,더불당은 해산하라,True,1,2024-11-19T15:12:41+0900,843222297832587538,3,1,0
imde****,,,False,1,2024-11-19T10:04:15+0900,843202427082506345,0,0,0
saij****,coHNC,막무가내 불한당집단 더듬어 성폭력 당 그냥 멋대로 탄핵 방탄 개수괴 죄명이 전과5범 쌍욕 결사옹위 그러니 국민이 외면,True,1,2024-11-19T07:02:23+0900,843190710629826611,3,1,0
shsh****,2cyBW,"김정운 졸개 집단, 북한에 동조하는집단",True,1,2024-11-19T03:23:51+0900,843176631190159418,3,1,0
pool****,erGrr,민주당은 역시 미친작자들이다 ..북의 도발에 반격할 수단은 잇어야지 ..손발 다묶어놓고 먼짓이고 ..이놈들아   ...니네들 때문이래도 북침해 통일 해야되겟다  ..통일되면 간첩들도 조용해지겟지.,True,1,2024-11-19T02:01:01+0900,843171295045615619,3,1,0
thre****,31gt9,내 아들 딸의 미래가 걱정된다~  한심한 만진당 국개들,True,1,2024-11-20T08:42:10+0900,843289910516383796,2,0,0
deep****,1X9Np,"김정은이 전쟁준비 완성에 총력을 선언한 바로 지금 국방부 장관 탄핵은 근본 뜻이 의심되는 명백한 이적행위 아닐까, 재명아?",True,1,2024-11-19T15:45:06+0900,843224386260435001,2,0,0
miru****,6xu2l,"더불어 조선노동당   북한 의 지령 받았나
국읻 을 해치는것 에  앞장서는  매국노 정당  해산하라
국회 도 해산 하라.",True,1,2024-11-19T14:13:23+0900,843218477274628256,2,0,0
este****,3sQWv,더뿜어 민죽당,True,1,2024-11-19T05:04:31+0900,843183117077315617,2,0,0
bbps****,587ga,김정은 지령이 남한 공산당 지부에 내려왔나 보군,True,1,2024-11-19T01:26:31+0900,843169072148381761,2,0,0
xoti****,3svgx,뭐든 지들맘에 안들면 탄핵탄핵... 정권싸움하지말고 민생이나 챙겨라... 니들 밥그릇 싸움 하라고 뽑아준거 아니니까...,True,1,2024-11-19T06:26:21+0900,843188389636210720,2,1,0
4603****,,,False,1,2024-11-19T05:14:03+0900,843183731609960451,0,0,0
gkgk****,,,False,1,2024-11-19T04:47:02+0900,843181990302711812,0,0,0
dove****,,,False,1,2024-11-19T21:00:55+0900,843244732627812610,0,0,0
cws5****,1kfpf,이 나라의 의인이 필요한 때가 또 왔구나. 개들을 제게 해 줄.,True,1,2024-11-19T14:53:51+0900,843221084453994841,1,0,0
hang****,1wvKB,무슨 지령이라도 받았는갑네,True,1,2024-11-19T12:10:33+0900,843210564183261406,1,0,0
ajg6****,4fY4Q,북쪽 도야지가 탄핵하라고 시켰더냐?,True,1,2024-11-19T09:05:30+0900,843198642863997075,1,0,0
jdgr****,,,False,1,2024-11-19T07:51:51+0900,843193897059352734,0,0,0
fuhr****,RnnS,"탄핵은 비리나 직무유기해야 그것도 심하게 해야 하는 것 아닌다. 자기네 뜻대로 일 안하고 탄핵? 개코, 요새보니 개딸도 힘 빠져 잡회해도 몇명 나오지도 않던데...",True,1,2024-11-19T05:53:57+0900,843186301845897281,1,0,0
wang****,,,False,1,2024-11-19T05:05:30+0900,843183180377751580,0,0,0
dswo****,1fXNy,"씨bal  모든 정상 관료들 정부 검찰 판사 모두 다 탄핵 해봐라, 그 화살 그대로 와서 민주당 조국당 탄핵  당해라",True,1,2024-11-19T03:04:42+0900,843175397460803635,1,0,0
lyci****,10QgN,"할것도 없고, 할수 있는것도 없으니 헛짓거리나 해야지",True,1,2024-11-19T01:23:31+0900,843168879210397762,1,0,0
prin****,,,False,1,2024-11-19T02:39:52+0900,843173797585485891,0,0,0
youn****,1fNZO,진짜 궁금한데  민주당은 그렇게 사람이 없나요?? 왜 재명이만 나오죠..,True,1,2024-11-19T14:31:59+0900,843219676107374983,1,1,0
rich****,,,False,1,2024-11-20T07:45:06+0900,843286233839829005,0,0,0
cafr****,173cc,민주당은 북한 노동당이냐? 북이 싫어하는건 너희도 다싫은거냐? 때려잡자 공산당~~~돼지대가리 따르는 간첩들 때려잡자`~~,True,1,2024-11-19T12:51:42+0900,843213215419597060,0,0,0
stan****,2A7qk,"민주당 쓰레기들, 개만도 못한 것들이네.대한민국의 질서를 파괴하는 공산당의 괴뢰들과 무엇이  다를까? 세력을 믿고 까불면 큰코 다친다! 그 세력은 나라의 것이요 국민의 것이기 때문이다.법과 질서를 지키며 바른 일을 충성스럽게 해야 하나 개보다 못하다.개들은 주인을 위해 목숨을 바친다.그러나  이것들은 국민의 목숨을 이용하고 있다. 모두 신성한 법의 심판을 받아야 한다.",True,1,2024-11-19T11:11:01+0900,843206728693579791,0,0,1
119b****,,,False,1,2024-11-19T10:40:23+0900,843204755122552993,0,0,0
119b****,21Kv4,"공산당이다.
이것들은 빨갱이라 할 수 밖에...
나라의 기능을 멋대로 주무르고 돌아가지 않도록 하기위함 이랄 수 밖에 없다.
정은이 좋은 대로 하는 짓거리는 국가 전복이 그들의 목적이지 않겠는가
탄핵으로 쉽게 수장에 올랐던 운 좋았던 재인이에게 배운게 꼴랑 탄핵이지 않는가
이 공산집단 나부랭이들은 집단 탄핵해서 파쇄되어야 한다.
죽어야 한다.",True,1,2024-11-19T10:38:57+0900,843204662747201899,0,0,0
magl****,IeLW,이 OOO들 안보는 건들지마라 니네진짜 공중분해시켜버린다,True,1,2024-11-19T09:14:09+0900,843199199498469439,0,0,0
zott****,1H5F7,ㅅㅂ...또 탄핵이냐?,True,1,2024-11-19T09:08:12+0900,843198816306855990,0,0,0
eh28****,,,False,1,2024-11-19T07:43:21+0900,843193349920784458,0,0,0
lous****,266sA,"이것들이 정녕 대한민국 국회 정당인가?
툭하면 탄핵 진짜 탄핵병에 걸린건가?
에라이 민생이나 챙겨라 국민은 춥고
배고프다 에라이 썩을 민주공산당들아",True,1,2024-11-19T06:46:18+0900,843189674838065193,0,0,0
baek****,cRFxH,정신병자 집단 홍어당~~??,True,1,2024-11-19T06:41:54+0900,843189391286337646,0,0,0
sosb****,,,False,1,2024-11-19T04:42:18+0900,843181685477474319,0,0,0
sunn****,2cItKt,집회. 탄핵.  이런거  는  잘하네   맛땡이간거 갔다,True,1,2024-11-19T04:19:13+0900,843180199066468363,0,0,0
a2ta****,pafc,진상들 저 관상들 기억해둬라,True,1,2024-11-19T03:08:11+0900,843175622711705622,0,0,0
real****,6Cy4Y,국무위원 전원 탄핵시켜서라도 대한민국을 지키자! 핱바지 멧돼지 손발 다 잘라버리고 숨만 할딱거리게 만들자! 그래야 뒤지든가 깜빵가든가 할 것이다!,True,1,2024-11-19T02:12:11+0900,843172014217756686,0,0,0
kcw5****,28FsG,양아치들 뭐만하면탄핵?,True,1,2024-11-19T01:44:25+0900,843170225850417179,0,0,0
song****,1ulPr,정세가 엄중한데,True,1,2024-11-19T01:42:16+0900,843170087052509209,0,0,0
past****,2ZaoC,애국 정당(?)  탄핵 전문  민주당은   방위비  13조 요구하는  미국 대통령  당선자  트럼프도   탄핵 시켜 주세요 !!,True,1,2024-11-19T01:28:15+0900,843169184002080803,0,0,0
ciea****,1oxxX,정부가 일은 안하고 계엄 준비 중이였구나.  검찰 정권..   김건희가 감옥 가기 싫다고 독재국가로 만들려하네..,True,1,2024-11-19T23:09:49+0900,843253037467173103,0,2,0
fund****,,,False,1,2024-11-19T13:12:32+0900,843214557244555451,0,0,0
yss0****,tzRF,석열이 탄핵해라  김건희 감옥행,True,1,2024-11-19T12:25:43+0900,843211541523202334,2,7,0
rich****,bx6yv,탄핵갑시다. 윤석열이가 아직도 대통령 깜이 된다고 보십니까? 나라꼴이 이게 뭡니까? 이러다 보수 괘멸합니다. 다시 시작합시다.,True,1,2024-11-19T05:06:55+0900,843183272014905395,2,7,0
n114****,2ZfB2,국민을 대표하는  국회의원들 입니다 소신것  탄핵할수 있는것입니다   기자야 트집 잡지마,True,1,2024-11-19T07:40:59+0900,843193197583663289,1,6,0
glau****,1WG5K,민주당 일 잘하네 전쟁하려고 난리치는 국방장관은 탄핵하고 감방도 보내야지,True,1,2024-11-19T02:50:19+0900,843174470939050011,2,10,1
