user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
suh3****,3B3sM,"너네도 사법부탄핵내란세력 된거 축하해.백번 양보해서 윤석열 재판은 좌우 떠나서 의견이 나눠질 수 있다고 생각할 수 있어. 계엄을 해야 했던 이유 vs 계엄을 하는 과정에서. 근데 찢재명은 다르잖아. 음주운전 , 사시미 조카 전여친 일가족 살해 변호 찢재명.범죄자. 사법부의 최고 법원 헌법재판소와 대법원. 누가 찢재명 보고 죄 지으라고 협박했냐?피해자 코스프레 오지네 이건 이재명 개인이라는 한 사람이 저지른 일이잖아 재판 작년총선때부터 피해다니고,전과5범 죄 지었으면 벌 받으라고 판결 잘못되었다고 다시 돌려보낸건데.탄핵해버린다다고?",True,1,2025-05-05T13:06:58+0900,858707004544254160,4488,134,43
pray****,,,False,1,2025-05-05T13:08:12+0900,858707084085035061,0,0,19
kjr3****,4E6Yh,찢재명한테 약점이라도 잡힌건지. 내시들도 너 보면 울고 가겠어. 아주 헐겠다 헐겠어. 대체 찢재명이 뭔데. 이렇게까지 하는거냐? 찢재명 포기 못 하는 이유가 궁금하네,True,1,2025-05-05T13:09:14+0900,858707151093235783,1577,35,19
ktsh****,HqAS,더불어 공산당 막가파식 파쇼집단이며 나가도 너무 나갔다.사법부를 통째로 날린다해도 이재명 지은 죄가 없어지지 않는다.사퇴하지 않으면 자격부터 박탈하라!고법은 지체없이 선고하여 선거전 국민들이 올바른 선택을 하도록 하고 이재명을 법정 구속 시켜라!이재명은 정치를 해서도 할 수도 없는 범죄자다.한 평생 감옥에 처 넣어도 시원찮을 범죄자 때문에 나라가 온통 광기에 미친듯하며 개판되었다.만악의 근원 8개 사건 12개 혐의로 5개 재판을 받고 있는 범죄우두머리 전과4범 이재명 나머지 재판도 속전속결을 재판하고 이재명을 법정 구속 시켜라!,True,1,2025-05-05T13:11:52+0900,858707320677335278,1350,21,12
hjyu****,,,False,1,2025-05-05T13:10:53+0900,858707257058132177,0,0,21
7aph****,15m34,현직 대통령도 탄핵하는데 당대표가 뭐라고ㅋ 그것도 전과5범이 뭐라고 이 난리냐ㅋㅋㅋㅋㅋㅋ 탄핵 당한 대통령들은 사법 시스템 존중이라도 했지 니들은 법 위에 있냐? 죄 짓지 마 그러니까,True,1,2025-05-05T13:18:32+0900,858707750190841995,287,2,3
myjj****,,,False,1,2025-05-05T13:29:20+0900,858708446092984406,0,0,2
bw96****,5Wg98,정청래가 미국문화원에 불지른 자이다. 저런게 남한 국회의원 이란게 창피하고 저걸 뽑아준 마포인간들에 증오를 보낸다.,True,1,2025-05-05T13:31:34+0900,858708589387186335,203,3,4
3joy****,6uG5y,"대통령도 두명도 탄핵시킨 나란데 민주당대표가 뭐라고 이재명 지킬라고 법안 뜯어고치며 재판중지 법안을 만들고 난리냐 국민들은 이재명이 재판 성실히 잘 받는
모습을 원합니다. 법치국가를 무너지게 만드는 게 이재명입니다.",True,1,2025-05-05T13:13:50+0900,858707447278207199,196,1,0
kcha****,,,False,1,2025-05-05T13:38:02+0900,858709006301003795,0,0,0
