user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ktsh****,HqAS,"더불어 민주당의 31번째 탄핵으로 무정부,무법천지 대한민국을 만든 범죄 우두머리 이재명을 반드시 구속 하고 더불어 민주당을 위헌정당 청구해서라도 해산 시켜야만 나라가 산다.",True,1,2025-05-13T17:48:12+0900,859467292910551141,165,13,3
k012****,axy0p,"탄핵이 1회 기각되면 세비 1달삭감, 2회 기각시 세비 3개월 삭감, 3회 기각시 탄핵 청구한 국회의원들이 책임을 지고 사퇴하는 법을 만들어야 탄핵 남발을 막을수있다",True,1,2025-05-13T20:11:05+0900,859476498837405722,115,1,0
syou****,4brtP,탄핵이 이렇게 다 기각되는 것에 대해 생각이 있는 국민이라면 민주당 패악에 대하ㅐ 표로 심판해야 한다.. 이들이 대선에서 승리하면 어떻게 할지 뻔한데 대한민국을 사기꾼들에게 맡길수는 없다..,True,1,2025-05-13T20:39:18+0900,859478316665536662,45,3,0
ijky****,3B1fb,더듬는당이 양심이 있으면 최소한 공식 사과를 해야만 하지 않냐?,True,1,2025-05-13T20:09:54+0900,859476422014533968,30,3,0
punx****,1qsC9,민주당 요새 탄핵할사람 없어서 집단 우울증 걸릴지경이라던데 양촌리 이장이라도 탄핵해라,True,1,2025-05-13T20:40:42+0900,859478406859850023,28,1,0
kied****,11o1V,당신을 탄핵시킨  이죄명과 더불어공산당 좌익들에게 손해배상을 청구하세요,True,1,2025-05-13T20:20:31+0900,859477106675941605,9,3,1
siny****,2iJVt,"찢이 원하는 말이 나오면  정의가 살아 있다고 하고 원하지 않은 결과가 나오면 별별 트집에  1차탄핵하고,
2차는  원하지 않는답을 무력화 하는 입법 발의하는  만진당 ~~ 내  주관으로는  공산당은  쨉이 안된다. 왕이여~  황제여~~도대체 뭐여~~",True,1,2025-05-13T21:18:22+0900,859480833398931619,6,1,0
ihat****,b8wfX,"더불어민주당은 막무가내 탄핵소추를 31번 해도 되고, 윤석열 대통령은 계엄선포를 1번만 해도 위헌이란다. 한참 잘못됐다",True,1,2025-05-13T20:51:47+0900,859479120814276929,5,1,0
chug****,faaF,"민주당이 입법,사법,행정을 장악하면 누가 이들의 범죄를 막을것인가?",True,1,2025-05-13T20:23:24+0900,859477292584272038,5,1,1
bcle****,2m0LN,야비한 개 세 이,True,1,2025-05-13T20:25:16+0900,859477412793024615,5,2,0
yjbw****,26d0Q,"이세상에서 가장 빨리 없어져야 할 것들!!
국민의 짐 그리고,조.중.동!!",True,1,2025-05-13T21:31:27+0900,859481675984273633,3,1,0
woor****,9QeLS,멍청한 개청래 자슥으로 인해 고생많다...손검사.,True,1,2025-05-13T21:01:54+0900,859479772525232501,3,1,0
vemp****,DQgU,"김학의 얼굴도 못 알아 보는 눈을 가진 검사들이 뭔들 제대로 했을까. 김학의도 무죄이고 접대받은 검사도 99만원 안되서 무죄이고, 이제는 법원의 판결도 별로 기대하지 않는다. 자료도 안보고 판결한다는데 뭐",True,1,2025-05-14T00:50:35+0900,859494505018032236,2,0,0
play****,2EUz7,식빵. 손준성 보냄이 있는데도 무죄라니,True,1,2025-05-13T20:16:05+0900,859476821127725082,2,0,0
shin****,1yndz,싸이코패스가 대통령 된다는데 국민 반이 동의하는 나라. 검사님 힘내십시오.,True,1,2025-05-13T21:25:18+0900,859481280159416466,3,2,0
topc****,4W0Zz,"정청래는 탄핵담당자군.
옛 범죄자가..
코미디하고 있는 국회",True,1,2025-05-13T21:22:33+0900,859481103042347277,2,1,0
milr****,2xMLu,더불어개판당아!지금까지 니들이 탄핵시켜 인용된 사례가 정치적으로 탄핵된 대통령 말고 누가 있냐?왜 니들은 책임을 지지 않는것인가?국가 주요기관의 수장들과 니들을 수사하는 검사들에 대한 탄핵결과 인용이 되지 않았다면 그 결과에 대하여 책임을 져야 할것 아닌가?이런 개판을 쳐도 밀어주는 무지렁이들이 있으니 마음껏 개판치는 것인가?니들의 이 막무가내 악행이 내란이 아니면 도대체 어떤게 내란이냐?민주국가에서의 선거는 이런 부적격자들을 교체하기 위함이다.이번 대선에서 이들을 국민들이 준엄하게 끝장내야 한다.,True,1,2025-05-13T21:19:03+0900,859480877321682975,2,1,0
sbk7****,,,False,1,2025-05-14T09:30:38+0900,859528008950612168,0,0,0
rlak****,aMezv,정청래.개딸아들,True,1,2025-05-13T22:03:18+0900,859483727921676454,1,0,0
utrm****,,,False,1,2025-05-13T21:29:47+0900,859481568895304072,0,0,0
theg****,6rgll,내란 계토레이 빠는 딱까리들도 끝이 보인다 6월3일 이후로,True,1,2025-05-13T21:27:42+0900,859481434459472135,1,0,0
jura****,,,False,1,2025-05-13T21:10:25+0900,859480321005977760,0,0,0
ffen****,,,False,1,2025-05-13T17:58:30+0900,859467956650770630,0,0,0
play****,,,False,1,2025-05-13T23:51:35+0900,859490704626286742,0,0,0
kill****,3JIfy,국회의원도 탄핵해야함,True,1,2025-05-13T22:09:15+0900,859484111029403774,0,0,0
kims****,4pQlf,"조작의주체가되같고, 누가지시했는지 불어야 정당할것이다",True,1,2025-05-13T21:31:18+0900,859481666404483214,0,0,0
pyoj****,,,False,1,2025-05-13T21:27:36+0900,859481427866026203,0,0,0
tjdw****,8wGRW,이재명이 한넘 살리려고  이죄명 충견똥개들이  대한민국을 참몰당하고있다,True,1,2025-05-13T21:26:31+0900,859481358509015236,0,0,0
mudd****,3zLr4,수사가 제대로 안됐지.,True,1,2025-05-13T21:20:27+0900,859480967063011535,0,0,0
kamu****,,,False,1,2025-05-13T21:17:53+0900,859480801757102436,0,0,0
park****,53MTQ,국개 제재  방법은 없나?,True,1,2025-05-13T21:16:22+0900,859480704264700055,0,0,2
leec****,1y8S7,이놈의 나라는 어떻게 죄를 지은 검사 유죄 따내기가 하늘의 별따기고.,True,1,2025-05-13T21:16:21+0900,859480703392284809,0,0,0
jhl7****,67rWt,"판새검새들은
치외법권인한국
의새도요즘은그런것같던데",True,1,2025-05-13T21:07:41+0900,859480144543219983,0,0,0
xmas****,3pwBv,모든 공직에서 암약하는 내란수괴 씹썩렬 같은.자들을.쳐 내야 함,True,1,2025-05-13T20:53:39+0900,859479240452604147,0,0,0
moca****,,,False,1,2025-05-13T20:50:37+0900,859479045887230199,0,0,0
artm****,4e2sz,헌법재판소무용론이필요하다,True,1,2025-05-13T20:50:27+0900,859479035216920748,0,0,0
oper****,5IF82,에라이 똥물에 튀길놈들,True,1,2025-05-13T20:45:39+0900,859478725610176778,0,0,0
tjdm****,V3DX,썩은 정치 판새들이 사법부를 먹잇감으로 정치에 던져줬다.,True,1,2025-05-13T20:43:44+0900,859478601878208821,0,0,0
gksf****,,,False,1,2025-05-13T20:41:02+0900,859478428603121686,0,0,0
choi****,29GTt,검찰이 ㅇㅇ하니 판사가 ㅅㅅ한거지,True,1,2025-05-13T20:31:10+0900,859477792377536601,0,0,0
gudg****,Us47,인용에 기댈 잉간? 馬씨,True,1,2025-05-13T20:15:56+0900,859476811346608507,0,0,0
shrc****,1D0aB,지금 맛있는거 많이 드셔요,True,1,2025-05-13T20:06:22+0900,859476195136241835,0,0,0
