user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
007d****,2fWvZ,"민주당은 애초부터 태어나지 말아야할 당이었다.
악의축 민주당을 해산해야 이 나라가 바로선다",True,1,2025-04-22T11:19:03+0900,857494025769320481,751,274,33
lova****,4qFRt,"솔직히 민주당 지지하는사람들 뇌가없는듯..
하는짓이 그냥 지맘대로인데..
사법 입법 조정하고 찢이 대통령되면
폭군될텐데..사실정치라는건 적당히 여야 섞여야
국민한테  더 좋은거다.
그래야 표얻고 싶어서 국민들이 더 잘살수있게 해주고..
당장 25만원에 미래가 더 암담해질수 있다",True,1,2025-04-22T11:45:28+0900,857495727281012918,406,69,19
dalg****,,,False,1,2025-04-22T11:27:12+0900,857494550057320549,0,0,11
4418****,,,False,1,2025-04-22T11:52:50+0900,857496201992339750,0,0,6
gofe****,,,False,1,2025-04-22T11:48:04+0900,857495895086727195,0,0,2
khj0****,8fyKi,탄핵탄핵탄핵!!!!지긋지긋한 민주당 놈들아이젠 니들이 탄핵대상이다!!!,True,1,2025-04-22T11:50:08+0900,857496027861614653,140,17,3
ccc3****,3yYz9,"민주당,,,,,한덕수권한대행이윤아바타라고,,,그래서비상계엄을반대했나,,,,,,,,김민석,,,,제정신인가,,,,,,,,,,,,제2의이완용이라고,,,,,,,법카로생활비쓴자가제2의이완용아닌가,,,,특히일제샴프만쓰던자아닌가,,,,,,,",True,1,2025-04-22T11:13:44+0900,857493683010797820,117,19,3
ymyo****,cN7nY,더불어범죄당 놈들이 한덕수를 많이 겁내고 있구나. 찢죄명이는 뭔짓을 해도 안된다. 부정선거 믿고 까불지만 이번에는 택도없다. 국민들이 다 보고 있다.,True,1,2025-04-22T11:59:55+0900,857496658399723865,90,6,0
pjsu****,3nfys,민석아 말로만자꾸 지껄이지말고 그냥 탄핵해라ㆍ니들이 할수있는게 재명이한테 아부하고 탄핵밖에 할줄아는게 없잖아,True,1,2025-04-22T12:24:54+0900,857498268022604102,63,2,0
pfve****,4Rvpz,"한대행님 정말 고심도 많으시고 애 많이 쓰십니다
이쯤되서 아 윤대통령이 왜 계엄했는지 이해가 조금은 가실듯 심적으로….",True,1,2025-04-22T12:03:55+0900,857496916450083132,77,18,4
sonj****,dP6x4,"이것들은 지들맘에 안들면 무조껀 탄핵이다. 나라든.정부든 마비되도.민생예산 다 짤라 놓고 윤탄핵되니 추경하라고 난리고 뭐 저런 인간들이 다 있노
국회 독재요. 폭력집단아니가",True,1,2025-04-22T12:24:53+0900,857498266797867336,58,2,0
lily****,2c4fU,탄핵남발시 횟수 정해서 횟수 넘기면 국회의원 각종 권리를 축소 하는 법을 만들어야 됩니다 민주당 연일 탄핵 남발 합니다,True,1,2025-04-22T11:55:19+0900,857496362114089067,56,3,1
seun****,1Pci9,민주당은 대한민국에서 영원히 없어져야할 집단이다,True,1,2025-04-22T12:26:31+0900,857498371588358319,47,4,2
siwo****,3xarB,민주당은 뭐 불리할 것 같음 다 탄핵하쟤ㅉㅉ 선거 잘하세요 여러분,True,1,2025-04-22T12:25:01+0900,857498275505242122,38,2,1
sbc0****,54Emp,탄핵중독당 탄핵해라,True,1,2025-04-22T11:56:38+0900,857496446788698353,35,2,2
swee****,,,False,1,2025-04-22T13:28:49+0900,857502385520509249,0,0,1
skyc****,5Fuut,우리나라는 민주당만 없으면 세상 조용할듯 뭔 가십거리를 맨날 저리 만드는건지 모르겠다,True,1,2025-04-22T12:42:38+0900,857499410366464239,23,3,1
5293****,etqOi,민주당이  한덕수 출마를  겁먹고있구나   한덕수가 추악하면  민주당범죄자들은      민새가  말해봐라     한덕수 탄핵해봐   사기꾼ㅇ공갈범들이나  하는말을  정치하는놈들이 하고있다,True,1,2025-04-22T11:34:02+0900,857494990929002523,28,9,2
wiha****,MuZQ,저  엄지손가락 할배도  좀 안보고살자.,True,1,2025-04-22T11:13:57+0900,857493696969441612,22,5,0
lego****,5Urkz,감옥 안 가려고 출마하고 거기에 찐붙은 찢주당이 남보고 방탄출마랰ㅋㅋㅋㅋ 그리고 지금 두창이도 손절 못하는 국힘이라는 당 간판이 무슨 매력이 있다고 문을 열겠다느니 헛소리냐 니들이 나와야지 나와서 반찢연대 단일화에서 설령 패배해도 막산이 이기기 위해 뒤에서 뛰겠다는 각오로 해야지 정말 막산이 이길 생각은 있는거냐 ㅋㅋ,True,1,2025-04-22T11:27:04+0900,857494541534494762,18,1,0
dghh****,2bRDO,이재명 탄핵,True,1,2025-04-22T12:22:39+0900,857498122564141304,11,1,0
moto****,3ctdc,"지금 민주당은 한덕수땜에  떨고 있구만..
한덕수 대선출마하는건 기정 사실이고
국힘하고 같이 할것이고 거기다 이낙연까지 손 잡으면 전북 전남 표 30프로는 나올것이고..대구경북도  밀어줄것이고 해볼만한 선거인데..흥미롭네..이번 대선! 이재명 떨어지면 콩밥  먹으러 갈텐데..우짜노!",True,1,2025-04-22T12:26:34+0900,857498374742474960,10,1,1
sung****,3YlGo,지금 한덕수 총리보다 나라를 생각하는 사람 있냐 ?  헌재 재판관과 판사들은 보신에 급급하고 ㅜ 민심을 외면하고 범죄자 방탄만 일삼은 탄핵남발당은 대선에서 심판 받을 거다.,True,1,2025-04-22T12:56:40+0900,857500314557743355,11,3,0
4565****,1Zxzp,민주당 아직도 정신 못차렸네   위협적이다 싶으면 무조건 탄핵이니 미쳤어 저런것들이 국회에 있다는게 ~ 싹다 갈아없었으면  좋겠네,True,1,2025-04-22T13:02:17+0900,857500676039639168,9,1,0
kimg****,,,False,1,2025-04-22T13:36:34+0900,857502885146001640,0,0,1
kms0****,3FtPj,이재명이가 한덕수대행 얘기만 나오면 경끼를 일으킨다고 합니다. 경제 통상의 천재 한대행과 경제깜깜이 이재명이가 비교된다고 하네요,True,1,2025-04-22T12:07:00+0900,857497114857439238,8,1,1
amig****,d9APD,국가보안법 ~~ 간첩행위ㆍ국가체제전복선동ㆍ북한찬양 위반 범죄자가 23명이 민주당  국회의원이라니  나라가 등잔불 앞에 어린애같은 위험 지경이다 ~~~ 장난같은  탄핵을해서 직무정지부터 해서 국정을 마비시키는 거대야당 이런 거대 야당을 지지한다면 그들은 간첩이거나 반국가 세력이다,True,1,2025-04-22T12:35:59+0900,857498981373051221,8,2,1
papa****,1BsVz,아바타  무속 선동질 레파토리 지긋지긋하다,True,1,2025-04-22T11:44:44+0900,857495680556466489,8,2,1
kaka****,,,False,1,2025-04-22T14:27:04+0900,857506138399178786,0,0,0
youn****,dTwbu,"우습구나,~~~~탄핵소리가  나온다면,   국민들이
핵무기를 사서  국회내에 터뜨릴것으로  생각된다~~~~  169명이  몰산살되기를 기대한다~~~~",True,1,2025-04-22T13:56:41+0900,857504181387264257,6,0,0
