user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
soha****,dl0xi,감옥 가야 되는데 대법원은 뭐하고 있나,True,1,2024-11-11T12:49:13+0900,842470885133647962,411,3,3
wonn****,2ADeG,인간아 넌 5년전 약속한 웅동학원 사회 환원 약속이나 먼저 지켜라!,True,1,2024-11-11T13:44:07+0900,842474421686894649,251,4,2
amik****,aJAds,먼저.이재명구속이다..그리고.조국도구속..그뒤에순서대로.,True,1,2024-11-11T13:47:00+0900,842474607796551685,181,4,0
forc****,,,False,1,2024-11-11T12:34:34+0900,842469941062926587,0,0,1
sfss****,,,False,1,2024-11-11T12:57:50+0900,842471439519973722,0,0,0
gcle****,azTJN,"이 인간 자기와 자기 가족들 더러운 허물은 아닌척 하면서 무슨 대통령 탄핵 운운하는지?
너부터 감옥가 충분한 참회를 해 보길 바란다",True,1,2024-11-11T13:31:46+0900,842473625876431180,43,1,0
vick****,,,False,1,2024-11-11T13:56:07+0900,842475194361577521,0,0,0
dndu****,4pkGs,언제부턴가 범죄자들이 판치는 대한민국  빨리 구속시키자,True,1,2024-11-11T15:32:10+0900,842481383157792855,20,1,0
sang****,9tNWH,징역선고를 받은자가  언론에터들고다니면 대통령. 탄핵소리 하는것은 일반 국민상식으로는 이해불가다. 자신부터 돌아보길ᆢ,True,1,2024-11-11T13:48:17+0900,842474690239791232,20,1,0
okvi****,,,False,1,2024-11-11T14:28:49+0900,842477301596684665,0,0,0
yks1****,24Mc0,교도소 갈 시간 다가오고 있다. 너 떨고있냐,True,1,2024-11-11T14:33:50+0900,842477624272880027,18,1,0
sami****,4oYsJ,이런 사람이 국회의원이 되고 대통령 탄핵떠든다는 세상이참으로 어의없다.대법 판결은 뭐하는건지.정말로 세상 참으로 불 공평하다.하루빨히 감옥가는것을보자.,True,1,2024-11-11T17:17:09+0900,842488146288443456,15,1,0
oheh****,1cNhe,"조국아 어떻케해서 니자식만위한답시고 법을안다는 조국아 어떻케 부정한방법으로 조국과마누라까지합세해서 그 많은 젊은 입시생들에게 마음에그리큰상처를 안겨줄수가있느냐 그래서 법으로 구속판결받았으나 조국아 대법원판결받아보겠다고 했으니 좀 기다려봐라,,그땐 법정구속이다,,알겠느냐~~국민들이 강력하게 경고한다~~",True,1,2024-11-11T16:00:57+0900,842483237241487797,13,1,0
icke****,GJhz,윤석열은 너희들같은 범죄혐의자들이  찧고 까불만큼 그런사람이 아니란다. 5%의 지지율을 갖고 무슨 정치를 한다고 깝쭉대는지 쪽은 안팔리니? 하기는 팔아먹을 쪽도 가오도 없지만.,True,1,2024-11-11T13:45:16+0900,842474495724748922,13,1,1
jasp****,azRuU,이재명.조국등 이런사람들이 말하니 국민들에게 호응.씨알이 안먹혀 범법자들이라는 것 알아서 참 야권도 자충수.부메랑에 자기들이 죽는 것도 모르고 저 두인간은 살아 남을줄 착각속에 강성 지지자 3~5만이 전국민들을 이길 수 없다.,True,1,2024-11-11T13:52:10+0900,842474940237086799,12,1,0
reyo****,,,False,1,2024-11-11T12:33:58+0900,842469902559216009,0,0,0
8297****,5BZiJ,조국이 재판 질질 끌지마라  대한민국 국회의원 질 떨어진다,True,1,2024-11-11T19:56:12+0900,842498393090555978,8,0,0
yuyu****,KAIY,꼴값도못하는 조국아.그런다고 대통령될줄아나?조국과 이재명은 대통령되면 나라거덜내고 김정은한테 넘길텐데..,True,1,2024-11-11T16:45:38+0900,842486116127867133,8,0,0
ymo9****,3qThY,"미치광이 수준의 조국아~
네죄나 벌받고 말해라",True,1,2024-11-11T14:18:48+0900,842476655673868665,8,0,0
jami****,YOCY,세상 좋아졌다 .범죄자가  저런말을  해도 되냐,True,1,2024-11-11T15:48:57+0900,842482464248037808,7,0,0
alli****,8Pfnq,대법원 머하냐 빨리 3심 판결해라 내가 내는 세금으로 저런 범죄자 세비 주는것 열받는다,True,1,2024-11-12T07:38:06+0900,842543612251078684,5,0,0
sins****,28Sdg,"C,,,,B   무슨넘의 나라가 전과자들이 다 기어나와서,,,,참나",True,1,2024-11-12T03:09:47+0900,842526326148563025,5,0,1
csco****,3jCpv,국가에 헌납하기로한 니들 웅동학원부터 내놓고 떠들어라. 진짜로 니얼굴만봐도 구역질 나오려한다. 대법원판결은 왜 이렇듯 늦는것인지?,True,1,2024-11-12T07:35:13+0900,842543427080945716,4,0,0
leeg****,4Qr3f,이딴게 법대 교수였어? 범죄자는 감옥에 가라,True,1,2024-11-12T04:05:23+0900,842529907899629592,4,0,0
mspe****,6FAXB,"융동학원이나 빨리 환원해라,범법자가 어떻게 저런말을 저렇게 뻔뻔스럽게 할수있나 도대체 이게  나라냐.",True,1,2024-11-11T22:38:53+0900,842508873666396475,4,0,0
smil****,2zTym,대통령이 너 친구니?? 국민과 나라를 분열만 시키고 스스로는 부끄러움을 모르는 한심한 인간!!,True,1,2024-11-11T20:11:48+0900,842499398482002159,4,0,0
wjyo****,3rVdq,"범죄자가 날 뛰는 세상
이게 정상입니까?",True,1,2024-11-11T19:24:28+0900,842496348786786499,4,0,0
omfs****,,,False,1,2024-11-11T18:11:26+0900,842491643348123815,0,0,0
blue****,,,False,1,2024-11-11T16:36:01+0900,842485495857414162,0,0,0
jans****,2rriQ,"인간이길 거부하는  범법자,  더이상 거짓 변명하지말고  네수사나  제대로 받아라!",True,1,2024-11-11T15:32:17+0900,842481390070005881,4,0,0
15td****,22U7C,대법원아. 진짜 일마 이거 좀 어째 빨리 처리해라 뭐하는데?,True,1,2024-11-11T14:12:12+0900,842476231411630166,4,0,0
lts0****,6j0pm,감방에 쳐박혀 있어야 할 넘이 뻔뻔하게 상판대기 들고 다니면서 뭔 개소리야? 너 같은 기생충 때문에 개나 소나 다 국회의원을 한다는 말이 나오는 것인 줄을 모르나? 너 스스로 생각해도 역겨울 것 같은데...,True,1,2024-11-12T07:54:27+0900,842544665944129671,3,0,0
pyue****,512mf,"너희들이망처놓은나라,바로세우느라,애쓰는대,그것마저해방놓고,자빠진것들이너희들이지,제수없어,,",True,1,2024-11-11T18:55:44+0900,842494497840431371,3,0,0
swak****,2dfTm,이건 그냥 북한으로 보내버려라 😠 😡   ㅉㅉ,True,1,2024-11-11T17:37:16+0900,842489442244493434,3,0,0
walk****,2qre3,입만 살아있는범죄자는 구속후 입을 꼬매야 한다,True,1,2024-11-11T17:23:57+0900,842488584794538389,3,0,0
kmak****,,,False,1,2024-11-11T16:50:35+0900,842486434811085061,0,0,0
pite****,2fsL1,"가족사기단 조국!!  즉각 사악한 입을 다물지 않으면, 형량이 더 늘어나는 구속시간이 올 것 !!",True,1,2024-11-11T14:54:51+0900,842478979116958024,3,0,0
wjdg****,,,False,1,2024-11-12T05:17:44+0900,842534569230991399,0,0,0
west****,1shxi,넌 그런 걱정 안해도 된다. 깜빵이나 조용히 들어가라,True,1,2024-11-12T03:48:10+0900,842528798841765899,2,0,0
jmy6****,ee4CZ,뻔뻔함이 하늘을 찌르는구나..  빨리 빵에나 가라 보기싫은노마,True,1,2024-11-12T03:18:49+0900,842526908787720248,2,0,0
nere****,2Zs9S,당신은 아직도 감빵 안갔니??? 권력이 좋은거야??? 재주가 좋은거야??? 일반 국민들이라면 선고 받으면 바로 가는게 감빵 아니냐???,True,1,2024-11-12T02:26:11+0900,842523517911040015,2,0,0
tedb****,cVNt0,뭘 국민에게 반납하라고? 국민 타령하는 놈 또 하나 있네. 너야말로 자동적으로 곧  의원 반납이다.,True,1,2024-11-11T23:34:11+0900,842512436023001158,2,0,0
park****,32UJw,간첩들이 활동하는 민노총과 어울린자들을 왜가만히두나?,True,1,2024-11-11T22:40:13+0900,842508959901286472,2,0,0
mspe****,6FAXB,이인간 진짜 웃기네 댁은 왜 아직 감옥안가나 무슨 이런 나라가 다있나 범죄자가 국가 세비를받고 떳떳하게 대통령 물러나라하고 참 정신 나간 나라다,True,1,2024-11-11T22:37:15+0900,842508768959791195,2,0,0
gree****,tAKd,위조나 하던 놈이...,True,1,2024-11-11T21:47:23+0900,842505555619610753,2,0,0
dann****,1PAJy,김일성 장학생,True,1,2024-11-11T21:43:12+0900,842505286731169860,2,0,0
skh1****,amEDp,본인이 그런말 하닌까  국민이 싫어 하는거임,True,1,2024-11-11T20:03:31+0900,842498864865870019,2,0,0
chan****,1Pktm,넌 빵에나 들어가라 좀 아들놈 시험보는데 아빠는 준비됐다. 당신은?  이라고말했던 좀스러운 가족들,True,1,2024-11-11T19:48:38+0900,842497905175560422,2,0,0
gamj****,ubeq,"또 거짓말 
웅동학원은 언제사회환원시키냐?",True,1,2024-11-11T18:30:56+0900,842492899525394777,2,0,0
ris2****,,,False,1,2024-11-11T18:18:45+0900,842492114620121378,0,0,0
tkfk****,ayBu1,공산당놈들 탄핵을 밥먹듯. 얘네 전부 북으로 추방하라,True,1,2024-11-11T17:54:37+0900,842490560093618433,2,0,0
dksd****,1kJKq,서울대서 훔친 컴퓨나 즉각 반납해라~~~,True,1,2024-11-11T17:33:58+0900,842489229224182216,2,0,0
vvkm****,,,False,1,2024-11-11T17:11:54+0900,842487807606784391,0,0,0
geta****,3YQof,될 하야도 당신이 나서면 안된다고. 3심 판결은 언제야? 빨리해라.,True,1,2024-11-11T16:52:29+0900,842486557620306155,2,0,0
heey****,,,False,1,2024-11-11T16:34:52+0900,842485422356431206,0,0,0
siba****,,,False,1,2024-11-11T16:28:26+0900,842485007657205928,0,0,0
c186****,,,False,1,2024-11-11T16:22:44+0900,842484640101957961,0,0,0
youg****,Il2l,"조국이 구속되는게 빠를까? 윤석열 대통령이 하야 하는게 빠를까??? 정답은 ~~~~~~, 조국이 구속^^대법원 선고 임박!!!",True,1,2024-11-11T16:11:33+0900,842483919956738306,2,0,0
053k****,2bXNCx,"조국 본인 살자고. 
국민이 선택한 대통령을 탄핵한다고
제발 정신 차리세요,
국민들이 보고있습니다,",True,1,2024-11-11T16:09:51+0900,842483810804171151,2,0,0
wegi****,,,False,1,2024-11-11T15:23:26+0900,842480820651294916,0,0,0
mybd****,dOeZP,"탄핵이란 단어 쪼국이 쓸말은 아닌것 같은데 조용히 자아성찰하며 빵에가 지내면서
반성문 쓰고 해야지",True,1,2024-11-11T14:47:52+0900,842478528665485706,2,0,0
kgb1****,,,False,1,2024-11-11T14:43:35+0900,842478253183598885,0,0,0
