user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hyxi****,4tb2y,"북한이 무슨 더러운짓,위험한짓, 무도한 짓을해도 비평은 커녕 비호하는 발언이나 하던 잡배들이 갑자기 무슨 해괴한 짓을 또...
하여간 이 더불어 범죄당은 추방되어 사라져야할 집단임이 확실 해졌다.",True,1,2024-11-19T10:19:56+0900,843203437775552874,82,3,0
akm_****,,,False,1,2024-11-19T10:19:42+0900,843203422223073549,0,0,3
jyd1****,1QtmH,"판사탄핵, 검사탄핵, 대통령탄핵. 파괴신더듬당 전부다탄핵!!  더듬당대표나 탄핵해라",True,1,2024-11-19T10:52:05+0900,843205509090639906,32,1,0
sibc****,2ciKJG,니들(민주당)은 해산되어야됨. 될꺼임.,True,1,2024-11-19T10:35:13+0900,843204422094815326,14,0,0
sasc****,1J3XH,"저번에 문재인 찍고 민주당 180석 찍은 서울, 경기, 전라(설경전일체)가  조국사태, 짜파구리사태, 부동산사태까지 다 겪어놓고도 이번에 민주당 190석이나 찍어줬던데 니들은 그냥 북한 넘어가서 아오지석탄캐며 유토피아 건설 하는게 낫지 않습니까? 정말 어이없네요",True,1,2024-11-19T10:57:08+0900,843205834233086007,9,1,0
nave****,,,False,1,2024-11-19T10:21:36+0900,843203545518833903,0,0,0
keg7****,,,False,1,2024-11-19T11:11:37+0900,843206767297954064,0,0,0
yo_c****,3pxf5,국회의원 탄핵은 없냐? 더불당 국회의원 그만둬야 될 사람이 너무 많은데,True,1,2024-11-19T11:11:43+0900,843206773555855663,5,0,0
yong****,1THuR,"민주당 정닌나갔나 어떻게 나라를지키는 전군의
장관에대하여 탄핵한다고, 국민의 한사람으로서
민주당 대표와 최고의원 전부를 탄핵시킵시다!!!",True,1,2024-11-19T13:28:46+0900,843215603689849138,4,0,0
want****,,,False,1,2024-11-19T11:10:51+0900,843206717536731486,0,0,0
gusw****,8RFCz,민주당을 탄핵하자 민주당 해체가 필요함,True,1,2024-11-20T23:33:13+0900,843347316193624125,3,0,0
jhs1****,cGNAi,이재명이  대장동에서 취득한 불법수익 수천억을 민주당과 친야단체에 살포하며 선동질 규합하고있다반드시중형으로처단해야할 .참으로사악한범죄자 이다.,True,1,2024-11-19T16:36:21+0900,843227688184316051,3,0,0
ha42****,35LZW,김정은이 좋아할짓만하는 김민새는 간첩이다...북한에 가서 살아라...,True,1,2024-11-19T12:19:54+0900,843211166434984291,3,0,0
jans****,2rriQ,"어려운 경제상황에  이재명 본인범죄 방탄하려고 탄핵놀이에 빠진  이재명과 호위부대 민주당
의원들(박찬대, 김민석,정청래, 전현히,최민희)반듯이  대한민국에서 사라지게 해야할 집단이다.",True,1,2024-11-19T11:13:18+0900,843206876031090810,3,0,0
whwn****,,,False,1,2024-11-19T10:37:48+0900,843204589195886891,0,0,0
abjs****,31pFq,하다하다 이제는 국가안보를 책임지는 국방부의 수장을 탄핵한다고 하는데 이는 평양의 노림수에 말리는 것일수도. 국방장관이 탄핵당할 무슨 잘못을 저질렀는가? 풍선보내는 것 때문이라면 번지수를 잘못 찾은것이고.  국가 수호하는데 고생하는 군인들을 화나게 하지 말기를~~~~,True,1,2024-11-19T11:05:34+0900,843206377361899740,2,0,0
tkdg****,cMoXO,대북전단 금지하려다 위헌떴는데 무슨근거로 막음?,True,1,2024-11-20T11:01:57+0900,843298915418636692,1,0,0
jhs1****,cGNAi,사꾸리 각지원시자식은우리사회에서살가치가없는놈시다.,True,1,2024-11-19T16:23:09+0900,843226837227143242,1,0,0
khjk****,djOIb,열심히 탄핵해라...  불어서 터진 애들은  찢어져 공중분해 될것이다.,True,1,2024-11-19T14:12:52+0900,843218444206735702,1,0,0
ohse****,4dOyb,정은이는 핵미사일날리고 더불어는 탄핵 날리고,True,1,2024-11-19T13:11:35+0900,843214496192266483,1,0,0
kye7****,,,False,1,2024-11-19T12:58:09+0900,843213630806687803,0,0,0
gabu****,2jyKq,진짜 저놈의 운동권 때문에라도 대한민국에 삼청교육대는 부활해야지.. 매가 약이야 저런놈들은,True,1,2024-11-19T11:08:52+0900,843206589912449363,1,0,0
kkgy****,DTOx,겁먹은개가 요란하게 짖는다더니!,True,1,2024-11-19T10:52:25+0900,843205530699694252,1,0,0
mbs5****,4VeN9,"김민석 국개는 군대도 못간
오롯이 북한 김일성 족속들만 대변하는
대표적 좌파운동권.
이런 놈이 민주당 국개라는게  🐕 웃긴다",True,1,2024-11-19T10:37:48+0900,843204588575129929,1,0,0
dosa****,206iY,탄핵제도 자체를 아예 없애버려야한다!  미국처럼!,True,1,2024-11-19T10:27:54+0900,843203950537605436,1,0,0
hyxi****,4tb2y,"김민석, 그래도 초창기에는 의기라도 느껴졌는데 어쩌다가 양아치 같은 범죄자의 똘마니로 변해버렸는가? 부끄럽지 않은가? 네 아이들은 부끄럽다 하지않던가?",True,1,2024-11-19T10:27:26+0900,843203920573497510,1,0,0
kjh1****,,,False,1,2024-11-19T10:17:25+0900,843203275707646125,0,0,0
wiav****,W2Tg,"북괴  오물풍선  등  침투에는   대북방송   대북전단   살포는   효과적인   수단인데   이를   막으려   국방장관  탄핵하는   민주당은   반역  집단으로  보고   국가안보차원에서   체포   구속해야   하는데   6.25 때   수백만   국민을,김대중  때  두 차례 연평해전  등으로  많은   국군들  순국했는데   간첩들   수두룩한   정당   지지하는  현실  타개   없이   미온적인   용산으론   어려워.",True,1,2024-11-21T06:50:52+0900,843375511160750156,1,1,0
ciea****,1oxxX,국지전 유발해서 계엄하려는 국방장관은 당연 탄핵감이다. 파면하고 내란죄로 엄벌을 줘야한다.,True,1,2024-11-19T23:19:51+0900,843253682886672646,1,1,0
dlqe****,9UqSr,죄는 판사가 묻는거야. 니들이 묻는게 아니고 개딸들아.  집회는 무슨 집회야.  저 얼굴봐라. 간사하지않냐 니들이 생각해도.  도대체 관련인을 몇이나 죽음에 이르게 했냐.  악한 영이 저 집안 모두의 생명을 갉아 먹고있구나,True,1,2024-11-24T17:19:30+0900,843694324569866371,0,0,0
