user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sung****,67d1A,대 석 열,True,1,2025-06-03T10:20:06+0900,861386622090870824,732,131,37
rmfp****,3aYDr,덕분에 민주당 만행 다알았네,True,1,2025-06-03T10:33:49+0900,861387506099159319,310,64,14
asel****,Zud2,"대통령님 힘내세요
항상 응원하고 지지합니다",True,1,2025-06-03T10:20:38+0900,861386656551272626,373,177,18
hshv****,koDd,대통령님. 건강하세요.,True,1,2025-06-03T10:29:24+0900,861387220936818827,194,41,9
hana****,2xQKH,윤대통령 계엄령이 2030을 비롯한 많은 국민들을 깨어나게 했습니다. 윤대통령님 끝까지 국민과 함께 싸워주세요,True,1,2025-06-03T10:35:02+0900,861387584180322321,130,36,10
0803****,ayrwn,윤카 건카 건강하세요ㅠㅜ 김건희 여사님은 날씬하시고 옷도 잘 입으셔 증말~:D 사랑합니다 꼭 제발 다시 보고싶습니다 정말 고맙습니다 윤통 영원한 대통령이다,True,1,2025-06-03T10:29:54+0900,861387253115519255,108,60,5
syj8****,4SdqE,아무 죄없는 대통령 탄핵 시키고 대통령 선거 하니까 좋냐? 1찍들아? 그만 괴롭혀라 좀,True,1,2025-06-03T10:34:22+0900,861387540945436804,62,21,7
raw2****,n2iS,대석열의 계몽령으로 우리나라가 절체절명의 위기에 빠진 것을 알게 되었습니다 반드시 이번 대선에서 승리하고 윤 대통령님의 명예 회복을 위해 노력하겠습니다,True,1,2025-06-03T10:35:48+0900,861387633874436362,48,8,1
esth****,2XpGe,"반국가 세력과  부정선거  척결을 위해  계엄하신  대통령을   결국  반국가 세력들이  내란이란  오명을  씌워서  파면시켰다.  더불어 공산당,  선관위,  검경, 사법부, 언론  그리고  더불당 2중대인  국민의 힘  아닌  배신의 힘까지  전부  한통속...  이 나라는  오래 전 부터  반국가 세력들의  시나리오대로  돌아가고 있다.  3년 전 윤대통령  당선되자 마자  시작된  탄핵 협박...  결국 대통령은  탄핵되었고 더불당은  부정선거로  나라를  집어삼키려  하고있다",True,1,2025-06-03T10:39:19+0900,861387859494436954,39,7,1
kmyj****,tTse,윤석열이 옳았다 자유민주주의 사수하자,True,1,2025-06-03T10:39:22+0900,861387863554523265,34,6,0
jel2****,1H0rq,대통령님 보고싶습니다.건강하세요. 사랑합니다^^,True,1,2025-06-03T10:32:50+0900,861387441775313182,26,4,0
kimf****,1Gx2b,"기죽지마세요
나라상황 알려주신거 감사합니다!",True,1,2025-06-03T10:34:21+0900,861387539552927867,23,3,0
gmpl****,B5YM,존경하고 사랑하는 영원한  나의 대통령♡,True,1,2025-06-03T10:33:27+0900,861387481621201058,22,4,1
hwam****,3Hro0,대한민국의 영웅 대석열,True,1,2025-06-03T10:36:31+0900,861387679877562545,21,3,0
jani****,j8Yz,요도견들 젓가락 쑤시는 소리 많이 보이노~,True,1,2025-06-03T10:35:16+0900,861387599128821854,18,1,0
gkzj****,1GkHC,너 땜에 다시 뽑는거야 부끄러운줄 알아야지!,True,1,2025-06-03T10:32:27+0900,861387417280577705,25,9,1
qldy****,38BWD,윤대통령이 옳았다! 부정선거 척결!,True,1,2025-06-03T10:46:45+0900,861388338752389361,16,3,0
ysg8****,,,False,1,2025-06-03T10:36:17+0900,861387664694181983,0,0,0
dkfl****,eF78I,내 마음속 유일한 대통령,True,1,2025-06-03T10:33:22+0900,861387476873248885,12,2,0
blue****,R6XJ,저건 또 무슨연출이래? 갑자기 애들 손은 왜 잡고 연출을...진짜 끝까지 수준 한심하다.,True,1,2025-06-03T19:37:01+0900,861422500905484300,10,0,0
rawr****,6movB,ㅋㅋㅋ진짜 염치없네,True,1,2025-06-03T10:20:44+0900,861386662406521052,14,6,0
slal****,4v7ka,자유대한민국 만세!,True,1,2025-06-03T10:39:25+0900,861387866490536059,10,2,0
gusw****,1Dmv3,윤대통령님이 최고다.  이 나라의 진상을 알려주셔서 감사합니다. 윤어게인,True,1,2025-06-03T11:55:30+0900,861392768222625949,9,2,0
afri****,,,False,1,2025-06-03T11:01:04+0900,861389260693962773,0,0,0
kahl****,2ctUv,응원햅니다.우리 대통령님,True,1,2025-06-03T10:35:36+0900,861387620335222986,8,1,0
g44g****,2OUwH,등심~대똥되고 용산간다고 혈세 수천억~엑스포유치한다고 혈세 수천억쓰고 국제적 개망신~총선압두고 생뚱맞게 의사2000명 증원한다고 생고집 부려서 엄한 국민들 수천 죽어나가고~대명천지에 뭔 계엄한다고 뻘짓해서 탄핵당해 대선치르는데 혈세  수천억~니가 지금 웃으면서 투표장 갈때냐~자진해서 마눌 손잡고 감방이나가라~,True,1,2025-06-03T13:27:47+0900,861398713833095431,7,0,0
kad7****,OFCl,저 역적들 빨리 구속하라!,True,1,2025-06-03T11:18:12+0900,861390364534112328,9,3,0
jinh****,14jUu,"범죄자들이 활개치고 다니고 그렇게 정의를 부르짖던 검찰은 여전히 개 노릇이나 하고, 만일 이런 짓을 한게 이재명이었으면 벌써 모든 검사가 출동해서 구속시켰을걸.... 그래서 대한민국 검찰은 개들이라는 거다... 이런 중대 범죄자들을 기소도 안하고 잡아가지도 않고,,, 누가 대한민국 법을 지키려 하겠는가, 검찰은 최악의 조직으로 변한거야,,,",True,1,2025-06-03T12:06:59+0900,861393507477094746,8,2,0
gkdk****,4LXvQ,계엄을 왜 해가지고 이 난리를 만들어;; 리재명 민주당 것들이 천지분간 못하고 쳐설치는 꼴을 만들어놔 왜;; 계엄을 왜 한거야 도대체? 왜??? 왜??????,True,1,2025-06-03T21:10:30+0900,861428524093800788,7,1,0
chub****,1lPlG,아직도 웃어? 너때문에 국민들이 개고생인데,True,1,2025-06-03T13:14:53+0900,861397881750290745,7,1,0
jmyy****,3HvSI,댓글에 김어준 광신도자들 많네 ㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-06-03T10:53:35+0900,861388779070423219,7,1,1
t2rd****,4sjgC,윤석열 마지막 희망은 김문수다..,True,1,2025-06-03T10:23:57+0900,861386870108455194,7,1,0
hani****,13MEz,갓석열,True,1,2025-06-03T13:37:22+0900,861399330781659259,6,1,0
indy****,ydkz,김문수 좋겠어...2표 건졌네...그리고 100만표 날라갔고,True,1,2025-06-03T12:44:59+0900,861395955709116729,6,1,0
kbmi****,5dQeh,깜빵이 코앞인 이재명한테 뜬금계엄으로 대통령 넘겨주고 깜빵 코앞에 있는 상 모지란놈,True,1,2025-06-03T11:55:14+0900,861392750723989569,6,1,0
suk7****,bFFKL,누구땜에 지금 선거치루고 있는데 투표할 생각하냐. 누가보면 정상임기 채우고 끝난부부가 투표하러 나온줄. 뻔뻔그자체,True,1,2025-06-03T11:12:33+0900,861390000552411320,11,7,0
kimj****,2HjH7,김건희 멀쩡한데 건강핑계대고  검찰에 안나왔네,True,1,2025-06-03T11:25:30+0900,861390835520897217,8,4,0
seco****,2ADPs,감빵에 있어야 할 부부,True,1,2025-06-03T10:36:31+0900,861387679642681498,7,3,1
yjso****,TEAE,계엄은 왜 해가지고 저게 무슨 꼴이냐구?,True,1,2025-06-03T13:33:58+0900,861399111989985630,6,2,0
foma****,2xlfL,너네땜에 6개월동안 온국민이 스트레스와 고통속에 살았다 사과는 없고 선동질만 하는 뻔뻔한 인간들,True,1,2025-06-03T12:51:12+0900,861396355979935819,6,2,1
youn****,9cTDE,거병에 실패하몀 일본에서는 할복한다. 북한에서는 고사총으로 산산조각을 낸다. 이것이 정상이다. 윤석열 같은 대역죄인이 어디서 길바닥을 쏘다니나? 새 대통령은 결단을 해야 한다. 법으로 안되면 전기톱으로라도 윤석열의 목숨을 거둬야 한다. 인류역사상 이 세상 어느 나라도 역적이 3년 이상 살아남았다는 이야기를 들어본 적이 없다.,True,1,2025-06-03T11:38:34+0900,861391677384818890,6,2,0
vora****,2gsXs,명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏 명신이 구속 🙏,True,1,2025-06-03T10:49:30+0900,861388515970121905,6,2,0
leew****,1BTBy,아니 내란 우두머리는 거리 활보하고 다른 동참자는 감옥 이게 말이냐 당낙귀 냐,True,1,2025-06-03T12:31:04+0900,861395059654787094,5,1,0
