user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
wlgn****,,,False,1,2025-04-20T19:19:56+0900,857339463452328157,0,0,1
issu****,1z1Yx,국짐은 노답.....보수의 탈을 쓴 양아치 수구 꼴통일뿐.....,True,1,2025-04-20T19:07:59+0900,857338693831098587,7,5,2
jwle****,1f4ww,ㅋㅋㅋ예전부터 국짐 대선경선엔 항상서로 죽이지 못해 안달이더라구ㅋ,True,1,2025-04-20T23:24:56+0900,857355248010789121,0,0,0
kyb6****,2sf89,유승민이나왔어야되는데. 호랑나비나경원에. 홍할배에 119문수할배,True,1,2025-04-20T20:27:56+0900,857343844184752348,0,0,0
lhs0****,,,False,1,2025-04-20T19:31:26+0900,857340204418072667,0,0,0
imal****,1KVRY,관심없으요~,True,1,2025-04-20T19:22:58+0900,857339659259216095,0,0,0
xman****,2k8dY,헌재판결에 답이 나와 있다.,True,1,2025-04-20T19:04:03+0900,857338440478359571,2,3,0
wjsw****,7KvcA,안철수 아니면 국힘은 그냥 몰락임,True,1,2025-04-20T19:18:58+0900,857339401175302357,1,2,0
hans****,3TLCs,"1차 2차 경선 다 봤는데, 1차 경선은 안철수빼고 인물은 없는게 팩트인데, 단점이 명확히 보이더리. 술먹고 방송하는줄 알았다. 어눌로 더듬거리는건 필히 고쳐야 하겠더라. 그리고 2차 경선은 한동훈 빼고 제대로 된 보수 는 없고 수구꼴ㅌ들 뿐이더라. 홍준표는 예능찍으런 나왔노? 진짜 품위없더라.. 한동훈 김상욱만이 제대로 된 보수다. 자유대한민국 어쩌고 떠들기 전에 보수가치부터 다 공부하고 투표하자 제발",True,1,2025-04-20T22:51:21+0900,857353083699593303,0,1,0
sign****,43skR,안철수 지지하는 입장에서 앞으로 말조심할 필요 있다. 가만 있으면 되지 구태여 필요 없는 말은 삼가하시는 것이 좋다. 안철수는 탄핵에 반대한 38% 국민들은 안중에도 없는 것 같다,True,1,2025-04-20T22:27:05+0900,857351520901922844,0,1,0
park****,aZqti,친중 내란공조 한동훈이 때문에 안 봅니다. 이번에는 안 봐여. 여론조작 하는 사람은 걸러내야 합니다. 🇨🇳,True,1,2025-04-20T19:12:57+0900,857339013453840631,2,4,0
rowl****,6msPv,내란수괴 윤석열 화이팅!국민이 판단하는거지 니그들이 이재명을 어찌막냐 나라를 이꼴로 국인을 이꼴로 만든 국민이 판단한다,True,1,2025-04-20T19:09:19+0900,857338779780776012,1,3,0
