user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
dlwj****,5h89U,정권바뀌고 수사받기 싫으니까 내빼는거지뭐,True,1,2025-05-20T18:37:08+0900,860119845444780085,507,46,9
ming****,2cJ8X4,지들이 김건희 무혐의 주고 책임감 없이 도망가는거지. 도망간다고 해결되겠나?,True,1,2025-05-20T18:42:12+0900,860120171526750295,194,18,4
para****,YRDR,"졸행랑,,변호사개업 못하게 해야한다,,저런것들은,,",True,1,2025-05-20T18:41:19+0900,860120114836537463,115,15,3
stop****,1gG7a,캬~  내빼는거 보소..,True,1,2025-05-20T18:39:16+0900,860119982648852592,53,6,1
ruin****,1Ea1Q,이창수는 윤석열이 인사철도 아닌때에 서울중앙지방 검찰청장으로 올려주고 바로 3개월뒤에 김건희 조사때 소환조사도 아닌 김건희가 지정한 모처에서 방문조사 진행했었네 ㅋㅋ,True,1,2025-05-20T18:46:42+0900,860120461487374624,27,1,0
lshf****,byQe7,개검 검사들 퇴직하고 도망가도 끝까지 쫒아가서 수사해야한다.그래야 권력을 쫒다가 퇴직해도 처벌받을때까지 쫒아가야 담부터 나쁜짓 못할꺼다. 정치검사 기다려라,True,1,2025-05-20T19:05:46+0900,860121690133233990,15,1,1
hy30****,5v13t,런. just run.,True,1,2025-05-20T18:37:15+0900,860119851954339945,14,3,0
ksm3****,4poEi,이번 정치검사들 싹잡아 중징계 하고 연금박탈하고 출소 후에도 로펌 못가게 변호사도 박탈해라,True,1,2025-05-20T19:16:04+0900,860122353722458140,10,0,0
kim1****,2ME7w,"도망 가는거지 뭐긴~~
검찰 황제 끈 떨어졌으니 각자 도생 
그러나 특검은 꼭 받자~~",True,1,2025-05-20T18:40:33+0900,860120065394081965,9,0,0
bldo****,12UKb,어찌되었든 개검들 작태를 충분히 봤다. 개검들은 기소청 수사청 분리로 그 동안 누렸던 기득권은 차기 정부부터 끝이다.,True,1,2025-05-20T18:42:11+0900,860120169865805900,9,2,0
hjh8****,36V4V,김건희 특검법 통과되면 이들도 수사를 받게 되겠죠.정치보복이니 이런 궤변 늘어놓지 못하게 법에 근건한 수사를 기대하겠습니다,True,1,2025-05-20T19:20:08+0900,860122614759161914,6,0,0
kyli****,H0aI,변호사 개업금지,True,1,2025-05-20T18:39:01+0900,860119965871636485,7,2,0
tjtj****,17flc,도망 가더라도 죄가 드러나면 죗값은 받아야지요,True,1,2025-05-20T19:06:31+0900,860121738149626097,6,1,0
mapl****,YVfa,그래도 수사는 받아야지....,True,1,2025-05-20T18:43:35+0900,860120260462772450,5,0,0
cmh5****,2w48U,법무부는 사표를 받아주지 말고 문재인 전대통령 관련 고발관련 조사와 도이치 모터스 재조사가 끝난 다음에 사표를 받아줘야 한다.,True,1,2025-05-20T18:40:20+0900,860120051284443260,5,1,0
kule****,,,False,1,2025-05-20T18:58:53+0900,860121245688004922,0,0,0
tidg****,1TxpZ,특검해서 잡으세요 꼭!! 사의 표명 했다고 봐주면 인됩니다 또 니와요,True,1,2025-05-20T18:42:44+0900,860120205752271122,4,0,0
noma****,2GqdB,쫄?,True,1,2025-05-20T18:37:16+0900,860119853783056472,5,2,0
ohro****,ILMm,저치들이 나가서 변호사 개업하고 전관예우 돈을 무지 벌겠지..  비리 판.검사는 변호사 자격도 박탈해야 합니다.  모든 임명직 공무원은 그만두고 3년이내 지방 및 국회의원 출마 금지시켜야 올바른 수사와 판결을 합니다.,True,1,2025-05-20T20:09:36+0900,860125801692004582,3,0,0
3251****,1W2B2,왜냐고?? 지금 돌아가는 분위기가 쎄 하거든. 미리 연막을 치고 뒤로 빠져 훗날 닥쳐올 소나기는 피하자는 속셈 그거지. 검찰 새들이 눈치는 빨라.,True,1,2025-05-20T18:56:41+0900,860121104759390471,3,0,0
wwlo****,,,False,1,2025-05-20T18:49:27+0900,860120638151458989,0,0,0
hkyo****,,,False,1,2025-05-20T18:44:17+0900,860120305677369439,0,0,0
smil****,,,False,1,2025-05-20T18:58:41+0900,860121233188978931,0,0,0
octo****,1yrRP,심의정 검찰 총장은 뭐하고 있나? 내란수괴 윤석열의 탈옥을 도와준 역적 아닌가? 반드시 정권 바뀌면 특검으로 심의정의 내란죄에 대해서 철저하게 처벌해 주기 바랍니다.,True,1,2025-05-20T18:57:54+0900,860121182454677854,3,1,0
goyo****,1JoQE,해외 도망갈 통로 막는 거 시급합니다. 앞으로 이런 사람들 계속 나올테니… 반드시 죄값 받고 살도록 해야 합니다. 그래야 대한민국에서 또 이런일이 발생하지 않습니다.,True,1,2025-05-20T18:56:59+0900,860121123784753511,3,1,0
cy******,2K7ql,내란 실패하니 도망가는 총독부,True,1,2025-05-21T00:11:30+0900,860141386802921605,2,0,0
mkyn****,2YV1B,얼마나 협박을 받은걸까?,True,1,2025-05-21T00:02:01+0900,860140775709605892,2,0,0
maki****,1xMtS,"왜긴, 찔리는게 있으니깐 빤스런이지",True,1,2025-05-20T21:12:34+0900,860129858255061252,2,0,0
reji****,3osE9,이재명 대통될것같고 돌아가는  상황이 내란죄 성립할것 같으이 더이상 지켜줄 사람도  없고 무죄주장  끈덕지 없어이  줄행랑,True,1,2025-05-20T19:57:14+0900,860125005881540689,2,0,0
