user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jinu****,y8Ee,내란성 계엄하고도 영화보러 다니는 정말 살기 좋은 대한민국이네... 사법부가 개판이니 별의 별 일이 다 일어나네..,True,1,2025-05-21T10:38:07+0900,860181755754184751,8,2,0
mgop****,2QU1Z,이런 인간을 밀어올려서 대통령 만든 국힘이 망하는게 당연한거지,True,1,2025-05-21T10:32:20+0900,860181383182549131,7,1,0
mc72****,6OQ8t,내란수괴가 대낮에 돌아뎅기는 이상한 대한민국,True,1,2025-05-21T10:37:09+0900,860181693644931153,6,0,0
kmh0****,29RAU,부정선거 척결! 사전투표 폐지하라! 윤 어게인!,True,1,2025-05-21T10:43:47+0900,860182121044508996,8,3,0
hyou****,2TU4h,계엄 쿠데타의 우두머리가 저렇게 버젓이 영화 관람까지 하는 여유를 부릴 수 있게 놔두다니.... 이게 정상적인 나라냐!,True,1,2025-05-21T11:18:39+0900,860184367463399730,6,1,0
rlae****,27NOA,감빵에 갈놈이 아직도 퍼포먼사 딱 2찍 스럽노 ㅋ,True,1,2025-05-21T10:32:25+0900,860181388249268403,8,4,0
tjqt****,3HUeG,하는 짓이 국민과 반대행보만 하는 꼴이 흉하다,True,1,2025-05-21T10:34:03+0900,860181493677293592,6,2,0
cask****,1CncP,부정선거 밝히자 하니 탄핵시키는 나라 ㅋㅋㅋ,True,1,2025-05-21T11:09:29+0900,860183777056391407,5,1,0
leek****,1iiRi,범죄자를 그것도 총으로 민을 위협했던 인간을 길에 걸어다니게 하네,True,1,2025-05-21T10:37:44+0900,860181730638692667,5,1,0
maca****,1ksO0,어느 영화관에서도 개봉을 안해준다고 이영돈pd가 울분을 토하더니 결국 개봉하는 영화관이 생겼네요. 제발 부정선거 의혹이 풀렸으면 좋겠수다,True,1,2025-05-21T11:08:37+0900,860183720936603998,4,0,0
thom****,,,False,1,2025-05-21T10:29:20+0900,860181189674139810,0,0,1
cyle****,qLcP,"완전 정신병자네~~~
빠른 시일내에 감방에 가서 치료받아야 할듯",True,1,2025-05-21T10:40:38+0900,860181918040195342,4,1,0
kosh****,2aTMX,가만히 집에 좀 있지 이재명 확실히 밀어주려고 하는듯,True,1,2025-05-21T10:34:16+0900,860181507350724723,4,1,0
last****,33Dq0,너도 부정선거로 당선됐냐?,True,1,2025-05-21T12:08:56+0900,860187606674047427,3,0,1
aak9****,bCm8q,"그 늠의 부정선거~~~ 좀 조용히 있지~~ 
사진도 보기 싫은데~~ 나올때마다 표 떨어지는 소리가 엄청나거덩",True,1,2025-05-21T11:12:16+0900,860183955532415089,3,0,0
ds10****,4GW3Y,아휴 저모지리 풉,True,1,2025-05-21T11:11:29+0900,860183905251098860,3,0,0
lsh6****,2prcC,영화는 다큐가 아니고 픽션이지 ㅋ,True,1,2025-05-21T11:08:22+0900,860183704780144817,3,0,0
jinw****,1MMe4,희대의 관심종자 정신병자 같은 인간,True,1,2025-05-21T10:31:15+0900,860181313489993837,5,3,0
nirv****,38JFf,저거는 재판중 궤변만 늘어놓고 반성의 기미도 없네ㅋㅋ 사형이 답이다ㅡㅡ,True,1,2025-05-21T10:23:14+0900,860180797204725849,6,5,1
lss1****,NUZ2,망나니 윤씨는 미치광이가 분명하다,True,1,2025-05-21T11:09:32+0900,860183780277616905,3,2,0
shon****,5qORr,"국민의 주권, 선거권을 찾아주시기 위해 한몸 던져 희생하신 윤석열 대통령님이 구국대통령, 계몽대통령입니다. 선거는 자유민주주의의 꽃이자 생명입니다. 한표라도 부정의 의혹이 있다면 명명백백 검증하고 밝혀내야 합니다. 대한민국 국민이라면 사전투표하지 말고 본투표합시다.",True,1,2025-05-21T11:09:32+0900,860183780093067518,3,2,1
jjhc****,193XY,반역.내란범이 어찌 저리 돌아다닐수가 있단 말인가,True,1,2025-05-21T10:50:15+0900,860182537639559290,3,2,0
sul9****,2c9hb,지금도 감옥에 있는 가담자들 심정은 어떨까????  열받아서 법정가서 사실대로 다 말할듯....,True,1,2025-05-21T10:25:10+0900,860180921926549583,3,2,0
daid****,2lNBJ,망상을 부추기는 자는 이익을 보고 망상에 빠진 자는 나라를 거덜낸다,True,1,2025-05-21T10:28:11+0900,860181116340928602,2,1,0
hs09****,4h02W,지금 한가하게 영화나 보러다닐   군번인가  썩어빠진 검찰과  비리 법관  취임 하자마자  대수술을 해서  정상적인. 조직으로 돌려놔야 된다,True,1,2025-05-21T11:13:10+0900,860184013397033062,1,0,0
artk****,1UMF7,김문슨 지지유세도 해주세요,True,1,2025-05-21T11:09:11+0900,860183756940509282,1,0,0
llww****,2UfAR,개나라당 망하라고 빌고 있네 ㅋㅋㅋ,True,1,2025-05-21T11:02:53+0900,860183351871406525,1,0,0
ksh1****,UWF6,영화보고 욕하시길~~,True,1,2025-05-21T10:43:20+0900,860182092120588448,1,0,0
lsw2****,,,False,1,2025-05-21T10:42:01+0900,860182007244652555,0,0,1
