user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ross****,,,False,1,2024-11-28T16:02:57+0900,844060477846716834,0,0,0
miki****,rWLr,북괴 지령 받았냐?,True,1,2024-11-28T16:06:22+0900,844060698467107000,2,2,0
m384****,4dM7Z,용산 대통령실 이전 관련해서 제대로 감사하지 않고 은폐 시도 정황이 보이는데 진작 감사원장을 탄핵했어야 했다,True,1,2024-11-29T15:41:07+0900,844151842421080128,1,1,1
sjp8****,3ZQ9u,"민주당은 탄핵병에 걸린 환자당으로 변했군요
리재명은 불체포 특권을 없앤다고 호언장담 하더니 자기부터 특권을 누리고 신영대도 마찬가지 정말 대표가 저리니 당을 해체해야 된다는 이야기가 나오죠",True,1,2024-11-28T19:00:24+0900,844071910428901490,1,1,0
psgp****,SF0D,재미냈구나,True,1,2024-11-28T16:27:45+0900,844062075608105265,1,1,0
tlse****,,,False,1,2024-11-28T16:23:24+0900,844061794958835869,0,0,0
wizm****,1M8zq,감사원장이 감사를 제대로 안하면 탄핵 당해야죠. 민주당 힘내라!!,True,1,2024-11-29T18:12:54+0900,844161620719436052,0,0,0
mhyu****,aXzfM,이게  정상적인 나라입니까?,True,1,2024-11-29T10:18:22+0900,844131049712648338,0,0,0
kjs0****,1nk2x,"이런쓰레기을국방부장관이냐.
윤한테배운게 남탓이냐 정신좀차려라.",True,1,2024-11-28T19:09:53+0900,844072520834351383,0,0,0
anje****,bQdIf,민주당 잘한다 주어진 권한도 못 쓰고  권력내주고 뒷통수 맞은 누구보다는 훨씬 낫다,True,1,2024-11-28T18:56:54+0900,844071685144445201,0,0,0
smy0****,5SCWf,헌재 바쁘다,True,1,2024-11-28T16:44:41+0900,844063166764679459,0,0,0
sosh****,4BC5u,국가기관장 모두 탄핵하면 소는 누가 키우지...,True,1,2024-11-28T16:09:11+0900,844060879308718168,2,3,1
snip****,3IzZ,개망나니 칼춤 추고 있네. 그 칼위에 더덤이 국개들이 올라탈수 있다는 걸 명심하거라.,True,1,2024-11-28T16:15:10+0900,844061265520230490,0,1,0
