user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
cho5****,3ULzj,탄핵사유가 당연하다.  똥 오줌도  제대로  못가리는 철부지에 불과해 보인다.,True,1,2024-11-04T16:03:15+0900,841833985909719155,164,1,2
hski****,3xyaT,"참으로 정확한 말씀이네,
헌법전문가 말씀이니 전적으로 공감합니다",True,1,2024-11-04T17:10:16+0900,841838303475925099,45,1,0
miss****,4cFun,이제 정의로운 보수인사들도 나서네!!!,True,1,2024-11-04T16:00:56+0900,841833836793823620,31,3,1
ygkn****,,,False,1,2024-11-04T23:05:08+0900,841861165989494838,0,0,0
kobe****,4ZD8r,대통령도 직책인데 국민이 내려오라고 하면 내려와야지 일을 잘 못하는것도 아니고 개못하는데 알아서 내려와라,True,1,2024-11-04T21:06:22+0900,841853514270376070,24,2,0
tt60****,26fDW,"탄핵이 아니라, 하야를 시켜야 합니다.  하야시키고, 죄값을 묻고 응당한 처벌도 받도록 해야됩니다.  자진하야가 안되면, 국민들이 직접 끄집어 내리는 최악의 경우도 상상을 해 봅니다.",True,1,2024-11-04T17:56:38+0900,841841290508239088,22,2,0
nabu****,4Vrxp,정진석등. 대통령실.  자다가봉창뜯는소릴.  작작하란다.,True,1,2024-11-04T17:02:49+0900,841837824033423677,13,0,0
yhj4****,2bBwhV,간만에 바른소리 하는 사람나왔네,True,1,2024-11-04T21:42:09+0900,841855819845730351,13,1,0
enff****,efGzM,"당연하죠
. 대통령 예우 다 받고. 인수위부터 장관, 총리 임명권 있고. 청와대도 옮겨 버리고. 외교부 공관도 관저로 쓰고. 이런 결정을 공무원 예우도 없이 한다고?? 탄핵감이다!!",True,1,2024-11-04T18:56:17+0900,841845133983875166,11,1,0
cool****,2duxp,빨리 대통령직 내려 놓고 처벌받았으면 합니다 국가에 끼친 손실 받아낼 방법은 없나요?!,True,1,2024-11-04T22:16:00+0900,841858000934141956,9,0,0
kjc0****,aD4hC,"똑소리난  해석이다.
윤석열은. 이글.읽고도. 개혁 운운하며
잘 나가던 의료시스템조차.거덜 내고잏는데. . .
제발 .아무짓도. 하지마라!
국민븐 냐 일거수 일투족에 .신경쓰인다!",True,1,2024-11-04T22:04:51+0900,841857281912996158,9,0,0
bank****,Yem9,조갑제도 알더라...........탄핵이라고!!!..........당선인이라고  탄핵 아니다???   ㅋㅋㅋ웃기고 있네.    극우 조갑제도 알더라.   윤석열  공천개입.  당선인이라고 해도  바로 다음날  대통령 취임. 거기에    공천개입  결과가  연속해서   취임 이후에   결과 발생..................탄핵 사유  명백!!!!!!!!!!!!!,True,1,2024-11-04T16:21:09+0900,841835139326541894,9,0,0
yang****,5gZEX,역시 정확하게 지적하시네요.,True,1,2024-11-04T16:57:29+0900,841837480050163929,9,1,0
edsl****,2Hznm,탄핵해야 한다. 대통령 대우를 박탈해야 한다.,True,1,2024-11-04T22:40:20+0900,841859568647536778,7,0,1
jk14****,4hEC0,정답입니다.,True,1,2024-11-04T21:59:51+0900,841856960444760360,6,0,0
john****,1m8Gy,이석연은 골수 보수인데......  원조 보수들도 윤석열에 질린듯,True,1,2024-11-04T22:14:08+0900,841857879869751346,6,1,0
ysch****,15cpE,법조인 그렇게 많은 국민의 짐당이건만  당선인 신분이기 때문에 공천개입이 아니라는 개소리를 하는 정치 검사출신 개검들이렷다,True,1,2024-11-04T22:24:36+0900,841858554414498019,5,0,0
keel****,3sz0a,구구절절 옳은말이네.,True,1,2024-11-04T17:58:10+0900,841841390064238663,5,0,0
delt****,,,False,1,2024-11-04T17:00:40+0900,841837685587837194,0,0,0
hist****,2UMFo,짝짝짝~~~속이 후련한 법리해석!!,True,1,2024-11-04T22:20:17+0900,841858276449583199,5,1,0
gcth****,63mPo,그간 벌인 세금 낭비와 일부에게 주어진 혜택에 대해서 윤석열과 김건희를 비롯한 친척 및 측근들 모두에게 책임을 물어서 강제 재산 회수해야 함. 누구처럼 돈 없다는 개소리로 넘어가려 하지 말고 빨간 딱지 붙여버려야 함.,True,1,2024-11-04T19:23:59+0900,841846918895108422,5,1,0
fine****,,,False,1,2024-11-04T23:01:08+0900,841860908090130480,0,0,1
