user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jaja****,,,False,1,2024-11-15T21:16:39+0900,842874660881170686,0,0,0
heal****,4EEau,당선 무효라고 하고 당장 끌어내리고 싶다..그리고 둘다 깜빵에 처넣고 싶다...,True,1,2024-11-16T04:58:18+0900,842904402825052181,10,0,0
lim7****,2mWp2,"참 가관이다
이재명이처럼 탈탈털면. 이들 부부는 사형감이구만???
들어난것은 빙산의 일각일거고???
퇴임후. 재미있겠네???그래서 정권뺏기면
감당못하니니까 이재명이를 잡아넣으려고
발버둥치나보네??검찰정권이니 검찰은 명받은대로 사냥개노릇에 충실하지만 사법부까지
이상한 짓 하는것 같아 씁쓸하다",True,1,2024-11-16T08:40:07+0900,842918692802002957,10,1,0
jkp4****,ek9JW,~ 이제  법치의  칼끝은~ 건희특검으로~,True,1,2024-11-15T22:12:22+0900,842878251020845173,8,0,0
khs_****,6nGZm,"석열,건희 제발 부탁이다. 이제 편히 쉬어라.",True,1,2024-11-15T22:09:21+0900,842878055985709189,5,0,0
acea****,1vByw,당선무효형감이네,True,1,2024-11-16T00:46:07+0900,842888156188508182,5,1,0
bead****,5fG2C,특검은 해야,True,1,2024-11-15T22:21:37+0900,842878846612013262,4,0,0
ksky****,,,False,1,2024-11-16T10:05:52+0900,842924217774112992,0,0,0
gudq****,,,False,1,2024-11-16T04:23:44+0900,842902176119390280,0,0,0
kk55****,5Gph8,국민도 탄핵한다 하겠다,True,1,2024-11-16T13:41:01+0900,842938078875090947,2,1,0
ll63****,dxwCs,꽁수  정부  와 ㆍ 베짱이  여당의원 ᆢ 나라  🐕  판  놀고잇다,True,1,2024-11-16T17:54:02+0900,842954378661855241,1,0,0
2007****,3cUKm,"모든 것은  윤가가  책임 져야 한다, 그  책임을 어떡해 지냐면, 스스로 하야 뿐이다,",True,1,2024-11-23T16:09:13+0900,843597024837238858,0,0,0
sasa****,5SOIf,준석아  다 풀어라  제발,True,1,2024-11-16T13:25:26+0900,842937074624495717,0,0,0
cono****,kaEQ,천방지축 쌍스런 윤거니정권은 전대가리정권 보다 더 더럽고 천박해. 국즴족의 배설물들은 하나같이 왜 이런 거야. 벌써 5대째 대똥만 싸질렀네.,True,1,2024-11-16T09:41:39+0900,842922657342029949,0,0,0
chou****,67xjL,한걸레는 오늘   이재명이  징역형 유죄를 받았는데도 ᆢ찢재명이 방탄 프레임  !!  거짓서전ㆍ선동에 서봉장에  서는구나!!!  뭐라고 얘기를 해봐라!!  이재명 범죄가  정치검찰이 아니고   이제는  정치판사 탓이냐!!!  징글징글한 민주당 개딸 유투브답다,True,1,2024-11-15T22:04:38+0900,842877752469094615,0,0,0
xwol****,2Davd,짐..🐍🎴🐍🪨🪨👑😹🥣🤡🍑🪨🪨🐍💰🐍짐짐 짐 하는 짐짐들은 대권을 행사 하였을 뿐이니라. 알겠느뇨 뇽뇽 뇽? 더욱더 더더 더 영구 하도록 하라.,True,1,2024-11-15T20:54:53+0900,842873258406576458,0,0,3
shki****,3AXcW,별이 다섯 개 이재명 대표님 오늘의 명 판결 받으신 거 진심으로 축하 드립니다,True,1,2024-11-15T21:47:29+0900,842876647521648804,3,4,0
jind****,1xjMN,선동 전문 헌걸레는 폐간이 답이다.,True,1,2024-11-16T00:22:09+0900,842886611745112099,1,2,0
euij****,KvlH,"이미 범죄 사실이 밝혀져서 판결까지 받은
울산시장 선거 개입, 돈봉투 사건등등...
이 기사 논리라면, 의혹 수준은 수사를 기다려야
하고, 민주당은 즉각 탄핵되어야 함.
왜? 남의 떡이 꺼 보이는지?  모르지는 않을텐데... 대중매체가 정치유투버들처럼 조회수가
독자들 눈높이만 생각하는 기사를 양산한다면
분열을 조장하는 수단,  도구일 수 밖에 안되는
것 아닐까요? 제발 대중매체들도 민생을 위하고
대한민국의 미래를 위해 사명감을 가지고, 기사를 쓰고, 내보내기를 바랍니다. 법치주의 국가가
사법부를 부정하면, 곧 파국으로 치닫게 됨",True,1,2024-11-17T15:02:04+0900,843036070885982229,0,1,0
euij****,KvlH,"마지막 멘트가 의혹은 쌓이는데, 국힘이 특검을
거부하기 때문에 탄핵을 해야 한다!
민주당을 보세요. 180석 규모로 여당이었을 때도 정부가 일을 잘하도록 역활을 못한것에 대한
책임 그리고, 윤석열정부시작부터 지금까지 민생을 위해서 무엇을 했는지? 그리고 각종 범죄에 연류 실형을 선고 받은 국회의원 수가 상당
수 인데도 반성이 없고, 다수당이지만 득표수는 5%수준 차이밖에 나지 않아놓고, 국민이 선택한 민주당이라고 주장하는 것은 어불성설. 사법부
를 부인하고, 입법을 마음대로 하는 민주당이 먼저 탄핵을 당해야 하는 것이 아닌지.ㅠㅠ.",True,1,2024-11-16T08:11:14+0900,842916832108085299,0,1,0
dndk****,h2Pc,이재명이나 민주당이나 한겨레나 그저 협박질...,True,1,2024-11-15T22:23:04+0900,842878940245655573,1,3,0
hisu****,dMf2T,국정논란...아무렴 이재명이 하는짓이 최악이지. 정권을 가지고자 한다면 국민투표로 가져라. 탄핵이나 촛불말고...국민이 바보냐.,True,1,2024-11-16T00:28:47+0900,842887039211798699,0,4,0
