user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hjj0****,1dWco,북돼지랑 다를게 읎네,True,1,2025-04-20T10:22:48+0900,857304858531725455,659,21,15
squa****,mDab,내란범이 자유롭게 활보하는 비정상국가,True,1,2025-04-20T10:23:55+0900,857304930958966971,571,19,10
wooz****,1cvsz,감빵에서 콩밥먹고 있어야 할 내란수괴가 저러고 있다는게 말이되냐? 지귀연은 반드시 그 죄값을 치를 것이다.,True,1,2025-04-20T10:29:56+0900,857305318512656579,462,10,5
inkh****,3Fo4O,"인간이 인간다워지는 건 지식이 아니라 염치입니다.
염치가 없다면 인간이기를 포기한 것이지요.
몰염치한…..",True,1,2025-04-20T10:37:41+0900,857305818037485703,201,2,3
noho****,U0ob,하빠리들 끼리끼리 잘 먹고 자알 놀고있구나...먹고 마실 수있을 때 많이 먹어둬라,True,1,2025-04-20T10:24:25+0900,857304963372548185,98,8,0
mina****,3gu5Q,지귀연과 심우정 그들이 무슨짓을 한건지 확실히 알겠지요?  감히 저것들이 저런 사진을 뻔뻔하게 공개하는 비상식은 6월3일로 끝이다!,True,1,2025-04-20T10:41:20+0900,857306053220499513,90,5,0
maxk****,2bW6n7,윤 버. 러. 지. + 미친 年。,True,1,2025-04-20T10:57:10+0900,857307073359118384,69,2,1
skip****,6l6jm,이 모든게 개판사 쥐귀연이 힘들게 구속한 내란수괴범 개석열을 풀어져서 그런거다.판사도아닌 쥐귀연을 탄핵해라.,True,1,2025-04-20T10:56:22+0900,857307021702070349,63,3,0
scor****,2wq5W,쪽팔림을 상실한 꼬라지. 윤버지? 그럼 김건희는 김머니네? ㅉㅉ,True,1,2025-04-20T10:36:28+0900,857305739570446413,49,1,0
woor****,2Msbc,숨겨놓은 딸같네....좋겠다. 게엄 덕에 딸 찾아서....,True,1,2025-04-20T10:41:47+0900,857306082194751679,50,3,1
ohsu****,3RbKo,헌재 나와 얼굴 팔더니 이 잡것도 전한길 따라 재미 붙였구나. 에라이 천박한 것들아.하는 짓이 북쪽 김가네 구만.,True,1,2025-04-20T10:58:50+0900,857307180045435053,44,4,0
yjhk****,vJbw,참나 어처구니가 없네 천하태평이네 국민들 경제 다죽여 놓고 좀 나오지 말어라,True,1,2025-04-20T10:39:34+0900,857305938749554822,35,1,0
2886****,2jhi5,북한 돼지 수령님이네,True,1,2025-04-20T10:23:59+0900,857304935019053239,30,2,0
ckcl****,brQPF,"ㅋㅋㅋㅋㅋㅋㅋ
이래서 우리나라 코메디가 인기가없는거다
사진 한장으로 웃겨주자나ㅋㅋㅋㅋㅋㅋㅋ",True,1,2025-04-20T10:41:40+0900,857306074544341149,27,1,0
hsj1****,2RUpc,윤버~러~지,True,1,2025-04-20T11:51:16+0900,857310558825742390,25,1,0
sski****,cJtKC,자유민주주의를 파괴하고 헌법을 유린한 내란우두머리가 똘마니들과 한가롭게 쳐웃으며 사진이나 찍고 있는 이런 현실을 그냥 둬서는 안됩니다. 당장 국민저항권을 발동하여 긴급 체포하고 사형을 선고하는 것이 마땅합니다.,True,1,2025-04-20T11:19:57+0900,857308540308553915,25,3,0
dolc****,eNtdg,범죄자와 같이있는 자들은 도대체 무슨생각으로 저러고있는가 수많은 사람들을 죽이려한자 옆에서 저렇게웃고있다 몸서리쳐진다,True,1,2025-04-20T10:27:50+0900,857305183405736093,23,1,0
spto****,2s6n3,"대한민국을 이렇게 망가뜨려놓고 웃음이 나오니?
 정말 해도 해도 너무하는 인간 ㅁㅇ이네. 이 인간을 이용할려고 붙어 있는 인간들은 참 불쌍한 영혼들이네",True,1,2025-04-20T11:38:02+0900,857309706207625226,21,1,0
jsj4****,1LAwT,어울리네 ᆢ잘어울려ᆢ윤버지가 죄수복입었으연 더 잘어울리 겠는데ᆢ암튼 어울려ᆢ,True,1,2025-04-20T11:02:28+0900,857307414792241248,17,0,0
sdon****,pUyL,윤버(러)지,True,1,2025-04-20T12:37:48+0900,857313555924385962,15,1,0
andc****,atYpW,"정치도 모르고~ 민심도 모르고~염치도 모르고~쪽 팔린 줄도 모르고~,, 도대체 아는게 뭐냐",True,1,2025-04-20T11:00:35+0900,857307292654108813,13,0,1
magi****,2jDAR,아직도 끝나지않은 내란 지긋지긋하다 내란 잔당들 내란을옹호한 쓰레기들 내란이 먼지도 모르는 무식한것들 지금 당신들이 하는짓이 내란이고 대한민국 반역자다 계엄으로 정권을 잡은자들 단죄하지 못해 윤석렬이라는 희대의사기꾼이 나온것이고 국민의힘이라는 위헌정당이 지금까지 명맥을 유지한거아닌가 다시는 대한민국에 내란이세력이 준동하지 못하도록 이번내란수괴는 반드시 사형을 구형하고 집행하여 이자의 목숨을 거두어 다시는이런자가 나오면 사형된다는것을 본보기삼고 내란을 옹호한 국민의힘 정당해산시키고 경중을가려 죽일놈은 죽이자,True,1,2025-04-20T12:00:53+0900,857311178257334480,11,1,0
wrro****,3EIrh,윤 버지지? “러“자가 빠졌네,True,1,2025-04-20T13:15:10+0900,857315963220000790,10,0,0
mini****,10HWA,내 눈엔 쓰레기 옆에 폐기물 옆에 쓰레기 밖에 안보여,True,1,2025-04-20T12:00:33+0900,857311156044300416,10,0,0
yavi****,21Q2m,역겨운사진이네,True,1,2025-04-20T11:08:25+0900,857307798151626851,10,0,0
kdh0****,14Jvr,"고생하셨습니다. 내란 일으키고 감방에서 잠깐 풀려나 활짝 웃는 모습을 보니 반갑네요. 다른 사람에게 죄를 뒤집어 씌우고 거짓말이라고 우기는 윤대통령님 모습에 나도 이런 사람을 닮고 싶다! 라는 변호사 표정도 밝네요. 주가조작. 국정개입, 양평고속도로 챙기느라 바빴던 여사님은 피곤해서 잠깐 쉬느라 함께 하지 못한 것 깉군요.",True,1,2025-04-20T10:48:39+0900,857306524526051468,11,2,1
grea****,,,False,1,2025-04-20T13:32:20+0900,857317069308297292,0,0,0
ssub****,1PCui,정말궁금하다. 머리속에 어떤생각들이있는지. 진심으로 궁금하다. 좋다 나쁘다가 아니라 정말정말 궁금하다. 알고싶다.,True,1,2025-04-20T10:38:36+0900,857305876405420145,9,0,0
jkpn****,9Ka5C,범죄자가 저러고 돌아다니게 만든  지귀연 심우정 꼭 중벌 내려야함,True,1,2025-04-20T13:40:47+0900,857317613477298328,9,1,0
pure****,66lyT,ㅋㅋ 똥 옆에는 역시 똥파리들이 어울리네,True,1,2025-04-20T12:32:47+0900,857313232677765279,8,0,0
jwys****,2jBFA,세마리 바퀴벌래들..  좋텐다~~,True,1,2025-04-20T10:46:01+0900,857306354807734275,8,0,0
chat****,19rAI,윤버지ㅡ하니깐 자꾸 윤버(러)지 이렇게 들리는.,True,1,2025-04-20T15:48:08+0900,857325818509000733,9,2,1
aaac****,3wWJ,이게 모두 심우정이가 풀어준 때문이다. 하룬라도 보기싫은 인간은 좀 안봤으면 좋겠다. 이재명은 제발 이것들의 소굴에 소독약 독하게 치고 청소도 해야한다.제발...,True,1,2025-04-20T13:47:26+0900,857318042890141778,8,1,0
hard****,1tKJc,윤버(러)지,True,1,2025-04-21T06:03:05+0900,857380897974910985,7,0,0
loca****,37CPi,윤버지 자식은 개뿐인데-ㅋㅋㅋㅋ 스스로 🐕 임을 인증하노 ㅋㅋㅋㅋ,True,1,2025-04-20T14:48:05+0900,857321950152753168,7,0,0
suna****,,,False,1,2025-04-20T14:21:00+0900,857320204416319495,0,0,0
sky3****,22tzE,그지같은것들.,True,1,2025-04-20T12:48:10+0900,857314224127344670,7,0,0
sgmo****,41LxP,꼴불견입니다. 나라를 입체적으로 아작 내놓고 저렇게 웃고 있는 내란수괴와 그 동조자들. 국가채무가 얼만데 웃음이 나냐?,True,1,2025-04-20T10:45:43+0900,857306335832703099,7,0,0
reda****,21Wrt,"아직도 자기가 뭘 잘못했는지 모르는 거 같네. 아니..잘못했다는 생각 자체가 없는 건가.. 그러니 저런 헛소리나 하고, 환하게 웃고 사진 찍을 수 있겠지. 사진 보니 또 술 마셨는지 얼굴이 벌겋구만. 에휴..",True,1,2025-04-20T13:57:30+0900,857318690641674359,7,1,0
hana****,nKMT,어린것이 출세에 눈이 멀어서 양심을 팔아?,True,1,2025-04-20T15:03:07+0900,857322918432997400,6,0,1
choi****,4aWgz,내란우두머리 구속해라,True,1,2025-04-20T14:31:43+0900,857320895402737833,6,0,0
yms3****,2pV6t,가죽만 사람인것들.,True,1,2025-04-20T13:57:19+0900,857318679451271235,6,0,0
ctrl****,ruvs,계몽은 커녕 개꿈이 아니면 그나마 다행이다.,True,1,2025-04-20T13:26:08+0900,857316670245437476,6,0,0
wlsd****,2n9FJ,감옥 안가???,True,1,2025-04-20T12:24:28+0900,857312697081921621,6,1,0
cait****,4wto7,와 비쥬얼은 진짜 부녀지간이라해도 될것같다! 둘다 계몽돼지들이네 ㅎㅎ,True,1,2025-04-20T12:02:31+0900,857311283249152121,6,1,0
kjsb****,2Dx9D,김계몽 변호사는 자식에게 부끄럽지 않을까. 저런 내란 우두머리에 찰떡 같이 붙어서 뭘 공작할려고 하는지 한심한 계몽된 변호사,True,1,2025-04-20T11:28:12+0900,857309072867721262,6,1,0
try0****,1p5XS,이거빨리 구속 안시키고 뭐하냐,True,1,2025-04-20T15:04:52+0900,857323030538354914,5,0,0
swsd****,2GIqk,뇌구조가 신기핦뿐 21세기에 이런일들이 벌어진다는것이 믿기질 않는다.,True,1,2025-04-20T14:42:39+0900,857321599559270557,5,0,0
gd3p****,1aVtC,니네 아버지가 불쌍타,True,1,2025-04-20T14:31:26+0900,857320876981354611,5,0,1
zd20****,1G9RZ,웃어????!!!!!!!미친*,True,1,2025-04-20T14:22:17+0900,857320287916523591,5,0,0
nost****,dLUNV,진짜 제정신아닌 꼴통들 도저히 이해 불가 계몽녀,True,1,2025-04-20T14:15:31+0900,857319851138482295,5,0,0
orig****,13ULs,법만 공부해서는 인간 안 된다는 증거 사진,True,1,2025-04-20T13:44:21+0900,857317843895582800,5,0,1
area****,13lkS,구역질난다.,True,1,2025-04-20T11:59:49+0900,857311109453971634,5,0,0
jis0****,226Uz,윤버(러)지?,True,1,2025-04-20T11:55:17+0900,857310817597521994,5,0,0
gras****,3PG1q,그래 아바이 잘모셔라. 감옥가는 길 무덤가는 길까지.,True,1,2025-04-20T11:38:30+0900,857309736121401442,5,0,0
