user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
s701****,3EZF3,근데 조국이는 아닥하고 참선해야 되는거 아니냐?? 처자식 전과자로 만든 사람이 왜저리 나대는지 원...,True,1,2025-04-28T17:53:15+0900,858076049538285655,10,0,0
chul****,41Ycn,감방가서 콩밥 쳐 먹는 따라지 뉴스 고마 오려라  종이 잡지,True,1,2025-04-28T17:50:18+0900,858075859284656265,8,3,0
kore****,6Vd8p,지덜은 강남살면서 국민들보고 가붕게는 강남에 살필요 없다..13평 임대아파트면 4인가족살수 있다는게..한국 진보.,True,1,2025-04-28T18:08:30+0900,858077032028831946,7,2,0
hyun****,5c7Og,벌건 책인가보구나.,True,1,2025-04-28T17:49:11+0900,858075787746607185,8,4,0
ryus****,BKXP,"몇 푼도 안되는 주둥이들만 살아가지고,,, 지도자와 정치인을 어떻게 구별하는줄 아냐??  지도자는 국민들을 계몽해서 스스로 가야할 길을 가도록 인도하는것이 지도자이고 정치인은 국민들 팔며 자기가 하는일이 국민이 원하는 걸 한다고 스스로 착각하는 거다.  윤석열은 그래서 지도자 반열에 오르고 통일 대통령이 될 수 있는거다. 이 깨똥들아!!!",True,1,2025-04-28T18:56:33+0900,858080127743951013,2,0,0
lim2****,2tKTY,임은정 검사 응원 합니다,True,1,2025-04-28T17:45:02+0900,858075520485556242,16,15,0
kchs****,12erO,"진보보수,좌우,민주국힘,영호남을 떠나서~ 윤똘은 아~~~주 극히 일부를 제외하곤,유니버스 우주적 극혐 인물이니 기사 사진에 모자이크 처리 해 줬으면 감사하겠습니다!",True,1,2025-04-28T18:12:25+0900,858077284307828875,2,1,0
hcho****,K82w,9수 했다는게 정말 믿어진다,True,1,2025-04-28T17:54:38+0900,858076138256204011,1,0,0
qpta****,,,False,1,2025-04-28T19:35:46+0900,858082653486711010,0,0,0
kknd****,LDbS,정일이랑. 같은과다. 떡열이는.  애혀. 사형대에. 세워라,True,1,2025-04-28T18:40:32+0900,858079095089529052,1,1,0
sogn****,5daxu,성경에 뭐라써있나? ㅡ죄짓고 전광후니한테 회계하면 죄가 사하여진다고 써있나?,True,1,2025-04-28T17:57:03+0900,858076293965545493,0,0,0
sogn****,,,False,1,2025-04-28T17:51:01+0900,858075905287782411,0,0,0
baik****,1dAba,고마해라~마이무으따~~,True,1,2025-04-28T20:35:43+0900,858086516373586184,1,2,0
bjb7****,,,False,1,2025-04-28T17:54:40+0900,858076140537905400,0,0,0
sso1****,,,False,1,2025-04-29T03:48:51+0900,858114421044543540,0,0,0
