user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
6898****,3WbxZ,너 또한 부끄럽다~!!,True,1,2025-05-12T15:38:06+0900,859366140323823673,181,9,1
skce****,,,False,1,2025-05-12T15:20:19+0900,859364994356084881,0,0,0
wgc3****,6LxY2,계엄을 찬성하고 탄핵을 반대했다는 것이 이미 역사앞에 죄인...죄인이 할말은 아닌듯,True,1,2025-05-12T18:45:05+0900,859378187237326880,56,3,0
okkw****,3Ih4X,탄핵 반대라는 말은 계엄 찬성과 같다. 탄핵 반대를 주장한 조장혁이 부끄럽다.,True,1,2025-05-12T20:34:08+0900,859385212109324327,34,0,0
ssan****,1TIpx,"국힘은 노욕으로 가득, 너는 이슈욕으로 가득.",True,1,2025-05-12T18:43:00+0900,859378052516282371,28,0,0
will****,cvu5S,계엄지지한 것들은 사회에 아예 발 붙이지 못하게 해야 한다! 지금 시대에 민주주의가 만발해도 이상할 것 없는데 비상계엄을 한다는 것과 또 이걸 지지한다는 건 정신병자들 밖에 없다!,True,1,2025-05-12T20:29:17+0900,859384900002775127,17,1,0
rkdr****,28nSu,내란은 안부끄러움?,True,1,2025-05-12T17:09:13+0900,859372010621370449,16,1,0
topm****,6h2RY,"오늘부터 내 인생곡 리스트에 들어가있던 조장혁 가수님 노래 부디,체인지,그대떠나가도 삭제하겠습니다",True,1,2025-05-12T20:18:02+0900,859384175042494475,14,0,1
pkj9****,1AaAC,김흥국 수준,True,1,2025-05-13T00:51:05+0900,859401766121242635,12,0,0
eofu****,2DoOI,한때.. 니노래 참 많이 불렀는데.. 내란 옹호는 그냥 퉤~,True,1,2025-05-12T22:51:55+0900,859394088716206337,12,0,0
wshp****,b7V9y,"가수 조장혁,,,..교수,,,흠...교수는 정신이 똑바로 박혀있어야 미래를 살아가는 학생들에게 선한 영향력이 심어질텐데...ㅠ그런사람이 내란을 옹호하는 정신으로 교단...나라가 썩으니 너도나도 날뛰어 나라망치는 선두주자대열에...이건 의견으로 볼수없다
그럴꺼면 정치를해 교단에 있지말고",True,1,2025-05-12T19:39:57+0900,859381721190105370,11,0,0
sbse****,,,False,1,2025-05-12T21:07:15+0900,859387345382670421,0,0,0
d994****,32puB,내란 옹호하는 저런 자가 무슨 놈의 교수냐? 당장 잘라라.,True,1,2025-05-12T19:20:37+0900,859380476152905935,8,0,0
