user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jhs5****,2zugk,어짜피. 전광훈 쫄개,True,1,2025-05-13T05:46:09+0900,859420775763935246,5,0,0
kys6****,3C40r,빨리도 한다 문디 김문수 알량한 대통령 후보 국적 일본 끝,True,1,2025-05-13T06:49:38+0900,859424865076117589,3,0,0
leec****,3OvNV,"이게 무슨 사과냐?유체이탈 화법에 화가 난다.이건 불편함에 대한 사과지 잘못된 계엄에 대한 사과가 아니다.예를들어 여의도에 몰린 많은 군중으로 사고우려시 인근 전철역을 무정차통과 시키면서 이용객의 불편에 대해 사과할 경우,그 사과는 무정차통과가 잘못된건 아니지만 그렇더라도 그로인해  부득이 불편함을 감수해야 하는데 대한 사과인 것인데,이를 대입하여 보면 계엄이 잘못된 건 아니고 꼭 필요한 것이지만 그로인해 불편을 느꼈다면 그 불편에 대해 사과한다는 뜻 아닌가!!!문수는 유체이탈 말장난 말고 계엄자체가 불법이라고 계엄을 직접 사과하라",True,1,2025-05-13T00:09:01+0900,859399056147873799,3,1,0
mwta****,3bhdP,누구 때문에 조기 대선을 치르는데 윤석열도 못 버리면서 대선을 이기려 드냐?,True,1,2025-05-13T08:47:52+0900,859432483005923584,2,0,1
adla****,2l22m,사과 했으면 사퇴해라,True,1,2025-05-13T05:38:34+0900,859420287614058538,2,0,0
fene****,3JJgz,석열이 출당은 안 시키면서 사과?,True,1,2025-05-13T08:46:34+0900,859432399371501740,1,0,0
vvxx****,2mou9,"국민 개돼지 만들기 작전 시작. 윤어게인이라며? 계엄찬성, 탄핵반대라며? 아 ~선거구나. 이때만 반성하는척.사과하는 척. 사기치면 국민들이 또 찍어줄거야. 선거끝남 다시 윤어게인 외칠것들이 국민 우롱하고 있네. 이젠 안속아. 국민이 개돼지가 아님을 압도적인 표로 꼭 보여줄께",True,1,2025-05-13T07:13:15+0900,859426386987712553,1,0,0
4him****,F2MJ,국회에서는 앉아 있더니만 ㅋㅋ,True,1,2025-05-13T00:30:59+0900,859400470819504302,1,0,0
shin****,3bs5y,"그렇게 정책도 대안도 안되는 깡통으로 뭘하노
가서 석렬이 구도나 딱아주고 구도주걱이나 받아라
국힘은 도댜체 ㅉㅉ",True,1,2025-05-14T04:05:21+0900,859507053285081106,0,0,0
manz****,2IaIE,ㅎㅎ 이준석 200억 김용태 20억 홍콩에서 비트코인으로 들어 왔네요..^^ 김용태 믿지 마세요..텔레그렘에서 이준석과 서로 이야기 하고 있어요..김문수를 대통령으로 만드는것이 이들의 목표가 아니에요 이들의 목표는 이준석과 김문수의 표를 나누는 것이 목표에요..그리고 윤석열의 지지율은 70%에요..그것을 당신이 안으면 쉽게 당선이 됩니다. 어렵게 일을 풀어 가지 마세요...김용태는 실패했을때를 대비한 이준석계의 간첩입니다. 그가 당신에게 표를 준것은 실패했을때를 대비한 스킬이에요,True,1,2025-05-13T11:33:40+0900,859443164623143228,0,0,0
good****,1FykB,석열이 비호하던데. 그럼 석열이 출당시키고 시원하게비판해보라,True,1,2025-05-13T10:08:42+0900,859437690284671250,0,0,0
krri****,1Bdzi,문수형 니 맘대로 해! 선거만 이기자,True,1,2025-05-13T08:26:44+0900,859431121081860299,0,0,1
ohjk****,,,False,1,2025-05-13T08:26:28+0900,859431104338198644,0,0,0
ohjk****,,,False,1,2025-05-13T08:14:10+0900,859430311161757741,0,0,0
rabb****,1PshM,그람  석열과  건니 출당하고 선동과  윤핵관 제거하고  동훈이와  손잡아야  당권이  너에게 와 전거ㆍㅇ훈이는  불가근 불가원이야,True,1,2025-05-13T08:12:04+0900,859430175987728406,0,0,0
toto****,39xrj,김문수는 계엄 회의에도 없던 사람입니다.,True,1,2025-05-13T07:13:47+0900,859426421800435855,0,0,1
ug******,iExI,"선거때만 죄송죄송
끝나면은 빨갱이들",True,1,2025-05-13T06:35:53+0900,859423979994087514,0,0,0
east****,cF1pQ,빨간 빤스당.,True,1,2025-05-13T06:14:25+0900,859422597249499168,0,0,0
bmo2****,,,False,1,2025-05-13T05:40:04+0900,859420384267599876,0,0,0
yyh6****,2uYqI,국힘인지 국짐인지 수준참....,True,1,2025-05-13T04:54:59+0900,859417479175209013,0,0,0
bhko****,445Zm,국짐은  썩열2 시리즈 방영중!,True,1,2025-05-13T04:43:22+0900,859416730525499429,0,0,0
ihwa****,2ES4m,윤가놈을 출당조치하고 사과해라. 진정성이 안보인다.,True,1,2025-05-13T03:18:27+0900,859411260465217569,0,0,0
cool****,1Sevo,이랬다 저랬다.  왔다 갔다 그래서 본인 당에서도 못 미더워하는 후보,True,1,2025-05-13T02:27:41+0900,859407989881176127,0,0,0
