user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sati****,5sBN,"하...정말...쏘시오, 싸이코",True,1,2025-05-21T17:22:51+0900,860207830567747912,371,23,9
dark****,2xomG,극우 뉴라이트에 물들어서 거짓됀정보를 진짜인줄알고 박수치네.ㅋㅋㅋ 넌 계엄 일으키길 잘했따. 너란놈이 3년더 대통령짓했으면 으이구.나라진짜 개판됄뻔했네.이런애들은 못고친다.빵에 넣어둬야 세상물정 모르고 살게 내버려둬야됀다.,True,1,2025-05-21T17:28:35+0900,860208200018821392,226,12,5
jay8****,1hL1q,또또 사기치네 전자기기는 보조적 수단이고 우리나라 수개표인거 삼척동자가 다 아는 사실인데 어디서 거짓부렁이야,True,1,2025-05-21T17:25:50+0900,860208023203742005,147,12,4
buil****,,,False,1,2025-05-21T17:25:20+0900,860207990219735156,0,0,3
hann****,2eSJV,극장이 아니라 거대한 정신병동이군,True,1,2025-05-21T17:27:57+0900,860208159568953727,97,7,1
kpwh****,3is29,"ㅋㅋㅋ
나도 20대 대선 의심했어요~
윤석열이가 될리가 없는데",True,1,2025-05-21T17:43:27+0900,860209157544870059,48,2,2
seve****,36fb,"강사에서  짤린놈, 방송에서 짤린놈, 국민한테 짤린놈, ㅋㅋㅋㅋ  끼리끼리  잘들논다",True,1,2025-05-21T18:12:52+0900,860211052950847797,45,3,1
3eye****,63bMI,부정선거 믿는 노인분들에게 꼭 전하고 싶은 말이 있습니다. 어차피 투표해도 부정선거니까 이번 대선때는 투표하지 말아주세요. 집에 편안히 누워서 극우 유튜브 보면서 이재명 욕하고 민주당 욕하면서 집에서 보내세요. 돈줄테니 봉고타고가자고해도 절대 가지마세요. 어차피 부정선거니까요~^^,True,1,2025-05-21T17:51:09+0900,860209653647147063,44,2,2
rebe****,cZTum,똑같은 선거시스템으로 대롱령된 너부터 당선무효다,True,1,2025-05-21T17:55:57+0900,860209963153228107,43,1,0
jjan****,9oXmj,저런게 2년반동안 대통령이였다는게 부끄럽다~~김거니도 그렇고~참 부부가 쌍으로 꼭 사형받길~~,True,1,2025-05-21T17:32:16+0900,860208437466759271,38,3,0
