user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
chae****,3lvPH,"윤석열이 계엄을 왜 한건지 한번  생각해보자,  사사건건 민주당에서 반대, 발목잡기, 도대체 정부나 대통령이 뭘 하나라도 할수 없도록  쪽수로 목을 쥐고 있었다,  그래서 정신 훅 나가서 말도 안되는 자기 발등 찍은 계엄을 해서 이사태까지 왔다,  원인 제공은 민주당,  책임이 너무 많으므로  이죄명이 뒤에서 다 감독하고 지휘해서 이사태까지 온걸 국민들도 다 알고 있다",True,1,2025-05-18T23:25:30+0900,859952880705077389,43,7,1
hwar****,,,False,1,2025-05-18T23:00:55+0900,859951295962808577,0,0,5
dhvi****,1Tl6b,문재앙이 똥 싸놓고 올린 인플레를 지금 자영업자들이 모두 감당하느라 디지겠는데~~~ 이걸 계엄 물타기로 덮지 말아라~~ 진짜 이재명이 대통령 되면 이니라 골로 간다~!! 잘 봐라 좌파 추종자들아 정신 차려라~~,True,1,2025-05-18T23:22:28+0900,859952685065961609,35,3,1
ksuh****,2W9Cb,경제는 문재인때부터 계속 나빴음.,True,1,2025-05-18T22:54:37+0900,859950890541383842,33,2,0
urie****,2K4uy,"민주당은 근3년동안  민생에 신경썼나,,  정부 일못하게 마비시켜놓고  탄핵탄핵,,,민주당이 원인제공자다,,,,,",True,1,2025-05-18T23:39:17+0900,859953767850704966,32,1,0
fun1****,,,False,1,2025-05-18T22:57:35+0900,859951081902309541,0,0,1
jkc1****,2RuQH,다른나라 경제는 계엄도 안했는데 왜 나뻐짐? ㅉㅉ결국 선동임 ㅉㅉ 막말로 경제는 문죄인인가 다 말아쳐먹고 선관위 시스템 개차반으로 차려 부정선거 의혹까지 있는건데 이걸 다 윤정부 탓을 함! 또 이걸 분간못하는1찍새들은 선동당하는줄도 모르고 ㅉㅉ 잘들어라 이것들아 이번선거는 보수와 진보 싸움이 아니다 ~!! 그런거라면 걱정 1도 없겠다! 실제론 자유대한민국 친중세력들과의전쟁이란 말이다 서해바다 인공구조물 서울에 중국정부가 땅을사고 중국인애들이 드론으로 우리군시설을 찍어도 간첩으로 잡지도 못한다 ㅉㅉ 바로잡자 제발!,True,1,2025-05-18T23:24:04+0900,859952788061290516,31,3,1
yooj****,c6yp,표만 얻을 생각으로 입만 나불대는 이재명 저 간사한 입을 찟고 싶다,True,1,2025-05-18T23:25:16+0900,859952865337147459,28,1,0
opwe****,2dbCDY,"이재명이 없었으면 계엄도 없었다는 생각은 변함없다.
내 살면서 이렇게 악질적인 야당은 본적이 없다.
수십명을 탄핵하고 손발을 묶으면 누구든 계엄을 생각할수밖에 없을것이다. 그렇다고 계엄을 옹호하는것은 절대 아니다.",True,1,2025-05-18T23:19:51+0900,859952515951624418,29,3,0
1801****,,,False,1,2025-05-18T23:11:10+0900,859951956800569413,0,0,1
