user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lbj8****,17GUp,퇴진을 해야하는 윤석열에 빌붙어 살았던 권성동 너 자신도 떠나라는게 시대정신!,True,1,2025-05-16T21:07:49+0900,859758467500474586,1974,24,24
ghdd****,55C0N,니나 퇴진해라,True,1,2025-05-16T21:17:06+0900,859759065708888091,659,7,9
chef****,29Max,니가 제일 먼저 나가는게 시대정신이다.,True,1,2025-05-16T21:38:12+0900,859760424663384128,472,2,6
shes****,15H07,살다살다 너같은 인간이 이런말을 하는 꼴도 봐야하니? 너만 없어지면 대한민국이 발전한다,True,1,2025-05-16T21:16:10+0900,859759005378019369,386,7,2
ms04****,eUFbk,내란수괴 윤썩열과 개~검출신 권성동이 동반감빵가는 것이 시대정신!!,True,1,2025-05-16T21:22:34+0900,859759418282082442,348,20,3
cisc****,,,False,1,2025-05-16T23:20:09+0900,859766993077665839,0,0,0
jaey****,3vKyy,권씨는 왜이리 나대냐 국민밉상인거 본인만몰라?저런것이 국개의원이라니 ㅉㅉ,True,1,2025-05-16T21:27:44+0900,859759750957498580,58,1,0
kj93****,5cY8A,너나 사퇴해라 대선후보 바꿔치기 한놈아 어디서 정치 양아치로 배워 가지고는. 니가 정치를 후퇴시켰다,True,1,2025-05-16T23:21:14+0900,859767063307092033,54,1,1
petc****,eSMsx,퇴진이란 말은 둘째치고 이땅에서 사라져야 할건 밸도 쓸개도 없는 바로 너,True,1,2025-05-16T23:20:53+0900,859767040691405027,49,0,0
holy****,2hpVm,"윤석열이랑 권성동, 권영세가 떠나야지",True,1,2025-05-16T21:44:37+0900,859760838053986483,46,4,1
e4ev****,3SzX,너나 꺼지세요,True,1,2025-05-16T21:18:53+0900,859759180834144505,38,1,0
soon****,14WMl,"너부터  사라지세요
면상도  비호감이라  보기도  짜증 나구만",True,1,2025-05-16T22:45:17+0900,859764747111759955,36,0,0
mysu****,PNhE,너랑 윤석열이만 퇴진하고 국민의힘 해체하면 답이야,True,1,2025-05-16T21:38:19+0900,859760432464789605,36,3,0
yooj****,cPHZD,"당신이먼저 나가세요 제발 내가봐도 창피하고 유세장에 기웃거리는것도 모양세가 쪽팔려요 이제 제발 집에가세요 
국민을위해 정말 토나올지경이다 역대최대 한심한인간",True,1,2025-05-16T22:38:23+0900,859764302280654964,32,1,1
elis****,2i1LU,쌍권 정계은퇴가 시대정신이다,True,1,2025-05-16T22:11:43+0900,859762583823974597,30,0,0
nes1****,1MjNd,권성동 쓰레기의 개소리는 이제 좀 그만 봤으면 좋겠다!!,True,1,2025-05-16T23:21:12+0900,859767060387856429,29,1,0
drea****,3BbyW,정신나간 얼굴도 두꺼운 넘. 너나 은퇴해. 넌 쪽팔림도 앖냐?,True,1,2025-05-16T22:23:34+0900,859763347673841800,28,1,0
winj****,GNrc,대갈 굴려 생각한게 그거니? ㅋㅋㅋ,True,1,2025-05-16T22:08:06+0900,859762350989770785,23,1,0
ksjd****,2BJ5I,"대한국민의 명령이다! 윤석열, 권성동 내란 공범은 당장 대한민국을 떠나라!",True,1,2025-05-16T22:07:13+0900,859762293880127539,22,2,0
chji****,1ptCr,당신이 사라지는게 시대정신이야,True,1,2025-05-16T21:46:14+0900,859760942693482582,18,1,0
kims****,1in45,"철면피도 이런 철면피가없다
국짐은 해산이 답이다",True,1,2025-05-17T02:59:05+0900,859781097448275974,16,0,0
huet****,7ZqO5,대구에서 권성동 내려오란 소리 못들었나?  새벽에 후보자 바꿔치기한 쌍권 아웃이 시대정신,True,1,2025-05-17T01:03:02+0900,859773621655044107,15,0,0
euns****,4LnTc,윤석열과 권성동 동반 감옥행이 시대정신이라고 생각하는 국민이 과반을 훌쩍 넘긴다는 생각이 든다.,True,1,2025-05-16T21:16:15+0900,859759010629288011,17,3,0
smki****,4OjoK,니놈 퇴진이 제일 우선이여.,True,1,2025-05-16T21:52:01+0900,859761315315449866,15,1,0
ruda****,1QkIc,ㅋㅋㅋㅋ 너 너야말로 은퇴해야지. 넌 왜 빼냐? 너랑 윤석열이지. 구제불능.,True,1,2025-05-17T00:54:48+0900,859773090555494525,13,1,0
psi5****,12u9m,권성동 이사람은 정말 멘탈이 강한가봐! 나같으면 쪽팔려서 정계은퇴할거 같은디,True,1,2025-05-17T00:13:26+0900,859770425813500017,13,1,0
woan****,1EGTO,니가 1순위 아니냐? 니가 꼴보기싫어서 너네당 안찍을런다,True,1,2025-05-16T23:13:44+0900,859766579770949816,12,0,0
asdj****,20yX8,시대정신도 못 읽는 놈이 무슨 정치를 한다고 정신병자냐? 강릉놈들 아무리 시골 촌 구석이래도 정신 좀 차려라,True,1,2025-05-17T00:05:12+0900,859769895754137646,11,0,0
samh****,8ZBF2,너나 사퇴하라.    국민의힘당. 대선후보 사리구분판단도못하는자들이 뭐 국회의원 한다고하나 진작 홍준표 시장 대선후보내세워야지 엉뚱한짓 하는것보고. 국민의힘당 소멸이 답이구나. 전국민들이 안다,True,1,2025-05-17T06:45:25+0900,859795678761582633,10,0,0
once****,5sItn,권성동 정계 은퇴 =시대정신,True,1,2025-05-17T01:01:44+0900,859773537617969261,10,0,0
pass****,2Qj73,윤석열 권성동 동반 깜방이 시대정신이다 ㅋㅋㅋㅋ,True,1,2025-05-16T21:32:31+0900,859760058735526023,11,2,1
huan****,2cNt8Z,권선동 네가 정치판에서 매장되야한다,True,1,2025-05-17T07:03:38+0900,859796852378173527,9,0,0
mmax****,,,False,1,2025-05-17T07:00:07+0900,859796626338742295,0,0,0
ko_c****,58UOY,나라망친 주범이 너다,True,1,2025-05-17T01:14:18+0900,859774347219304481,9,0,0
jss3****,tgZH,니가 한마디  할때마다 국민들은 너보기싫어서 국짐당 탈출한다 모가옳은지도 모르는 철면 인간 제발 안보고좀 살자 뻔뻔한 위선자,True,1,2025-05-17T00:47:34+0900,859772625121968216,9,0,0
nabe****,KGKb,내란수괴 사형과 내란범죄극우공산당 국민의힘 해체가 시대정신!!!!,True,1,2025-05-16T21:31:02+0900,859759963004731404,11,3,0
balr****,gUis,내란수괴 윤석열  내란당 국민의힘 동반퇴진이 나라 살리는 길이다 개성동아~~~~~~,True,1,2025-05-17T07:21:28+0900,859798001852350523,9,1,0
