user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
skdh****,6qTH,"저런걸 대통령감이라고 뽑은 2찍이 문제아이냐??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 대권 도전한답시고 1일 1망언 25연속인지 40연속인지 저지르고, 손에 왕자 적어서 기어나오는거보면 저게 인간언저린지 구분이 힘드냐??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",True,1,2025-04-22T16:20:44+0900,857513460898988301,199,9,17
jakb****,SxAQ,아주 탈옥시켜놓고 실컷 일반인처럼 살 기회를 길게도 주는구나...쥐귀연치부책을 뭐 얼마나 쎈걸 십석열이 쥐고있는거야,True,1,2025-04-22T16:32:59+0900,857514250334110052,70,2,2
jhee****,QnnX,"세상에 내란 일으킨 우두머리놈은.법원에 출퇴근하고.아무죄도 없이 상관의 명령을 따른 장군들은 구속기소 되어있고, 지구상에 이런나라가 도대체. 있을수가 있나, 더러운. 판새.지옥의 불구덩이 속으로 빠질거다..추악한 인간~~",True,1,2025-04-22T16:54:30+0900,857515636484473026,58,2,4
ohpf****,e6Hoc,내란수괴 사형이다,True,1,2025-04-22T16:22:47+0900,857513593153782053,30,2,2
kill****,2xeDT,그냥 빨리 감방에 넣어버리자.,True,1,2025-04-22T16:24:52+0900,857513727908380986,20,1,0
jae9****,1sAoC,"내란이 세계에 생중계 됐는데
무슨 재판을 일년이나 해
지귀연 넌 꼭 역사의 심판을 받을것이다",True,1,2025-04-22T17:15:26+0900,857516985708183726,15,0,0
djet****,8Wjbw,무슨 재판을 하고 말고 할게 뭐가 있냐?  국민이 다 증인인데.. 그냥 사형 판결하면 끝나는 것을.!!!!!!!!!!,True,1,2025-04-22T16:55:42+0900,857515713928102163,13,0,0
joja****,4YwZx,일단 감방에 쳐넣고 1년걸리든 2년걸리든 재판진행해야한다!,True,1,2025-04-22T17:04:53+0900,857516305694064951,12,0,0
cool****,2VYDr,"내란우두머리 입벌구 떠는걸 언론에서 속보로 1년이나 더 보여준다고? 진짜 대환장 대한민국. 이재명후보자는 대통령 되지마자 1순위 내란범 방조하는 검경 개혁, 2순위 내란범들 청산 이것 먼저 시급하게 진행해야합니다.",True,1,2025-04-22T21:07:38+0900,857531944945058014,11,0,0
mans****,7jLHV,십석렬 빠는놈들은   송장좀비들뿐이니   전부제거하고 이민자로채우자,True,1,2025-04-22T16:20:17+0900,857513432545493075,11,1,1
skys****,3kOsm,하루빨리 윤가넘을  다른 특검으로 하여 감방에 처넣구 내란재판을 진행 해야겟네 저런 철면피 인간이 한국 사회 공기를 더헙히고 잇다,True,1,2025-04-22T16:55:37+0900,857515708525838574,10,0,0
jali****,2ck1tv,민주당이 꼭 정권잡아 지판사 파면하고 내란범들 소각해서 국민들  안심하고 살수있는 그런 사회를 하루빨리 만들기 바란다,True,1,2025-04-22T19:27:09+0900,857525470567071810,9,0,0
choh****,cs4Za,이쯤되면 윤석열보고 어그로 끌라고 풀어놓은 것 같은데 ㅋㅋㅋ 윤석열이 탄핵 된다고 조용히 갈 인간이 아니라는 건 누구나 알 수 있거든. 마지막까지 국민의힘 박살내라는 자기 말에 충실하라고 ㅎ,True,1,2025-04-22T17:55:01+0900,857519535928901643,9,0,0
ssr3****,7yvyJ,"대한민국을 군.경.여당.정치검새를
동원해 전복 시키려 했던
수괴 및 적극 가담자들
본보기로 사형 시켜라
내란 잔당들 청산하지 않고선
대한민국은 암흑에 흑 역사를
되풀이 할것이다
이런 자들에겐 관용은 없다
전광석화 같히 사형
집행하라!
그래야만 혼돈의 대한민국이
 다시금 일어설수 있다!",True,1,2025-04-22T16:34:15+0900,857514331938488420,8,1,0
hoon****,2bRlPE,"처음부터 윤석열은 나라는 안중에도 없었던 것!!  오직 자신의 돈과 권력을 위해 대통령이 되었고 그지위를 이용하여 최대한 돈과 권력을 끌어모으고자 대통령이 되었던 것!!!  탄핵이 되어서도 나라야 망하든 말든 오로지 살아남아 다시 권력을 쥘 궁리만 하고있음.  이렇게 간단한 내란죄 재판을 몇년씩 끌어서 온 국민 고생시키고 나라를 불안하게 만드는 이유가 도대체 뭔가??    이래서 도저히 그를 용서할수없다!!! 아니, 용서해선 안된다!!!!",True,1,2025-04-22T17:12:46+0900,857516813976600888,7,0,0
yeem****,2GGdY,저런놈을 삼십번이나 재판하다고? 일주일에한번? 7개월동안?ㅋㅋㅋㅋ 불법산수질로 내란수괴놈 탈옥시킨 지귀연이란놈이 굥두창이하고 연애하나? 사형을했어도 수십번은 했어야될놈을 앞으로7개월을 더 나대게한다고?,True,1,2025-04-22T16:58:17+0900,857515880626520170,7,0,0
owh8****,,,False,1,2025-04-22T16:48:24+0900,857515244065390749,0,0,0
mosa****,3yqny,구속 수사가 원칙이다,True,1,2025-04-22T20:42:42+0900,857530338392408313,6,0,0
cks5****,2OHJE,곧 정권 바뀌면 지귀연 구치소로 고고,True,1,2025-04-22T16:59:26+0900,857515954026840206,6,0,0
daep****,3s0X8,윤수괴 다시 구속하는게 답이다.,True,1,2025-04-22T21:46:26+0900,857534444481806533,6,1,0
ianr****,1e4e5,1심을 1년 끈다는거보면 무죄 주고 싶은가 보다. 공수처는 저 귀연놈 빨리 수사해서 중형 때려라,True,1,2025-04-23T06:51:58+0900,857569590501179499,5,0,0
hyhc****,6pGkW,"지귀연재판부가 재판을 질질 끌고 있다.  3차 공판을 3주 뒤에 하는게 말이되냐?! 국민들의 관심이 사그러지길 바라는거냐?! 절대 그럴 일 없다!! 죽을 때까지 지귀연 이름과 목소리를 기억하고 계속 되새김질 하며 주변 사람들에게 상기시킬 것이다. 내가 할 수 있는 온 힘을 다해서...반드시 역사책에 법률과 양심을 무시한 극악무도한 판사의 전형으로 기록되고, 후세에 길이길이 남을 것이다!! 반드시!!!",True,1,2025-04-22T19:58:52+0900,857527514031980861,5,0,0
minp****,1f7jb,내란죄 재판을 이렇게 끈다구? 미친건가.. 증거가 차고 넘치는데..,True,1,2025-04-22T18:46:33+0900,857522855787626724,5,0,0
kang****,2DYAE,구속해라!!,True,1,2025-04-22T17:02:33+0900,857516155588313264,5,0,0
didt****,,,False,1,2025-04-22T16:23:52+0900,857513662879891779,0,0,0
