user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
allo****,L9By,한동훈님은 당이 나아갈 해법과 반이재명 메시지 열심히 내면서 당을 위해 선거운동 하고 있습니다.  여지껏 지나보면 한동훈의 말과 스탠스가 모두 맞습니다. 옳은 쪽에 서있기 때문이죠.,True,1,2025-05-16T12:21:34+0900,859724563599065362,50,30,2
yalb****,2gMnm,제발 한동훈대표님 제안 받고 전권위임하고 팀 한동훈으로 선거유세해라. 표 얻을길이다. 능력이 없으면 사람보는 눈이라도 있던가.,True,1,2025-05-16T12:45:58+0900,859726135775199649,24,6,0
jong****,a0tTw,절박한 상황이다. 국민이 원하는 건 뭐든지 해라. 윤석열은 자기만 살기 위해 보수의 짐이 되지 말라. 보수가 패배하면 당신은 완전히 민주당의 먹이가 될 거다.,True,1,2025-05-16T12:10:04+0900,859723823170191397,15,5,0
thf7****,3Qyek,김문수 김용태는 생각 잘하세요 그나마도  한후보가 국민의 힘에 애정이 있어 손내밀 때 잡으세요 왜 승산있는 길을 멀리하고 패배의 길을 가려 하나?,True,1,2025-05-16T12:53:45+0900,859726637732725072,11,7,1
mook****,,,False,1,2025-05-16T13:51:00+0900,859730325868118017,0,0,1
jsy9****,4fatU,한동훈은 늘 옳았다,True,1,2025-05-16T14:04:01+0900,859731164007497739,7,5,1
gong****,9bxMS,아니 그게 결단으로 되는 문제가 아니잖아요 김문순라는 인간의 사고가 계엄이 잘못되지 않았고 내란이 아니며 윤석열은 억울하다고 생각하는게 너무 분명하게 보이는데 표를 어찌주나요ㅋㅋㅋ 그만 포기하세요,True,1,2025-05-16T13:43:21+0900,859729833070952607,6,4,0
mo14****,38Mg1,정답을 알려줘도 오답으로 가는 김문수,True,1,2025-05-16T13:47:23+0900,859730092715147404,4,2,0
hbh0****,3Azvh,탄핵찬성으로 국힘을망친 배신자 염불보다는 잿밥에 신경쓰는 깐족이 차라리 사라져다오,True,1,2025-05-16T21:55:38+0900,859761547646337190,2,0,0
air5****,2Z22o,너의 정체는 뭡니까? 후보도 아니고 의원도 아닌 것이… 입만 씨부렁 나부랭,True,1,2025-05-16T17:51:56+0900,859745847460495677,2,0,0
toon****,22ZkO,지귀연룸사진 대법윤리감찰 이것도 윤구속취소 당에 부담될건데.. 절연 얼른해야 해요 한동훈이 하란대로 하지 김용태라도 좀 하지 선긋고 모르는척 그게 안되나,True,1,2025-05-16T13:06:22+0900,859727449934528670,2,0,0
kmk7****,21In8,이 더러운 한 가발 이런 자가 우피니 하는건 완 전 카맬라운 같은 아 주 질이 안 조은 인간이라,True,1,2025-05-16T16:19:54+0900,859739918392361361,2,1,0
pan4****,8uTeK,탄핵에 앞장서 조기 대선 만들어 이재명에게 날개를 달아 준 한동훈은 분명 보수 분열의 배신자다,True,1,2025-05-17T07:26:30+0900,859798325602287684,1,0,0
okne****,4YyZu,가발벗을결단,True,1,2025-05-16T17:47:12+0900,859745542618480731,1,0,0
june****,17lQp,버림받은 뚜껑은 인연이 없으면 무심으로 대하라.,True,1,2025-05-16T16:03:15+0900,859738846093377647,1,0,0
jhku****,asM9r,"김문수 빨리 결단하라 !!  한동훈의 3대요구를 받아도 이길가 말가인데  도대체 민심과 거꾸로 가는 이유는 뭘가?  딱 한가지  대선은 져도 공천흔드는 당권은 내가 잡겠다 라는
  늙은이의  두번째 욕심때문이다 첫번째욕심은 한덕수랑 똑같은 대선욕심 깜냥도 안되는 주제에",True,1,2025-05-16T15:00:03+0900,859734774531489824,1,0,0
qeyo****,6xvb4,탈당하고 절연 한다고 ~상황을반전 시키지는 않는다  ~진심도없는 국힘 대선에서 이긴다는 생각은버려라,True,1,2025-05-16T13:56:10+0900,859730659147513926,1,0,0
radi****,1Ew1E,라방이랑 기사 사진이랑 얼굴이 달라진거 같아요 기자가 안티인듯… 라방에는 얼굴도 작고 그런데ㅜ왜 기자는 기사에 이런 사진 쓰나요,True,1,2025-05-16T12:22:50+0900,859724645387993427,2,2,0
abc4****,,,False,1,2025-05-16T20:27:07+0900,859755845808816165,0,0,0
bgh4****,,,False,1,2025-05-16T17:56:04+0900,859746114268561431,0,0,0
ydki****,3G6lE,한동훈은 당장 김문수후보 선거운동 참여하라,True,1,2025-05-17T07:43:04+0900,859799392633225229,0,0,0
peak****,9j7E8,그때까지  결단못하면 메스컴으로  전국민 앞에서 극우내란당임을 공표하는거지.  저당은 지도부나 당원들이나 모지리들이 많아,True,1,2025-05-16T16:07:33+0900,859739123219431683,0,0,0
zx43****,27oEP,동훈이는 절연을 안하는데 문수는 해야되? 너부터 해라.,True,1,2025-05-16T15:43:03+0900,859737544768618522,0,0,0
msk0****,4ympk,미꾸라지 한마리가 대선을 앞두고 진흙탕물튀겨 추어탕 만드냐...ㅋㅋㅋ,True,1,2025-05-16T15:15:28+0900,859735767121920208,0,0,0
jkpa****,3gK5z,배신자 한동훈이 기시를 삭제해라.저런 쓰레기는 홍준표와 함께 하와이로 보내라.유승민같이..,True,1,2025-05-16T14:54:48+0900,859734436537696577,0,0,0
suk8****,2clk7D,유세하면서 바닥민심을 확인 했을텐데도 아직도 정신 못차리는 돌대가리들!!!꼼수로 경선패배한 한동훈이 너무 아깝다는 생각이 든다,True,1,2025-05-16T14:30:18+0900,859732857986220172,0,0,0
blue****,,,False,1,2025-05-16T14:08:28+0900,859731450830782664,0,0,0
bsm3****,,,False,1,2025-05-16T13:44:49+0900,859729927392461242,0,0,0
song****,3sM7K,"이미 늦었다 .  절연해도 소용없다, 서겨리 똘마니들 전부 국힘 선대위에 속속 집결하던데",True,1,2025-05-16T13:43:36+0900,859729849378406684,0,0,0
bb41****,cBqGt,김문수 후보는 선거에서 이기려면 결단하여야 한다.,True,1,2025-05-16T13:35:46+0900,859729344333873509,0,0,0
good****,,,False,1,2025-05-16T13:17:30+0900,859728167949041851,0,0,0
man_****,38Xcp,미안하지만 한동훈도 그만 애썼으면 좋겠다.  자통 8푼이들의 표 떨어질까 절대 문수옹은 윤과 절연 못 할 것 같다. 망하는 김에 쫄딱 망해야 한다.,True,1,2025-05-16T13:15:29+0900,859728037271306436,0,0,0
chod****,6bB3f,얘는 민주당 간자 아닌가 싶을 정도!진짜 끝까지 보수에 도움이 안되네!자기에 관한 의혹은 다 해소했나?진짜 대선 끝나면 가발좌 탈탈 털어야 됨.,True,1,2025-05-16T13:18:25+0900,859728226199535796,1,2,0
munt****,,,False,1,2025-05-16T13:10:04+0900,859727688909193243,0,0,0
rldn****,1cZT1,백번 천번 공감하는 옳은 말씀입니다. 김문수후보는 결단하시라! 더 늦어 대선지고 당권쥐겠다는 안일한 생각으로 이 나라에 독재정권 꽃길 깔아준 역적으로 길이 남지 않으시길 빕니다.,True,1,2025-05-16T13:05:33+0900,859727397203738869,1,2,0
