user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
alma****,2cZycx,박은정 국회의원님 응원합니다 ㅎㅎ,True,1,2025-01-01T13:53:12+0900,847206343000457272,193,71,8
cjrk****,1eWUW,술취한 멧돼지가 저항하면 마취총을 쏘던지 테이져건을 쏴서라도 포획해야지,True,1,2025-01-01T13:56:13+0900,847206536995405881,115,8,5
cqki****,,,False,1,2025-01-01T14:08:28+0900,847207326094983293,0,0,7
rick****,,,False,1,2025-01-01T14:49:54+0900,847209995232608509,0,0,9
cch0****,384yA,반항하는 경호처 직원들은 파면하고 특수공무집행방해로 강력하게 처벌해라,True,1,2025-01-01T14:22:40+0900,847208241644437692,41,11,1
bomb****,4RxLk,마취총 쏴서  잡으면돼지,True,1,2025-01-01T14:12:04+0900,847207557922553873,12,4,0
mok2****,31JfC,지 남편이 어떤 사건에 연루되어있는지 보고 입좀 놀려라. 뻔뻔하기 그지없네,True,1,2025-01-01T14:57:04+0900,847210457663012891,10,2,0
soyp****,2UWrb,"부정선거 밝히자.  저런게 국회의원이 되는게 가능하냐.  
부정선거를 밝히지 않으면 자유대한민국이 될수가 없다.",True,1,2025-01-01T15:57:47+0900,847214369623245051,7,1,0
kkw9****,1rNdY,나라가 그냥 1찍 천지가 됬네 그냥.. 어쩌다 이꼴이 ㅉㅉ 범죄자니 느그 당대표도 옹호하지 끼리 끼리 ㅉㅉㅉㅉ,True,1,2025-01-01T15:32:25+0900,847212734750654586,6,1,0
dia1****,3kRZB,"조국이 면회나가봐라 ! 

끈떨어진 연신세 ! ~   지구밖으로 날아가라 ! ~",True,1,2025-01-01T14:44:01+0900,847209616319184908,6,1,0
jade****,mUnZ,반항하면 총을 쏴서라도 제압해야지. 남은 것도 없는 인간이 더 흉한 꼴 보이고 싶어 버티면 더 처참한 꼴 만들어줘야지,True,1,2025-01-01T14:36:51+0900,847209155163848930,6,2,0
gsli****,,,False,1,2025-01-01T14:22:10+0900,847208209482514482,0,0,0
cymc****,3ioK4,용산도 멧돼지 사냥 허가구역으로 지정 해줘요,True,1,2025-01-01T14:44:40+0900,847209658379665624,4,1,0
pkh1****,19M3P,저격수 배치하고 장갑차와 전투경찰  해병대 마동석같은 형사 300여명 지원해서 만약에 있을 불상사가있음  진압봉으로 졸라 때려제압해야됨 경호원들 총꺼내는 순간 저격수가사살하고,True,1,2025-01-01T18:35:52+0900,847224553947005160,3,0,0
ds5v****,3mAWd,재명이 부터,True,1,2025-01-01T15:48:47+0900,847213789819437277,3,0,0
kmar****,1fEsy,법위에 있다고 믿는 윤가야…넌 이제 고만 갈곳으로 가라,True,1,2025-01-01T14:30:46+0900,847208763633959114,3,0,0
celi****,13Cvi,1000명 동원해서라도 진압해서 끌고 나와야 됨 막는 자들 다 구치소로,True,1,2025-01-01T14:29:59+0900,847208712463450389,3,0,0
indy****,ydkz,명예회복을 위해서라도 707 특임대가 들어가서 개줄에 목메달아 끌고나오자.,True,1,2025-01-01T14:43:14+0900,847209566239195210,5,3,0
lwh9****,3LivC,박은정을 체포해야하는거 아닌가?,True,1,2025-01-01T22:41:28+0900,847240376153538727,3,1,0
viva****,5lfgS,"윤통이 지금 탄핵되어 헌재 결정 기다리는데
뭔  체포?  법도 모르냐?  항상 비례성에 맞춰
내로남불 하지 말아야",True,1,2025-01-01T21:30:24+0900,847235797668069538,3,1,1
sunn****,1DxfZ,반항하면 테이저건으로 제압하는거 실시간으로 방송해주면 진짜 살맛날듯,True,1,2025-01-01T15:01:30+0900,847210743144120451,3,1,0
smur****,2cw4s,총이라도 쏴서 문열고 넷이서 끌고 나와서 야구 방망이로 족치면 됨,True,1,2025-01-01T14:38:05+0900,847209234285199387,3,1,0
shir****,,,False,1,2025-01-01T16:02:51+0900,847214695772324099,0,0,0
ysum****,4EbaX,저여자 진짜 꼬라지 싫다..,True,1,2025-01-01T15:36:10+0900,847212976258678828,4,3,1
tblo****,12Yxi,"남들은 죽이려고 했는데 지가 죽을 수도 있다는 생각을 못했다는게 윤건희가 얼마나 생각이 짧고 아둔하고 잔인한 것들인지 일 수 있음. 공수처는 저항하는 내란수괴,성괴, 반란경호세력들도 모조리 체포해서 연행하라!!!!! 실시간으로 국민들이 다 볼 수 있게 생중계하라!!!",True,1,2025-01-01T15:28:41+0900,847212494534475953,3,2,0
very****,1AbtN,마취총으로 잡고 혹시 모르니 그물던저 포획해야합니다,True,1,2025-01-01T14:50:27+0900,847210031471394950,2,1,1
drop****,2bP6D,최악의 대통령이라 생각했는데.. 최악의 인간이네..,True,1,2025-01-01T14:43:40+0900,847209594693353657,2,1,0
joun****,esa7T,박은정 진짜 현명하고 똑부러지고 참잘한다,True,1,2025-01-01T14:37:31+0900,847209197878640784,2,1,0
hjki****,5hEHD,조국혁신당이  일 제일 잘한다,True,1,2025-01-01T14:15:49+0900,847207799766122692,2,1,0
ppie****,2W4XP,서민들 등쳐먹은 사기꾼들 변호해주면서 국민들 생각해주는 척하는거 진짜 역겹다.,True,1,2025-01-01T14:14:33+0900,847207718044303510,2,1,0
jsy1****,13KSZ,이런 인간도 국회의원이면 우리동네 아줌마들도 국회의원 시키겠다 제발 폐기된 인간들 몇 마리모아서 신당같은거 좀 차리지 마라,True,1,2025-01-03T09:49:21+0900,847376175603908750,1,0,0
frei****,ZCM1,국민이 저항할 것!,True,1,2025-01-01T20:43:07+0900,847232751764504620,1,0,0
gusk****,45oSQ,"의원님 전광훈목사(직업이 의심스럽긴한분)
다 털어주세요 무엇때무에 정치에 관여하는지 궂이 탄핵되니까 무효라고 하고 영장나오니까 
대통령을 지킨다는 저 교회 정말 궁금합니다!
대체 무슨이유때문에 저러는지 알고싶어요
윤건과 관계 인사들이 다 뒷북치는데 일가견이 있는거 같네요 하기사 관심이 다른데 있으니까 터지고 나면 대충 얼버무리고 수습하려는 계책이겠지 꼭 알려주세요",True,1,2025-01-01T17:30:51+0900,847220364575506677,1,0,0
wlrn****,1MAqS,현직 대통령한테 윤석열이 뭐냐?,True,1,2025-01-01T15:52:31+0900,847214029951729792,1,0,0
kshs****,,,False,1,2025-01-01T15:21:07+0900,847212006736920607,0,0,0
mabo****,27kUp,"잘 읽고갑니다

궁금했던 점들이 싹~~씻겨가네요

감사합니다",True,1,2025-01-01T14:56:04+0900,847210393272057878,1,0,0
heyj****,,,False,1,2025-01-01T14:50:31+0900,847210035145605271,0,0,0
yoon****,,,False,1,2025-01-01T14:42:14+0900,847209501613359170,0,0,0
hany****,6cjt5,"저인간때문에 대한민국에 타격이 너무크다.
내란죄는 사형이다.",True,1,2025-01-01T14:39:14+0900,847209308172058689,1,0,0
rjsd****,155S2,기관총ㆍ야구방망이ㆍ안대ㆍ포승줄ㆍ지참한특공대투입후 반란세력들 전부체포하면끝,True,1,2025-01-01T14:35:34+0900,847209072485728400,1,0,0
yeon****,2YfV8,스멀스멀 다들 기어나오네..무섭,True,1,2025-01-01T14:33:36+0900,847208945549312172,1,0,0
haet****,SoMx,조국혁신당 응원 합니다.,True,1,2025-01-01T14:32:22+0900,847208865756872797,1,0,0
neok****,14f1M,아질중에 악질이네 굥파면하라,True,1,2025-01-01T14:30:55+0900,847208772878205164,1,0,0
cndm****,3Xe62,한번에 어려우면  머리 가슴 배 다리 여러번에 나눠서 하심이...,True,1,2025-01-01T14:24:23+0900,847208352122404967,1,0,1
kpio****,6knQo,경호처 공무원들 방해하면 공무집행 방해죄로 잡아라 멧돼지 보호도 정도껏!,True,1,2025-01-01T14:22:57+0900,847208259730276627,1,0,0
we23****,5Gujm,진압할때 강경하게 가용병력 많이 투입해서 한번에 제압해야 우습게안본다.. 밀고.들어가서 딱 수갑채워 나와라,True,1,2025-01-01T14:15:04+0900,847207751917502481,1,0,0
han6****,ZeN1,"반항하는경호처도 역적으로 해서 다잡아넣어 
나라 경제 박살내고 서민들 어질어질하게만든 
넘은 무슨 아직도왕이지아네",True,1,2025-01-01T15:39:08+0900,847213167166619688,2,2,0
prac****,bZuM6,Jt  b c  가 자꾸 북한 판 칼춤을 춘다....,True,1,2025-01-01T14:49:54+0900,847209995786256633,2,2,0
su******,11Mm3,개보다 못 한 녀자가 나와서 지껄이는군 국회의원 이번 한번하면 두번은 못할걸 그러니 죽어라 하고 죄명이 두둔하는 꼴이 불쌍하구만,True,1,2025-01-01T14:46:50+0900,847209797882216668,2,2,2
prac****,bZuM6,Jtbc 나 박은정 이란 자나....북한 판 칼춤을 추는구나....니네 이재명 이나 어서 구속시켜라,True,1,2025-01-01T14:43:59+0900,847209614121369846,2,2,0
sonj****,3NwJs,관저앞 극우 늙은이들 싹다 치우고 끌어 내려라.,True,1,2025-01-01T14:28:42+0900,847208629567226064,2,2,0
lwh9****,3LivC,하루빨리 부정선거 조사하여 자격없는자들에게 칼을 쥐어놓으니 나라꼴이 말이 아니다. 박은정은 미국여행 갈 수 있나?,True,1,2025-01-01T22:46:24+0900,847240694501212321,1,1,0
some****,2Hjji,한번에 끌고 나오지 못하면 오만방자로 널뛸거다. 철저히 준비해서 단번에 끌어내야한다.,True,1,2025-01-01T15:29:36+0900,847212553237954731,1,1,0
penn****,bA9jg,"그 무섭다는 교회좌파네... 말로는 성도라면서 성경의 가르침은 따르지 않는, 아니 대놓고 반대하는 법안을 만들거나 그런 정당을 묻지마 지지하는 표리부동의 전형. 신앙을 접든 좌파를 포기하든 둘중 하나만 해라. 본인들도 어색하지 않나?",True,1,2025-01-01T14:54:49+0900,847210312137441499,1,1,0
toco****,,,False,1,2025-01-01T14:48:44+0900,847209920842432700,0,0,0
tony****,RlJi,"포승줄, 케이블타이, 야구방망이, 망치로 잡아들여",True,1,2025-01-01T14:48:17+0900,847209891079651410,1,1,0
nayk****,2wDsd,블랙호크 UH60헬기를 동원해서 공중으로 진입해서 체포영장 집행하면 됩니다. 의사당에 진입하듯이 3대까지 동시 진입을 허락합니다. 압수 해둔 케이블타이와 야구방망이 지참하고 가도 무방함!,True,1,2025-01-01T14:43:18+0900,847209570299281493,1,1,0
dhkk****,YOQE,"특수공무집행방해죄, 범인 은익죄, 두가지를 한꺼번에 범하면  최소 징역5년에 처한다. 경호처는 누구든 이렇게 되지 않도록 명심해야한다.",True,1,2025-01-01T14:40:04+0900,847209361909481497,1,1,0
mnb6****,,,False,1,2025-01-01T14:12:57+0900,847207615183192332,0,0,0
gusk****,45oSQ,박은정의원님 창원지검이 영부인 구속영장치던데요 아주 누락된거없이 좀 파헤쳐서  잔당들도 꼭 색출해주세요  특히 여론 댓글부대 .. 등등요 많은일 하고계신데 죄송합니다 ㅠ,True,1,2025-01-09T22:43:01+0900,847982646913925131,0,0,0
advi****,20b8O,공수처는 직권남용으로 이첩된 박은정 수사 언제 하냐,True,1,2025-01-08T11:44:40+0900,847847461375443248,0,0,0
peac****,2DBO1,조국이는 입시부정했다. 대한민국에서 잆ㅂ리 군대면제비리는 역린이다. 그냥 끝장이다. 조국이 없는 조국혁신당  참 코메디죠~~ 전라도에서 비례대표로 왜 몰표를 주었을까? 조국은 윤한테 복수심이 하늘을 찌르기때문이지. 조국은 신명을바쳐 윤석열대통령을 박살내기위해 젓먹던 힘까지 쓸 놈이기때문에 저나도에서 니들을 찍어준거야? 이게 윤대통령이 나가 떨어지면 조국혁신당도 토사구팽이야~ 3년후 니들 한명이라도 있을 줄알어~ 그냥 먼지처럼 사라진다. 박은정님!! 정신차리세요~~,True,1,2025-01-07T07:49:55+0900,847739566059159722,0,0,0
firs****,1iFHM,복수할라고 국회의원 된거냐...,True,1,2025-01-03T21:04:10+0900,847419650504392776,0,0,0
