user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hyod****,1HRtL,"내란죄는 형법, 형사재판에서 다뤄야하는 죄목이기에 헌법재판소의 소관이 아니다. 그래서 헌재가 내란죄 여부는 빼고 진행하겠냐고 의견제시했고 빠른 심의위해 헌법유린을 기준으로 윤석열의 내란행위를 심의하겠다는거다. 강도살인했는데 이를 형사, 민사상 소송 양쪽으로 진행할수 있는 거나 마찬가지다.",True,1,2025-01-05T01:07:02+0900,847528068263182344,140,13,8
lig_****,32GWl,"내란죄가 없다는게 아니고, 내란죄는 형사소송법으로 따로 진행하자는 건데 하여간 시래기들이 억지부리는 걸 보면 가관이다.. 권성동이는 한 입으로 두말 하는 것이 기본인 시래기.",True,1,2025-01-05T06:12:20+0900,847547737099468828,83,7,4
pedr****,nyCx,"이런 짜잘한 절차로 시비거는 굥가와 그 일당 무리들의 잔재주에 넘어 가면 안됩니다. 
이놈은 아직도 망상에 사로잡혀  비상계엄선포를 적법하다 우기는데 내란죄를 넣고 안넣는 문제가 아닙니다.
이번 비상계엄으로 세계적인 쪽 다팔고 국격은 땅에 떨어지고 부끄러워  고개도 못들 지경인데  태극기 보수 떨거지들 뒤에 숨어 관저에서 따뜻한 밥 쳐먹고  유투브 보면서 내란선동이나 하고  이것만  해도 사형감입니다",True,1,2025-01-04T22:37:50+0900,847518455925047571,54,7,1
inch****,4UFed,내란죄가 빠진건 아니고 주요 쟁점으로 다루지 않으려고 하는거지 석렬이측 변호사들이 내란죄 핑계삼아 형사재판 끝날때까지 혐의 인정된게 아니다 하는 식으로 시간지연 작전피려 하니까 회피하는건데 이걸 또 문제삼고.. 왜?? 내란죄 아니라며?? 계엄은 잘못된 거지만 내란은 아니라며?? 이래도 우기고 저래도 우기고 아예 우기기로 작정한 넘들에게 뭘 마추려하나? 그거 추가할거면 먼저 석렬이 한남동에서 기어나와 조사부터 받으라고 하던가,True,1,2025-01-05T06:12:01+0900,847547716044062722,41,5,7
hiby****,U59Z,내란죄가 없어지는게아니라는건 명백하니 걱정마라 국힘아,True,1,2025-01-05T06:14:26+0900,847547872609042468,26,7,1
theb****,2NcnQ,근데....내란죄로 체포영장 청구한 공수처는 뭐고...그거 허가 해준 판사는 뭐래...?? ㅉㅉ,True,1,2025-01-04T19:58:55+0900,847508218098745591,22,17,5
drag****,cpJFP,수많은 국민들이 두 눈을 뜨고 영상으로 봤는데도 억지만 부리는 내란수괴는 파면과 사형선고가 당연하고 그에 동조하는 내란의 공범당은 위헌정당 해산심판으로 강제해체시켜서 정치생명을 강제중단시켜야 한다.,True,1,2025-01-04T19:49:03+0900,847507582359699471,8,3,0
oh55****,2d4OB,"탄핵사유가
넘처난는데 무효?
헛소리라지마라! 우기지마라!!
탄핵사유가 내란죄뿐인가? 이제 
헛소리 개소리 우기기??저런게",True,1,2025-01-05T06:20:33+0900,847548266353524772,6,1,0
gims****,abW3p,재판부 권유로 이렇게 한거다 허위사실 유포 좀 그만해 부정선거에 찌든 노답들아,True,1,2025-01-05T06:12:25+0900,847547742367514651,4,0,0
namd****,cAXyG,권성동이는 8년전에 국회법사위원장 으로서 헌법재판소 문턱이 닳도록 다니며 민주당 주장과 똑같은 주장해놓고는 이제는 180도로 바뀐건 부끄럽지 않는가,True,1,2025-01-05T06:24:55+0900,847548547556442179,4,1,2
uust****,dx2vU,한재에서는 불법 계엄등 헌법 위반 사항을 우선적으로 다뤄서 심리를 신속히 할수 있도록 하고 형법 사항인 내란죄는 특검 등을 통해 별도로 다루겠다는 것인데 잘한 결정이라고 본다.~  석열이를 파면 부터 해야 정국안정과 대외신인도 개선에도 도움이 된다. 화구 하나에다 밥짓고 파스타 만들고 국도 끓이고 하지 말고 구분해서 하는 게 맞다,True,1,2025-01-05T06:36:42+0900,847549307161673788,3,0,0
tajo****,1gT6U,옛날 일본넘들 후손답다 우기는 건,True,1,2025-01-05T06:15:22+0900,847547932285599763,3,0,0
miss****,1iMNS,이게 법치냐? ㅋㅋㅋ 아주 법위에서 거만함 떨고 앉았네 민주당이 입법 사법 다 자기들 멋대로인데 이게 내란 아니고 뭐냐?,True,1,2025-01-05T06:12:36+0900,847547754430332970,5,3,0
spij****,,,False,1,2025-01-05T06:17:30+0900,847548069556781095,0,0,0
p030****,Mkwj,지긋지긋하네  내난수괴 처벌이  후딱이뤄져야  나라가산다.  강간범이  지죄가 없다고  구속절차 운운하는거랑 뭐가다르냐,True,1,2025-01-05T06:13:29+0900,847547811103768611,3,1,0
eyel****,12pUa,내란죄를 내란행위라고 명시하면 내란이 아니게 되는거냐?? 헌법재판소는 헌법을 위배했냐를 판단하는 곳이다. 불법 비상계엄 하나만으로 탄핵이 빠르게 가능하고 내란은 형사소송에서 관련자들 다 집어 쳐 넣어서 법정 최고형을 받게 하는게 최선이다.,True,1,2025-01-05T06:27:25+0900,847548708349280292,2,0,0
cham****,3FePQ,어차피 헌재는 탄핵이냐.아니냐만 다룰뿐 내란죄에 대해 형량을 판결하는것도아니고 이건 법원에서 다루면 될일 요지는 계엄이 대통령권한으로 합당했던건지 헌법유린을 하면서까지 위헌소지가있는건지만 다투면 끝날일이다 헌재에서도 아무문제를 삼지않고있고 내란이 아니라는것도아니고.. 재판빨라지니 대산빨라질까 조급해서 헌재랑 민주당 싸잡아서 협박하고난리났네,True,1,2025-01-05T06:26:23+0900,847548642347712541,2,0,0
jaej****,dt6mU,"탄핵은 탄핵이고,  당연히 내란혐의  유무죄 판단은 형사법정 에서 이루어 지는게  당연한데  왜이리 물고 늘어지냐  ,"" 형사재판은 법률위반 여부를  다루는것이고 탄핵은 헌법재판 이다 ""이말을 누가 했냐 성동아.",True,1,2025-01-04T19:58:11+0900,847508170266902568,8,7,3
piri****,1nV6R,민주당은 내란죄는 형사재판에서 다루면되고( 검찰에서 내란수괴라고. 공소장에 넣음) 헌재에서는 헌법만 다뤄야 속전속결로 윤석열 끓어내림. 국민의힘은 헌재에서 내란죄까지 다퉈야  180일 기간을 채울수 있으니깐 생각은 각자 몫,True,1,2025-01-05T06:20:36+0900,847548269440532521,4,3,0
wans****,9ttjB,"국힘당은 응분의 죄값을 받는날이 꼭 올 것이다. 저런 반 국가, 반민주,반국민적 행태를 보일 수 있다는 것은 도저히 용납 돼서는 안될 역적의 행태다",True,1,2025-01-05T06:08:28+0900,847547488343687200,4,3,2
blue****,1wIy,"주요 심의 내용이 바뀔경우 국회 표결을 다시해야지 !!!! 내란을 주요 골자로 표결하고, 찬성표 안던지면 내란 동조자로 낙인찍었으면서 이제와서 내란을 빼는게 말이 안되지! 법적으로도 말이 안되는 일을 하는거다!",True,1,2025-01-05T09:35:04+0900,847560797809803283,2,1,1
bong****,,,False,1,2025-01-05T06:52:42+0900,847550337299513411,0,0,1
grea****,1zzdX,"뭘 원천 무효야 … 시간끄는 네넘들 입맛에 놀아날 줄 알았냐 아직 의견도 못내면서 둘여주면 고맙다고 할 것이지 다투고 싶으면  대법가서 다퉈 …지금 IMF 보다 더 심각하다 저 한놈 때문에…
1500원에 육박하고  있어 정신차려 5천만이 위기다 ㅅㅃ",True,1,2025-01-05T06:49:19+0900,847550119095042068,2,1,0
nam1****,,,False,1,2025-01-05T06:28:20+0900,847548767992283157,0,0,0
vomb****,1CuFF,내란죄로 표결했으면 내란죄에 대한 탄핵소추는 무효가 맞다.,True,1,2025-01-05T12:06:21+0900,847570543828795502,1,0,0
mage****,1iuXU,권성동의 적은 권성동!,True,1,2025-01-05T06:38:50+0900,847549443711434821,1,0,0
ceo5****,2nuwv,ㅎㅎㅎㅎㅎ…  국민의적 권성동의 과거와 현재의  말하는 짓거리를 보면 코메디 보는 것 같다…   바보인척 하는 거야  바보인 거야?  ㅎㅎㅎ  국민의짐덩어리…  강릉스럽다.,True,1,2025-01-05T06:38:16+0900,847549408160514064,1,0,0
jewe****,3zubI,하여간 단어 하나 튀어나오면 아무말 막던지기 내란당 ㅋㅋㅋ,True,1,2025-01-05T06:25:34+0900,847548589516259364,1,0,0
pha1****,3tyse,무서워서 나오지도 못하면서 말만 많네~~,True,1,2025-01-05T06:25:20+0900,847548574987190297,1,0,0
lets****,1pEvJ,"진짜개쓰들,시국이 이러한데 말장난 하고 국짐이랑 윤 꼴도보기 싫다",True,1,2025-01-05T06:24:50+0900,847548542154178637,1,0,0
view****,2nfqG,"상황을 잘 모르네 헌제심판을 앞당기기 위함
이건 박그네때 이미 권선동이 했었슴 근데 지금 지가 그걸 또 반대함 ㅋ",True,1,2025-01-05T06:24:22+0900,847548512726941721,1,0,1
rewo****,3j1Sm,"싼똥이.많냐 적냐 문제가.아니다.계엄으로 
국민은 비상계엄으로 치를 떤다.",True,1,2025-01-05T06:17:05+0900,847548043015225349,1,0,0
hsi3****,Hosk,내란죄를 뺀디는게 말이되냐 ? 민주당아 니네들 큰실수한거야 ᆢ 아주 아주  큰실수 ᆢ,True,1,2025-01-05T06:22:06+0900,847548365875970056,2,2,1
aeyo****,1KYNC,성열이외 국짐아이들: 우리 내란죄 있는데 왜 빼~ 똑땽.ㅠ,True,1,2025-01-05T06:31:29+0900,847548970174513191,1,1,0
beck****,2q3G9,잔머리 굴리고 어깃장 놓으면 결국 탄핵시계만 빨라질 뿐  한심한 내란당과 찌질한 수괴놈 일일히 말 섞으며 대응할 가치가 없다,True,1,2025-01-05T06:28:06+0900,847548752490135557,1,1,0
