user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mik3****,2eiEP,영감아~넌 명태하고 감빵이나가세요 늙어서 감빵에서 생을 마감 시켜야합니다 정신이상자 홍준표,True,1,2025-01-30T14:26:52+0900,849898879456379091,575,19,9
dorj****,11yRN,"대권 욕심에 나라 말아먹으려는 자임. 손석희 방송 보니 논리도 철학도 없는 자임. 머리속, 뱃속에 가득한 똥을 입으로 토해 내더구먼.",True,1,2025-01-30T14:36:06+0900,849899474376458265,429,12,7
nond****,1pemE,헌법을 유린하고 군사반란을 일으킨 우두머리를 법이 정한 방식으로 심판하는 것을 집단적 광기라 덤탱이 씌우고 우두머리를 두둔하는 자는 뭐다?,True,1,2025-01-30T14:21:15+0900,849898517789933638,246,9,7
qufe****,2ytpl,집단적 광기는 국짐과 극우들이 더 심해요. 제발 인정할 것은 인정하고 현실을 보세요.,True,1,2025-01-30T14:50:06+0900,849900375715610649,174,6,4
came****,3ovng,좀 빠져!  그놈의 악취나는 속셈을 국민들이 모를까봐 그래?,True,1,2025-01-30T14:49:00+0900,849900304815095810,71,4,0
83sk****,1ah6v,당신이 설쳐대는게 더 나라 걱정되는데?! 대선후보자리 도둑맞았는데도 당원 명부 유출건으로 말 한 마디 못하고 있다가...ㅋㅋㅋ트럼프만나서 얘기한다고(22만장 배포된 티켓을 어떻게 구해서는) 국민 혈세로 미국가서는 TV로 시청하고 오신 분이?? 박근혜 탄핵이 그렇게 트라우마로 남았으면 좀 잘하지 그랬어요?? 내란을 우리가 일으켰니??,True,1,2025-01-30T15:04:29+0900,849901303025893514,36,1,0
yucs****,H0ts,"어제 토론하는거보니 홍준표는 정치감 많이 죽은 듯. 논리 부재, 설득력 부재.. 논리 막히면 그냥 우기기 시전.
내란을 쉴드는 쳐야겠는데 논리는 없음. 계엄도 옹호..헐..",True,1,2025-01-30T14:26:45+0900,849898871772414119,35,1,1
fabb****,39kym,"""나라앞날걱정? ""과연그럴까?  개인의 안위와 영달아니고?  명씨휴대폰 수사 철저하게해서 ,저자와 ,서울시장,국힘5선윤가 모두 철저하게 검찰은 수사하시요.",True,1,2025-01-30T15:16:36+0900,849902083384541341,17,0,0
eehn****,4egjG,"어제 MBC 100분 토론에서 유시민한테 오지게 쳐발렸음...국짐세력들이 개거품 물고 외치는부정선거,불법수사,불법체포,구속영장등 유시민이가 일목요연하게 설명하니까 홍준표 은근슬쩍 다른주제로 물타기만 하더만 ㅋㅋ",True,1,2025-01-30T15:37:53+0900,849903454905172213,13,0,0
lyg1****,49Bxx,"홍준표도 윤석열과 똑같은 사고방식의 소유자로 
더 이상 정계에서 발 못 부치게  해야 한다 .   
그래야 국민 대 통합을 이룰 수 있다.",True,1,2025-01-30T15:05:06+0900,849901342116806690,13,0,0
