user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hjc0****,,,False,1,2025-03-16T15:32:15+0900,854077799386841164,0,0,11
k240****,4Whmw,"두관아 헛소리 하지마라 
뭘 승복? 양아치 같은 소리하고 있네
탄핵이 인용되야지",True,1,2025-03-16T15:42:11+0900,854078440159051845,263,10,0
mori****,5Rtl4,두간아 니가뭔데,True,1,2025-03-16T15:38:42+0900,854078215830896835,85,4,2
bils****,197u4,양산시를 말아묵고. . 양산을 내란세력 소굴로 만든 정치인이 무슨????,True,1,2025-03-16T15:42:15+0900,854078443967479882,56,7,0
bin1****,U410,얘들이 갑자기 왜 이리 설치지. 지금은 조용히 있어라. 만약 기각 나오면 어쩔 건데,True,1,2025-03-16T15:32:02+0900,854077785646301202,47,8,0
9681****,,,False,1,2025-03-16T16:15:57+0900,854080615627096334,0,0,0
yym3****,3gB4o,"뭐야 이사람~ 탄핵이 기각되면 당신은 승복할수있어?
말도 안되는 소리를  당신 스파이야?",True,1,2025-03-16T16:14:27+0900,854080518101139572,19,2,1
a700****,LQIy,탄핵 파면은 무조건이다 승복은 내란당이나 할말인거고,True,1,2025-03-16T16:10:01+0900,854080232871690244,14,2,0
inlo****,1qjVJ,기각되면 투쟁하겠다고 선언해야 정상 아닌가!? 독재에 헌재가 굴복해도 승복하자고!??,True,1,2025-03-16T15:54:40+0900,854079243687035085,11,0,0
park****,20KfK,무개념 양비론! 탄핵이 기각되면 짐승들의 독재가 합법화되는 겁니다. 정신 차리세요. 윤석렬 탄핵 기각이 승복이라는 말이 어울릴 사안입니까? 이런 무의미한 발언 하는 저의가 의심스럽네요. 누굴 위한걸까요?,True,1,2025-03-16T17:36:00+0900,854085772540641284,9,0,0
lbe2****,,,False,1,2025-03-16T16:31:21+0900,854081606875349094,0,0,0
elur****,2XlBS,뭘 네맘대로 승복을 하냐? 저 죄를 지은놈이 사형을 안당해도 승복 한다구? 전두환 노태우를 안 죽여서 여기까지 온 걸 모르고있냐? 이번엔 반드시 내란당전원 죽여야 합니다. 안그러면 당합니다.,True,1,2025-03-16T16:15:23+0900,854080578415231059,8,1,0
idue****,,,False,1,2025-03-16T15:38:08+0900,854078178887467056,0,0,0
hyoj****,2K5UY,"현재 상태에서 탄핵 안되면, 한국은 진짜 불행한 상황으로 갈 확률이 매우 높다. 민주당은 고사해도 야성 국민과 전통 야당단체들이 가만히 있을까? 중도층도 데모에 가담하거나 심리적 저항감에 내몰라라 될 수 있다. 매일 엄청난 데모가 발생해서 나라가 수렁에 빠질 가능성이 높고, 이러다 아차하면 진짜 군사정변 일어난다. 그 결과는 안봐도 비디오이다.",True,1,2025-03-16T16:25:29+0900,854081229236994204,6,1,0
jish****,4O7W1,이사태를 만든것들은 당연히 승복해야 하는거고 우리는 탄핵인용이 아닌 어떤것도 승복이 안돼 알겠나,True,1,2025-03-16T16:08:34+0900,854080139271602327,7,3,0
yg17****,bz4F7,결과에 승복 보다는 헌법 재판소가 전원일치로 탄핵하여 의식있는 국민이 분노하지 않는 세상을 만들기를 바랍니다. 상식이 통하는 법이 정의에 편에 서길 바랍니다.,True,1,2025-03-16T17:29:07+0900,854085328414179361,5,1,0
