user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
casp****,236u4,좌파에서 화염병 제조 레시피 공유하던데요?,True,1,2025-04-02T13:43:14+0900,855647889005740121,453,7,17
net2****,1nu40,"미국 250년 역사에 25번 탄핵, 이죄명당 2년반동안 30번 탄핵입니다. 이것은 무정부상태를 만들어 국가를 전복시키고, 권력을 찬탈하려는 것입니다. 이것이 바로 내란이죠..",True,1,2025-04-02T12:20:49+0900,855642579352420671,215,5,11
natu****,bMDzI,당일에 민주당과 간첩들 많이 구속되겠다.,True,1,2025-04-02T12:25:57+0900,855642909309927820,140,2,1
00gr****,5QB3C,너 딱 기다려..윤대통령 오시면 헌재앞 공안들 밝혀달라고 끝없이 떠들꺼다..그때도 지금처럼 무시 가능한지 두고보자,True,1,2025-04-02T14:24:40+0900,855650557522608439,88,2,0
kkyd****,,,False,1,2025-04-02T14:26:32+0900,855650678083682519,0,0,0
zira****,1K7aX,"윤대통령의 기각내지 각하가 확실시되는만큼, 야당넘들과 좌파유투버들의 선동으로  반국가 공산세력들이 내란을 일으킬. 가능성이 놉은만큼, 경찰은 기동대를 초기에 투입해서 실탄포함 강력하게 초기진압해서 윤대통령이 국정에 복귀하면 2차게엄으로 반국가 공산세력들을 일거에 척결할수 있도록 정지작업을 해놔야,,",True,1,2025-04-02T13:16:38+0900,855646174491705631,31,1,0
poli****,,,False,1,2025-04-02T12:55:28+0900,855644811275796672,0,0,0
main****,45uxw,내란수괴 족재비 이재명이나 잡아라,True,1,2025-04-02T14:41:10+0900,855651620577345611,12,0,0
rntp****,6Ui3x,좌파들 지금 무슨 트위터 sns에서 화염병 제조도 한다고 그러던데 정말인가요?? 경찰청장 머하시는지요??ㅋㅋ,True,1,2025-04-02T14:42:56+0900,855651734746300830,7,0,0
wsw7****,,,False,1,2025-04-02T13:33:53+0900,855647286535913824,0,0,2
kimt****,dBdXH,기각.각하다 5:3 4:4,True,1,2025-04-02T13:37:28+0900,855647516987752650,4,1,0
maek****,7t5wE,내란이라면서 탄핵했는데 내란죄가 빠졌네? 당연히 기각나와야지.,True,1,2025-04-02T13:02:52+0900,855645287597736288,5,3,0
dong****,,,False,1,2025-04-02T13:10:55+0900,855645807020343663,0,0,0
