user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kore****,3UYBz,미국은 대통령 탄핵조사를 2년이나 했어. 현직 대통령인데 성급하게 빨리 선고하는게 중요한게 아니라 공정하고 깨끗하게 충분히 조사하고 선고하는게 더 중요한것 아니야? 우덜법연구회 가장 좌측 행배랑 친동생이 윤통 퇴진 위원회 변호사로 일하고 있는 미선이 임기가 4월이라 그 전에 하고 싶은건가?,True,1,2025-02-02T22:14:25+0900,850207314882330775,50,24,12
cdch****,,,False,1,2025-02-02T22:16:37+0900,850207456247152827,0,0,0
labc****,172dD,"극좌편향 재판관 문형배 이미선 정계선 정정미 당장 사퇴하라, 그렇지 안으면 국민저항권으로 심판할것이다.",True,1,2025-02-02T22:20:32+0900,850207709432119484,29,20,1
kty2****,,,False,1,2025-02-02T22:08:49+0900,850206954675503387,0,0,1
ksow****,21VQJ,징글징글하다. 역대급,True,1,2025-02-03T00:55:31+0900,850217693805019247,4,0,0
qwer****,e0asN,윤석열 이거는 이번에 들어가면 절대 못 나올 것이다 송장으로 나오려나,True,1,2025-02-02T21:34:09+0900,850204720671752248,17,15,1
ksw0****,,,False,1,2025-02-02T23:26:27+0900,850211955242172545,0,0,0
ccjr****,57Vgb,"윤꼴똥 속히 탄핵시켜주셰요!
국민들이 진짜 죽을맛 입니다",True,1,2025-02-03T00:59:52+0900,850217974202630308,7,6,2
mcho****,8XbI2,부정선거 맞잖아!   부정선거의혹을 막기위해서 내란죄 뒤집어 쒸우는거고  대통령임기 초부터 탄핵을 입에 달고 다닌거 모르는사람이 어딨어!  부정선거 증거가 많아도 너무많아.,True,1,2025-02-03T00:51:44+0900,850217450166288527,3,2,0
achi****,vD01,"그냥봐도 혐의가 쌓였는데 기다릴게 있겠나? 헛소리 계속하겠지만, 국민이 생방으로 다 봤는데..  초딩도 판결할수 있는수준.",True,1,2025-02-04T00:28:38+0900,850308732733620379,1,0,0
i404****,1uWGp,애당초 법관 언론 교사들은 정치성향 가지면 안되는 것들이다!,True,1,2025-02-03T00:18:50+0900,850215330901917917,1,0,0
hwan****,4zHeG,전과4범 들러리 안부끄럽나요 😳,True,1,2025-02-02T21:50:36+0900,850205780790477000,4,4,0
