user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
seve****,1mppE,곧 9인체제 완성되고 2월내 윤썩열 파면 갑시다~!!!!!!!!!,True,1,2025-01-02T14:16:53+0900,847300640366395735,1267,35,18
khi4****,32sPp,최상목 눈치껏 오늘 임명해라. 대법관도 임명하고 상설특검 후보 추천 의뢰도 하고!!,True,1,2025-01-02T14:16:14+0900,847300598154920022,555,8,6
mik3****,2eiEP,내란수괴 우두머리 윤죄앙 사형 공감하시는분,True,1,2025-01-02T14:17:43+0900,847300693516615967,386,12,5
kpio****,6knQo,최상목아 내란의힘 눈치 그만 뵈라 같이 나락 가는길일뿐,True,1,2025-01-02T14:18:04+0900,847300716451069982,182,9,1
ysch****,6baIh,양쪽에서 욕 먹을 바에 이제 열로 넘어와~ 나머지 한명 얼른 임명해.,True,1,2025-01-02T14:17:00+0900,847300647647707137,114,2,0
dani****,Rbv8,그니까 괜히 애매하게 2명만 임명해서 왜 양싸대기를 맞고있냐 3명임명하고 특검 수용했으면 야당+국민80%가 박수쳐줄텐데 에휴,True,1,2025-01-02T14:20:45+0900,847300888803410226,71,1,0
9737****,,,False,1,2025-01-02T14:19:21+0900,847300798558765188,0,0,0
arac****,6gRrc,최상목 대행님~~~마은혁 재판관님을 속히 임명해주세요~~~이러다 나라 망하겠어요~~~,True,1,2025-01-02T14:29:21+0900,847301442954854544,21,1,0
sshk****,2bUhnY,"최상목 니가 그래도 조금이라도 살길을 도모한다면
경제부총리로써 나라경제가 눈꼽만큼이라도 걱정되면
한명남은 마재판관 임명하고 특검도 받아들여
그게 살길이다 더가면 국민은 절대용서 안한다",True,1,2025-01-02T14:34:26+0900,847301770815209658,18,1,2
gran****,2FkCA,나라를 지키는 헌재의 신속한 대응에 감사!,True,1,2025-01-02T14:37:24+0900,847301961270165672,15,1,0
lsdn****,c1Ypu,헌법기관 헌재 9인체제 재판관 구성을 고의적으로 방해하고 있는 국민의짐은 꼭~~ 위헌정당해산기켜야 된다.,True,1,2025-01-02T14:26:35+0900,847301265317691604,12,0,0
kkot****,6bFJR,최상목 대행 얼른 임명하라. 국회 몫을 니가 뭐라고 자의적으로 선별 임명하냐. 삼권분립 파괴냐.,True,1,2025-01-02T14:39:17+0900,847302082686877818,12,1,1
moxn****,3tUjT,"들었나 최상목. 헌재가 신속히 임명하란다. 나중에 직권남용, 직무유기로 가중처벌받지말고. 기왕 버림받은거 확실히 국민편에 서라. 헌재재판관 마저 임명하고 상설특검 후보추천의뢰 하고 대법관 임명하면.  나중에 재판받을때 선처탄원 청원 해준다",True,1,2025-01-02T14:33:20+0900,847301700082466948,10,0,1
hell****,238vP,상목아~  헌재에서도 빨리 임명해야한다고 재촉한다. 눈치 그만보고 양심에 따라 움직여라,True,1,2025-01-02T14:54:22+0900,847303055245312118,8,1,0
lshc****,BxSc,최씨야 지금 가운데서 간볼상황이냐 모지리모시다보니 모자라진거냐,True,1,2025-01-02T14:28:41+0900,847301400072290583,7,0,1
saka****,1Pnga,헌재가 저러는거보니 개빡친듯 윤두창 1월말에 탄핵,True,1,2025-01-02T15:29:50+0900,847305339396161869,7,1,0
sndo****,174Zf,정부에서 유일하게 제정신인 헌재가 있어서 정말 다행입니다.  헌재재판관님들과 소속공무원들 국민들이 지지하고 화이팅입니다.,True,1,2025-01-02T14:30:21+0900,847301507278700680,7,1,0
cds0****,15ELW,나라의 운명 보다  자신들의 기득권을 우선으로 챙기는 내란의 힘. 그들의 목적이 분명 해진 이상 빠르게 진압 해서 국가 정상화를 해야 국민 살고 경제가 산다. 단 한마리도 내란의 힘 개들은 필요 없다. 전부 도살 만이  현답이다.,True,1,2025-01-02T14:22:40+0900,847301012921254148,7,1,0
iron****,3ckj7,1명 임명해서 환율방어하고 경제 올인해서 최상목 실사구시 면죄받아라,True,1,2025-01-02T14:22:40+0900,847301012837368087,7,1,2
aa72****,8bIkg,최상목  헌재에서 임명하라자너  내란공범되지말고  빨리한명더 임명해라!!!!,True,1,2025-01-02T14:21:34+0900,847300942071070967,7,1,0
mcg8****,30wDy,최상목씨 계엄 못막은거에 죄책감이 있다면 언능 재판관 임명 합시다,True,1,2025-01-02T16:00:37+0900,847307322412761375,5,0,2
meca****,,,False,1,2025-01-02T15:30:11+0900,847305362632605760,0,0,0
haso****,,,False,1,2025-01-02T14:40:39+0900,847302171220246820,0,0,0
free****,1hMUp,최상목 대행님 보고 있나요?,True,1,2025-01-02T14:22:05+0900,847300975222849576,4,0,0
dong****,13mwM,빨리 완성하고 빠르면  이달 내   늦어도 2월에는 화정지어야 나라가  살지 않겠습니까?,True,1,2025-01-02T14:18:46+0900,847300761682444583,5,2,1
kjp8****,,,False,1,2025-01-02T15:02:44+0900,847303593928163606,0,0,0
euiy****,24csq,마지막 한명 임명 안하면 뭐 본인도 계엄 인정하는 꼴이지모,True,1,2025-01-02T14:32:10+0900,847301624450777155,4,1,1
ehdf****,WE48,상목아 니가 자알 했어야지. 너도 공범이란 합리적인 의심이 든다.,True,1,2025-01-02T15:22:41+0900,847304878811250926,3,0,1
ello****,6AqH,옳은말씀.,True,1,2025-01-02T14:47:02+0900,847302582043934744,3,0,0
ddab****,GXfI,정상적인 헌법재판관수는 9명. 당연히 정상적으로 인원채우는건 당연한거지 빈자리를 그냥두는것이 비정상이지. 왜 정상으로 만드는걸 방해하냐고.,True,1,2025-01-02T14:42:36+0900,847302296512495845,3,0,0
kh77****,3jM8y,상목아 들리냐? 니가 하는짓이 위법이란다.,True,1,2025-01-02T14:27:17+0900,847301309609541747,3,0,1
ptju****,dZHU,"국힘이 헌재재판관 임명을 못하게 최대행에 압박하니
할수가 읍지!! 국힘을 해산 시켜야 한다!!",True,1,2025-01-02T14:21:35+0900,847300942708605190,3,0,0
jayd****,X6cO,마저 임명해 최상목.,True,1,2025-01-02T15:38:14+0900,847305881082134657,4,2,0
