user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mosi****,1v1XW,"반발안하는게 뭐냐?  헌법을 부정하는 윤석열은 김정은, 푸틴, 시진핑과 거의 동급이다.",True,1,2025-02-10T14:33:08+0900,850919767010181168,1736,62,28
baec****,1hKaO,내란수괴 윤석렬이 아직도 살아 숨쉬고 있다..이것이 탄핵소추되니 배후에서 김거니가 이나라를 조종하고 있다. 내란정당 국짐당..반드시 해체시켜야 한다.,True,1,2025-02-10T14:33:33+0900,850919793786618105,810,21,4
ljwc****,3lJew,당연한거 아닌가!!!,True,1,2025-02-10T14:33:20+0900,850919779827974291,267,6,5
fend****,UjcL,왜  반발하냐   캥기는게  많나보네,True,1,2025-02-10T14:33:47+0900,850919808768672091,181,5,2
gag2****,1ainf,ㅋㅋㅋㅋㅋㅋ뭘해도 안되는 윤씨.ㅋㅋㅋㅋㅋㅋ잘가라멀리나가서 마중해줄게,True,1,2025-02-10T14:33:07+0900,850919766724968507,141,7,2
blue****,867uM,"아니, 검찰총장 출신 내란수괴가 검찰조사서를 불신한다면 본인은 조직에 충성하지 않는 개/돼지 보다 못한 놈 아닌가 !",True,1,2025-02-10T14:47:26+0900,850920688213557434,100,2,1
taij****,12XFd,이제 그만하자! 8차 변론으로 끝내고 내란범들 폭도범들 싹 다 정리하고 새로운 대한민국 만들어보자!,True,1,2025-02-10T14:47:49+0900,850920713228386670,50,1,0
logi****,5BWip,"아니 헌재가 된다는데, 니들이 뭔데 트집이야 ㅋㅋㅋㅋ 이것들은 진짜 윤석열이 왕인줄 아나?",True,1,2025-02-10T14:39:22+0900,850920169428484264,43,0,0
jiki****,1GcnK,"헌법재판소 : 피청구인 대똥령 윤석열을파면한다
형사법정 : 내란수괴자 피고인 윤석열을 사형에처한다. ㅉㅉㅉ",True,1,2025-02-10T14:48:25+0900,850920752319299771,42,1,2
gira****,,,False,1,2025-02-10T14:35:43+0900,850919933540827443,0,0,0
nffo****,4Dett,"부정선거니 인원이니 다른건 그냥 부차적인거고 형사재판에서 다툴 문제이고, 이건 헌법재판이고 계엄령이 헌법에 정해진 절차대로 진행됐는지가 핵심임. 저들이 아무리 이런저런 핑계로 논점을 흐리려고 해봐야 국헌을 준수했는지만 보면 됨.",True,1,2025-02-10T14:47:53+0900,850920718077002181,19,1,0
ozuf****,,,False,1,2025-02-10T14:41:38+0900,850920315272823060,0,0,0
misa****,w0D1,"윤가놈이 죽어야 나라에 평화가ㅡㅡ.
그 다음에 반란부역자들 하나씩....",True,1,2025-02-10T14:40:56+0900,850920270276329872,15,2,0
buja****,19Xie,이 더러운 저질 윤석렬 놈은 반드시 사형 시켜야한다 뒤가 엄청 구린 놈이니까,True,1,2025-02-10T15:42:59+0900,850924267615814082,10,0,0
wins****,2GFT4,속히 탄핵 인용되고 형사재판 끝내고 사형집행까지 끝내버렸음 좋겠다,True,1,2025-02-10T15:06:44+0900,850921932495782262,10,1,2
hsc2****,1WdV6,형장의 이슬도 아깝다. 그냥 다음생에는 멧돼지로 다시 태어나면 되겠네,True,1,2025-02-10T14:57:08+0900,850921313919828030,9,0,0
sshi****,1KQeO,윤석열 찍어준 1630만 멍청이들 때문에 나라가..,True,1,2025-02-10T15:02:16+0900,850921644514869353,11,3,0
ohyu****,aBNT4,"친위쿠데타 내란수괴 입벌구윤석열야아
        제발 헌법유린하지마    
           탄핵심판 본질 흐르지 말고 궤면으로
                  극악무도한 짓거리 그만하라
                    파면돼 감방서 영원히 사면없이 살아라",True,1,2025-02-10T14:48:39+0900,850920767301353753,8,0,0
seak****,5O2gT,자기들이 진술하고 조서를 읽고 서명날일한것을  거부한다고 무책임의 극치네,True,1,2025-02-10T14:41:16+0900,850920291348512892,8,1,0
pers****,d9qsK,"니네가  수사기관에서  한  진술과  달라지도록
  김용현 변호사  보내서  회유한거 이미  다  들통났다
   어케든  온갖어거지  끌어들이는거  진짜  추잡하다
   윤석렬이   살아돌아와야
   니들을  다  원상복귀시키는거  가능한다는
  새빨간  거짓말에  놀아나서   일차진술  번복한군인들 잘  생각해봐라   이미  전국민에게  라이브로  방송된 실시간범죄를  무슨수로  반박가능하겠냐고?
 윤지시를 과잉충성하고 한자리 얻으려한  니들 권력욕으로 몰아갈건데 과연 살아돌아온들 입법기관무력화와
국회의원들체포하려한내란죄사면불가능",True,1,2025-02-10T15:08:03+0900,850922016314753038,7,1,0
st-s****,8vloi,윤석열 빨리 탄핵해라.  저 따위 인간을 지지하는 세력도 척결해서 대한민국의 민주주의를 바로 세웁시다.,True,1,2025-02-10T16:21:29+0900,850926747825209575,6,0,0
bada****,3b035,검찰 수장까지 해서 그자리까지 올라간 주제에 검찰조서를 인정 안한다는게 말이야 방구야??정말 얘는 알콜땜에 뇌가 다 녹아버린건가??,True,1,2025-02-10T15:29:56+0900,850923426926297490,6,0,0
wook****,,,False,1,2025-02-10T15:16:23+0900,850922553537986753,0,0,0
onel****,,,False,1,2025-02-10T14:45:59+0900,850920595133563330,0,0,0
hang****,2mYlG,이미 검찰이 조서다 써놓고 서명까지 했는데 무조건 써야되는거 아니냐!! 그 이후에 입장이 바뀐건 니네가 회유해서 그런거고!!,True,1,2025-02-10T16:42:05+0900,850928075171430441,5,0,0
pgh0****,36bty,잊젠 끝났다. 헌재 와서 거짓말 하고 시키고 해도 끝~~! 지루하니 시간 좀 앞으로 당겨주세요. 나라 바로세웁시다,True,1,2025-02-10T16:20:35+0900,850926689423720739,5,0,0
lmsk****,tiEC,지가 법위에 있어 ?뭐야?사사건건 트집잡고 선동하고  법을준수한다는 선서는 쇼한거임? 사기꾼같네,True,1,2025-02-10T16:11:41+0900,850926116297244974,5,0,3
kmk2****,d9BUO,"억지 쓰는거 지긋지긋하다, 빨리 파면 인용해라",True,1,2025-02-10T16:09:03+0900,850925946931249175,5,0,0
mkma****,38IpJ,쉽석열!!!! 헌법좀 그만뿌셔!!!!,True,1,2025-02-10T14:43:11+0900,850920415080480855,5,0,0
kcs2****,d5zo,"사형도 모자라다.
반발하는 것 보면, 반성의 기회는 전혀 없는 것도 모자라서 얘기하기도 싫다는~
뭐 저따구 놈들이 다 있남.",True,1,2025-02-10T15:03:31+0900,850921724760293610,6,2,0
jjlo****,2GBy1,윤석열이 반발했다 = 적법하게 잘하고 있다,True,1,2025-02-10T15:57:14+0900,850925185933508709,5,1,0
trai****,1g7ke,법을 배웠다는 놈이 지금 하는 꼬라지보면 법은 커녕 기본 상식조차 떨어지던데 저런 놈이 검사시절에 엄한 사람 얼마나 족쳤겠나 어휴 ㅉㅉ,True,1,2025-02-10T15:44:26+0900,850924360259600610,5,1,0
leo0****,1YsqO,"윤석렬은 내란을 일으킨 것이 명백하다.
헌재는 윤석렬을 하루라도 빨리 인용하라.
지금 대다수의 국민들은 정신병에 걸릴 지경이다.
정신이 너무 피로하다.",True,1,2025-02-10T17:41:05+0900,850931876016160806,4,0,0
ref0****,TtU5,게에  C  8  느 마  넌  사형 !!,True,1,2025-02-10T17:41:00+0900,850931870144135172,4,0,0
seog****,1Jiyh,징글징글 하다 내란세력 청소 하자,True,1,2025-02-10T15:48:33+0900,850924625876484331,4,0,0
rkm3****,IGdR,얘네는 다 반발? 에혀. 지겹다. 빨리 탄핵되고 국짐당 해체하고 대선가서 안정적으로 가자...,True,1,2025-02-10T15:26:12+0900,850923185888034921,4,0,0
doga****,22VIC,법을 제일 안지키는 최악 빌런 10,True,1,2025-02-10T15:23:18+0900,850922998939517075,4,0,0
udth****,1h7X3,그만 단념하고 형장의 이슬로 사라져라,True,1,2025-02-10T14:38:50+0900,850920135001637219,4,0,0
shif****,1uyuK,법미꾸라지들 펄쩍 뛰는걸 보니 윤거니 감옥가는 날이 머지 않았구나...,True,1,2025-02-10T14:37:29+0900,850920048045326541,4,0,0
hsc2****,1WdV6,박근혜 탄핵 및 형사범죄보다 100배이상 높은죄로 처벌해야하고 다시는 인간으로 태어나지 않게 우리모두 기도합시다,True,1,2025-02-10T15:01:41+0900,850921607084900648,4,1,0
song****,27Ne0,"이 번기회에 4형이란것 한 번해보자.
그래야 다음에 이런일이 안 일어난다",True,1,2025-02-10T17:48:46+0900,850932370876924245,3,0,0
zeln****,3Lx3n,"양심도 애국심도 없는 사람
오직 자기살겠다고 선동에 거짓말만!",True,1,2025-02-10T17:42:03+0900,850931937924087836,3,0,0
ho79****,1KYTJ,검찰수사에서 변호인대동해서 진술했으면 인정한거지~ 당연한거다,True,1,2025-02-10T17:36:29+0900,850931579864744150,3,0,0
jado****,mcXo,십석열 헛소리좀 그만듣고 싶다 빨리 파면하고 저 십돼지좀 치워라,True,1,2025-02-10T17:26:36+0900,850930942431199490,3,0,0
kcyk****,3JSD4,잔소리말고 빨리 탄핵결심공판해라.,True,1,2025-02-10T16:28:08+0900,850927175795212358,3,0,0
muls****,209o1,"윤석열은 이 괴물은 세상에 태어난 것 자체가 거짓말, 입만 떼면 거짓말, 숨쉬는 것조차 거짓말",True,1,2025-02-10T16:22:49+0900,850926833338679633,3,0,0
jeje****,,,False,1,2025-02-10T16:20:51+0900,850926707174015371,0,0,0
glov****,5irLw,반발할걸 반발해라. 빼박이 너무차고 넘치는구마.내란범이 먼 요구를 하니? 처형감인데.,True,1,2025-02-10T16:19:59+0900,850926650634797483,3,0,0
dksr****,,,False,1,2025-02-10T16:16:47+0900,850926445348782440,0,0,0
a169****,1jQPD,뻥열아 12.3 테레비로 다 봤다,True,1,2025-02-10T16:01:10+0900,850925438346723413,3,0,0
mary****,,,False,1,2025-02-10T16:00:48+0900,850925414841844130,0,0,0
rado****,2fDuA,탄핵까지 카운트다운 한달정도 남았냐? 지긋지긋하다. 빨리 마무리하고 대선하자,True,1,2025-02-10T15:58:59+0900,850925297753653717,3,0,0
sjon****,,,False,1,2025-02-10T15:49:55+0900,850924714359521695,0,0,0
baum****,,,False,1,2025-02-10T15:47:56+0900,850924586080928208,0,0,0
sgma****,6j4HW,"증거 사용,,으로 가능한게 당연한거 아닌가???!!!...진짜 한심한 윤가....쪽",True,1,2025-02-10T15:46:40+0900,850924505080529225,3,0,0
