user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
efbn****,4yKYf,"다 필요없고 노무현 탄핵심판 63일, 박근혜 90일 윤석열 12월 14일부터 현재 윤석열 현재 77일 9차, 10차까지 하고 최종 발표하면 90일은 넘을듯. 대통령이 직무정지 상태는 국가의 큰 비상사태이므로 무엇보다 우선하고 조속히 심사를 하는것이다. 헌재의 재판 진행에 불만을 표시하는 사람들이 많은데, 지극히 정상적으로 잘 진행하고 있다고 보인다. 사실 윤석열은 비상계엄을 선포하고 포고령이 발표되고 국회에 군용 헬기가 내리고 유리창을 깨고 국회 건물로 진입한 것이 실시간 생방송으로 송출되었다. 12월 3일 탄핵은 이미 결정된 것.",True,1,2025-02-18T14:13:55+0900,851660699636597109,381,17,15
clim****,1nyLq,탄핵 끝나고 헌재 흔들었던 아니면 말고 했던 놈들도 심판해야 한다.,True,1,2025-02-18T14:18:55+0900,851661021473931661,155,2,4
eric****,SCza,빨리 진행하고 탄핵 마무리하자!! 조기대선해야 나라가 안정된다!!,True,1,2025-02-18T14:21:16+0900,851661172921860228,86,8,2
lyc1****,,,False,1,2025-02-18T15:03:53+0900,851663918899134828,0,0,0
6435****,3zqjc,태극기국힘당 내란수괴 반드시 처벌받을것이다,True,1,2025-02-18T14:34:13+0900,851662007756128358,32,2,0
6612****,4EmWx,"당연하지~! 형사재판은 오전에 30분이면 땡이니 오후에 헌재로 와라, 마지막 날이다. 이제 3월6일 10석열이 파면 확정~!",True,1,2025-02-18T14:20:39+0900,851661133830947151,12,1,0
suny****,21v4Q,제발 좀 끝내자~~!! 저 멧돼지 보기가 너무 힘들다~,True,1,2025-02-18T14:36:09+0900,851662131605536845,11,2,0
blue****,Mlvx,"증거가 차고 넘칩니다 아무리 변명을 해도 위헌적인 비상계엄입니다. 하루바삐 국가신인도와 민생을 우ㅏ하여 빠르게 선고해주세요 “주문, 피청구인 대통 윤석열을 파면한다!“",True,1,2025-02-18T14:16:35+0900,851660871452066032,11,2,0
kts0****,,,False,1,2025-02-18T15:16:34+0900,851664736184434925,0,0,0
zuna****,2cVsKH,2024.12.3 밤 TV 생중계를 통해 국민들이 내란행위를 똑똑히 봤다. 그 날 밤에 윤석열이 하야할 것으로 봤다. 이젠 너무 늦었다. 감형 없는 무기징역이 최하다,True,1,2025-02-18T15:17:43+0900,851664809920299323,7,0,0
idal****,4RhNv,시간 끌기 실패  형사재판핑계되지마  이재명은  밥먹듯이 재판장갔어   니가 만들었잖아 돌려받는거지,True,1,2025-02-18T14:34:12+0900,851662006581723222,7,0,0
hhdd****,,,False,1,2025-02-18T15:44:02+0900,851666505308307470,0,0,0
jaju****,dguaq,"윤석열 페이스에 말려서 시간 끌어줘 보았자 국민들 분열조장하고 , 내전 부추기는 메세지 내보내서 사회 혼란만 야기합니다 . 제대로 질서있게 진행하시되 윤석열과 내란 동조의
 무리들 지연전략 간파하셔서 빨리 결론내시어 국가적 혼란을 조기에 잠재우도록 해주십시오 !",True,1,2025-02-18T16:03:45+0900,851667775611994454,5,0,0
oeoe****,do22A,"윤석열 이제 네놈의 끝이 보인다. 잘가라. 국민을 속이고 독재를 꿈꾼자에게 용서와 자비 따윈 없다. 헌재에서까지 극우 좀비들 선동해서 재판관들 공격하고, 속이고, 국민을 우롱하고, 경제 파탄내고, 내란 일으켜서 국가 혼란불러일으키고, 세계적인 자리에서 다른 나라 정상 대놓고 까고, 일본 찬양해, 독도 넘겨줄라 해, 삼일절 기념식에는 자위대를 말해.... 버럭버럭 소리지르고, 건방 떨고, 대선 여론을 조작해, 삐쳐서 계엄 일으키고 ㅋ 이건 윤석열 죄의 극히 일부분이다. 거짓을 말하고 반성 없는자 국민의 심판이 이제 시작될 것이다.",True,1,2025-02-18T15:46:52+0900,851666688364511647,5,0,1
ark5****,,,False,1,2025-02-18T15:46:01+0900,851666633033252875,0,0,0
asjh****,,,False,1,2025-02-18T15:45:14+0900,851666582651273299,0,0,0
