user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
youn****,2ciI6O,헌재앞에서 소란피는 극우사이비 좀비들좀 치워라,True,1,2025-03-15T12:09:10+0900,853971945438314546,667,30,14
donf****,5BG47,개의 새끼 한마리 때문에 나라꼴이 엉망진창입니다 엄청난 국력의 낭비를 겪고 있습니다 하루빨리 탄핵시키고 사형집행 하고 기억에서 지우고살고 싶습니다,True,1,2025-03-15T12:44:16+0900,853974206252056664,447,15,13
opnm****,2BOX7,자유민주주의라고 외치면서 전두환 박정희 독재를 찬양하고 내란수괴 윤석열을 옹호하는 극우좀비바이러스에 조심하세요. 주로 사이비종교단체를 통해 전파되고 감염되면 폭력성이 강해지고 스스로 노예가 되려는 개돼지근성도 강해집니다. 감염되면 현대의학으로도 치료가 불가능함.,True,1,2025-03-15T12:56:47+0900,853975012900602086,214,8,4
mik3****,2eiEP,법과원칙에따라 강력하게 처벌해야합니다 대한민국 민주주의 지켜내야합니다 내란수괴 우두머리 윤죄앙 사형 감옥에서 생을 마감 시켜야합니다 국민의명령이다,True,1,2025-03-15T12:11:57+0900,853972124786753797,164,10,2
youi****,6f6Au,내란수괴 윤석열을 파면해야 나라가 안정된다.,True,1,2025-03-15T12:53:19+0900,853974789461639267,126,8,0
sanc****,3FRsS,"대통령 하나 잘 못 뽑은 댓가가 나라와 국민을 도탄에 빠지게 하고, 민주주의를 40년은 후퇴시키고 있는 이 현실이 너무도 가슴라프고 힘겹다~~~!!!",True,1,2025-03-15T13:04:49+0900,853975530276389079,28,1,0
wc14****,3t22U,이쯤되면 헌재가 사회적 갈등을 더 부추기는거같애..이게 이렇게 시간을 미룰일이냐?..이보다 더 큰 탄핵사유가 있냐?..,True,1,2025-03-15T13:10:41+0900,853975908720050400,25,0,0
jung****,aIvxj,빨리 탄핵하고 대선 치르고 제데로 된 나라에서 좀 살자,True,1,2025-03-15T13:44:45+0900,853978102928244921,23,1,1
lsdn****,c1Ypu,"정신병자 윤석열 때문에 우리나라가 안보 불안국가로 분류되어, 민감국가로 지정되어 기술공휴 등 협력을 안한단다. 국가적 손실이 엄청나다.",True,1,2025-03-15T13:09:20+0900,853975821579190387,18,1,1
tron****,27vm7,나라를 어지넙힌 내란수괴와 그에 동조한 국짐당과 탈옥 시켜준 개검과 정치깡패화된 극우 개신교는 절대 용서하지 못하겠다.,True,1,2025-03-15T13:37:11+0900,853977615164244016,16,1,0
