user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jinj****,3eadb,"홍준표  할배요..~~
한번  물어봅시다..
윤석열 이후  다른 어느누구라도  개인이 판단해서  국가비상사태라고  생각하면  계엄령을  무분별하게  사용해도  
죄가 안된다는거죠?
그러면  조기대선  어쩌고 하는이들은  대통령이 아무런죄가 없는데  국가반란을 일으켜서 대통령을 새로 뽑자는 취지로  얘기하는건가요??  국가에 대통령이 2명이  될수있습니까?
탄핵이  안되는데  조기대선을  어떻게 합니까?
이번  계엄령은  유치원생도  압니다.
불법이고 위헌이라고.
제발  부탁드립니다..본인자리를 위해서가 아니라
국가를 위해 일하세요.",True,1,2025-03-19T23:45:37+0900,854387898324091050,2852,77,33
woon****,djKHY,"ㅋㅋㅋㅋㅋㅋ 이양반 윤석열 구속되고 대통령 선거 나가겠다고 설치던 할배입니다
석방되니 바로 얼굴 바뀌는거 보소",True,1,2025-03-19T23:50:14+0900,854388196052566079,1350,17,6
loun****,4Mdzt,홍준표 지 인생 망했다고 윤석열이 한테 올인 하네 이것들은 국가와 국민은 머리 속에 없다. 나라 망하고 있는데 이기적인 생각 밖에 안한다.,True,1,2025-03-20T00:03:19+0900,854389038671462478,719,6,6
jwsh****,2JQk0,경부선 철도 끊어서  경상도만 따로 나가서 신라국하라.,True,1,2025-03-19T23:53:37+0900,854388413904715957,467,23,26
judy****,djqIn,미친,True,1,2025-03-19T23:22:29+0900,854386408138211500,294,5,3
psy0****,2AieO,윤석열 쉴드치는인간들 다 명태균과 연관되어있는인물,True,1,2025-03-20T08:23:11+0900,854421243091222586,91,3,1
weon****,2FGZ0,"이래서 검사 출신 정치인들은 앞으로 안뽑아야 합니다. 같은 검사출신이라고 팔이 안으로 굽나 봅니다. 인간이 살면서 최소한의  옳고, 그름 정도는 판단할 수 있어야,  법치주의(민주주의) 공동체에서 존재할 가치가 있는 것 아닙니까? 명태균 게이트를 보면서,  보수정치인들이 너무 많이 썩었다는 생각을 했습니다. 계속 거짓말을 하는 홍준표를 포함해서요.",True,1,2025-03-20T09:35:19+0900,854425890010955926,72,1,3
jjm6****,30Teb,홍준표  정치하지마시요  부끄럽다,True,1,2025-03-20T07:54:52+0900,854419418417987797,70,1,0
ehtm****,6eAFK,준표형...그럼 기각이든 각하든....계엄에 대한 면죄부를 주는 건데....맘 만 먹으면 언제든지 수시로 할거아냐..ㄱ계엄이 장난이냐? 계엄 성공하길 바랬던거여?? 정치 그만 하고 내려와.....나이를 먹더니 힘들어 보여....정신도 흐릿한것같고....,True,1,2025-03-20T09:26:23+0900,854425314149793945,59,1,0
wand****,,,False,1,2025-03-20T06:51:02+0900,854415306104242182,0,0,0
