user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
ryde****,HOwt,죄명이는?,True,1,2025-01-01T21:29:55+0900,847235766512779641,114,23,13
ptyp****,1SpOA,찢재명부터 해야지..지연된 정의는 정의가 아니다,True,1,2025-01-01T21:36:32+0900,847236192704397515,83,16,4
tael****,6vSyh,부정선거로 된 국개들아 너희들 곧 종료된다. 리죄명 너의 패악질 곧 종료된다,True,1,2025-01-01T22:53:01+0900,847241120088850443,45,6,0
chor****,134Po,20대 니들 눈에도 이재명이 옳아? 민주당 하는 짓이 옳아? 선관위가 오상진을 모델로 해서 투표지가 기계에 안 끼는 특수 용지 쓴거라 신권 돈다발 같은 투표지가 이상한게 아니라고 한다 니들 투표 했잖아 접히면 펴지는 특수 투표지들 받았었니? 왜 말도 안되는 일에 침묵해 왜 침묵하고 민주당이 하는 일에 암말도 못해서 죽은 나라를 만들어 이재명 같은 자가 당대표인 그 딴 세상에서 니들 살거야?,True,1,2025-01-02T00:06:14+0900,847245837741326410,35,2,3
janu****,1fImq,저 임명이 이재명 탄핵을 결정하는 재판관이고 저 임명이 이재명에게 불리한 결정이었다면 니들이 최상목을 탄핵한다고 지이로올바알과앙하면서 번복하라고 위헌이니 내란이니 고발하고 난리쳤겠지? 니들넘들이 분명 예전에 그랬었다 직무대행이 재판관임명은 할수 없다고. 이건 분명 위헌이지? 얼른 취소하자 최상목아,True,1,2025-01-01T22:49:38+0900,847240901968265440,36,5,1
mmm0****,1Eo3u,"죄명이부터..
이전에 탄핵된 것들은 다하고 하는겨?
순서대로 하는거 맞어?",True,1,2025-01-01T21:48:28+0900,847236961822310575,22,8,2
guap****,S3v3,민주내란당..추미애 박범계는 말했죠 권한대행이 임명하는건 불법이라고!! 있을수 없는 일이라고!! 그리고 불리해서 이죄명 살리기위해서 6인체제 고수하다 이제 불리해지니 협박하며 탄핵시키며 9인체제 하자고 협박질하네요!! 이런 내로남불이 어디있습니까?,True,1,2025-01-01T23:08:38+0900,847242126772142318,15,1,0
nail****,34vqi,찢재명이부터 구속해라.....,True,1,2025-01-02T00:07:04+0900,847245891210313755,14,1,0
jeje****,9TFS,법이 공정해야지 이재명은 봐주는거냐...,True,1,2025-01-01T23:12:42+0900,847242388211499234,13,0,0
dnsd****,4GRiR,작년 수출 6838억불 사상최대…무역흑자 518억불 6년만 최대 (윤정부) 윤석열이 나라 망하게 한다메 개딸들아. 이것도 조작이라고 할거냐? 설명좀 해봐봐!!! 김어준 채널이나 보는 너그들이 진짜가 뭔지 알겠냐만은.. 빠져나와!!! 거기 사이비 백백교 같은곳이야. 언능 나와라!!! 진짜 내란 동조범 되지말고!!!,True,1,2025-01-01T23:26:20+0900,847243266230321267,13,3,0
rlae****,eTWVQ,"⭕ 찢주당이 다른 혐의는 더 제외하고 오직 내란 혐의만으로 탄핵소추 했는데..
그럼 내란죄만 인정 안되면 기각이자나..그쟈?
근디 
오죽했으면 계엄까지 했것냐? 
하여튼 김동연은 몰라도 찢은 안 돼..

조기 대선을 하더라도, 찢을 감빵에 보낸 후 해야제..
그런데 헌법학계의 태두 허영 교수는 
이번 계엄 성격을 '내란은 말도 안 되고, 국가긴급권 과잉 발동 즉 계엄요건 판단착오'로 규정했어..",True,1,2025-01-01T23:48:00+0900,847244662681894914,10,0,0
mise****,SRun,이재명 구속되는게 새해복이다.,True,1,2025-01-01T22:59:40+0900,847241549115818250,9,2,0
best****,4vEfi,"죄명이부터 처리해야지.
  질질 끄는 좌파들",True,1,2025-01-02T00:03:25+0900,847245655423320186,7,0,0
safe****,2edoR,"좌익판사가 경호처 형사소송법 110,111조 예외시킨다고 하면, 그 법 조항이 사문화되는거냐 ? 좌익판사가 왕이냐 ? 헌재 재판관 님 질문드립니다  또 한가지 공수처가 대통령내란 수사권도 없는데 수사 하겠다면 해도 되나요 ? 국민절반은 윤통 계엄지지한다 헌재판결 전에는 대통령이다. 내란범은 리죄명과 우리법연구회 소속 법관들이다",True,1,2025-01-02T00:12:11+0900,847246220362514489,8,2,0
jung****,,,False,1,2025-01-02T01:35:54+0900,847251613767696513,0,0,0
chor****,134Po,선거 하면 뭐하냐 선관위가 신권 돈다발 투표지 밀어 넣은 사람이 당선인데 법이 무슨 소용이며 절차가 무슨 소용이야 이미 선관위의 나라인데 20대가 침묵하는 죽은 나라에 살잖아 투표에서 접힌 흔적이 없는 투표지 가 나왔어 20대 너네 왜 침묵해 니들 사는 세상엔 정의가 민주당이야? 너네 왜 불의에 침묵해,True,1,2025-01-02T00:02:50+0900,847245618513445106,6,0,0
bird****,,,False,1,2025-01-02T02:29:20+0900,847255055949103137,0,0,0
bora****,1kgsE,국민 계몽을 위한 계엄이 어찌 내란입니까? 부정선거 가짜국회 반국가세력 척결하기 위한 계엄이 어찌 내란입니까?,True,1,2025-01-02T01:00:02+0900,847249303075291142,5,1,0
milb****,waOi,4월 되면 뭉가가 임명한 좌파리헌재판사 2명  아웃되면 다시 6명 되었다가  석렬이 몫  2명 임명하려고하면 이번에는 다시 대행에게는 임명권이 없다고 말바꾼 뒤 찢당 난리칠 듯,True,1,2025-01-01T22:52:35+0900,847241092523884782,4,0,1
ywoo****,2lIvs,죄익 공산화 주범 찟보 이재명은 살처분이 답,True,1,2025-01-02T06:46:44+0900,847271639740579926,5,2,1
lyh6****,8lCOz,민주당국회의원중 65명정도가  선관의들의의해 불법으로 당선시켰다던데 ?,True,1,2025-01-01T23:10:45+0900,847242262365602051,5,2,1
memo****,,,False,1,2025-01-01T22:41:36+0900,847240384911245527,0,0,1
iron****,miw1,권한도 없는 권한대행이 한 임명이 효력이 있다고? 이를 밀어부친 세력이 진짜 내란세력인거 아니야?,True,1,2025-01-02T00:27:32+0900,847247209966600324,3,1,0
yhee****,3EYTq,"민주주의파괴당(더불어 이적 반역 진짜 내란당, 조국망친당ㆍ진보당) 건달들과 대변인(조승래ㆍ윤재관) 입을 통해 쓰레기논평과 헛소리 주장을 하면서 자유대한민국땅에 버젓이 큰소리치며 살아가고  있는 현실이 너무 개탄스럽다. 자유대한민국이 쓰레기짓 좌파ㆍ종북주사파ㆍ간첩ㆍ간첩노조에 세뇌되서 국회ㆍ법원ㆍ검찰ㆍ공수처ㆍ헌재ㆍ선관위 ㆍ경찰이 온통 썩었다. 대소변도 못가리는 정신나간 인간들이 자리채우고 앉아서 역적 이재명과 좌파ㆍ종북주사파들 정권찬탈야욕의 옹호전위대로 전략해서 온통 썩었다! 모조리 해체시키고 새로운 자유대한민국을 꼭 지켜내야 한다",True,1,2025-01-02T05:15:00+0900,847265729664253953,2,0,0
nam8****,,,False,1,2025-01-02T03:34:42+0900,847259267583967277,0,0,0
sejo****,,,False,1,2025-01-02T03:11:50+0900,847257793973977147,0,0,0
mild****,,,False,1,2025-01-02T01:18:05+0900,847250466038349840,0,0,0
nams****,16FR7,"민주당 꿈깨라 절대 4월 18일안에 끝이 안난다  다시 6인체제 되어 심리 못하고 대통령 임기 마친다 그리고 나라는
망한다 다 민주당 탄핵 때문이다 ㅋㅋㅋ",True,1,2025-01-01T22:31:54+0900,847239760278716757,4,3,2
tael****,6vSyh,무식한 기자야 제목을 제대로 달고. 복사해서 기사올리지 말고 국민의 마음과 현 시국을 제대로 봐라,True,1,2025-01-01T22:54:15+0900,847241199629631593,2,1,0
tkdg****,2OZf,빨리 빨리 좀 하자. 우리나라 선진국인줄 알았는데 법꾸라지 어거지가 통하는 나라인게 참 통탄 스럽다,True,1,2025-01-01T22:48:53+0900,847240854203531560,2,1,1
hn13****,,,False,1,2025-01-02T03:50:34+0900,847260290323054624,0,0,0
mjmv****,3ssP1,최 도루묵이 쥑일 넘이다 패주고 싶다,True,1,2025-01-02T02:52:17+0900,847256534793584668,1,0,0
bull****,BbtQ,내란죄는 속전속결로 가야 말 없어요,True,1,2025-01-01T22:41:57+0900,847240407661150559,4,4,2
ss26****,3pNDz,"야 헌재! 그동안 탄핵되었던 기관장과 각료들은 재판서류 책상밑에 숨겨두고 꿀빨다, 이제와서 대통령탄핵에는 아주 신이 났어요~ 그야말로 먼저 접수된것부터 처리해야 되는것 아니야? 이러고도 상식과 양심에 근거해 판결하는 판사들이냐? 인두겁을 쓴자들~~~",True,1,2025-01-02T04:51:54+0900,847264240786997283,2,2,0
qkd8****,,,False,1,2025-01-01T23:25:11+0900,847243192712560677,0,0,0
jkli****,4bdbi,"헌법재판소는 항상 9인체제를 유지하여 계엄같은 사안에 대비했어야 함에도 본인들의 이익을 위해 방치한 정치권, 특히 민주당은 각성하라. 윤통 탄핵 후 다음은 민주당 차례다.",True,1,2025-01-02T07:39:21+0900,847275028637548616,1,1,0
seli****,27FDc,파면가즈아!,True,1,2025-01-02T06:42:01+0900,847271334915342338,1,1,0
xnaz****,,,False,1,2025-01-02T00:33:39+0900,847247603996295328,0,0,0
chor****,134Po,부정선거에 대해 선관위 내부 고발이 있었어 지금 사망하셨고 부정선거는 역사가 오래 됐단다 여야 모두 걸쳐있고 김무성이 업으면 그자가 됐다거나 했다고 말씀하시더라 그래서 밝히기가 어려운거야 여야 모두에 부역자가 있어서 선거가 엉망인데 투표 하면 뭐하냐고 민주주의 기본 투표라매 투표에서 신권 돈다발 투표지가 여기저기 나오는데 20대가 침묵해 드루킹 댓글부대에 30 40대는 이미 맛이 갔다 쳐 근데 20대 너네는 옳고 그른거 보이잖아 니네 왜 니네 목소리 못 내,True,1,2025-01-02T00:10:34+0900,847246116276666533,1,1,0
khun****,4gewz,한명도 다시 올려   될때까지,True,1,2025-01-01T23:33:35+0900,847243733811331262,1,1,0
agad****,ej6U,아이고 맘편해라 1월내로 년놈 끌려나와 구치소 들어가는 꼴 보겠군,True,1,2025-01-01T22:54:23+0900,847241208706105484,1,1,0
thdw****,4jw67,댓글달 시간에  수괴지키러가야지 뭐하냐. 한가하게 공수처 새벽이 체포하러 간단다.,True,1,2025-01-01T22:50:01+0900,847240927402524685,1,1,0
ddsd****,3gdr9,이재명은 왜 안하는데,True,1,2025-01-01T22:29:31+0900,847239606096101563,1,1,0
hwjy****,,,False,1,2025-01-02T08:42:49+0900,847279117379305694,0,0,0
yo12****,1Agqr,줄리는 가슴이 터져 죽겠구나 갈곳은 사기꾼징역살이하는 에미 곁으로 기둥 썩은넘도 함께해라,True,1,2025-01-02T08:32:21+0900,847278443874746464,0,0,0
jong****,3DIgk,헌재가 이현령 비현령 민좌는  이나라 전복울 위한  입법 독재로 나라가 망해가는데 죄명이는 히죽히죽 거리며 대통령 환상에 미쳐 국민가슴에 대못을 박으면서 국민을 조롱 하는구나,True,1,2025-01-02T07:54:05+0900,847275978563518480,0,0,0
yyh4****,,,False,1,2025-01-02T06:26:58+0900,847270365343252570,0,0,0
mirr****,,,False,1,2025-01-02T04:15:51+0900,847261919139069997,0,0,0
satg****,,,False,1,2025-01-02T04:15:16+0900,847261880652136460,0,0,0
hn13****,,,False,1,2025-01-02T04:03:06+0900,847261097558802440,0,0,0
hn13****,,,False,1,2025-01-02T03:59:53+0900,847260890242744375,0,0,0
kjr5****,1iygt,최상목 미쳈군,True,1,2025-01-02T03:54:00+0900,847260511211880449,0,0,0
lee6****,2uwVg,이죄명은 안되지,True,1,2025-01-02T03:44:47+0900,847259917197770796,0,0,0
lee6****,2uwVg,선입선출 먼전탄핵된 순서대로 하리라 믿는다,True,1,2025-01-02T03:40:19+0900,847259629871169548,0,0,0
dong****,wdh2,재판소에서 한날 내로 판결 부탁드립니다,True,1,2025-01-02T01:05:14+0900,847249638015631408,0,0,0
choi****,4NaFI,"답은 하나인데요
고민할게 있니요.
온 국민이 보고 있습니다.
촛불 시위 일어나지 않게 하시길",True,1,2025-01-02T00:51:04+0900,847248725234417679,0,0,0
chor****,1X9ro,선관위 없이 수개표로 투표해보자. 과연 국개들중 몇명이 진짜일까?,True,1,2025-01-02T00:43:05+0900,847248211348291607,0,0,0
esde****,3vrut,"국힘당은  헌법재판관 2명  임명은   위법사항
이므로    효력정지  가처분 신청하고  귄한쟁의심판청구해라   절대귄한행사못하게해라",True,1,2025-01-01T23:57:15+0900,847245258491166791,0,0,0
corp****,,,False,1,2025-01-01T23:47:21+0900,847244620822741108,0,0,0
