user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
gt09****,36KTT,변론 생중계 요청합니다.,True,1,2025-01-05T19:47:07+0900,847600228897914915,29,0,2
dlwo****,2ZM0I,손바닥에 왕 적고 나와서 내란아니라고 도리도리할듯,True,1,2025-01-05T19:45:32+0900,847600127295094948,23,5,1
indi****,7kzXZ,봐야알지.계엄 안한다더니 했지? 조기퇴진한다더니 안했지? 법정에서 정정당당히 밝힌다더니 경호뒤에 숨었지? 거짓말이 한두번이니? 이의 있으면 법절차대로 법정에서 싸울일! 니땜에 애매한 이들만 피해본다! 너땜에 경제외교증시환율박날나 잔고가 억소리나게 박살난 나와 국민은 뭔죄니? 널 대통 만들어줬지만 우린 너가 아니여도 돼! 자국민 일상을 깨고 경제외교증시환율 박살내 국민고통 가중시키는 자는 여야 누가됐든 용납될수 없다! 떳떳하면 법절차대로 따라라! 미국대통들도 클린턴 닉슨 니보다 적은 죄를 지었어도 다 법절차대로 따랐다!너만 안따랐을뿐,True,1,2025-01-05T20:27:16+0900,847602815726518368,13,1,1
cky3****,1GTd6,윤석열은 표리부동하고 뻔뻔하여 인간이 얼마나 치졸하고 어리석음에 극치를 표출하는 가를 전세계 외신에 법치를 무너뜨려 선진한국을 한순간에 조롱과 망신을 당하게 하고 있다. 무슨 면목으로 역사 앞에 오점을 남기며 국민들 앞에 서려하는지? 보수진영이 정권을 잡으면 제2 윤석열이 출현하여 책임지는 정치보다는 남의 탓만 하려해 국민들은 국힘당과 보수를 경계할 수 밖에 없다. 윤석열의 무능함에 책임지는 정치 풍토가 없어지다보니 집권당에서 막말과 가짜뉴스 등으로 선진한국이 늪으로 가고 있어 이땅에 지식인들 모두 성명서를 발표 해주기 바란다.,True,1,2025-01-05T20:11:07+0900,847601775203581999,11,3,1
blue****,fcdG,또 잔머리 핑핑굴리네… 일단 체포부터 응하세요.,True,1,2025-01-05T20:10:08+0900,847601711802482715,10,2,0
uuup****,cXCL5,그럴리야 없겠지만 니가 심어놓은 법꾸라지 간자들로 인해 설사 탄핵을 피해간다한들 향후 내.외교적으로 대통령으로 뭘 할수 있을까? 이미 국민 80%가  널 대통령으로 새각하고 있지 않는데... 그럼 정말로 남미나 필리핀처럼 되는건 시간문제 ㅠㅠ,True,1,2025-01-05T19:57:23+0900,847600889886670949,7,2,0
chil****,142XM,쫄석열. 내란석열아. 너한테 총칼 겨눌까봐 집에 철조망쳤니? 그러게  왜 죄를 짓고 살아. 국민이 두렵고 무섭지? 정정당당하게 처벌받고 건희랑 감옥살아. 너는 출석아니고 체포와 구속이 먼저야.,True,1,2025-01-05T20:10:00+0900,847601703464206340,6,1,0
je92****,50Ov3,"지맘대로 나라를 어지럽혀놓고
갈아먹어도시원찬은ㄴ",True,1,2025-01-05T20:06:11+0900,847601457325670450,5,0,0
unpe****,2cUgAP,입벌구...네 말을 믿으라고?  에라이  지나가는 똥개를 믿겠다.,True,1,2025-01-05T19:47:56+0900,847600281544818977,5,2,2
a991****,657ra,생중계 요청합니다. 우리는 대통령의 얘기를 직접 듣고 싶습니다.,True,1,2025-01-05T20:36:43+0900,847603424940785881,3,0,1
qqqk****,2HdyK,누가 믿어,True,1,2025-01-05T19:43:28+0900,847599993631015070,3,0,0
jaeh****,26A0,출석하면 체포된다 꽁꽁숨거나 방탄차 타고 돔황쳐! 개는 애국시민들이 지켜줄거늬거늬 걱정말고,True,1,2025-01-05T19:53:19+0900,847600628648640611,3,1,1
wdy0****,5DMkB,"큰거온다.
윤통 큰거 몰고 온다..",True,1,2025-01-05T20:48:00+0900,847604151729782786,2,0,0
real****,cELww,탄핵을 가결시킨 내란 수괴가 없어졌는데 뭘 재판하고 뭘 심판한다는거냐? 국짐 회색 돼지들아 입다물고 조용히 있을래? 당원들 일시에 전부 다 탈퇴하는 꼬라지 보고싶냐,True,1,2025-01-05T20:10:50+0900,847601757218406667,2,0,0
tsbo****,19Tu3,"이승만 하야, 박정희 암살, 전두환 노태우 내란, 김영삼 IMF, 이명박 비리구속, 박근혜 탄핵 윤석열 탄핵......참말로 자기들 욕심 채운다고 바쁜 국민의 힘! 대단하다. 거를 타선이 없다.  이런데도 또 뽑는다. 모지리들!",True,1,2025-01-05T20:06:23+0900,847601469757587598,2,0,0
kst8****,bsnRs,교도소보내고 교도소에서출석시켜야지,True,1,2025-01-05T20:03:31+0900,847601285375983787,2,0,0
free****,3SzX4,"구라.. 아니고? 입만 열면 구라치니 믿을 수가 없네..
나와서 헛소리하고 도리도리하다 쪽 다 팔릴라고.. ㅎ
술은 깨고 나오나?",True,1,2025-01-05T19:51:21+0900,847600502198763642,2,1,0
cola****,o3Dy,점쟁이가 그때쯤 가라햇나부지,True,1,2025-01-06T06:31:47+0900,847641761063895105,1,0,0
puma****,9xpeG,어쩜 저리 뻔뻔할까,True,1,2025-01-06T05:47:09+0900,847638885465849867,1,0,1
kiss****,3NOCY,"여지껏 안잡힐려고 뺑이치는중인데 14일에 나오겠나
마지막 기일에나 기어나오겠지",True,1,2025-01-05T20:07:44+0900,847601557552759013,1,0,0
teat****,2cVUT6,. 윤석열  전국 지명 수배범으로  구속 체포  해라 !!,True,1,2025-01-05T19:45:07+0900,847600100283777054,1,0,0
cheo****,4UzPG,국제영업사원1호.윤석열대통령 나라경제가 개판입니다,True,1,2025-01-05T19:44:29+0900,847600058961494158,1,0,0
2005****,FLKm,나오면 후딱 잡으면 되것다,True,1,2025-01-05T19:44:22+0900,847600051613073533,1,0,0
sas1****,,,False,1,2025-01-05T19:58:04+0900,847600934312738848,0,0,0
itch****,MU94,수사하면서 개취급 당해봐야 기가 좀 죽을 건데.. 헌법재판소 바로 가면 가관이겠네...,True,1,2025-01-05T19:45:56+0900,847600152444141851,1,1,0
laro****,cYvSm,대통령 담화내용 전체 다 안나온 동영상입니다... 유트브찾아보세여 28분 짜리 있어요,True,1,2025-01-06T15:45:22+0900,847677425717346458,0,0,0
cmsl****,3yxXx,내란 범죄자가 활보하는 꼴 못본다,True,1,2025-01-06T12:56:22+0900,847666538159800478,0,0,1
