user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kore****,2avKB,찢재명 2'심이나 빨리 해라,True,1,2025-01-06T07:09:59+0900,847644222784798855,43,31,2
pig3****,1WqOx,내란 혐의 빼면 탄핵 자체가 무효. 만약 이걸 헌재가 민주당한테 먼자 제안 했다면 헌재도 자격 박탈.,True,1,2025-01-06T07:16:24+0900,847644635336540215,21,9,2
hana****,,,False,1,2025-01-06T07:44:08+0900,847646422328147993,0,0,0
eter****,2Hz1V,윤석열 대통령의 계엄의 이유가 윤 대통령 재임 기간 동안 20건 이상의 줄 탄핵인데.. 그 앞선 탄핵 사건들부터 해결해야 계엄의 정당성을 판단할 수 있는 건 아닌가요 ? 뭐 이런 말도 안되는 집단이 헌법 재판소 입니까 ?,True,1,2025-01-06T08:14:48+0900,847648398617084076,5,0,0
song****,KeQ5,피고 윤석열에게 사형을 선고한다. 땅땅땅!!,True,1,2025-01-06T09:04:57+0900,847651629321683233,4,0,1
dohy****,DW2N,"무자격 헌재가 재판도 불법 진행한다면 그 결과도 불법이다. 불법 자행을 서슴치 않는 이들이야 말로 탄핵대상, 체포대상, 기소대상이다. 그리고 이재명 재판은 지금 몇년째냐?",True,1,2025-01-06T08:57:16+0900,847651133739499599,3,0,0
seok****,,,False,1,2025-01-06T07:44:07+0900,847646420868530203,0,0,0
yaso****,2vwhN,현재로서는 헌재밖에 믿을 데가 없다. 속도내서 이 혼란한 국정마비 사태를 끝내자.,True,1,2025-01-06T07:38:11+0900,847646039253975072,2,0,0
cupj****,,,False,1,2025-01-06T07:15:16+0900,847644562338873379,0,0,1
hard****,dG6bg,쪼다리 같은 이죄명 부역자들이 모여 헌법재판관 노릇 한다고 고생하구먼 차라리 이참에 헌법재판소 없애라,True,1,2025-01-06T07:17:16+0900,847644691422773298,7,6,0
lth3****,2t84q,불법 논란 탄핵심판 당장 중단해라.,True,1,2025-01-06T07:46:51+0900,847646597599723667,4,3,0
mywi****,5LQyM,불법독재당= 민좌당,True,1,2025-01-06T08:56:26+0900,847651080371175565,1,0,0
yulk****,9ugvp,"내란죄를 주요 죄목으로 탄핵 해놓고, 재판 시작되니 내란죄는 빼겠다…… 그러면 탄핵 자체가 성립이 안되잖아요……?????……………. 예를 들어… 멀쩡한 사람을 살인죄로 기소해놓고, 재판 시작되면 ”살인죄는 빼겠습니다“ ….그러면  이 재판은 무효지요~~~~~~~~",True,1,2025-01-06T08:25:29+0900,847649086868816013,1,0,0
lky5****,,,False,1,2025-01-06T08:19:57+0900,847648730151649547,0,0,0
chor****,1X9ro,내란으로 탄핵시켜놓고 내란은 빼고 심판하자? 이미 사기탄핵인데 뭘 심판해!! 기각시키고 재투표시켜라!!!!!!!,True,1,2025-01-06T08:05:18+0900,847647785611165773,1,0,0
inno****,7MOAE,ㅁㅈㄷ 해산이나 시켜라,True,1,2025-01-06T07:41:46+0900,847646270309793952,1,0,0
pyo4****,,,False,1,2025-01-06T07:12:46+0900,847644402116460652,0,0,1
leem****,upGi,"댓글부대 바쁘시고만?
본질을 흐리지마라 
빠른 체포와 탄핵이. 이루어지길
외신을 보아라 우물안 개구리들아",True,1,2025-01-14T15:19:28+0900,848417927806845149,0,0,0
omni****,LbR2,빨랑  파면시키고..  윤총독 사형 집행하자,True,1,2025-01-07T11:07:48+0900,847752314377732430,0,0,0
toda****,6huBg,"헌재는 국민저항권이 뭔지 알게 될것. 
그리고 지금 윤의 지지율 40%라고 하는데 웃긴 헛소리임. 
스타갤러리는 젊은층들이 많이 오는 곳인데 여기서 탄핵찬성, 탄핵반대 2개 안건에 대해서 투표를 했음. 16만명 참여 했는데 무려 93%가 탄핵 반대함. 모집단 16만명이면 신뢰도 99.99%임 즉 언론에서 발표 하는 20, 30의 지지율 36%는 개 사기라는점. 즉 윤의 지지율은 20,30만 수정해서 봐도 60%가 넘어감. 즉 40% 가까이라는 지지율은 개사기임. 현재 윤의 지지율은 60~65% 수준임.",True,1,2025-01-07T09:12:57+0900,847744915877134626,0,0,0
jesu****,21RRO,우리나라 헌법이 잘짜여 있어서 늘 선진국민의 자부심이 있었는데..이게 웬일인가? 여기가 선진국 대한민국의 헌법재판소 맞는거지요? 양심껏 탄핵기각 결단해주세요. 누구도 해내지 못한 ㅡ 민주주의를 무너뜨리는 부정선거를 심판하기 위해 한 몸 던지신 진정한 영웅 윤석열 대통령을 해꼬지하는 돌이킬 수 없는 우를 범하지 마시고..,True,1,2025-01-06T21:48:13+0900,847700802469363793,0,0,0
iami****,1iDOf,왜케 대통령들이 많냐? 석동현도 대통령 전광훈도 대통령(우리가 안막았으면 윤석열 감방갔다잖어)이젠 최형묵도 대통령..윤석열이 대통이긴한거야? 참 웃기는 세상이다..저렇게 대통령 놀음하다 깨지면 우울증으로 병원입원할듯..아니 구속될지도 모르지 똥인지 된장인지도 모르고 날뛰는 짝퉁대통령들을 만들면서 안가에 고립된 윤석열 김명신 국민의세금 그만 갉아먹고 나오던가 아님 안가를 둘러싸서 아무도 못나오게 가택연금시키던가 둘중에 하나를 선택하길..니들 밖에서 돌아댕기다 걸리면 죽음..,True,1,2025-01-06T19:40:30+0900,847692574519984304,0,0,0
fob3****,zumj,다음엔  전광훈이  대통령하겠다고  나오겠다 ㅋㅋ,True,1,2025-01-06T19:26:03+0900,847691642612744214,0,0,0
wsyu****,2dvYO,"지랄한다.
탄핵 원천무효다.
탄핵요건도 안되는 사기탄핵 소다.
당장 기각해라.
헌재 재판진행하면 성난국민의 심판을 받을 것이다.
니네들 민주당 짜고 진행하는거 다 밝혀졌다",True,1,2025-01-06T10:15:17+0900,847656160562511979,0,0,0
wert****,1JKdB,진짜가 있나 이나라에??,True,1,2025-01-06T08:10:23+0900,847648113253417051,0,0,0
