user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
dian****,2N3pf,부정선거 저지른 찢주당은 모두 사형감이다.도망갈 수 있으니 모두 출국금지조치하라,True,1,2025-01-16T19:32:33+0900,848619774559649962,64,1,4
magi****,1ZRiK,선관위에 중국인명단? 이거 미친거냐? 진짜 대한민국 선거관리위원회에 중국인들이 존재했다는거냐? 가짜뉴스가 아니였어?,True,1,2025-01-16T20:07:01+0900,848621995510726668,33,0,2
daba****,1MwNk,우리 세상에 부정선거보다 더 큰 죄는 없습니다,True,1,2025-01-16T19:36:51+0900,848620051668926717,18,1,2
romi****,1FMJL,윤석열 이 오죽했으면 계엄령 선포해서 싸그리 조사할려했겠나 다시생각하게한다  국민들 피해없이 부정선거 잡을려한거네,True,1,2025-01-16T20:03:13+0900,848621750563373111,8,1,2
duds****,8Xbcr,근데 궁금한게 기사에보면 수원 선거연수원 중국인명단? 그건 뭔소리임?,True,1,2025-01-16T19:52:07+0900,848621035283546163,4,0,3
nere****,2Zs9S,국민들의 권한인 대선! 총선! 투표를 부정투표 용지를 만들어서 국민들의 투표권을 훼손한 민주당의 부정선거는 반드시 그 죄를 묻고 관련자들은 법정 최고형을 때려야 한다!!!😡😡😡😡😡,True,1,2025-01-16T20:14:19+0900,848622465440546931,3,1,0
moun****,,,False,1,2025-01-16T20:11:26+0900,848622279951646865,0,0,0
woni****,32EYZ,"와 근데 진짜 부정선거로 국회 새로 갈리고 그동안 정당성 없는 대표 발의, 의결로 만들어진 법들 싹 무효되면 재밌겠다 ㅋㅋㅋㅋ 국가 정상화",True,1,2025-01-16T20:52:39+0900,848624935080296677,2,1,0
bbn4****,2eKfV,부정선거 운운하는 것들은 내란 공범들로 간주해야 한다. 음모론에 미친 일반인들이야 어쩔 수 없지만 유튜브로 음모론 퍼트리며 슈퍼챗 장사질하는 극우유튜버와 이걸 이용하며 조직적으로 부정선거 음모론 조장해 대의제와 민주주의 체제의 근간을 흔들고 불신을 퍼트리는 세력들(전광훈 황교안 등등)은 내란죄로 처벌해야 한다.,True,1,2025-01-16T20:31:38+0900,848623581209297132,3,3,0
yang****,1Zq9P,이것만 왜케 빨리함?? 29번의 탄핵 심리는 몇개나 했지??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-01-16T22:27:36+0900,848631052288131290,2,2,2
hjm0****,r6pv,헌재는 부정선거와 깊은 관련이 있는거냐?,True,1,2025-01-16T20:13:17+0900,848622399321538645,1,1,0
teat****,2cVUT6,명태균 발. 지지율 여론조작. 윤석열 부정선거.대통령직  당선무효. 빨리. 갑시다 !!!,True,1,2025-01-16T20:04:23+0900,848621825188429965,1,1,0
suhy****,1R8aO,헌재는 콩고 수준의 부정선거 조사해야 비로소 계엄과 탄핵의 문제를 판단할수 있다,True,1,2025-01-16T21:01:40+0900,848625515538415876,0,0,0
adch****,,,False,1,2025-01-16T20:08:06+0900,848622064901292062,0,0,0
gkse****,155HW,구치소에 있는데 오라는건 왜 보낸거야 ㅎㅎ,True,1,2025-01-16T20:02:25+0900,848621698738552987,0,0,0
beak****,a7TzV,바보들이냐 그럼저는머고 저도대통선거할때 어찌당선되었는고 OOO 돌머리,True,1,2025-01-16T19:58:34+0900,848621451123622081,0,0,0
eksq****,5q4F7,"전광훈이 극우들 목숨까지 쥐고있다는식이고. 극우들은 자살쇼하며 미쳐날뛰고,  국짐당은 극우당으로 전락하고, 나라가 어수선해서 살 수가 없다. 이게다 법을 우롱하고 극우를 자극하는 윤석열때문이다. 빨리 빨리 윤석열을 파면하라!",True,1,2025-01-16T20:23:29+0900,848623056065659066,2,3,0
kyh1****,1Ulhl,부정선거면 좌파들은 북송이다  김정은 한테가서  충성해라,True,1,2025-01-16T20:24:22+0900,848623113108193399,1,2,0
jini****,4b2nT,헌재가 한쪽으로 치우친 판단을 자꾸하는데 헌재의 공정성이 심히 우려된다 이런식의 진행은 윤대통령의 방어권을 제한하고있다 편파적인 재판은 국민들의 역풍이 분다 이번기회에 선관위 사법부 경찰 군 출신들 모조리 정치 못하게 해야한다 곳곳에 정치판 기웃거리고 있어 편파적인 판결이 나온다,True,1,2025-01-16T20:23:33+0900,848623060360626391,1,3,0
