user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mchs****,,,False,1,2025-01-23T08:51:44+0900,849227890003280114,0,0,2
fox7****,2bzu2,대통령 재판만 빠르게 진행되네. 이재명 재판은 뭐냐!  썩어빠진 사법부!,True,1,2025-01-23T08:32:29+0900,849226648908726432,33,27,14
dudr****,bWjtB,제발빨리좀 진행시켜  죄지은인간들좀 안봤음좋겠다,True,1,2025-01-23T09:16:17+0900,849229471641763952,7,1,0
ljs5****,9JiTw,이재명 선거법 위반이 내일인데 위헌 신청을 했다네요 저 인간을 따르는 사람들의 정신감정 부터 해봐야 합니다,True,1,2025-01-23T09:11:25+0900,849229157639389363,9,5,0
ksyl****,asdQY,"이재명재판은 몇년씩 질질 끌더니... 증거인멸 없다고...야당대표라 보호해야해서 구속영장도 발부안한 
사법부는 윤대통령에게 과한 칼날을 계속들이된다...
사법부 , 선관위 다썩었다!! 이제 전국민들이 봉기해서민주주의 다시 찾아야 할 때다.",True,1,2025-01-23T08:57:59+0900,849228291817603452,7,5,1
seun****,2P4Rh,가림막을 왜설치해..ㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 민주당같은 발상이다,True,1,2025-01-23T09:47:53+0900,849231507221381495,2,0,0
juns****,1IGpc,이준석 버리면 2030 어떻게 할꺼라며 뭐라하던 사람들은 지금 무슨 생각을 할까?  이제 2030한테 이준석은 혐오의 대상인데.,True,1,2025-01-23T09:29:54+0900,849230348284854648,2,0,1
01as****,1Kdsr,죄수의 딜레마,True,1,2025-01-23T12:03:11+0900,849240223488409676,1,0,0
kqle****,2bQSAI,"탄액 난발 민주당 바보된것아닙니까?물어만봅니다.
이진숙 방통위원장.탄액원천무효.20~30대 젊은승리다",True,1,2025-01-23T10:58:50+0900,849236077435683220,1,0,0
dldm****,fX5j,"이진숙 방통위원장님 탄핵 기각!!!!!!
일단 mbc간첩방송 불법방송부터 손보자!!!",True,1,2025-01-23T10:40:10+0900,849234875448819805,1,0,0
kdy2****,1qWQq,맨날 똑같은 얘기 하는데 그냥 4차만 하고 끝내자. 정신병자 같은 소리 또 듣냐. 윤석열 심리는 2찍들처럼 재판관을 세뇌시키려는 수작임.,True,1,2025-01-23T10:10:22+0900,849232955346780332,1,0,0
cs14****,3HK1r,잡범 이재명이와 민주당 마음에 안들면 고위공직자 탄핵하고 법을 입맛대로 만들어 나라를 좌지우지하는데 비상계엄선포 안하면 나라가 어떻게 되겠나 윤석열대통령 비상계엄 정당한 결정이다.,True,1,2025-01-23T09:08:04+0900,849228942253490199,1,0,0
jhjj****,2P686,이재명과 유동규의 관계로 만들어 이간질시켜서 서로 물어뜯고 싸움을 시킬태세인데 내가보기엔 그럴일 1도 없어보인다.,True,1,2025-01-23T08:40:26+0900,849227161100353679,1,0,0
keii****,sGGe,포고령이 내란이라는 증거입니다 석렬이 말대로 경고성이였다면 국회활동은 왜 금지시키는것이고 군대는 왜 국회로 보내고 강제진입까지 했을까요?? 군인들이 말안듣고 시민들이 나와서 막아서 실패한거지 나라먹을려고 한 사건입니다,True,1,2025-01-23T08:21:14+0900,849225924854415433,8,8,0
dook****,2uzms,와 쭉 들어보니 나같아도 계엄했겠더라  민주당 입법 패악질 진짜 나라 망치게 하더라,True,1,2025-01-24T01:53:16+0900,849293700814077988,1,1,0
jung****,,,False,1,2025-01-23T09:13:56+0900,849229319774404961,0,0,2
styl****,,,False,1,2025-02-04T08:33:34+0900,850339974661275795,0,0,0
enfp****,1FzHv,요원들이 요원들을 빼내러 갔다. 말이 앞뒤가 맞다고 생각하는 멍충한 윤석열과 김용현 그리고 변론인들,True,1,2025-01-24T10:10:31+0900,849325736455045322,0,0,0
wltj****,,,False,1,2025-01-24T08:57:51+0900,849321054756143367,0,0,0
enfp****,,,False,1,2025-01-24T08:16:05+0900,849318363975909387,0,0,0
enfp****,,,False,1,2025-01-24T08:14:11+0900,849318241938440230,0,0,0
logo****,2bQebX,찟과정진상…윤과김용현  어찌그리 똑같은짓거리들을 하고있는지 한심하다 에휴 ㅉㅉ,True,1,2025-01-23T12:36:11+0900,849242349983760472,0,0,0
liuu****,,,False,1,2025-01-23T10:26:56+0900,849234022780371435,0,0,0
ekfk****,3liqo,둘중 하나는 구라치고 있는 거니까 아귀 고니처럼 손모가지 걸고 확인하자,True,1,2025-01-23T09:45:43+0900,849231367148405043,0,0,0
kcuk****,aSxu6,이재명이 은행장들만나서  마음에 안드는 회사 광고 돈줄  주지말라한다니....그건 완전 독재지...은행 중 그걸 또 따르려  한다니 ㅆ 그돈이 니들돈도  아니고 그런은행  말해라 그 런 은행에는 아무것도 넣지  말아야지,True,1,2025-01-23T09:36:40+0900,849230784458916144,0,0,0
liuu****,,,False,1,2025-01-23T09:32:21+0900,849230506326229150,0,0,0
lime****,,,False,1,2025-01-23T09:25:19+0900,849230052838080648,0,0,0
tose****,2RNmq,용현이 말년에 손주들 재롱보고 지내려면 사실대로 말해서 죄를 조금이라도 더는게 나을게다 ㅋㅋ,True,1,2025-01-23T09:13:03+0900,849229263084191766,0,0,0
joun****,1jo3W,지금 여기 있는곳은~ 자유 대한민국 입니다. . 국민여러분 이~나라. . 지켜야지요~  .  . .난공산당이 싫어요. .중국도. 북한도 싫어요~,True,1,2025-01-23T09:07:48+0900,849228924100542741,0,0,0
gomi****,ckBjR,어차피 윤이 던질 질문 OOO 자기방어급급이라 원천차단시키라~,True,1,2025-01-23T09:00:57+0900,849228483816063269,0,0,0
epis****,ePK5,"용현아 대통령은 길어야 5년이지만, 선배는 영원하다. 용현이 니는 죽을때까지 윤돼지 똘마니로 살꺼냐?",True,1,2025-01-23T08:51:49+0900,849227894717677811,0,0,0
oric****,2cKP5,부하 팔고 빠져나가려는 내란 수괴 찌질이 비열한 놈,True,1,2025-01-23T08:13:08+0900,849225402764230683,0,0,0
imya****,,,False,1,2025-01-23T08:45:20+0900,849227476730118263,0,0,1
medi****,brdtd,김용현이 혼자 했다고 하고 윤석열 복귀.되면 다시 구해준다는 조건으로 윤석열 살리기 하겠지,True,1,2025-01-23T08:30:47+0900,849226539487723721,2,3,3
me2g****,Zm1T,둘이 입맞추고잇네. 국민들이 봐도 딱 보이는데 창피한줄알아라,True,1,2025-01-24T17:52:31+0900,849355500779733167,0,1,0
wtc8****,6kgS7,찢죄명이 도와주는 인간들은 자손들이 전부 찢죄명이 닮을것이다,True,1,2025-01-23T09:25:11+0900,849230044684353614,0,1,0
shm8****,,,False,1,2025-01-23T08:30:47+0900,849226539672273130,0,0,0
gyu3****,,,False,1,2025-01-23T08:19:10+0900,849225791811092527,0,0,2
