user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
112c****,cv11X,찬반집회 물타기 하지마라 탄핵반대가 몇십배 더 많다 찬성집회는 보니 민노 동성애 세월호 이태원 공산주의 깃발만 있던데 이게 탄핵찬성 집회 맞나,True,1,2025-01-25T21:43:54+0900,849463178680074500,56,2,1
yuho****,2l22p,국민의 힘은 목숨걸고 대통령 지켜라! 국힘의 지지율은 윤석열이 만든거다! 윤석열 못지키면 국힘은 해산해야 한다! 그리고 당내 배신자들 모두 탈당시켜라! 그게 앞으로 국힘을 위해서 꼭 필요한 조치다! 특히 탄핵을 주도한 배신자 한동훈! 반드시 탈당시켜라!,True,1,2025-01-25T20:28:49+0900,849458341657706767,46,6,2
2306****,1UyxD,"탄핵 찬성파는 공산주의자나
다름없는 인간들이다
 북한국기 흔들며 나팔불어라",True,1,2025-01-25T22:13:10+0900,849465063818395701,20,2,0
jeeh****,,,False,1,2025-01-25T21:49:29+0900,849463538182258847,0,0,0
nofa****,,,False,1,2025-01-25T22:07:30+0900,849464698611957884,0,0,0
dwk5****,8GbTD,"무슨 3만대 7천이냐. 반대10만, 찬성 3천명 정도더라",True,1,2025-01-25T22:06:50+0900,849464656232710425,6,1,0
mhki****,2q7ol,"탄핵 반대. 집회 인원이  훨씬 많은데
언론들은 똑바로 보도 안하고 반대로 보도하고 있네 제발 정신 차리고 거짓으로 말고
똑바로 해라",True,1,2025-01-26T00:20:42+0900,849473280392822922,5,1,1
domi****,4TqsR,"탄핵무효 대통령 석방하라.
종북종중극좌 박멸, 화교척결",True,1,2025-01-25T21:57:51+0900,849464077032882446,4,0,0
hanu****,2g0eu,탄핵 찬성인터뷰녀 육지개 머리띠 ㅋㅋ 찢재명 구속!  공산당 타도!  종북 주사파 전교조 민노총 우리법연구회 OUT! 자유 민주주의 대한민국 만세!,True,1,2025-01-26T09:56:13+0900,849510357520089139,4,1,0
rlaw****,bMndn,딱트리국찜충이찌기수꼬리들~~~,True,1,2025-01-26T09:01:48+0900,849506852440899760,1,0,0
kimt****,dBdXH,이정도면 석열이 기각되는것 아녀? 저 정도 차이가나면 판사들도 생각좀 해야겠는데...찬성집회는 민노총 몇마리 라면서?,True,1,2025-01-25T23:01:22+0900,849468169482403938,3,3,0
kiki****,5edwZ,국힘당 적당히 간봐라~지금 국민들 나와 목소리내는거 안들리냐~??,True,1,2025-01-26T12:26:52+0900,849520063693193419,0,0,0
newu****,,,False,1,2025-01-26T10:27:55+0900,849512399441494230,0,0,0
dldl****,,,False,1,2025-01-26T01:31:45+0900,849477857183793231,0,0,0
gusg****,,,False,1,2025-01-25T23:37:40+0900,849470507572002973,0,0,0
mkcj****,,,False,1,2025-01-25T21:45:18+0900,849463268589174887,0,0,0
gpgk****,1IhE1,"좌파들 저넘들은 형수 보g찟는 다는놈을 교주로 모시는 놈들 
아무리 막돼 먹어도 .....
끼리 끼리 논다는 말 있다 
그래도 보수는 찟지는 않잖아 ㅎㅎ",True,1,2025-01-25T21:40:39+0900,849462969132646605,0,0,0
ssyr****,cV29v,성조기는 이제 슬슬 빼십시오 ㅋㅋ. 미국도 쟤네 뭔데 우리 국기를 들고있어 라고 할 거 같아요,True,1,2025-01-26T00:38:02+0900,849474397486972938,1,3,0
mi30****,l3ua,국민한테 총칼을 들이대는 대통령도 좋다고 저리 옹호하다니... 할말이 없네....,True,1,2025-01-26T03:04:29+0900,849483831885955114,1,6,2
