user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sos5****,ahOh5,헌재가아닌 인민재판소,True,1,2025-02-03T22:17:39+0900,850300294817382645,24,4,2
pjh7****,5jgpy,"쓰레기 헌재 우리법 연구회 공산당 판사들 
즉각 파멸하고 즉각 구속 시켜야합니다",True,1,2025-02-03T22:17:32+0900,850300287099863253,14,6,0
kgbo****,5VlH8,개법좌판소 독후감 쓰기바쁘냐 ? 행배야 ㅋㅋㅋ,True,1,2025-02-03T22:18:53+0900,850300374173614375,6,1,0
yjl1****,67K8b,헌재 월급주는 것도 아까운 생각이 왜 들까?,True,1,2025-02-03T22:20:07+0900,850300453143969846,7,3,0
samy****,1Ddg0,이재명 범죄자가. 법무부장관까지 탄핵했구나 ㅜㅜㅜ 난 검사 국무총리만했다구 ㅜㅜㅜ 민주당 이재명. 이것들진짜  법무부장관까지탄핵하고 법을지네맘대로휘둘렀구나 ㅜㅜ 검찰총장  방송위원장 국무총리 우와 이런미친민주당. 어디보자. 이재명구속안하면 온국민이들고일어난다!!!!!,True,1,2025-02-03T22:30:00+0900,850301089772208132,2,1,0
icem****,1eQgx,"탄핵 당한 총리.감사원장.검사장.장관들 일도 안하고, 국민  혈세로 월급 받아먹고 있지 않은가?
빨리 탄핵결정해서 파면을  하던가, 아니면 직무복귀시켜서 일을  시키던가  해야지. 왜 헌재는 나 몰라라 하는가? 국민  세금이 빠져나가른데. 누구는 한번 변론하고 임명하려하던데. 
세금좀 아끼자. 헌법재판관들아.",True,1,2025-02-03T22:41:18+0900,850301818423476338,1,0,0
jeyo****,1OJK8,헌재는 순서대로 법대로 하라,True,1,2025-02-03T22:40:55+0900,850301793492533584,1,0,0
alzz****,5cGgR,기다려 찬물도 위 아래가 있다. 졸개들은 천천히 순서를 기다려라.  아닥 필수.,True,1,2025-02-03T22:30:13+0900,850301104183836777,1,0,0
uykn****,26ykr,온통 탄핵을 걸어두었구만,True,1,2025-02-03T22:18:23+0900,850300341961359511,1,0,0
tkdg****,2vxPg,범죄자가 판사한테 이래라 저래라 하는게 아무렇지도 않게 되었다. 뭐 판사 잡아다 벙커에 가두려 했던 인간들이니 법원이 우습기도 하겠지.,True,1,2025-02-03T22:35:00+0900,850301412230299650,1,1,0
a010****,,,False,1,2025-02-03T22:19:24+0900,850300407728046243,0,0,1
rtre****,4hCVU,"박성재장관은  능글맞게도 생겼따,,,
사람 관상은 어쩔수가 없는건가?
당당하시길
부끄럽지 않은  사람이 되시길",True,1,2025-02-09T00:37:14+0900,850773143487250480,0,0,0
moon****,8HjLK,좌파재판소 법과 순서는 싹다 무시하고 지들 입맛대로 재판하는 중 ㅋㅋㅋㅋㅋㅋ,True,1,2025-02-04T17:31:43+0900,850374644459372825,0,0,0
yo62****,bKRnZ,저는 윤편도재편도아니지만  윤이면저   계엄했고 폭등도하고 군인들. 온 국민들 불한하게해놓고 사과도없고  윤나몰라라 하는데의원.경우처나 .군인이나 경찰.검찰다  개 무시 하는데 이해가 안감. 국민으로나누가봐도  계엄입니다,True,1,2025-02-04T15:34:18+0900,850367080149549194,0,0,0
sogm****,2WUxP,친일매국들은 지들이다 법위에 있는지알어 ㅋ 뭐더러사냐 ㅋ이민을가라그냥ㅋ,True,1,2025-02-04T06:34:04+0900,850332276351827973,0,0,0
jbh9****,,,False,1,2025-02-03T23:51:58+0900,850306370501607702,0,0,0
hi******,,,False,1,2025-02-03T23:09:04+0900,850303606706929704,0,0,0
hyeu****,,,False,1,2025-02-03T22:27:00+0900,850300896817446914,0,0,0
jcw3****,GArA,"윤통이 탄핵되던 말던 이분 말이 맞네 법이라는게 절차가 있는데 지금 깡그리 무시하고  대통령 탄핵에만 열을 올리고 있네 나중에 이 뒷감당을 어찌 하려고,,,",True,1,2025-02-03T22:26:15+0900,850300848532619359,0,0,1
lswo****,3G0YM,탄핵으로 헌재에 계류중인 국무총리를 비롯한 모든 장관과 검사들 감사원장은 헌재에 빠른 판결을 촉구해야합니다.  대통령이 그런것 때문에 비상령을 선포한 이유입니다~~~헌재는 답해라,True,1,2025-02-03T22:21:56+0900,850300570450264440,3,4,0
laga****,2EVol,"너 탄핵으로 직무정지든 아니든 대행이 더 잘하고 있으니 접어두고,법무장관 공석인 거 국민 알 바 아니다. 국가에 대통령이 공석인 게 가장 해결 우선 순위인데 탄핵 순서대로 재판하란 건 니네 검은 셈법이지.그걸 순서대로한다고 대통령 탄핵심판은 여름에 하리? 이것도 탄핵 많이한 민주당 탓이니 국민이 참으란 거야?니네는 민주당 까느라 결국은 국민은 안중에 없어 항상.",True,1,2025-02-04T09:22:49+0900,850343147551588663,0,1,0
jmed****,36yaS,"독후감 그만 쓰라 국민학생 초등학생이가 일기장도 
쓰나 독후감 쓸시간에. 법무부장관 재판일정 잡아라 질질끌고~~",True,1,2025-02-03T22:23:42+0900,850300684149457149,0,1,0
cboi****,3xS7E,"ㅋㅋㅋ 마은혁은 작살나고 이양반은 징징거리고. 헌재도 빡치겠네,,, ㅋㅋㅋ",True,1,2025-02-03T22:20:36+0900,850300485087789296,0,1,0
