user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
zzun****,2d5H2f,헌재가 공정하면 이런 이야기 안나온다. 국민이 헌재 존재의 이유를 묻지 않게 절차대로 해라,True,1,2025-02-12T15:48:49+0900,851110185257664872,111,33,4
khj3****,1ie8V,캐비넷에  뭔가 있구나? 원희룡 ~~~  뒤가 구리구면!!,True,1,2025-02-12T15:44:27+0900,851109904692281542,62,22,0
naya****,1hAzm,아~~나쁜~~~ 이런사람은 정치를 하면 안된다. 집에서 마누라랑 잘 살기나 해라~~자꾸 거짓에 거짓을 더하지 말고,True,1,2025-02-12T16:28:41+0900,851112754486968627,39,20,0
tjdt****,43ou5,이런 인간은 어떻게 하면 나오지?,True,1,2025-02-12T16:49:00+0900,851114063445360648,12,4,0
mang****,152sN,왜 너도 대선판에 끼고싶어? 김문수 지지율이 내꺼였어야 했는데 싶지?,True,1,2025-02-12T20:19:59+0900,851127655993442638,9,1,0
colo****,8vYEo,역시나 이제 기어나오기 시작하는군 과연 내란당에서 또 누가 기어나올까 궁금하네…. 나베는 분명 나올거같은데,True,1,2025-02-13T12:23:04+0900,851189701510430758,3,0,0
juhe****,1oQqW,주 둥이만 털지말고 그노메 증거좀 쳐 갖고와 제출하던가ㅡㅡ,True,1,2025-02-12T23:20:40+0900,851139296445333727,3,0,0
yeou****,,,False,1,2025-02-12T18:50:07+0900,851121865639329836,0,0,0
cwon****,3MQr1,"에라이 못된 놈
기회주의자
이놈도 검사출신",True,1,2025-02-13T05:05:07+0900,851161486964293641,2,0,0
good****,,,False,1,2025-02-12T19:57:22+0900,851126198825123954,0,0,0
wjqt****,4i4oA,ㅋ ㅋ 어디서 또 슬슬 기어나오는중. .윤석열 직무복귀는 표를 모으기위한 술수고 조기대선 노리고 하나씩 기어나오는중이군. 원희룡같은게 무슨 대선을.노리고. . 쯧쯧쯧,True,1,2025-02-12T17:56:57+0900,851118441040445772,2,0,0
hcn4****,,,False,1,2025-02-12T16:54:23+0900,851114409559326886,0,0,0
what****,3xNks,"국민이 뽑은 대통령의 운명을 종북사회주의자들 손아귀에 맡기게 된 현실이 슬프다.
### 종북 문재인이 종북질하느라 이 나라 너무 싯뻘겋게 만들어놨다### 대한민국 바로 세우기는 진짜 적폐인 문재인 일당들 청산부터 해야 한다.",True,1,2025-02-12T16:41:33+0900,851113583063335155,2,0,0
siem****,2cRNQ,ㅋㅋㅋ제주도가서 감귤농사나 지어 희룡아~,True,1,2025-02-12T16:36:18+0900,851113245119873143,16,15,0
guy0****,2cxKi,원희룡아 한덕수 문제가 먼저가 아니고 불법 계엄이 시초잔아..불법계엄부터 해결하면 한덕수 이하는 자연적으로 해결될거라 본다..순서를 제대로 알고 야기해야지,True,1,2025-02-12T16:39:56+0900,851113478759383409,7,6,2
1865****,42BNj,지금 문형배방이 난리가났다!  이게 헌법재판관이 할짓인가!  너무나도 경악스럽다! 문헝배는 사퇴해라! 물러나라! 젊은 청년들이 분노한다!  국민들이 분노한다!,True,1,2025-02-12T17:09:31+0900,851115385305432317,4,3,0
jjsc****,5zalD,원희룡 진짜 생각이 없는 사람이네,True,1,2025-02-12T15:52:35+0900,851110428409856278,4,3,0
bhmi****,2Km9B,헌재에게 묻고 싶다. 대통령 빨리 탄핵 안하면 헌재도 없애버리겠다고 누가 협박하더냐?  똥마려운 강아지  모냥 서두는 이유가 대체 뭐냐? ㅉㅉ,True,1,2025-02-12T16:35:33+0900,851113196566610141,3,2,0
zkff****,3sTiK,침묵하셔도 되는데ㅋ,True,1,2025-02-12T17:58:30+0900,851118540227346619,2,1,0
0033****,5h0Pu,계엄 하는 석열이 등 밀는 놈이  바로 원  너다 나쁜 놈 바부하고 간신같은,True,1,2025-02-12T17:03:54+0900,851115023286665604,2,1,0
hcb4****,3nB7r,이 넘도 명태균과  뭐가 있나보군..특검한다니까  설치는 모습을 보니..,True,1,2025-02-12T16:33:52+0900,851113088336789881,2,1,0
lwh2****,4TIht,바퀴벌레!!! 먹을것잇나하고 기어나옴,True,1,2025-02-13T20:13:07+0900,851219984787963950,1,0,0
yh94****,2r2dg,복귀??0010번 때문에 대한민국 국격이 지하를 뚫고 내려갔다.저런 모지리를 복귀 시킨다면 세계적인 망신이다.,True,1,2025-02-13T16:27:50+0900,851205470247977283,1,0,0
nara****,RbeI,"대선 포기하고, 차기 노리는구나?",True,1,2025-02-13T09:17:40+0900,851177757139271937,1,0,0
free****,3SzX4,그래서 양평고속도로는 해결했어? 아님 해결안되니 시간 좀 끌려고 나온겨? 자꾸 어그로 끄는게 너무 수상하다..,True,1,2025-02-13T01:02:58+0900,851145886720327847,1,0,0
yang****,2bLwp4,원희룡   너는 국힘이 밥상차려놓으니까   숫가락 얹으러   아이고  어딜기웃거려  싸움은 누가하고  슬쩍와서  국물떠먹냐   서울대  약사빠른  과  출신여 ?   휴  잠룡들  한심 하다,True,1,2025-02-12T23:17:37+0900,851139098977501347,1,0,0
kdy9****,,,False,1,2025-02-12T21:08:14+0900,851130764408913989,0,0,0
turb****,lZYy,입벌개 추가,True,1,2025-02-12T19:59:41+0900,851126347202822359,1,0,0
vaku****,1SFDd,니 법카사용내역부터 시작하자,True,1,2025-02-12T18:13:14+0900,851119490019098720,1,0,0
psyc****,1j5Kd,길바닥에 오줌싼다고 어르신이 혼냈다고 무차별 폭행한 인간이 ㅋㅋ 낯짝도 두껍다,True,1,2025-02-12T17:31:31+0900,851116801872888030,1,0,0
yume****,1HyRZ,"응원합니다!!! 공산좌파에 점령당한 헌재를 국민의
횃불로 태워버려야 할 때가ㅡ다가오는 것 같네요. 어제처럼 문형배가 패악질해대는걸 국민들은 더이상 좌시해선 안됩니다.",True,1,2025-02-12T17:26:22+0900,851116470724198570,1,0,0
cool****,1BGfM,"니도 명태균 사건 관련없나?
그입 다물어라",True,1,2025-02-12T17:18:47+0900,851115981735461207,1,0,0
kis7****,14ENz,원장관님 어서  복귀하세요,True,1,2025-02-12T17:17:22+0900,851115891054608543,1,0,0
iwaf****,2cWdbS,바른말해라  국힘들아  더불어  공산당이랑  놀아나지말고,True,1,2025-02-12T17:09:50+0900,851115405035438453,1,0,0
kgs4****,5z4dM,희룡이 개소리,True,1,2025-02-12T17:08:54+0900,851115344838787506,1,0,0
twee****,3k2eL,계엄은 불법이 아님,True,1,2025-02-12T16:55:51+0900,851114503830503773,1,0,0
phkk****,3tMG5,"이런 한심한것 이천수하고 같이 나와야지...
낮짝을 못들텐데... 아..! 보수것들은 두껍긴 하지.. 하도 개가 웃을짓을 많이해서 이젠 개도 않웃는데...",True,1,2025-02-12T16:54:39+0900,851114426705641733,1,0,0
kcg5****,OSua,"그래 다수당  의 의회독재...
국민이 뽑은 의원..
돌아보면 국힘 윤통  김건희... 너무 못해서 국민들이 방향을 제시했다.
국힘 윤통 건희 너희들이 잘했어면
다수당은 국힘이 될것인데
돌아봐  온통 사고고 거짓이고 국민과 국가는 단1도 안중에 없다
일본오염수 너 제주지사할때 무조건 반대했지
그런데...",True,1,2025-02-12T16:52:05+0900,851114261718499368,1,0,0
aa10****,,,False,1,2025-02-12T16:49:07+0900,851114070860890179,0,0,0
gong****,3VuPr,위험한 자를 왜 복귀시키냐? 썩렬이보다 국민 목숨이 우선이다~혈세 먹는 니들은 국민을 위해 목숨을 바쳐야한다,True,1,2025-02-12T16:43:59+0900,851113739410211262,1,0,0
kaf2****,,,False,1,2025-02-12T16:37:52+0900,851113345900609894,0,0,0
jin7****,B9dY,국가와 국민의 안위는 안중에도 없는 국짐당 무뢰배 놈들. 윤석렬이 정상이라 생각하나보지. 다들 악취만 풍겨내는 놈들만 득실대.,True,1,2025-02-12T16:49:25+0900,851114090020470978,3,3,1
earl****,1HsIj,대통령 복귀가 최선이다!!!,True,1,2025-02-12T16:34:24+0900,851113122511978674,3,3,0
etal****,,,False,1,2025-02-12T15:51:17+0900,851110344943206541,0,0,1
kwen****,2JLV0,저 쒴이는 참 운도 좋아. 누구보다 쎀려리한테 아양떨며 계엄 앞장섰을 인물인데.,True,1,2025-02-12T22:43:17+0900,851136888109531234,2,2,1
noan****,2d2SZ9,시국이 어수선하고 소란스러우니 어디한번 기어나가 볼까? ㅋ  ㅋ. ㅋ,True,1,2025-02-12T21:34:20+0900,851132445351739503,2,2,0
cys7****,adLIe,"문형배 이자는 2011년  부산지법 근무당시 고교동창  커뮤니티에 아동 성음란물을 보고 댓글달고 대화하고 이거  아청법위반 1년이하징역, 근무시간시청이니까  공무원법위반  파면,  왜 여성단체 , 시민단체 고발안하나요? 그리고 헌재재판중  증거인멸하는것 구속수사  아닌가요? 이자를 그냥두면  국민들 개돼지고 헌재는 없어져야  한다",True,1,2025-02-13T07:42:48+0900,851171645686022288,1,1,0
skyh****,,,False,1,2025-02-12T21:18:47+0900,851131444020379915,0,0,0
jang****,KCSe,계엄선포한 대통령을 탄핵한건 그렇다치자~ 국정을 이어가야 할 총리까지 지들 맘에 안든다고 탄핵하는건 맞는가? 의석수 많다고 방통의원장등 맘에 안들면 탄핵시키는는 민주를 가장한 독재라 본다/ 예산을 지들 마음대로 삭감해 일을 못하게 손발을 묶은건 민주당도 잘한거 하나없다,True,1,2025-02-12T17:35:48+0900,851117078613066027,1,1,0
rive****,1kpml,"헌재는 비굴하게 한덕수 탄핵가결 정족수 문제부터
결정하라!!!   무엇보다 선결해야 할 문제를 방치하는 것은 직무유기이고 위헌적인 것이다!!!",True,1,2025-02-12T16:46:15+0900,851113886277959803,1,1,0
youj****,1MCog,OOO 불법 계엄한 통령 복귀는 무슨 정치권에서 다신 안 봤으면 좋겠네,True,1,2025-02-13T13:54:11+0900,851195572244185166,0,0,0
unli****,,,False,1,2025-02-13T11:28:04+0900,851186158162411553,0,0,0
eagl****,2oGiO,이 인간 녹지병원 가서 휴양하다 왔나...갑자기 뜬금없는 소릴.....,True,1,2025-02-13T09:08:00+0900,851177134452899841,0,0,0
haib****,IR29,희롱이는 양평고속도로 원상복구했냐?,True,1,2025-02-13T01:24:27+0900,851147270337331258,0,0,0
leeb****,1gjpO,이셰끼는 도대체가 정체를 모르겠단말야...이런셰끼를 반달이라 그런다메?? 건달도 아니고 그렇다고 민간인도 아니고...정치하는셰끼는 아닌것은 분명해,True,1,2025-02-13T01:17:10+0900,851146801649025063,0,0,0
konm****,4WP3p,조용히 해라 국민들 나라 떠나는거 보고싶냐,True,1,2025-02-13T00:55:16+0900,851145390618050611,0,0,0
deca****,13kMh,과정 중 무슨 불법?,True,1,2025-02-12T23:13:35+0900,851138839450747058,0,0,0
true****,9rknO,심지어 문형배는 행배방의 주인이다.. 저런 성범죄자가 헌재 심판??? 어이상실ㄱㅐ상실,True,1,2025-02-12T22:53:19+0900,851137533831020647,0,0,0
remi****,1cObD,"진짜 가지가지 미진놈들
천지네잉",True,1,2025-02-12T22:17:23+0900,851135218524881050,0,0,0
seco****,,,False,1,2025-02-12T21:30:32+0900,851132200186282166,0,0,0
isj8****,3BmFO,한심한 인간,True,1,2025-02-12T20:54:39+0900,851129888571130074,0,0,0
cs48****,3meMm,눈치보고 살살 기웃거리네 ㅎㅎ,True,1,2025-02-12T20:18:06+0900,851127533888864286,0,0,0
asmk****,2opFr,황교안 시즌2가 너는 갑자기 또 왜나와ㅋㅋㅋ.  쑈를한다 ㅋㅋㅋ 에휴 그니까 죄짓고살지말라고 왜그리사니들~~~  ㅋㅋ,True,1,2025-02-12T20:03:50+0900,851126614749085967,0,0,0
anwj****,8lC7q,고ㅓㅇ주전라에서도 공정하지않다가 39%나되는거보면. 깨어나고있다,True,1,2025-02-12T19:24:18+0900,851124067867033689,0,0,1
oh95****,2d0tBX,사람은  죽였는데 복귀해야지 왜~~?이게  굥거늬 한테 충성 하려고 길더 바꾸더니 ㅁ;쳐가네,True,1,2025-02-12T18:31:57+0900,851120695747281216,0,0,0
icar****,3SnUo,얘는 왜 기어나왔지?,True,1,2025-02-12T18:15:45+0900,851119651835347226,0,0,0
nods****,2hZ4W,그렇게 되겠냐?!  판단력을 알아 보겠다.,True,1,2025-02-12T18:13:24+0900,851119500320309384,0,0,0
skii****,,,False,1,2025-02-12T17:51:03+0900,851118061070057488,0,0,0
scor****,2wq5W,써먹을 곳이 하나도 없는데 어디다 써먹을려고 복귀시켜야한다고 씨부리고 자빠졌을까? 혹시 국짐 똘마니로 쓸려고 그러니? 그래도 꼴통의 복귀는 안돼.,True,1,2025-02-12T17:50:33+0900,851118028522258632,0,0,0
alse****,374vF,"윤석열이 복귀는 절대 안됨.
탄핵만이 답이다.",True,1,2025-02-12T17:46:00+0900,851117735692730375,0,0,0
iygs****,BBfk,쪽팔려서 머하러 얼굴 내미노~,True,1,2025-02-12T17:44:28+0900,851117636438720696,0,0,0
lgle****,4FpNH,희룡이 양평고속도로 수사 받을거지,True,1,2025-02-12T17:43:00+0900,851117541546786819,0,0,0
mild****,4UaT2,ㅉㅉㅉ,True,1,2025-02-12T17:37:02+0900,851117158069960720,0,0,0
pica****,4TBJ4,미쳐버렸구나.. 헐..,True,1,2025-02-12T17:30:22+0900,851116728472567942,0,0,0
rohb****,7oO5B,명태균게이트 특검ㆍ빨리빨리ㆍ,True,1,2025-02-12T17:28:20+0900,851116597073412248,0,0,0
jkep****,1EasU,김문수가 1등 달리는데... 나와야지,True,1,2025-02-12T17:28:07+0900,851116583399981104,0,0,0
mira****,28rAs,"맞는말만 하는군요 헌법도망소 정확한 표현이네요
헌법재판소가 저렇게 엉터리 위선자들이 있는곳인줄 ᆢ그런곳을 믿고 나라의 중대사를 결정하게 한다니 ᆢ불쌍하고 한심하네요 이렇게 수준이 바닥인지 알게해준 계몽령이 감사하네요",True,1,2025-02-12T17:24:02+0900,851116320350011417,0,0,0
land****,1z0bj,"더블방탄당 민주당은  한덕수총리대행에 대한 막무가내식 
 탄핵하고  헌재 공수처등 우리법연구회출신
 사법부카르텔과 협잡해서  사법부를 농락하고 있다
 헌재는 공평과 형평성에 맞게 공정하게 재판해야한다",True,1,2025-02-12T17:22:46+0900,851116238007435609,0,0,0
md02****,4Bkdz,또다시  실망이다.,True,1,2025-02-12T17:22:12+0900,851116202389405777,0,0,0
jded****,,,False,1,2025-02-12T17:21:32+0900,851116159339069653,0,0,0
