user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
rosi****,10aGz,2030 들고 일어나는거 보면 탄핵반대가 더 많음,True,1,2025-02-21T20:37:36+0900,851963731658145968,176,35,6
anti****,2O7kO,변론 끝나니 분위기 조성하려고 중국 동원해 조작 들어간것 같음.,True,1,2025-02-21T20:50:14+0900,851964546292645956,83,5,2
wolg****,ehNQI,"탄핵 반대 60%, 찬성 34%, 중도층은 69%가 반대. 이것이 실제 여론이다.",True,1,2025-02-21T21:00:38+0900,851965216408207564,75,12,3
inso****,1jo6w,탄핵 절대반대,True,1,2025-02-21T20:52:06+0900,851964666685947941,40,5,0
dmdk****,8WYJx,공작탄핵 기각이다,True,1,2025-02-21T19:34:32+0900,851959669223063693,18,5,0
lsa3****,6U3H1,조작하지마라 탄핵 반대가 더 많다,True,1,2025-02-21T21:31:57+0900,851967233700659471,9,1,1
msk1****,10Mo8,"탄핵 반대가 더 많지, 탄핵집회만 보더라도 탄핵찬성은 몇명없음",True,1,2025-02-21T21:17:08+0900,851966279546830903,8,2,2
imim****,16AOL,갑자기? ㅋㅋ  찬반 집회 인원수만 봐도 탄핵반대가 대세인데 뭔소리냐 ㅋㅋ,True,1,2025-02-22T02:03:53+0900,851984752889036890,6,1,0
audr****,aFxWX,응 윤통 지지율 51퍼 넘게 나왔는데 중도층도 민주당 및 이죄명 지지 안한다 여론조작 하지말아라,True,1,2025-02-21T21:15:36+0900,851966180712251585,6,1,0
thom****,bhE1p,쓰레기 현재 선동질이 통하겠냐,True,1,2025-02-21T20:49:18+0900,851964485391351889,5,1,0
sm77****,fTb0,천지도 모르는 것들  나라가 어찌되어가고 있는지도모르고  탄핵찬성하냐 ? 공부좀해라,True,1,2025-02-21T21:40:38+0900,851967792751050927,4,0,1
wnh8****,,,False,1,2025-02-21T21:25:48+0900,851966837137604858,0,0,1
mnkj****,aiVIp,서울대 연세대 총학생회 투표를 보더라도 그렇더라 ~  거의 다 탄핵찬성 이란다  정상적인 국민들은 탄핵찬성이지,True,1,2025-02-21T21:22:25+0900,851966619771994225,4,1,0
cho5****,,,False,1,2025-02-21T22:12:23+0900,851969838514438250,0,0,0
vivi****,4HMov,"또 선동질하듯 조작한다 ~  지금 다들 탄핵 반대하는데 뭔솔?토착 조ㅅ족,화교들만 찬성한다고 .저거 중도층이 아니고 토착화교들이 찬성하는거 아님,? 그리고 니가 찾는 사람 이름은 리커창이야李克强",True,1,2025-02-21T21:20:22+0900,851966487886299252,4,2,0
rkal****,5CZOi,2찍들은 아무리 설명해줘도 못알아먹음 ㅋㅋㅋ놔두세요 선거에서 지면 또 부정선거드립칠거니까 ㅋㅋ 평생 저리 살게 두세요~,True,1,2025-02-21T21:15:21+0900,851966164673233012,4,2,0
wodn****,3Rr3u,보통 정상인들은 찬성하던데 모자란자 세뇌된자 그들을 이용해 욕심내는자들을 제외하면 찬성 90퍼도 넘을듯,True,1,2025-02-21T21:05:40+0900,851965540107813092,4,2,0
csho****,1j38n,야야!!  사기치지마라!!! 전체조사 때려봐!!  이상한거 들고오지말고!!  왜 민주당개딸들에게만 조사해보지!! 100프로 나올걸???,True,1,2025-02-21T21:40:46+0900,851967801458426083,3,1,0
mise****,SRun,"중국에서 댓글다는 사람들 걸러냅시다. 댓글국적제, 댓글실명제 도입이 시급합니다.!!!",True,1,2025-02-21T21:13:15+0900,851966028828115014,3,1,0
keud****,etFFg,"가짜뉴스 바이러스네 탄핵반대가 60%훨신 넘었는데 국힘 지지가 언제부터 민주당을 앞질렀는데 뭔, 개풀 뜯어먹는 소리냐 민주당에서 또 조작하네 mbn,정신차렷",True,1,2025-02-21T21:11:10+0900,851965894492946504,3,1,0
wjdt****,1FZGt,개뻥치네 부정선거 안믿었는데 이런거보면 뭔가 구린내남,True,1,2025-02-22T15:40:50+0900,852037384072593591,2,0,0
sung****,a4WVy,ㅋㅋ 이거 가짜예요. 언론이 제일 썪은거 알죠?,True,1,2025-02-21T23:35:31+0900,851975194506428556,2,0,0
yeon****,b6qKa,김세희 기자 때문에 MBN  안믿어요❗️,True,1,2025-02-21T21:27:54+0900,851966972345188616,2,0,0
jeon****,2BuH7,양당 우두머리는 대한민국을 위해 일선에서 물러나야~~~,True,1,2025-02-21T21:20:59+0900,851966526675222823,2,0,0
dyk6****,56qWx,조사가 바뀐거 아니냐? 제대로 해라!,True,1,2025-02-21T21:14:19+0900,851966097866358879,2,0,0
gmgs****,,,False,1,2025-02-21T21:07:37+0900,851965665735606479,0,0,2
soul****,,,False,1,2025-02-21T21:04:14+0900,851965447497580620,0,0,0
yeos****,6jQPe,공개처형 ㅠ,True,1,2025-02-21T21:01:56+0900,851965299941966107,2,0,0
kis0****,4qRbt,찬성 80프로 넘을듯,True,1,2025-02-21T20:56:31+0900,851964951210754219,2,0,0
eju7****,4hUo9,2030반대보단 찬성이 훨씬더 많은건 모두가 알고있다,True,1,2025-02-21T21:06:25+0900,851965589114060926,5,4,0
rock****,eNlfz,헛소리해도 소용없다 탄핵 무효 절대 탄핵반대,True,1,2025-02-21T20:56:49+0900,851964969816686831,4,3,0
rain****,1CzXA,탄핵반대,True,1,2025-02-21T21:14:19+0900,851966097077829723,3,2,0
skeh****,1DekG,말도안되는 기사를 쓰네 기자야 퇴사해라 탄핵반대인원이 훨씬 많다 집회만 나가봐도 탄핵찬성은 눈대중으로 숫자 셀수있을정도고 탄핵반대는 점점 국민 60프로는 넘을듯,True,1,2025-02-21T23:02:45+0900,851973082926022871,2,1,2
oq17****,hU8Y,놀고 자빠진 여론조사. 기자라면 서울역에 가서 스티커 조사 한번 하겠다.,True,1,2025-02-21T22:49:10+0900,851972208010985525,2,1,1
oliv****,,,False,1,2025-02-21T21:23:48+0900,851966708741570817,0,0,0
nowa****,4dPxu,민주당 지지율 상승은 일시적인  과표집 현상이지. 부끄럽고 수치스러운 당대표가 감방에 갈 일만 남았는데 국민들이 이성을 회복하면 곧 정상적으로 민주당의 지지율이 폭락할 것이다.,True,1,2025-02-21T21:21:24+0900,851966553585877128,2,1,0
jsy3****,1Leb0,난 탄핵 반대인데? 여론조사 어디서함,True,1,2025-02-21T20:55:31+0900,851964886652027025,2,1,1
soon****,HfV9,안 속아~,True,1,2025-02-21T21:31:57+0900,851967233163788558,1,0,0
kdhi****,8K80b,중도층 정의가 무엇인가 본인스스로 중도라고?웃기네,True,1,2025-02-21T21:29:30+0900,851967076296818834,1,0,0
leee****,6QQe2,조작들어갔냐??  박근혜때 보는거 같네,True,1,2025-02-21T21:28:52+0900,851967035125530873,1,0,0
mild****,,,False,1,2025-02-21T21:25:02+0900,851966788148133907,0,0,0
nuy0****,,,False,1,2025-02-21T21:24:53+0900,851966778702561563,0,0,0
tria****,4rvo1,탄핵절대반대,True,1,2025-02-21T21:20:16+0900,851966480386883661,1,0,0
jkh9****,sOZu,분위기선동하는 봐라!!얼마안났으니 총동원 탄핵시키려 안간힘쓰네!!대한미국 국민들 전부 일어나야된다,True,1,2025-02-21T21:12:32+0900,851965982892097695,1,0,0
lig5****,2tJCX,"법에 따라 하는 것이지 여론 재판 하는 것이 아니잖아요.

공산당인가요? 마녀 사냥인가요?",True,1,2025-02-21T21:09:04+0900,851965759688015895,1,0,0
dnsd****,4GRiR,지금 윤통 지지율 60% 넘었습니다. 어디 거짓기사 뿌립니까? 신고합니다.,True,1,2025-02-21T21:16:54+0900,851966264531222811,8,8,0
shon****,,,False,1,2025-02-21T21:23:19+0900,851966677334622332,0,0,0
maca****,2xpfC,탄핵반대가 절대 다수 같은데?,True,1,2025-02-21T21:23:16+0900,851966674230837344,2,2,0
mise****,SRun,불법사기 탄핵 즉각 중단하라!!! 윤대통령을 즉각석방하라!!!!,True,1,2025-02-21T21:12:13+0900,851965962021240906,2,2,0
cat7****,3wdAS,지지율좀 오르니 이게여론이다 윤석열대통령을 즉각석방하고 탄핵기각시켜야한다 이게 얼마전까지 국힘과 그 패널들 입에서나온소리아닌가,True,1,2025-02-21T21:26:08+0900,851966858964762673,1,1,0
berf****,3SRNP,여론조작 김경수가 니와서 돌아다니던데  또 그짓 할까봐 화난다.,True,1,2025-02-21T21:18:21+0900,851966357678325875,1,1,0
dudd****,2qB2r,탄핵반대다,True,1,2025-02-21T20:55:03+0900,851964856184602644,1,1,0
pjh5****,7y3i0,쑈쑈쑈 이재명지지 정신병원행이나 북으로가셔요 제발,True,1,2025-02-21T20:53:53+0900,851964781442105627,1,1,0
jyjs****,a4VCK,이제  진짜  여론이 나오는구나  극우들  돈으로 인생 살지마라~,True,1,2025-02-21T20:53:28+0900,851964754296570033,1,1,0
eunj****,1DHIy,공산당 총 동원령 내렸나보네,True,1,2025-02-24T21:46:58+0900,852246514670502230,0,0,0
hyeo****,LsgN,양심 어디갔냐??? 집회마다 찬성은 한줌단인데 ㅋㅋㅋㅋㅋㅋㅋㅋ Mbn도 mbc 묻었니??,True,1,2025-02-22T15:57:21+0900,852038448821829712,0,0,0
cjfl****,2kNOh,무슨 말도 안돼는 기사냐 어디 출처야?,True,1,2025-02-22T15:52:23+0900,852038128494444623,0,0,0
adam****,45Wv1,"간첩질 적당이해라 중도층은 69%가 찬성이라고? 언론이 아주 썩었네ㅋㅋ 호남 살면서 나 중도인데 찬성보다 반대쪽에 가깝다 왜냐면 찬성하면 전과4범 이죄명+민주당+북한 노동당 좋은일 시키는거 정도는 알고있지 시위할때 민노총 동원 할때부터  알아봤다 검색에 ""민노총 간첩""만 쳐봐도 다 아는 사실인데 멍멍,꿀꿀이들은 사료만 받아 먹어서 뇌가 굳어서 모르지ㅉㅉ ""김계리 변호사 민노총 간첩 문재인 USB 3급 국가기밀"" 이 기사라도 찾아서 읽어봐라",True,1,2025-02-22T15:03:22+0900,852034971005616219,0,0,0
youn****,1ACIs,여론조작으로 돈벌이가 쏠쏠한거 아닌지 몰라?,True,1,2025-02-22T00:07:22+0900,851977246276059220,0,0,0
hanc****,vRHt,"난 노무현정권때 탄핵부터 잘못되고...

        박근혜정권 윤석열 정권...갈수록 정치대립이 심해지고 강도가 쎄지는것보면..

          그다음은... 피를 흘릴것 같은..  


              진짜 중남미 영화처럼 돌것같은.......


        미국  드라마보면...   
시민들의 심리는    현실을 바꾸고 싶어하지만  관습때문에 힘들어서..

                  종말론에 가까운것을 상상하는...

        외계생명체 좀비 재해 재난등등으로........",True,1,2025-02-21T23:10:40+0900,851973593121161410,0,0,1
asdl****,4eNkA,"위법,위헌계엄으로 국회, 선관위 무장군대로점령하고 활동을 제압하며. 민주주의를 말살하려했는데 이게 찬반을 따질 일인가? 사형으로 사회와 영원히 격리시켜야되는거지...  찬반을 따질게 따로있지! 한심하다",True,1,2025-02-21T23:05:26+0900,851973256654094491,0,0,0
oq17****,hU8Y,아프리카 여론 조사냐? 민노총 산하 언론노조 인간들. 그리고 여론조사 자료 제공은 어디서??,True,1,2025-02-21T22:46:51+0900,851972059398406388,0,0,0
kimh****,1H5uC,"그냥 우파들 조작질은 다음대선에서 답해주자
결과 나오면 승복하고 주뎅이 다 물어라",True,1,2025-02-21T22:13:36+0900,851969916914368682,0,0,0
putz****,2xOlM,숫자가 믿음이 안가네,True,1,2025-02-21T21:54:35+0900,851968691791724678,0,0,0
ksw1****,1pU6z,리죄명 갖다오고나서부터 안믿음ㅎㅎㅎ리죄명 쒜쒜~~ㅋㅋ,True,1,2025-02-21T21:54:10+0900,851968664830738472,0,0,0
yeom****,1hTon,빨랑 끝내라...거짓말로 질질끌지말고 당당하기나 했음좋겠네,True,1,2025-02-21T21:33:11+0900,851967313006559286,0,0,0
a882****,5VkYO,"이게 정상적인 여론조사지!!! 여론조사에 국찜에 유리한 질문 넣고 했던 조사였지 이상한질문 넣고, 끊어버리게 만드는!!!!",True,1,2025-02-21T21:29:01+0900,851967044621434886,0,0,0
taew****,,,False,1,2025-02-21T21:28:29+0900,851967009976483982,0,0,0
umsk****,,,False,1,2025-02-21T21:24:59+0900,851966785145012533,0,0,0
swim****,1OMnZ,"정신병걸린 인간들아 좀 믿고 살아라 .. 할말들이 조작, 부정, 선동 밖에 없냐 ?",True,1,2025-02-21T21:21:53+0900,851966585311592692,0,0,0
chc8****,5bkAA,극우꼴통 국힘 쌍권 지도부는 대선에는 관심없다. 본인들 권력만 지키려고 세대교체 시대교체 거부하는 구태꼰대다. 한동훈만이 찢재명을 이길수있다.,True,1,2025-02-21T21:17:07+0900,851966277969772583,0,0,0
di04****,FSX0,가짜조사 역시 ㅋㅋㅋㅋ,True,1,2025-02-21T21:03:24+0900,851965393894375547,0,0,0
wont****,g2aa,거짓말같애. 믿기지가 않아.,True,1,2025-02-21T20:56:34+0900,851964954280984751,0,0,0
mona****,1eaWy,야부리좀 치지마,True,1,2025-02-21T20:54:50+0900,851964842796384507,0,0,0
scho****,5lZsd,피곤할텐데 쉬삼,True,1,2025-02-21T20:51:32+0900,851964629994176641,0,0,0
ghgu****,bTzXS,탄핵반대,True,1,2025-02-21T21:14:23+0900,851966101439905911,3,4,0
nnni****,b3SB9,대통령을 꼭 끌어내야 겠니? 그만 좀 하세요 뭐가 그리 죽을 죄를 지었다는건가요,True,1,2025-02-21T20:55:51+0900,851964907992645874,3,4,0
llio****,,,False,1,2025-02-21T21:18:50+0900,851966388984611081,0,0,0
gja8****,183AH,어디서 조작된 좌파여조사로 국민들 대상으로 사기를 치냐? 그 반대지.,True,1,2025-02-21T21:00:28+0900,851965205435908237,2,3,0
gmhi****,ZlGz,민주당이 여론조사 단체 만나더만,True,1,2025-02-22T12:23:38+0900,852024680280752286,0,1,0
happ****,38oeU,두 번이나 연속 탄핵당한 대통령을 배출한 국민의힘은 향후 10년간 대통령후보를 내지 말아야 한다. 양심이라는게 조금이라도 남아있다면...,True,1,2025-02-21T22:56:15+0900,851972664871354442,0,1,0
cokr****,47G9i,"17% 만 탄핵반대 일듯
  국회의원 선거때 보니 여조랑 좀 안 맞던데",True,1,2025-02-21T21:25:26+0900,851966813850828939,0,1,0
saga****,nhMv,엠비엠 구라치지마라,True,1,2025-02-21T21:22:36+0900,851966631448936627,0,1,0
kang****,d0Pkm,"이제서아  정신들이  들거든  그동안    
 탄핵심판  헌재보느라  정신없었거등",True,1,2025-02-21T21:14:43+0900,851966123032182992,0,1,0
mooj****,,,False,1,2025-02-22T03:18:59+0900,851989590565716065,0,0,0
bigb****,2clewg,이젠 여론조사도 검열하니 믿을수가 없지 완전 공산화 된듯,True,1,2025-02-21T21:05:00+0900,851965497292357638,0,2,0
good****,68bSO,탄핵반대 꼭 돌아오십시요. 국민이 선택한 대통령 계몽 감사합니다,True,1,2025-02-21T20:56:29+0900,851964949080047762,0,2,0
hero****,2cdPo,정말 믿을수없는 조사다. 내주변엔 단한명도 탄핵반대 외치는사람이 없는데 반대가34%나 있다는게 말이되냐? 말만하면 구라에 격노에 오로지 부하탓으로만 돌리는 꼴뵈기싫은 윤석열. 눈씻고 찾아도 좋은구석 1도없다.,True,1,2025-02-21T21:28:30+0900,851967011553542310,2,5,0
4him****,,,False,1,2025-02-21T19:59:35+0900,851961282687926429,0,0,0
mchj****,LfpP,믿냐? 레거씨미디어 민주노총 득실한데 사실말하냐?! 이제 안속는다 ㅋ 윤통 지지율 60%넘는다.,True,1,2025-02-21T21:02:46+0900,851965353276735688,0,3,1
