user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
park****,3l72u,"지난12월 국회에서 탄핵안 통과때와는 나라,국민들 분위기,인식이 사못 완전 달라진 원인과 
이유가 무얼까!
공수처,헌재,선관위,등의 편향된 불공정한 법집행과 의식으로 많은 국민들의 생각이 변했고...
이젠 일정부분 계엄을 할수밖에 없었다는 윤대통령 생각을 공감하기에 이르렀기때문인듯~
특히 젊은세대들 눈에는 탄핵중독당,우리법연구회에 대한 기피가 극에 달한듯....",True,1,2025-03-08T16:25:29+0900,853339059576111238,186,51,5
fhf1****,,,False,1,2025-03-08T16:39:28+0900,853339960160288902,0,0,5
kwon****,dSW7d,"탄핵 반대집회 공화문650만, 여의도 45만명 합계695만명 추산. 탄핵 찬성집회1,500명수준.",True,1,2025-03-08T16:40:58+0900,853340056260182283,105,25,7
skea****,8yJHj,민주당이 하는 짓거리를 보고도 아직 못 깨닫는다고?? 최소한 법과 원칙을 지키라고!!!,True,1,2025-03-08T16:26:41+0900,853339136398983409,72,24,0
core****,10yzc,왜 우리나라가 일제에 지배당하고 남북이 갈라진지 알거같다...,True,1,2025-03-08T16:26:36+0900,853339130728284359,24,2,4
sjsj****,1WSzu,탄핵 반대가 정상이지,True,1,2025-03-08T17:40:10+0900,853343870476353588,10,2,0
cute****,3uFHD,그래봤자 탄핵인용,True,1,2025-03-08T17:46:57+0900,853344307287949554,8,2,0
tgsk****,1rVxP,"저 사람들은 무슨생각인지. 
계엄이 잘못된것인데
왜?",True,1,2025-03-08T17:25:51+0900,853342948232790291,8,2,0
ckw9****,51JXx,찢재명과 그 졸개 국개 192마리를 체포하라,True,1,2025-03-08T17:09:22+0900,853341886721556585,10,5,2
alsw****,1bovu,대한민국 일에 왜자꾸 성조기는 쳐 들고 나오는거야~아주그냥 만국기를 들고 나오지 그래?,True,1,2025-03-08T17:55:11+0900,853344837447974987,5,0,0
taew****,1gstP,이번 계엄으로 이 사회가 얼마나 좌경화 되었는지 언 국민들이 알게되었다,True,1,2025-03-08T17:51:41+0900,853344612683612400,6,2,0
