user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
d921****,1n4iQ,부자간도 싸우는게 정치얘기다. 하물며 남이야...,True,1,2025-04-08T07:47:32+0900,856181600314982518,147,3,5
mari****,YU5w,많은 고객들의 목숨을 책임져야하는 기장이 휴식을 취해야할 업무중에 병원 실려갈 정도로 주먹다짐을 한건 중징계가 마땅하다. 정치적 의견은 항공운항 없을 때 당신들 집에가서 피력해라. 하늘에서 싸움났으면 어쩔 뻔했나.,True,1,2025-04-08T08:12:36+0900,856183215860220069,70,5,1
kyk_****,29iTR,나라 말세됐네..이게 선동정치 벌여온 좌파들의 부산물임. 인권 향상ㆍ권익보호란 명분으로 군대 기강은 개판이 됐고 조직은 서열이 무너졌으며 사회질서를 위한 기본 상식이 무너짐. 요즘 건물 경호하는 애들 방문고객들이 입주사 위치 물어보면 손가락질로 까딱까딱...마트에서 점원에게 어떤 어르신이 가격을 재차 물었다고 소리찌름. 진짜 목격함. 이게 좌파들이 주장하는 권익 향상이냐. 양보와 배려ㆍ용서와 관용은 없어지고 이기심과 저주ㆍ조롱만이 남게 됨. 이게 좌경화의 부작용임. 이런게 좋으면 이죄명 찍어라. 나라 완전 거덜날테니,True,1,2025-04-08T09:23:46+0900,856187799898947858,96,47,15
zelk****,TL6F,"기장이  윤석열 지지, 부기장이 탄핵 지지... 이런 상황이면 싸움이 가능.   반대상황이면 싸움이 불가능",True,1,2025-04-08T08:16:17+0900,856183452569960533,42,16,5
rlaw****,2zWsw,"코메디다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그나저나 운항중에 저짓거리했음 큰일날뻔했다 
그냥 퇴사시켜라",True,1,2025-04-08T08:17:00+0900,856183498438868993,23,0,2
esta****,447So,민주당과 찢재명 지지하는 놈들은 사람으로 안 보이더라.. 아메바 수준,True,1,2025-04-08T09:09:40+0900,856186891966349535,15,5,3
chaa****,4UbbZ,둘중 왼쪽이 악쓰고 거품물며 주먹휘둘렀겠죠?!,True,1,2025-04-08T13:27:55+0900,856203529092596140,9,0,2
sik3****,1WyYf,그냥 서로 못마땅했던거지.... 무슨 정의나 사명감이 있었겠어... ㅋㅋ,True,1,2025-04-08T08:06:39+0900,856182831561310364,7,0,0
mjjp****,7z812,"이일은 지금부터 일어날일에 새발에 피일것이다. 조종사면 엘리트들인데... 무식한사람들은 어떤짓을 벌일까, 겁이난다. 민심을 가라앉칠만한건 공평하게 민주당 이재명대표가 윤통재판에 수긍하듯 자기재판도 빨리 받고 무죄를 입증하던 감옥을가던해야 조기대선도 원할하게 진행될것같다. 대통령이되면 면제부를 받을려는 꼼수는 부지지않기를... 그러면 이나라는 끝이다.",True,1,2025-04-08T10:20:34+0900,856191459076866290,6,1,0
cool****,12092,주먹질한 인간이 좌파였을 것으로 확신한다,True,1,2025-04-08T11:00:49+0900,856194052364697963,9,5,1
rowl****,6msPv,부기장이 나이도 적을텐데 이유가 어찌됬던 하극상 부기장은 영구 직위 해제 해라 위급한 상황이라면 기장말 듣지도 않겠네,True,1,2025-04-08T11:05:57+0900,856194383379169686,5,1,0
sseo****,1wI2H,"2개로 진짜 찢어지네..
 씁쓸하네...
  이젠 여러명 모인자리에선 1찍인지 2찍인지 물어보면 큰일남",True,1,2025-04-08T12:36:20+0900,856200206180417684,3,0,0
ayla****,dbiZZ,정치성향이 어디든 정치로 주먹이 오간 것은 품위손상이 맞다고 본다.,True,1,2025-04-08T08:53:41+0900,856185862667370693,3,0,0
tell****,2uxE6,문재인의 국민 둘로 쪼개기가 성공했나봅니다,True,1,2025-04-08T11:17:50+0900,856195148990644639,4,2,0
jhjj****,2P686,40여년전부터 고위직공무원인 아버지와 우리나라 최고의 진보매체에 간부로있는 아들과의 정치적이유로 부자의 연을 끊고사는이도 있던데 안타까울뿐이더라구요.또한 골수 전라도와 타도사람들도 마찬가지로 으릉으릉ing 중인것 또한 타개해야할 문제입니다.,True,1,2025-04-08T08:34:31+0900,856184627713278080,3,1,3
qcno****,2SDhd,운동권과 신남성의 대결,True,1,2025-04-08T18:56:01+0900,856224666908360709,2,0,0
dksw****,139sh,"정치적 이념이 다르면 정말 곤란! 얘기를 안하는게 맞다. 
형제자매들 사이도 갈라 놓는 정치판!",True,1,2025-04-08T12:43:53+0900,856200692652573061,2,0,0
upst****,29atm,그래도 비행중에 저런 짓 안한게 얼마나 다행이냐....ㅋㅋㅋㅋ,True,1,2025-04-08T10:46:24+0900,856193123443802303,2,0,0
glay****,2rFSn,"니 걱정이나 해라. 석열이나 재명이나 너가 걱정 안해도
너보다 잘먹고 잘산다.
티켓들고 시위할시간에 잠이나 자던가 다른 일이나 해라.
다 부질없다.",True,1,2025-04-08T09:09:45+0900,856186897234395393,2,0,0
jck7****,,,False,1,2025-04-08T10:00:20+0900,856190155722064009,0,0,1
yooj****,1G2YQ,그게  라도기업  아시아나  합병하니   꼭  싸움 난다,True,1,2025-04-08T09:56:28+0900,856189906983059640,3,2,1
john****,2fxru,수십 수백명의 생명을 책임지는 자들이... 중징계가아니라 자격취소가 맞다,True,1,2025-04-09T11:09:27+0900,856287380443758781,1,0,0
h-do****,aEYFt,보았죠? 이런놈들도 면집처분 똑같이 받잔아요... 석렬이도 재명이도 면직이 답입니다,True,1,2025-04-08T17:41:25+0900,856219860705738909,1,0,0
elde****,3WYuH,그런데 한진 주제에 손상될 품위라는게 있긴 있었나? ㅋ,True,1,2025-04-08T17:13:27+0900,856218059671601334,1,0,0
elde****,3WYuH,이럴려고 아시아나 퍼준거냐? ㅋㅋㅋ 하여튼 한진  ㅋ,True,1,2025-04-08T17:11:51+0900,856217956240064873,1,0,0
zang****,21RkU,나라를 걱정하는 마음이...대단들 하십니다 그려ㅎㅎ,True,1,2025-04-08T12:53:44+0900,856201327015887201,1,0,0
yjen****,,,False,1,2025-04-08T12:43:49+0900,856200688407937367,0,0,0
leeh****,,,False,1,2025-04-08T12:15:27+0900,856198860865798317,0,0,0
jwch****,36TwD,정치랑 일이랑 경계를 허물고있네 정치병자라는 말이 괜히 나옴? 일할땐 정치얘기하지마. 정치가 지들 밥먹여주냐?,True,1,2025-04-08T10:35:54+0900,856192447456215458,1,0,0
radi****,87H8R,일단 주먹부터 휘두르고보는 조폭이네 어쩜 하나같이 똑같냐 나라를 망하게 만든 놈 편을 들고 폭력까지 쓰다니,True,1,2025-04-08T10:12:48+0900,856190959350710662,1,0,0
dlzm****,95yCA,둘 중 먼저 폭행한게 극우세끼다.,True,1,2025-04-08T07:58:32+0900,856182308716150908,6,6,0
sung****,,,False,1,2025-04-08T13:35:25+0900,856204012662292677,0,0,3
2018****,,,False,1,2025-04-08T11:12:06+0900,856194780076441636,0,0,0
pine****,n5q0,으이그~~ 사회주의에 세뇌된 좌파랑 머하러 싸우나ㅋ 병진이 월드에선 제대로된 놈이 병진인 세상이 됐으~~,True,1,2025-04-08T11:01:24+0900,856194090516086960,1,1,0
iwil****,31sWM,우리나라를 생각하는 애국자가 이래이래 많다,True,1,2025-04-08T08:56:01+0900,856186012940894213,1,1,0
sysd****,2qz4t,"저런 정신 못 차렸네. 바로 얼마전에 비향기 사고로 많운 국만둘이 뭐랄까? 한순간의 살수로 비행가가 추럭했는데,,, 정신 차리고 사고에 대비 흐투러짐이 없어야 하거늘....그렇게 한가한가?  또 한심한것운 내란이 무엇인지 모른단 말인가?  내란수귀가 적애게 총구를 언돌리고 국민, 비행사 국민 여러분에 총구를 겨눠 혼자 국민울 제못대로 다루려고 했던 그것에 같이 힘울합쳐 막아 내야지.... 동조해서 같이 반역해서 한자리 얻으려 한거야? 그런거야?????????",True,1,2025-04-10T19:53:45+0900,856413928836563189,0,0,0
mada****,irm3,나이쳐먹고 뭐하는 짓인지 신상까고 알리자! 대한항공도 이런애들 봅지마라! 퇴사시켜라!,True,1,2025-04-09T19:11:08+0900,856318412102565949,0,0,0
jung****,95i2Y,엄벌해라,True,1,2025-04-09T07:30:49+0900,856273294377091222,0,0,0
real****,,,False,1,2025-04-09T01:13:22+0900,856248977715101754,0,0,0
jhc7****,e163C,인각적이네,True,1,2025-04-08T21:33:20+0900,856234802561417350,0,0,0
wjdt****,3EFQs,이해는 간다만은 이게 어디 보통일인가 승객들 안전이 위협받을 일이다 한데 징계재고라니 가당키나한가 싸우려면은 지상에 내려가서 싸우던가,True,1,2025-04-08T21:08:37+0900,856233210286178545,0,0,0
data****,2mOqR,"제가  보기에 원래 사이가 안좋았는데 이번 파면에
감정싸움으로....",True,1,2025-04-08T19:32:41+0900,856227029928902851,0,0,0
supp****,SBjH,정차가뭐라고 ㅉㅉ 정치하는놈년들은 정의로운척하는 OOO일뿐,True,1,2025-04-08T18:04:58+0900,856221378221703540,0,0,0
soul****,3vjHd,보나마나 좌빨 색히가 도발했겠지,True,1,2025-04-08T16:49:50+0900,856216537810338184,0,0,0
soul****,,,False,1,2025-04-08T16:48:47+0900,856216470449815870,0,0,0
