user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
prod****,38pzR,갈구면 탄핵이래 ㅋㅋ,True,1,2025-04-10T07:55:31+0900,856367657845260399,60,4,7
pers****,3qzX,어차피 기각인데  볼필요있나...지긋지긋한 이재명 민주당 탄핵 독재당들...,True,1,2025-04-10T07:45:12+0900,856366992964190248,53,16,2
para****,1Liij,"탄핵사유가 이재명 대표님을 째려본 죄라니... 우린 이재명(전과4범, 음주운전 포함) 대통령의 시대를 살고있습니다.",True,1,2025-04-10T07:55:01+0900,856367624827699206,35,8,1
chai****,4NjBN,째려봤다고 탄핵ㅋㅋㅡ 국회 입법독재로 국정마비세력 더불어 찢 공산독재당은 몽땅 사형감!!!!!,True,1,2025-04-10T08:22:57+0900,856369424989421822,26,4,3
ytka****,2ZyH4,우원식도 탄핵,True,1,2025-04-10T07:45:39+0900,856367021837779069,21,4,0
newu****,2cejva,이번 대선은 반드시 여권 대통령 뽑아 원수를 갚자 !,True,1,2025-04-10T09:51:53+0900,856375154677121383,5,1,0
lkh0****,,,False,1,2025-04-10T09:14:57+0900,856372774661259550,0,0,0
citi****,4YkpZ,"감옥가자, 내란동조자 😡",True,1,2025-04-10T09:59:31+0900,856375645830119677,3,1,0
babo****,3fZrt,머 그냥 그 머시기당에서 물갈이 열심히하시네요  꼬투리잡기 선수들 본인은 깨끗하십니까~~~내가 보기엔 도찐개찐입니다~~~보기싫다 정말,True,1,2025-04-10T09:24:47+0900,856373408185712914,2,0,0
nili****,1E944,이건각하해야 정상 사유가 째려본거라매,True,1,2025-04-10T08:38:03+0900,856370397715628050,2,0,0
owin****,6sOVO,"법치국가에서 법을 조롱하고 우롱한 사람이 지도자가 되겠다고?
푸하하하 지나가던 개도 웃겠다.
한 나라의 지도자는 작은 법규라도 가볍게 여기면 안되는 사람이어야 한다.
한 입으로 두말하면서 법의 근간을 흔드는 이재명은 지도자 자격이 없다는 것을 국민들은 알고 있다.",True,1,2025-04-10T09:58:13+0900,856375562346692697,3,2,0
mpsi****,5y6bz,쭉쭉 인용흐름 가즈앗!!!!이완규같은피의자를 재판관으로 둔헌재가 되지않으려면 스스로에게 채찍질해야 한대이~~~그 재판관은 곧 영장청구될끼다!!,True,1,2025-04-10T09:59:09+0900,856375622560120902,2,1,0
67mi****,4Xlzn,기각되도 사과한마디 안하는 이재명의 민주당. 대권까지 잡으면 어떻게 될지 참 걱정스럽다. 윤석열이 말도안되는 비상계엄만 때리지 않았어도... 윤석열이 이재명을 살렸다,True,1,2025-04-10T09:15:00+0900,856372778369024003,2,1,0
wisd****,2D5G0,"아직도 탄핵재판이 남았다니, 민주당 지긋지긋하다",True,1,2025-04-10T10:32:08+0900,856377747797180484,1,0,0
k2******,,,False,1,2025-04-10T10:25:16+0900,856377304861900921,0,0,0
lhsn****,IN2y,정개검들 확실하게 보내야 또다시이런사태가오지 않는다.  이인간은 내란적극가담자,True,1,2025-04-10T10:11:11+0900,856376397684277335,1,0,0
lhsn****,IN2y,파면이답이다. 이 인간은죄가 한두기지가아니다.   내란수괴종버이다,True,1,2025-04-10T10:09:01+0900,856376258466938891,1,0,0
hl3e****,5zNyl,"쳐다만  봐도    탄핵하는    나라ㅡ !
찢이  성남시장 일때  철거민한테  째려보며   호통친거는 
어찌할꺼냐  ?",True,1,2025-04-10T09:53:28+0900,856375256229609665,1,0,0
emfo****,,,False,1,2025-04-10T09:31:24+0900,856373834964533408,0,0,0
syj3****,3ivoP,폰 바꾼넘들  다  계엄동조  내란죄  적용이  답!,True,1,2025-04-10T09:23:35+0900,856373331127959782,1,0,0
luvm****,1DvE4,지맘에 안들면 탄핵. 이런분위기를 만들면 누가 나라를위해 일하겠냐. 그분의 말만 듣고 따라야하는거야?,True,1,2025-04-10T09:17:01+0900,856372908392448006,1,0,0
ilda****,7iTb0,법무장관 기각 된다.,True,1,2025-04-10T08:12:59+0900,856368783042806033,1,0,0
carr****,13WAM,이렇게 줄탄핵하고 기각당하고 국민혈세쓰고 국정마비를 시켰지만 사과하지않습니다. 무안공항대참사로 국민이 179명이 죽었지만 법안을 날치기 통과시킨 민주당은 사과하지않습니다.,True,1,2025-04-10T13:10:45+0900,856387966061248754,1,1,1
