user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
magi****,2lppe,언론이란게 앞장서서 이런걸기사화하고있으니 나라꼴이 이렇지.탄핵당하고 국민한테 사과한마디없이 무슨개선장군처럼하는 행태를 꾸짖기는커녕 오히려 그걸 대변하는듯한보도가 가당키나함?,True,1,2025-04-12T17:41:46+0900,856590968814567601,91,67,1
naya****,1plos,"줄탄핵29번 행정마비 10:0 기각 전원복귀 내란수괴는 민주당 이재명 박찬대 정청래~ 간첩법반대 국가보안법 전과자가 정청래 포함해서 22명이나 되는 반국가세력 알게해준 비상계엄,  우리법연구회 좌파카르텔 장악한 법치주의 무너뜨린 판결, 부정선거 윤 again ~",True,1,2025-04-12T18:25:08+0900,856593762573353001,32,14,1
powe****,2S1r8,내란의힘 해체,True,1,2025-04-12T18:34:05+0900,856594339525034010,12,2,0
pdso****,2IKiU,어개인 윤석렬 화이팅,True,1,2025-04-12T18:27:05+0900,856593888519913497,11,5,2
kimt****,5CZ7f,난 비민주주의자요.난 반헌법주의자요.난 독재주의자요.하고 아우성치는 극우개돼지들.,True,1,2025-04-12T17:57:37+0900,856591989708161162,23,20,0
hana****,1aL7w,"우리나라 비상상황이라고 대통령이 얘기해도  에이 설마… 간첩이 어딧어…감히 국민에게 총부리를?????
이러고만 잇다. 즁귝인들이 아뮤리 간첩질을 하고 기사가 나와도 계엄이 잘못이네. 북한 지령을 받은 간첩들이 곳곳에 잇어도 계엄이
잘못이네. 자유가 슬슬 사라진다는데도 잘 못느끼는게 당연하지. 한번도 잃은적이 없으니까. 
저사람들은 시간남아서 저기 나온줄 아냐
자유를 잃지않으려고 그런다. 홍콩처럼 된다해도 그저 평화로운줄만 알지. 
이제 남은건 셰셰 뿐이야. 마지막 선거다",True,1,2025-04-12T18:33:08+0900,856594277751324706,5,3,0
wdvy****,CBPl,"그러게....애초부터 찢이 전과4범 12기소 범죄자 아니였으면, 탄핵도 덤덤히 받아들였을꺼다. 웃기잖아. 살인자가, 도둑을 전기의자 에 앉힌다는 거....거기다 국민의 신망을 받아야하는 헌재판결...그중에 야동맨이 있는데...신뢰가 가겠나. 판결문도 오류 투성이 이고, 윤석열이 국회에 의구심을 가진건 착각이고...홍장원/곽종근 의 오염된 증언으로 국헌문란의 의구심은 확신이고...6:2라도 나왔으면 그려러니 했을 꺼다. 8:0 쥐어짜서 만든거니..판결자체가 사주를 받은 인위적 판결 이라는 소리이지.",True,1,2025-04-12T18:04:13+0900,856592415245467696,5,3,1
davi****,2Jplx,정신병자들 많네요. 술주정뱅이 무당건희들,True,1,2025-04-12T18:18:57+0900,856593363913146613,4,2,0
wars****,qzkF,극우땜시 나라가 산으로 간다..이를 이용해 다리 걸친 보수도 문제고..아무튼 늙은이들 불쌍타..뭘 알고 저러겠노..,True,1,2025-04-12T18:09:00+0900,856592723744915457,4,2,1
arno****,3xvSD,유용한 기사군요.. 사실 탄핵 이후 우리사회의 참 모습이 궁금했는데..  감사합니다,True,1,2025-04-12T18:12:02+0900,856592918780051464,3,1,0
jdk0****,1wN3k,28%프로 사이비와영남당 외에 과연 머리에 총맞지않은이상 모지리를 지지할까?그리고 한가지만 물어보자 윤석열 잘한거3가지만 되봐라 맞으면 나도 계몽될께 ㅋㅋ,True,1,2025-04-12T23:03:39+0900,856611706426622133,2,0,0
eeuu****,5qjhP,"끝난지가 언제인데 아직도
  참환자많네",True,1,2025-04-12T21:11:09+0900,856604458082107425,2,0,0
kkbs****,cBSz2,전광훈. 조배숙 죗값 어떻게 감당 하려고 하냐? 그만 자제 자숙해라! 지겹다!,True,1,2025-04-12T17:49:03+0900,856591437888749583,19,18,1
euko****,,,False,1,2025-04-12T18:00:52+0900,856592199037485258,0,0,0
lee6****,1LOvo,언론들만봐도 알수있다 진실을 보도하지않고 힘센놈돈주는놈한테 붙어서 대한민국이 지금 얼마나 중국한테 먹히고 있는지 알려주지 않으니 정치에 무관심한 국민들의 눈과 귀를 멀게 하고 있다 이런걸 없애려고 한 계엄을 오로지 계엄이라는 이유로 잘못됐다 말하는 우동사리들이 있으니 참으로 걱정이다,True,1,2025-04-13T00:06:49+0900,856615775908135078,5,4,0
jhle****,7q1o0,아무튼 현재 지지율이 가장 높은 윤통-00대학교 이00교수 경제학박사-,True,1,2025-04-12T18:48:53+0900,856595292387016923,1,0,0
ggld****,4QxDR,"우두머리도 지지자도 망상에서 헤어나지 못하고있군,,",True,1,2025-04-12T18:22:13+0900,856593575138295858,1,0,0
jeff****,10qWM,몇천만 중에 저정도 꼴통은 어디나 있기 마련.,True,1,2025-04-12T18:14:28+0900,856593075110150244,1,0,0
saga****,4KV0Z,종교와 정치~ 유투브가 결합되면 저렇게된다... 조심하거라...미처버란 잡단 약도 없음,True,1,2025-04-12T17:59:16+0900,856592096277037123,1,0,0
sona****,9kFZ5,윤석열과 내란의 힘 자체가 사기 집단이다!!!,True,1,2025-04-12T18:02:16+0900,856592289902886975,19,19,0
scki****,,,False,1,2025-04-12T17:50:47+0900,856591549356572885,0,0,0
orio****,1lxdQ,수괴를 즉각 구속하라~~,True,1,2025-04-12T23:07:42+0900,856611967412994242,2,2,0
yvoy****,16Fbm,아크로비스타 주민들 지긋지긋하겠다 윤이 감옥가길  고대하겠네,True,1,2025-04-13T06:14:46+0900,856639480218517554,1,1,0
uki8****,3kxLD,사기 탄핵이래...얼마나 무식하면 저렇게 생각할수가 있을까...문맹률이 가장 낮은 나라인데 지능과 상식도 낮은 사람들이 많구나,True,1,2025-04-12T20:06:53+0900,856600318069178577,1,1,0
