user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
w485****,3cBzw,탄핵시키고 다음 이재명재판 고고,True,1,2024-12-14T17:06:25+0900,845548907436966097,883,221,35
koos****,,,False,1,2024-12-14T17:07:18+0900,845548964143956129,0,0,24
aloe****,28TqJ,가결됬다고 소리까지 지르며환호하는 의원들 뜻대로되었으니 좋기는하겠지만 이일이 환호하고 좋아라할일인가 비통한 일이지 눈치좀 챙겨라 나라가 이꼬라지된건 당신들탓도있으니,True,1,2024-12-14T17:08:51+0900,845549064689811878,629,65,25
feel****,,,False,1,2024-12-14T17:08:32+0900,845549044003504390,0,0,5
kimd****,,,False,1,2024-12-14T17:06:20+0900,845548902068256926,0,0,18
der0****,5O2f5,"이재명 신났겠네..
너만은 안된다.",True,1,2024-12-14T17:07:02+0900,845548947182190623,266,45,10
deag****,bGkx7,석열이는 헌재심판으로 재명이는 깜방으로 각자 갈길가는게 정답이다,True,1,2024-12-14T17:10:25+0900,845549165051117780,185,17,4
mird****,1XgkM,"탄핵잘했다.
근데 이재명도 죄값은 받아라.


근데 가장 큰 문제는 지금 대한민국엔 대통령할 인물이 없다는거지 ;",True,1,2024-12-14T17:10:22+0900,845549161813115069,134,10,4
gudt****,39U53,석열아 잘가라,True,1,2024-12-14T17:06:26+0900,845548908376490199,133,10,0
ukd9****,2wDUf,또 8년전으로 되돌아갔네.. 진짜 더러운 범죄집단의 수괴 한마리 깜빵 안보내려고 쌩쇼를 하는구나. 멍청한 개돼지 국민들이 문제다,True,1,2024-12-14T17:12:21+0900,845549290259480768,142,24,5
play****,5jsrx,의회독재하는것들이 누군데??  이것들아 더듬어범죄당이 행정에 필요한 예산 삭감 다했다 대가리에 든게 없으니 그게 뭔지 모르지,True,1,2024-12-14T17:07:25+0900,845548972062802136,157,49,12
23eu****,132Pt,이재명 윤석열 둘다 아웃 다시 시작합시다,True,1,2024-12-14T17:08:59+0900,845549073346855412,99,9,2
pers****,3qzX,.순서대로 이제 이재명 빠른실형 사퇴가자~~,True,1,2024-12-14T17:06:58+0900,845548942736228832,101,18,0
joom****,27GSI,"조국갔고, 윤석열도 이제 갔고…
이재명만 가면 정리되겠네..

셋다 빵에서 반성해라..",True,1,2024-12-14T17:12:26+0900,845549295644967124,66,4,0
bsrh****,6So8o,이제 이재명이 잡아처넣자,True,1,2024-12-14T17:11:02+0900,845549205131886613,65,10,0
dbsr****,34cRO,이죄명 대통령되는건 절대반대 다른 대권 나와야,True,1,2024-12-14T17:15:07+0900,845549467863089213,64,9,1
ghde****,g54Y,탄핵 가결 &gt; 리자이밍 감방 &gt; 헌재 &gt; 뒤집힘 ㅅㅅ,True,1,2024-12-14T17:07:29+0900,845548976642982168,62,13,4
wlsg****,1N7fA,잘가라.멀리안나간다. 헌재결과 나오면 형사재판도 받고 사형ㄱㄱ,True,1,2024-12-14T17:06:45+0900,845548928928579994,57,9,5
sour****,1iMkh,"헌법재판소가 현명한 판단을 하길 바람니다 이렇게 종북세력에게 자유민주주의 대한민국을 통으로 넘겨줄수는 없습니다
선관위의 부정선거는 명백히 드러나야 합니다 거대야당 누구 하나 부정선거에 대해서 언급하는 의원이 없다는건 모두 한통속이란 얘기다",True,1,2024-12-14T17:16:20+0900,845549546313351330,49,6,5
rosa****,Qo59,이젠 이재명만 남았다!!,True,1,2024-12-14T17:08:04+0900,845549013871624225,45,11,0
taeh****,2ASnX,ㅇㅈㅁ도 대통령 되면 안된다 절때 안된다,True,1,2024-12-14T17:12:23+0900,845549291500994743,32,3,0
pine****,,,False,1,2024-12-14T17:07:08+0900,845548953893077082,0,0,1
yous****,63Ya6,경찰은 윤썩열 지금 체포 하시죠,True,1,2024-12-14T17:06:25+0900,845548907017535733,49,22,4
yscw****,2K35Y,김건희 최은순 해외도피하기전에 출국금지 시키고 체포해야합니다,True,1,2024-12-14T17:08:04+0900,845549013754183728,25,0,0
hoda****,3issd,이제 이재명과 민주당의 잘못에 책임을 물을 차례.,True,1,2024-12-14T17:07:00+0900,845548944866934791,32,8,0
haja****,,,False,1,2024-12-14T17:14:24+0900,845549422128398558,0,0,2
wjwh****,,,False,1,2024-12-14T17:10:09+0900,845549148089352253,0,0,0
nhju****,36Ibx,윤석렬 탄핵과 이재명 재판은 별개다! 이재명을 대통령으로 부르짖는 사람들이야 말로 범죄자이재명 깜빵 막으려고한 내란죄다! 범죄자이재명은 절대 대통령 안된다!!!!,True,1,2024-12-14T17:12:52+0900,845549323209933239,21,3,0
a010****,2ofRY,이제는  범죄자 이재명 탄핵 이다,True,1,2024-12-14T17:28:19+0900,845550318266613884,18,0,0
jgj2****,,,False,1,2024-12-14T17:12:11+0900,845549278532206678,0,0,0
wise****,3pqVW,이재명과 더불어탄핵당은 정권을 잡았다고 착각하지 말기 바란다.,True,1,2024-12-14T17:09:39+0900,845549115960983883,19,3,0
jord****,10SKK,이제 선관위 수사하자,True,1,2024-12-14T17:22:40+0900,845549954603680027,18,2,1
lewi****,12ydV,"자자 국민여러분 윤통 탄핵 성공했고, 조국은 실형 2년 대법원 확정되었고, 나머지 범죄자 이재멍 신속재판 촉결 그대로 집회인원 100만 내일도 모입니다~  만약 내일 이 집회 없다면 우리 민주주의는 명분없는 탄핵입니다. 그리고, 이 탄핵으로 웃고있는 야당 의원이 있다면 그놈도 잡아족쳐야 합니다. 이게 웃을 일 입니까? 대한민국 정치는 깨끗해야합니다",True,1,2024-12-14T17:30:21+0900,845550449162453135,17,1,0
jgj2****,,,False,1,2024-12-14T17:29:16+0900,845550379973214312,0,0,0
fbid****,2EYzk,ㅇㅈㅁ은 나도 절대반대,True,1,2024-12-14T17:13:07+0900,845549338863075390,18,3,0
shk2****,3O9hW,"법원은 이제부더 이재명 재판을 신속, 정확하게 진행하라.",True,1,2024-12-14T17:13:19+0900,845549351529873571,17,2,0
gala****,3hI2A,탄핵염원이 민주당 지지한단 뜻은 아니다,True,1,2024-12-14T17:10:57+0900,845549199310193104,14,2,0
sand****,xDSm,"윤,거니,짖명 다 끌어내",True,1,2024-12-14T17:08:14+0900,845549024206389379,14,2,0
icia****,AsQl,이제 국민의 힘 정당 해산 가자~~,True,1,2024-12-14T17:08:17+0900,845549028115480736,22,11,1
my02****,cPVyy,나라 망치고 있던 민주당도 대통령감은 아님,True,1,2024-12-14T17:10:44+0900,845549185234108789,15,4,1
onek****,eao4b,"나라 꼬라지가 이 꼴 됐는데 좋다고 축제분위기
내는 파랭이들이나 시위대 시민들 진짜 제정신아니다. 
한 나라의 수장을 잃고 외신들이 보기에도 이건 정치적 혼란상태인데 뭐가 좋다고 웃고 떠들썩한건지 ㅋㅋㅋ생각머리들도 같이 날려보낸듯.
그냥 찢재명이나 재판으로 날려보냈으면 좋겠다
진짜 생각없다 느껴지는게 이번일로 찢재명 재판은 연기됐는데 이거에 대해 강력하게 재판 촉구하자는 얘긴없더라 ㅋㅋㅋㅋ하여간~ 시위보니 연예인 응원봉 쳐들고 나와서 탄핵외치는것 자체가 정신나간사람들 갔던데..콘서트감?",True,1,2024-12-14T17:26:13+0900,845550182589268059,14,3,1
s2se****,tfag,"진짜 국힘 대한민국 국민입니까? 나라 팔아먹는 인간들 
정신차리세요 다음세다를 위해서 이러면 안되죠
탄핵 반대!! 100만명 시민이 광화문에 나왔습니다 
찬성시위에 나온 숫자보다 훨씬 배로 많은 사람이 탄핵 반대를 외치는데 언론은 전혀 보도않아요 이게 나라입니까
탄핵반대 외치는 국민들 그냥 보고 있지 않을겁니다",True,1,2024-12-14T17:15:29+0900,845549491133087957,14,3,0
tumi****,6u9cD,다음타자. 리짜이밍,True,1,2024-12-14T17:09:02+0900,845549075662110747,12,2,0
sjp0****,3BFsL,다음은  이재명.,True,1,2024-12-14T17:08:28+0900,845549039205220546,11,1,0
eufr****,4sLFn,내란 수괴의 처벌은 사형 선고 후 사형 집행까지 완료가 되어야 모든게 끝남,True,1,2024-12-14T17:07:40+0900,845548987564949823,14,5,3
jotg****,3qWTX,내란 수괴는 좌파당이했찌 뭐 ㅠㅠ,True,1,2024-12-14T17:10:25+0900,845549165353107667,13,4,2
lets****,3XSoX,바보들..이제 이재명 대통령 바로되것네.. 하나는 알고 둘은 모르지,True,1,2024-12-14T17:10:06+0900,845549144750686267,10,2,0
kawa****,1Y9yp,"한동훈,이재명 깜빵가자!!!",True,1,2024-12-14T17:20:42+0900,845549828220911891,8,0,2
k926****,1ZGoO,민주당 에서 대통령 되면 또 공삼화 시작이다 ㅁㅈㅇ 시절 코로나 겪어봣으니 알겟제,True,1,2024-12-14T17:13:31+0900,845549365102641415,9,2,0
swee****,Y3Hy,우선 윤석열 끌어내리고 김건희 감옥가고 그다음 이재명 내려와라 제발! 그게 나라를 위하는 길이다 제발🙏 이재명되면 되자마자 광화문 여의도로 뛰쳐나갈거다. 그리고 국힘 가결표 찬성의원들 감사합니다,True,1,2024-12-14T17:09:54+0900,845549132150997421,9,2,1
sm03****,,,False,1,2024-12-14T18:21:43+0900,845553758535418146,0,0,0
ysun****,86CQx,"ㅋㅋ 윤석열 탄핵은 탄핵이고, 이재명은 별개지~~
윤석열 탄핵이라고 해서 괜히 김칫국 마시지 마라",True,1,2024-12-14T17:19:41+0900,845549762370339127,8,1,0
mint****,6yKw9,윤석열은 법에따라 결정될거고 이죄명도 똑바로 처벌하고 선관위부정선거도 모두 싹 밝혀라,True,1,2024-12-14T17:13:03+0900,845549335255973925,8,1,0
ym39****,29xuq,민주당은 대통령탄핵을 조속히 처리하도록 헌법위원회에 요구하기 전에 질질 끄는 이재명재판부터 빨리 하라.이재명재판은 이리저리 질질 끌면서 헌재위판결만 빨리요구하는것은 어불성설이다. 역시 내로남불당답다.,True,1,2024-12-14T17:16:40+0900,845549568073400664,8,2,0
myss****,,,False,1,2024-12-14T17:12:21+0900,845549290175594662,0,0,0
ceon****,23xMK,"대통령도 법어따라 탄핵  !
무소불위인 이재명도 법에 심판을 빨리 받자  !
제발 바른정치인이 나와서 바른정치를
하는 세상을 살다 죽어보자  !!!!!

탄핵시켰다고 무슨 독립운동 한거마냥 좋아하는 
꼴아지보니  운석열이보다  뭐가 다르냐  !!
개탄스럽다  !",True,1,2024-12-14T17:55:42+0900,845552082793529562,7,1,0
skpa****,eqSdB,"성형괴물 안봐서 살겠네, 다음은 이재명 보내면 됨",True,1,2024-12-14T17:15:59+0900,845549524251312581,7,1,0
dsp6****,BmQU,탠핵이 습관되겠다.ㅠㅠ 투표한 국민들은 뭐냐? 국힘 정신차려라 이 국가 위기에 자기만 살겠다고 하면 영원히 죽는다,True,1,2024-12-14T18:19:14+0900,845553599118311535,6,0,0
live****,treW,대통령이 몇수앞을 내다보고 계엄령을 선포한 것임을 짐작할 수 있습니다. 헌재 심의에 대통령이 직접 증인으로 나와 TV 생중계로 부정선거에 개입한 종북좌파들의 명단을 읽을 것 같고 속도조절하여 4월18일을 넘겨서 심의가 이루어지도록 할 것 같습니다. 이재명이만 똥줄 타겠네요.,True,1,2024-12-14T18:15:47+0900,845553376316883263,9,4,1
sesi****,4btUJ,이제 이재명 구속으로! 청소하자.,True,1,2024-12-14T17:17:29+0900,845549620284096731,8,3,0
seou****,1M36U,윤석열씨 쿠팡에 실내화 팔아요 ㅋㅋㅋㅋㅋㅋㅋ,True,1,2024-12-14T17:08:52+0900,845549065813885381,8,3,0
lipr****,,,False,1,2024-12-14T17:18:32+0900,845549687795613926,0,0,0
whtp****,5JLuu,이재명 사퇴해라,True,1,2024-12-14T18:50:09+0900,845555590959726654,6,1,0
lbr0****,2cjLCB,조국 감방가고 윤석렬가고  이젠  이재명차려네  범죄자들은  언능  감방으로 들어가라,True,1,2024-12-14T17:28:26+0900,845550325480816803,6,1,0
djaa****,,,False,1,2024-12-14T18:13:08+0900,845553205306720309,0,0,0
lilc****,6opg9,한동훈과 그 떨거지들이 기어코 나라를 공산주의자들에게 넘기는구나. 지금 대한민국은 좌우가 대결하는 내란상태라고 봐도 무방한데 내부에 이적행위를 하는 배신자들이 나라를 좌익들에게 넘겨 스스로 자멸의 길로 가고 말았다. 그리고 이재명만 구속되면 지가 대통령이 될 수 있다는 망상에 빠져 있는 것이다. 이재명은 절대 유죄를 받지도 구속되지도 않을 것이다. 법원이 이미 좌파들에게 완전히 장악되어 있는데 미쳤다고 유죄 때리겠나? 이제 대한민국은 정권이 바뀜과 동시에 껍질뿐인 민주주의고 실상은 사회주의 독재국가로 될 것이다.,True,1,2024-12-14T18:10:16+0900,845553020992225366,6,2,0
seji****,,,False,1,2024-12-14T17:52:01+0900,845551844791943179,0,0,0
