user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jshw****,pfOT,그런 논리라면 20대 대선도 다시 해야지. 윤석열이 계엄할줄 알았다면 대선때 윤석열 안 찍었다.,True,1,2025-01-07T13:15:54+0900,847760567174168939,327,218,35
jsji****,6fZS7,윤석열탄핵은 내란행위로 헌법정신위반과 불법계엄으로 헌법재판소에서 판단받고 윤석열내란죄는 형사법으로 경찰과 공수처가 조사하고 검찰이 기소해서 재판받으면 된다,True,1,2025-01-07T13:46:43+0900,847762553093226824,124,33,7
rive****,1kpml,"민주당의 내란죄 선동으로 탄핵 가결된 것은 맞지.
당시 민주당에 협조 안하면 내란공범이라고 몰고 간건 맞잖아. 안그랬으면 탄핵가결 되었겠냐?  지금도 아직 
 판결도 나지 않았을 뿐만아니라 기소조차도  
안되었음에도 헌직대통령에게 내란수괴, 내란수괴하면서 명예회손적 발언을 서슴 없이 하고 있는데, 그때는 온갖 협박과 겁박을 주연서  얼마나 선동했냐?",True,1,2025-01-07T14:03:07+0900,847763609722290229,134,65,6
dlfl****,1Wt3U,"헌재가 개인적 성향으로 해석하면 안됨.  홍시장 말대로 탄핵은 원천무효임.  쪽수가 많으니 입법도 제멋대로, 특검도 지속 특검 제멋대로, 탄핵도 지멋대로 남발, 예산도 지멋대로 까고, 지들 불리하다고 판단한 검사도 탄핵, 탄핵, 탄핵, 특검, 탄핵, 탄핵, 특검 또 탄핵, 이게 내란 아니냐?",True,1,2025-01-07T14:47:48+0900,847766487904027006,43,7,1
prin****,2v2mT,"내란죄를 없앤게아니고
  헌재는 헌법만 내란은 경찰공수처가.
  팩트를  권력욕에 숨기는  파렴치한작자야",True,1,2025-01-07T14:03:55+0900,847763661547110823,40,9,2
hs62****,5NhLg,의원도 아닌게 표결권도 없는게 말이 많으네 ㅋㅋ,True,1,2025-01-07T13:46:45+0900,847762554955497795,49,21,1
dkfk****,a8M89,창원에 명 박사님 ?????????????????????????????? 시끄러워요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,True,1,2025-01-07T13:04:22+0900,847759824648143010,27,10,0
yada****,mZeq,틀린말 1도 없네 잘한다 홍준표,True,1,2025-01-07T14:01:22+0900,847763497012953235,34,20,1
anjw****,2QUbU,헌재의 내란수괴 윤석열이 탄핵심판에서 왜 형사심판의 대상이 되는 내란죄 및 외환죄 부분을 빼고 비상계엄령을 선포한 것의 위헌적인 부분만 가지고 심판을 하자고 청구한 것 인지 홍준표가 모를리가 없을텐데 계속해서 헛소리를 해 대고있네.,True,1,2025-01-07T13:52:14+0900,847762907998453856,35,22,0
bigb****,,,False,1,2025-01-07T13:47:50+0900,847762625117815202,0,0,0
